a	ɑ
a4-hoofweg	ɑːˈfuːvʋɛχ
aag	ɑːχ
aag	ˈɑː
aai	ɑːi̯
aaklig	ɑːkliχ
aaklige	ɑːkˈlɪχə
aakligste	ɑːkˈlɪə̯xstə
aal	ˈoɫ
aalbessiesap	ɔːlbˈɪsˈɪzsˈʌt
aalmoes	ɑːlmʊəs
aalmoese	ɑːlmʊːsə
aambeeld	aːmbˈilt
aamborstig	aːmboːrstə
aan	aɪn
aan	ɑːn
aan't	ˈɔnt
aanbeveel	ɑːnbəˈvil
aanbeveling	ɑːnbeːvəlɪŋ
aanbeweeg	ɑːnbəˈʋiχ
aanbid	ɑnˈbæt
aanbid	ɑːnˈbɪt
aanbied	ɑːnbiːt
aanbied	ɔːnbˈeɪt
aanbieding	aːnbid̪iːn
aanblaas	ɑːnˈblɑːs
aanbod	ɑnbot
aanbod	ɑːnbɔt
aanbreek	ɑːmˈbreːk
aanbring	ɑːnˈbrɪŋ
aand	ɑːnt
aandadig	ɑːnˈdɑːdɪχ
aandag	ɑːndɑχ
aandagtig	ɑːnˈdɑχtəx
aande	ɑːnde
aandeel	aːndˈil
aandeel	ɑːnˈdiːl
aandele	ˈɑːndələ
aandelemark	ˈɑːndəlɛˌmɑrk
aandete	ɑntjetɪ̞
aandete	ɑːnˈdɛtə
aandjie	ɑːndʒi
aandlug	ɑːntˈlʏχ
aandoen	ɑːnˈduːə̯n
aandoenlik	ɑːˈduːə̯nlik
aandparty	ɑːntpɑːrti
aandpartytjies	ɑːntpɑːrtiːtsi
aandra	anˈd̪ɾɒ
aandrang	ɑːndrɑŋ
aandring	ɑːntrɪŋ
aandrok	ɑːnˈdrɔk
aanduiding	ˈɑːntœy̯ɟɪŋ
aanduidings	ɑːnˈdœi̯dəns
aangaan	ɑŋˈgɑːn
aangaande	ɑŋˈgɑːndə
aange	ɑŋə
aangebied	ˈɑŋgəˌbiːt
aangebreek	ˈɑŋgəˌbreːk
aangedaan	əŋˈdɑːn
aangedoen	ˈɑŋəˌdun
aangedring	ˈɑŋəŋdrɪŋ
aangedryf	ˈɑŋəˌdrɪf
aangedui	ˈɑŋəˌdœy
aangee	ɑŋgi
aangegryp	ɑŋəɣrɪp
aangehaal	ɑŋˈɦɑːl
aangehad	ɑŋˈɦɑt
aangehelp	ˈɑŋəχɛlp
aangehou	ɑŋˈχu
aangekla	ɑŋkɫɑ
aangekom	ɑŋkəˈkɔm
aangekondig	ɑŋkəˈkɔnəχ
aangekondigde	ɑŋkəˈkʊi̯ŋdʒə
aangekoop	ɑŋkəˈkɔp
aangekyk	ɑŋkəˈkəi̯k
aangeland	ɑːŋgəlɑːnt
aangeleer	ɑŋgəlɪə̯r
aangeloop	ɑŋgəlʊp
aangelos	ɑŋgəlɔs
aangemoedig	ɑːŋəˈmøːdɪχ
aangenaam	aːnɣənˈɑm
aangenaam	ɑːŋəˈɲɑːm
aangename	ɑːŋəˈnɛmə
aangeneem	ɑːŋχənim
aangenome	əŋənɔmə
aangepak	ɑŋgəˈpɑk
aangepas	ɑŋəˈpɑs
aangeplak	ˈɑŋəˌplɑk
aangepor	ɑŋəˈpɔr
aangeraai	ɑŋəˈrɑi̯
aangeraak	ɑːŋəˈrɑːk
aangerand	ˈɑːŋərɑnt
aangesien	ɑnxəstˈiːn
aangesien	ˈɑŋsɪə̯n
aangesig	ɑŋˈsɪχ
aangeskakel	ɑŋəˈskɑkəl
aangeskryf	ɑŋəskrəf
aangesluit	ˈɑŋsɫœi̯t
aangespoor	ɑŋsˈpur
aangesteek	ɑŋəsteːk
aangestel	ɑŋəˈstɛl
aangestelde	ɑŋəstɛlə
aangesê	ˈɑŋsə
aangetas	ɑːŋgəˈtɑs
aangeteken	ˈɑŋətəˌkɛn
aangetree	ɑŋgəˈtrɪə
aangetrek	ɑŋəˈtrɛk
aangetrokke	ɑŋətroʊkə
aangeval	ˈɑŋgɛfəl
aangevang	ˈɑŋəˌfɑŋ
aangevoer	ɑŋˈfœr
aangevra	ɑŋgfɹaː
aangevuur	ˈɑŋəfuːr
aangewend	ɑŋəˈvɛnt
aangewese	ɑŋəˈβɪsə
aangewys	ɑːŋəˈwɪs
aangrypende	ɑːŋˈχrʏpəndə
aanhaal	ɑːnˈɦɑːl
aanhangers	ɑːnˈɦɑŋərs
aanhangsels	ɑːnˈɦɑŋsəls
aanhelp	ɑːnˈhɛlp
aanhet	ɑːnˈɦɛt
aanhoor	ɑːnˈɦʊə̯r
aanhou	ɑːnˈɦuː
aanhoudend	ɑːnˈɦʌu̯ənt
aanhoudende	ɑːnˈɦʌu̯dənə
aanhouding	ɑːnˈɦʌui̯ŋ
aanhê	ɑːnˈɦɛː
aankla	ɑŋkɫɑ
aanklaer	ɑŋˈkɫɑːr
aanklag	ɑŋklɑχ
aankom	ɑŋkɔm
aankoms	ɑŋkɔms
aankondig	ˈɑŋkɔndəχ
aankondiging	ɑŋkɔnˈdiχɪŋ
aankoop	ɑŋˈkʰoːp
aankope	ɑŋˈkɔpə
aankruip	ɑŋˈkrœi̯p
