ሀሎ	halo
ሀያ	haja
ሀይቅ	hajkʼ
ሁለተኛ	hulətːəɲːa
ሁለት	hulətː
ሁሉ	hulːu
ሄሊኮፕተር	helikoptəɾ
ህዝብ	hɨzɨb
ህያ	hɨja
ሆላ	hola
ሆርች	hoɾtʃ
ሆስፒታል	hospital
ሆድ	hod
ለውዝ	ləwz
ሉል	lul
ሊሎ	lilo
ላለ	lalːə
ላም	lam
ልብ	lɨbː
ልዥ	lɨʒ
ልጅ	lɨdʒ
ሐለመ	halləmə
ሐላሚ	halami
ሐምሌ	hamle
ሐሳብ	hasːab
ሐኪም	hakim
ሐዋርያ	hawarja
ሐይ	hajː
ሐጅስ	hadʒːɨs
ሕልም	hɨlm
ሕመም	hɨməm
ሕሙም	hɨmum
ሕዝብ	hɨzb
ሕይወት	hɨjwət
ሕግ	hɨgː
ሕፃን	hɨsʼan
ሕፅን	hɨsʼɨn
መሄድ	məhed
መላስ	məlas
መላጊያ	məlagija
መላጊያ	məllagija
መልክአዊ	mälkʼawi
መምህር	mämhɨr
መሞት	məmot
መርከብ	märkäb
መሮጥ	məɾotʼ
መሳቅ	məsakʼ
መስጊድ	məsgid
መቶ	məto
መንግሥት	mängɨsɨt
መንግሥት	məngɨst
መንግስት	mängɨst
መከፈቻ	məkkəfətʃa
መኪና	məkina
መክፈቻ	məkfətʃa
መገንባት	məgənɨbatɨ
መጽሐፍ	mätsʼəħaf
ሙሽራ	muʃɨrːa
ሚስቱም	mistum
ሚስት	mist
ማህበረሰብ	mähäbäräsäb
ማረሻ	marəʃa
ማርያም	marjam
ማነን	manːən
ማን	man
ማንን	manːɨn
ማንኛቸው	manːɨɲːatʃːəw
ማንኛችሁ	manːɨɲːatʃːɨhu
ማንኛችን	manːɨɲːatʃːɨn
ማንኛው	manːɨɲːaw
ማንካ	manka
ማን፡ማን	manman
ምላስ	mɨlas
ምላሽ	mɨlːaʃ
ምርቃት	mərkat
ምርጫ	mɨrtʃʼa
ምስት	mɨst
ምሸት	mɨʃət
ምሼት	mɨʃet
ምሽት	mɨʃːɨt
ምሾት	mɨʃot
ምን	mɨn
ምንድር	mɨndɨɾ
ምንድን	mɨndɨn
ምንጭ	mɨntʃʼ
ምንጭ	mɨntʃʼä
ምን፡ምን	mɨnmɨn
ምኖች	mɨnotʃː
ምግብ	məgɨb
ሞተ	motə
ሠላሳ	səlasa
ሥልሳ	sɨlsa
ሥር	sɨr
ሥሳ	sɨsːa
ሥድሳ	sɨdsa
