ــ	æ
ء	ʔ
آ	ʔ
آآ	ʔaː
آآآه	ʔaːʔah
آآه	ɑːh
آبٌ	aːb
آبٌ	aːba
آب	ʔaːb
آبا	ʔɑːbɑː
آبَاءٌ	aːbaːʔ
آباء	ɑːbɑːʕ
آبائنا	ɑːbɑːʔinɑ
آبائهم	ɑːbɑːhɪn
آبَادٌ	aːbaːd
آباد	ɑːbɑːd
آبَارٌ	aːbaːr
آبريل	ɑːbriːl
آبز	ɑːbuz
آبل	ʔabal
آبه	ɑːbɑh
آبو	ɑːbuː
آبوت	ʔɑːbʊt
آبى	ʔɑːbiː
آبِيٌّ	aːbiː
آبِيٌّ	aːbijja
آبي	ɑːbiː
آتٍ	aːt
آت	ʔaːt
آتِ	ʔaːti
آتٍ	ʔaːtˈin
آتون	ʔaːton
آتَى	aːtaː
آتى	ɑːtˤiː
آتِي	aːtiː
آتِي	aːtijja
آتي	ʔaːtiː
آتية	ˈɑːtˤiːə
آتيت	ʔaːtiːt
آتيه	ˈaːtiːh
آثَارٌ	aːθaːr
آثار	ɑːθɑːr
آثاراً	ɑːθɑːrɑːm
آثاره	ˈɑːθɑːrah
آثَرَ	aːθara
آثر	ʔɑθr
آثِمٌ	aːθim
آجَالٌ	aːdʒaːl
آجل	ɑːgɪl
آجلا	ɑːdʒɑːlɑ
آجلاً	ɑːgælæ
آحَادٌ	aːħaːd
آخ	ɑːx
آخَذَ	aːxaða
آخَذَ	aːxið
آخَذَ	aːxuð
آخذ	ɑːxædʒ
آخذُ	ˈɑːxðʊ
آخذَ	ˈʔɑːxædˤɑ
آخذكِ	ˈɑːxðɪ
آخذك	ˈɑːxðʊk
آخذه	ˈɑːxðah
آخذها	ˈʔɑːxðuh
آخذهم	ɑːxðum
آخِرُ	aːxar
آخِرُ	aːxir
آخــر	ɑːxar
آخـر	ɑːxar
آخَر	ˈɑːxar
آخرُ	ɑˈxirʊ
آخر	ɑˈxɪr
آخرَ	ɑˈxɪrɑ
آخرِ	ɑˈxɪrɪ
آخرا	ɑxɪˈrɑ
آخرًا	ɑˈxɪrɑ
آخراً	ɑxɪrɑn
آخران	ɑˈxɪrɑn
آخره	ˈɑħɑrɑh
آخرها	ɑxɪrɑhɑ
آخرون	ˈɑxɪrɑn
آخرى	ɑːdˈʒɑːr
آخري	ɑːxrɪ
آخرين	ɑˈxɪrɪn
آخَى	aːxaː
آداء	ɑːdæː
آدَابٌ	aːdaːb
آداب	ɑːdɑːb
آدام	ɑːdɑːm
