ababol	ababol
abadexo	abadeʃo
abarca	abaɾka
abella	abeʎa
abet	abet
abetullo	abetuʎo
abril	abɾil
abstracto	abstɾaɡto
abstrauto	abstɾau̯to
achiperres	atʃiperes
achuda	atʃuda
acompañar	akompaɲaɾ
acordión	akoɾdjon
adchectivo	adtʃeɡtibo
adchetivo	adtʃetibo
afocar	afokaɾ
agosto	aɡosto
agro	aɡɾo
aladro	aladɾo
alavez	alabeθ
albaca	albaka
alberchena	albeɾtʃena
albero	albeɾo
alcol	alkol
alegría	aleɡɾia
allo	aʎo
altaria	altaɾja
amallatar	amaʎataɾ
amillorar	amiʎoɾaɾ
anatomía	anatomia
anca	anka
anglo	anɡlo
aniello	anjeʎo
antigo	antiɡo
anyo	aɲo
apella	apeʎa
aragonés	aɾaɡones
araina	aɾai̯na
arambre	aɾambɾe
arbuzo	aɾbuθo
arena	aɾena
arma	aɾma
articlo	aɾtiklo
artificial	aɾtifiθjal
asperar	aspeɾaɾ
atenzión	atenθjon
ateísmo	ateismo
aturar	atuɾaɾ
au	au̯
auco	au̯ko
augua	au̯ɡwa
auguanieu	au̯ɡwanjeu̯
autor	au̯toɾ
ayer	aʝeɾ
azanoria	aθanoɾja
azeite	aθei̯te
azeto	aθeto
azul	aθul
badallar	badaʎaɾ
baranna	baɾanna
bebita	bebita
bel	bel
bela	bela
biento	bjento
blanco	blanko
blango	blanɡo
bomber	bombeɾ
borina	boɾina
brenna	bɾenna
bruco	bɾuko
brueco	bɾweko
cadena	kadena
caixico	kai̯ʃiko
calor	kaloɾ
capanna	kapanna
carbón	kaɾbon
carne	kaɾne
casalizo	kasaliso
casalizo	kasaliθo
chacer	tʃaθeɾ
chaponés	tʃapones
charrador	tʃaradoɾ
chelada	tʃelada
chemecar	tʃemekaɾ
chenullo	tʃenuʎo
chicotén	tʃikoten
chincharana	tʃintʃaɾana
chinepro	tʃinepɾo
chiquet	tʃiket
chirmán	tʃiɾman
chitano	tʃitano
chitar	tʃitaɾ
chodigo	tʃodiɡo
choliba	tʃoliba
choven	tʃoben
chugar	tʃuɡaɾ
chupar	tʃupaɾ
chusto	tʃusto
clar	klaɾ
claro	klaɾo
color	koloɾ
cometas	kometas
cometas	kometes
complir	kompliɾ
coniello	konjeʎo
corazón	koɾaθon
cortina	koɾtina
cosa	kosa
creixer	kɾei̯ʃeɾ
cristiano	kɾistjano
cuerpo	kweɾpo
cullebra	kuʎebɾa
cultura	kultuɾa
desasperar	desaspeɾaɾ
desaspero	desaspeɾo
dezenio	deθenjo
dichital	ditʃital
dobiello	dobjeʎo
dulce	dulθe
duro	duɾo
emplir	empliɾ
enguerau	enɡeɾau̯
escarabaxo	eskaɾabaʃo
espiello	espjeʎo
esponnal	esponnal
espuenna	espwenna
estar	estaɾ
fablar	fablaɾ
falcada	falkada
falordia	faloɾdja
fardacho	faɾdatʃo
fibiella	fibjeʎa
fierro	fjero
filosofía	filosofia
florir	floɾiɾ
floronco	floɾonko
flors	flos
focaza	fokaθa
foratar	foɾataɾ
forato	foɾato
fornica	foɾnika
fuego	fweɡo
gabardera	ɡabaɾdeɾa
garra	ɡara
gran	ɡɾan
hache	atʃe
ibierno	ibjeɾno
ibón	ibon
igual	iɡwal
literatura	liteɾatuɾa
lixero	liʃeɾo
logar	loɡaɾ
luengo	lwenɡo
luitar	lwitaɾ
mallata	maʎata
manzana	manθana
marinero	maɾineɾo
matur	matuɾ
medieval	medjebal
minchar	mintʃaɾ
mirallo	miɾaʎo
monche	montʃe
moncho	montʃo
morato	moɾato
mosal	mosal
mover	mobeɾ
muderno	mudeɾno
mudo	mudo
nadar	nadaɾ
naixer	nai̯ʃeɾ
negro	neɡɾo
nevar	nebaɾ
nieda	njeda
nieu	njeu̯
ninno	ninno
nombre	nombɾe
nueva	nweba
nuevas	nwebas
nuevo	nwebo
nuevos	nwebos
nusatras	nusatɾas
nusatros	nusatɾos
ofrexer	ofɾeʃeɾ
ombre	ombɾe
onsa	onsa
onset	onset
onso	onso
onze	onθe
orella	oɾeʎa
pagar	paɡaɾ
pareixer	paɾei̯ʃeɾ
pas	pas
paxaro	paʃaɾo
pedaleta	pedaleta
pegullo	peɡuʎo
penna	penna
pex	peʃ
pixar	pitʃaɾ
pixar	piʃaɾ
plata	plata
plebia	plebja
plen	plen
polecón	polekon
polegón	poleɡon
qualque	kwalke
razón	raθon
redir	rediɾ
redondo	redondo
rico	riko
royo	roʝo
sangre	sanɡɾe
santmigalada	sammiɡalada
saper	sapeɾ
segar	seɡaɾ
semellar	semeʎaɾ
silenzio	silenθjo
templato	templato
tiempo	tjempo
tocino	toθino
tot	tot
treballar	tɾebaʎaɾ
truco	tɾuko
udito	udito
uego	weɡo
uellada	weʎada
uello	weʎo
ueste	weste
uga	uɡa
ulor	uloɾ
ungla	unɡla
universidat	unibeɾsidat
urbano	uɾbano
urchén	uɾtʃen
vaca	baka
vacariza	bakaɾiθa
vachina	batʃina
vachinal	batʃinal
val	bal
variedat	baɾjedat
vaxiella	baʃjeʎa
vegada	beɡada
veixica	bei̯ʃika
veixica	bei̯ʃiɡa
verbal	beɾbal
verdat	beɾdat
verde	beɾde
vereno	beɾeno
verenoso	beɾenoso
viache	bjatʃe
viello	bjeʎo
vielluz	bjeʎuθ
viernes	bjeɾnes
virchen	biɾtʃen
volandrina	bolandɾina
vomecar	bomekaɾ
voz	boθ
vuedo	bwedo
vueitre	bwei̯tɾe
xadrez	ʃadɾeθ
xaguar	iʃaɡwaɾ
xaguar	ʃaɡwaɾ
xambre	iʃambɾe
xambre	ʃambɾe
xordo	ʃoɾdo
yayo	ʝaʝo
yegua	ʝeɡwa
yerba	ʝeɾba
yeugua	ʝeu̯ɡwa
zago	θaɡo
zapato	θapato
zapo	θapo
zarpa	θaɾpa
zelebro	θelebɾo
zella	θeʎa
zenisa	θenisa
zenzia	θenθja
zepillo	θepiʎo
zernillón	seɾniʎon
zernillón	θeɾniʎon
zibada	θibada
zicala	θikala
ziego	θjeɡo
zielo	θjelo
zimenterio	θimenteɾjo
ziminterio	θiminteɾjo
zirco	θiɾko
ziresa	θiɾesa
ziresera	θiɾeseɾa
zirgüellera	θiɾɡweʎeɾa
zirgüello	θiɾɡweʎo
ziudat	θjudat
ziudá	θjuda
zorz	θoɾθ
zrujano	θruxano
zruxano	θruʃano
zucre	θukɾe
zucrería	θukɾeɾia
ánchel	antʃel
