ԱԱ	ɑɑ́
ԱԱԱԿ	ɑɑɑ́k
ԱԱԲ	ɑɑbə́
ԱԱԳ	ɑɑɡə́
ԱԱԳԽ	ɑɑɡəχə́
ԱԱԻ	ɑɑjí
ԱԱԽ	ɑɑχə́
ԱԱԾ	ɑɑtsə́
ԱԱԿ	ɑɑkə́
ԱԱՀ	ɑɑhə́
ԱԱՀՀԻ	ɑɑhəhəí
ԱԱՆ	ɑɑnə́
ԱԱՊ	ɑɑpə́
ԱԱՊԲ	ɑɑpəbə́
ԱԱՊՎ	ɑɑpəvə́
ԱԱՌ	ɑɑrə́
ԱԳՆ	ɑɡənə́
ԱԶԲ	ɑzəbə́
ԱԹՍ	ɑtʰəsə́
ԱԺ	ɑʒə́
ԱՄԷ	ɑməé
ԱՄՆ	ɑmənə́
ԱՊՀ	ɑpəhə́
Աարե	ɑɑɾé
Աբադան	ɑbɑdɑ́n
Աբական	ɑbɑkɑ́n
Աբայ	ɑbɑ́j
Աբաջյան	ɑbɑdʒjɑ́n
Աբաս	ɑbɑ́s
Աբասթուման	ɑbɑstʰumɑ́n
Աբարան	ɑbɑɾɑ́n
Աբգար	ɑbɡɑ́ɾ
Աբգարյան	ɑbɡɑɾjɑ́n
Աբել	ɑbél
Աբեղյան	ɑbeʁjɑ́n
Աբերդին	ɑbeɾdín
Աբիջան	ɑbidʒɑ́n
Աբիսողոմ	ɑbisoʁóm
Աբխազիա	ɑpʰχɑ́zijɑ
Աբո	ɑbó
Աբո	ɑ́bo
Աբովյան	ɑbovjɑ́n
Աբուջա	ɑbúdʒɑ
Աբրահամ	ɑbɾɑhɑ́m
Աբրահամյան	ɑbɾɑhɑmjɑ́n
Աբրամ	ɑbɾɑ́m
Աբրուցցո	ɑbɾút̚tsʰo
Աբքայք	ɑpʰkʰɑ́jkʰ
Ագա	ɑɡɑ́
Ագամեմնոն	ɑɡɑmemnón
Ագանյա	ɑɡɑ́njɑ
Ագապի	ɑɡɑpí
Ագարակ	ɑɡɑɾɑ́k
Ագարտալա	ɑɡɑɾtɑlɑ́
Ագինսկոյե	ɑɡínskoje
Ագրիպպաս	ɑɡɾipːɑ́s
Ադամ	ɑdɑm
Ադամյան	ɑdɑmjɑ́n
Ադանա	ɑdɑnɑ́
Ադլեր	ɑdléɾ
Ադլեր	ɑ́dleɾ
Ադոնց	ɑdóntsʰ
Ադրբեջան	ɑdəɾbedʒɑ́n
Ադրիանապոլիս	ɑdɾijɑnɑpolís
Ադրիանոս	ɑdɾijɑnós
Ազատ	ɑzɑ́t
Ազնիվ	ɑznív
Ազորներ	ɑzoɾnéɾ
Աթաբեկ	ɑtʰɑbék
Աթանաս	ɑtʰɑnɑ́s
Աթենաս	ɑtʰenɑ́s
Աթենք	ɑtʰéŋkʰ
Աժդահակ	ɑʒdɑhɑ́k
Աիդա	ɑjídɑ
Ալադին	ɑlɑdín
Ալազան	ɑlɑzɑ́n
Ալանք	ɑlɑ́ŋkʰ
Ալավերդի	ɑlɑveɾdí
Ալբանիա	ɑlbɑ́nijɑ
Ալբարյան	ɑlbɑɾjɑ́n
Ալբերտ	ɑlbéɾt
Ալբինա	ɑlbínɑ
Ալեն	ɑlén
Ալեքսան	ɑlekʰsɑ́n
Ալեքսանդր	ɑlekʰsɑ́ndəɾ
Ալեքսանդրապոլ	ɑlekʰsɑndɾɑpól
Ալեքսանդրիա	ɑlekʰsɑndɾijɑ́
Ալեքսանյան	ɑlekʰsɑnjɑ́n
Ալեքսիյ	ɑlekʰsíj
Ալթըբարմագյան	ɑltʰəbɑɾmɑɡjɑ́n
Ալթըբարմաքյան	ɑltʰəbɑɾmɑkʰjɑ́n
Ալթըփարմագյան	ɑltʰəpʰɑɾmɑɡjɑ́n
Ալթըփարմաքյան	ɑltʰəpʰɑɾmɑkʰjɑ́n
Ալթիպարմաղյան	ɑltʰipɑɾmɑʁjɑ́n
Ալժիր	ɑlʒíɾ
Ալինա	ɑlinɑ́
Ալինա	ɑlínɑ
Ալիստեր	ɑ́listeɾ
Ալիև	ɑlíjev
Ալլա	ɑlːɑ́
Ալլահ	ɑlːɑ́h
Ալկայոս	ɑlkɑjós
Ալկիբիադես	ɑlkibijɑdés
Ալկման	ɑlkmɑ́n
Ալկմենե	ɑlkméne
Ալմաթի	ɑlmɑtʰí
Ալյասկա	ɑljɑ́skɑ
Ալպեր	ɑlpéɾ
Ալջունիդ	ɑldʒuníd
Ալվարդ	ɑlvɑ́ɾtʰ
