ՠ	æ
ա	ɑ
ա̄	ɑ̃
ա̈	æ
ա̊	ɒ
աա	ɑɑ́
աաակ	ɑɑɑ́k
աաբ	ɑɑbə́
աագ	ɑɑgə́
աագխ	ɑɑgəχə́
աաի	ɑɑjí
աախ	ɑɑχə́
աած	ɑɑtsə́
աակ	ɑɑkə́
աահ	ɑɑhə́
աահհի	ɑɑhəhəí
աան	ɑɑnə́
աապ	ɑɑpə́
աապբ	ɑɑpəbə́
աապվ	ɑɑpəvə́
աառ	ɑɑrə́
աարե	ɑɑɾé
աբա	ɑbɑ́
աբադան	ɑbɑdɑ́n
աբալովկա	ɑbɑlofkɑ́
աբական	ɑbɑkɑ́n
աբայ	ɑbɑ́j
աբանոս	ɑbɑnós
աբաջյան	ɑbɑdʒjɑ́n
աբաս	ɑbɑ́s
աբասանոց	ɑbɑsɑnótsʰ
աբասթուման	ɑbɑstʰumɑ́n
աբասի	ɑbɑsí
աբարան	ɑbɑɾɑ́n
աբարանցի	ɑbɑɾɑntsʰí
աբբա	ɑbːɑ́
աբբահայր	ɑbːɑhɑ́jɾ
աբբայական	ɑbːɑjɑkɑ́n
աբբայարան	ɑbːɑjɑɾɑ́n
աբբայություն	ɑbːɑjutsʰjún
աբբայուհի	ɑbːɑjuhí
աբգար	ɑbgɑ́ɾ
աբգարյան	ɑbgɑɾjɑ́n
աբեթ	ɑbétʰ
աբեթասունկ	ɑbetʰɑsúŋk
աբեթենի	ɑbetʰení
աբել	ɑbél
աբեղա	ɑbeʁɑ́
աբեղաթող	ɑbeʁɑtʰóʁ
աբեղախոտ	ɑbeʁɑχót
աբեղաձագ	ɑbeʁɑdzɑ́kʰ
աբեղայական	ɑbeʁɑjɑkɑ́n
աբեղայակերպ	ɑbeʁɑjɑkéɾp
աբեղայություն	ɑbeʁɑjutsʰjún
աբեղացու	ɑbeʁɑtsʰú
աբեղյան	ɑbeʁjɑ́n
աբեղուկ	ɑbeʁúk
աբերդին	ɑbeɾdín
աբիջան	ɑbidʒɑ́n
աբիսողոմ	ɑbisoʁóm
աբխազ	ɑpʰχɑ́z
աբխազական	ɑpʰχɑzɑkɑ́n
աբխազերեն	ɑpʰχɑzeɾén
աբխազիա	ɑpʰχɑ́zijɑ
աբխազներ	ɑbχɑznéɾ
աբո	ɑbó
աբո	ɑ́bo
աբոլիցիոնիզմ	ɑbolitsʰijonízm
աբոյ	ɑbój
աբոնեմենտ	ɑbonemént
աբոնեմենտային	ɑbonementɑjín
աբոնենտ	ɑbonént
աբովյան	ɑbovjɑ́n
աբորտ	ɑbóɾt
աբուջա	ɑbúdʒɑ
աբուռ	ɑbúr
աբսոլյուտ	ɑpʰsoljút
աբսոլյուտիզմ	ɑbsoljutízm
աբսորբել	ɑpʰsoɾbél
աբսուրդ	ɑpʰsúɾd
աբստրակտ	ɑpʰstɾɑ́kt
աբստրակցիա	ɑpʰstɾɑktsʰijɑ́
աբստրակցիա	ɑpʰstɾɑ́ktsʰijɑ
աբստրահել	ɑpʰstɾɑhél
աբստրահում	ɑpʰstɾɑhúm
աբստրահվել	ɑpʰstɾɑhvél
աբրա	ɑbɾɑ́
աբրահամ	ɑbɾɑhɑ́m
աբրահամյան	ɑbɾɑhɑmjɑ́n
աբրամ	ɑbɾɑ́m
աբրեշում	ɑbɾeʃúm
աբրեշումե	ɑbɾeʃumé
աբրուցցո	ɑbɾút̚tsʰo
աբքայք	ɑpʰkʰɑ́jkʰ
ագա	ɑgɑ́
ագաթ	ɑgɑ́tʰ
ագահ	ɑgɑ́h
ագահաբար	ɑgɑhɑbɑ́ɾ
ագահանալ	ɑgɑhɑnɑ́l
ագահել	ɑgɑhél
ագահորեն	ɑgɑhoɾén
ագահություն	ɑgɑhutsʰjún
ագամեմնոն	ɑgɑmemnón
ագանյա	ɑgɑ́njɑ
ագապի	ɑgɑpí
ագատ	ɑgɑ́t
ագարակ	ɑgɑɾɑ́k
ագարականալ	ɑgɑɾɑkɑnɑ́l
ագարակացնել	ɑgɑɾɑkɑtsʰnél
ագարտալա	ɑgɑɾtɑlɑ́
ագեվազ	ɑgevɑ́z
ագի	ɑgí
ագինսկոյե	ɑgínskoje
ագն	ɑgənə́
ագնոստիկ	ɑgnostík
ագնոստիցիզմ	ɑgnostitsʰízm
ագոն	ɑgón
ագույց	ɑgújtsʰ
ագուռ	ɑgúr
ագուցահանել	ɑgutsʰɑhɑnél
ագուցանել	ɑgutsʰɑnél
ագուցավորել	ɑgutsʰɑvoɾél
ագուցել	ɑgutsʰél
ագուցվել	ɑgutsʰvél
ագռավ	ɑgrɑ́v
ագռավանալ	ɑgrɑvɑnɑ́l
ագրարային	ɑgɾɑɾɑjín
ագրեգատավորել	ɑgɾegɑtɑvoɾél
ագրեսիա	ɑgɾésijɑ
ագրեսիաները	ɑgɾesijɑnéɾə
ագրեսիաներից	ɑgɾesijɑneɾítsʰ
ագրեսիվ	ɑgɾesív
ագրիպպաս	ɑgɾipːɑ́s
ադամ	ɑdɑm
ադամաթուզ	ɑdɑmɑtʰúz
ադամանդ	ɑdɑmɑ́nd
ադամանդագործ	ɑdɑmɑndɑgóɾts
ադամանդագործական	ɑdɑmɑndɑgoɾtsɑkɑ́n
