3	ʏ̞tʃ
ab	ɑb
abad	abat
abad	ɑbɑd
abadanlıq	ɑbɑdɑnɫɯχ
abadlaşdırmaq	ɑbɑdɫɑʃdɯrmɑχ
abadlıq	ɑbɑdɫɯχ
abadlıq	ɑbɑtːɯ̞q
abajur	ɑbɑʒur
abbas	ɑpɑs
abbasov	apasov
abdal	abdɑ
abdal	ɑbdɑɫ
abdulla	ˈɑbdullɑ
abduq	ɑbduɣ
abdəst	ɑbdæst
aberdin	abɨrdʲin
abid	abit
abid	ɑːbid
abidə	ɑːbidæ
abonent	abonʲent
abort	aˈbɔɾtʊ
abqora	apkɔra
abstrakt	abstrɑkt
absurd	abˈsult
abunə	ɑbunæ
abunəçi	ɑbunætsi
abunəçi	ɑbunætʃi
abuta	abuta
abxazlar	ɑfˈkɑzdɑr
abzas	abzɑs
abı	abɯ̞
abır	abɯɾ
abırlamaq	ɑpɯ̞rrɑmɑχ
abırsız	ɑbɯɾsɯz
abırsızcasına	ɑbɯrsɯzdzɑsɯnɑ
abırsızcasına	ɑbɯrsɯzdʒɑsɯnɑ
abışov	abɯˈʃɑf
abş	ɑbʃ
ac	adz
ac	ag
ac	ɑdz
ac	ɑdʒ
ac	ɑʒ
ac-acına	ɑˈdʒɑdʒɯnɑ
acgöz	ɑˈdʒgɑz
aciz	ɑːdziz
aciz	ɑːdzɯz
aciz	ɑːdʒiz
aciz	ɑːdʒɯz
acizanə	adʒuzana
aclıq	ɑdzɫɯχ
aclıq	ɑdʒɫɯχ
aclıq	ɑtʃˈlɯk
aclıq	ɑʒdɯχ
aclıq	ɑʒɫɯχ
acı	adʒɯ
acı	ɑdzɯ
acı	ɑdʒɯ
acı-acı	ɑˈdʒɯɑˈdʒɯ
acıdilli	ɑdʒɯˈdili
acılı	ɑdʒɯˈɫɯ
acılıq	ɑdʒɯɫɯ̞q
acımtraq	ˈɑdʒɯmprɑk
acımtıllıq	ɑˈdʒɯmdɯɫˈlɯk
acınacaq	ɑˈdʒɯnɑʒɑk
acınacaqlı	ɑdzɯnɑdzɑɣɫɯ
acınacaqlı	ɑdʒɯnɑdʒɑɣɫɯ
acıqlı	ɑˈdʒɯlɯ
acıtma	atʃɯtma
acıtəhər	ɑˈdʒɯtɑhæɾ
ad	ɑd
ad-san	atˈsaˈn
ada	ɑdɑ
ada	ɑˈda
adacıq	ɑˈdɑdʒɯɣ
adalı	ɑdɑɫɯ̞
adam	adˈɑm
adamaoxşamaz	ɑdɑmɑɑχʃɑmas
adamaoxşar	ɑdɑmɑɑχʃɑɾ
adaxlama	ɑdɑxɫɑmɑ
adaxlamaq	ɑdɑχɫɑmɑq
adaxlandırmaq	ˈɑdɑxlɑndɯrmɑq
adaxlanmaq	ɑdɑχɫɑnmɑq
adaxlı	ɑdɑhlɯ̞
adaxlılıq	ɑdɑχɫɯ̞ɫɯ̞q
adaçayı	ɑˈdatʃɑjɯ
adaş	ɑdɑʃ
addım	atːɯm
addımbaşı	ɑˈddɯmbaʃɯ
adi	ɑːdi
adil	adil
adlama	atdɑmɑ
