cәғәт	sɛʁɛt
hабанай	abanaj
hатай	ɦɑtɑj
hаҡ	hɑq
аба	abɑ
абажур	ɑbɑzuɾ
абажурлы	ɑbäʒwrɫä
абазин	abazʲin
абайдулла	ɑbɑjðuɫːɑ
абайлабыраҡ	əbɑjɫæbərɑq
абайлап	abajlap
абайлаған	qɑpɑjɫɑʁɑn
абайлылыҡ	ɑbɑjlɑɫɯ̞q
абайһыҙ	ɑːbɑjhɯ̞ð
абау	abau
абағалы	ɑbɑʁɑɫæ
абаҡ	bɑq
аббат	abbat
аббатиса	abatisa
аббатлыҡ	æpbätɫɯ̞q
абдан	æbdɑːn
абдразаҡ	abdrɑsɑq
абдрафиҡ	abdrɑfiq
абдрахман	apdˈrˈæxmɑn
абдул	ɑbdɔl
абдулбарый	æbduɫbwɾɯ̞j
абдулбасир	ɑbduɫbaziɾ
абдулкәбир	ɑbdɯ̞ɫkæbʲir
абдулла	ɑbdullɑ
абдулла	ɑbduɫːɑ
абдулманнаф	ɑbdɯlmɑnnaf
абдулмәлик	ɑbdɯ̞ɫmæ̹lʲɪk
абдулмөкмин	ɑbdʊlmɪ̞kmʲin
абдулнасир	ɑβdɯ̞ɫnɑsi̯r
абдулсаттар	ɑbdɑɫsɑtːɑɾ
абдулхәй	ɑbdɯ̞ɫχæj
абдуләмин	abzulɛmʲen
абзал	abzɑl
абордаж	abɔrdaʒ
абортив	abortiv
абразив	abrazʲiv
абрар	abraɾ
абрикос	abrikos
абрис	apris
абруй	abruːj
абруй	ɑbruj
абруйлы	ɑbɾojɫɯ̞
абруйлылыҡ	ɑpɾwjɫɑɫɯ̞q
абруйһыҙҙыҡ	ɑbɾujhʊ̞ðːɑq
абсабир	ɑˈpsɑbʲir
абстракт	apstrɑkt
абстрактлашыу	apstrɑktɫɑʃʊ̞u
абсурд	ɑbsuɾt
абсурдлыҡ	äpsuɾtɫɯ̞k
абсцесс	apstsɛs
абсәләм	ɦɑpsɛlɛm
абубәкер	ɑbɯ̞ðɛkɪ̞r
абунасы	aˈbunasɯ
абусаттар	æbɯ̞ɫsɑtːär
абуталип	abutˈalˈip
абушахман	æbʊ̞ʂäχmɑn
абхаз	ɑpˈkʰaz
абы	ɑbɑ
абыз	ɑbɯz
абызгилде	abɯzgildɛ
абылай	ɑbɫäj
абынһа	qɑpɯ̞nhæ
абыстай	ɑbɯ̞stɑj
абыстай	ɑβɯ̞stɑj
абҙар	ɑðˈðɑr
абҙаҡ	qɑbðaq
авангардсы	ɑwɑngɑrtʃʊ̞
аванпорт	ɑwɑnpɔrt
аванпост	ɑwɑnpost
аванс	avɑːns
авансланыу	avanzlɑnɯ̞w
авансцена	avanzstsɛna
авар	ɑbɑɾ
август	ɑlˈgust
авиабилет	ɑvjabilɛt
авиаклуб	aːvjakɫub
авиапарк	avjapark
аврал	abrɑl
австралия	äfsträlʲijä
автобаза	aftabaza
автобус	afto̞bus
автогараж	afˈtɔgaɾaʒ
автограф	ɑfˈtɔgɾˈɑf
автокар	afˈtˈokar
автокран	aftɔkɾan
автократ	awtokrɑt
автократик	ɑftɑkrɑtik
автол	afˈtɑl
автолавка	aftɑɫɑfkɑ
автоматлаштырыу	ɑwtomɑtɫɑʃtɯ̞rɯ̞w
автоматлашыу	ɑvtɑmɑtɫɑʂɯ̞w
автоматлашҡан	ɑftɑmɑtɫɑʃqɑn
автомобилизм	ˌɐftumˌɐbˌilˈizm
автономиялы	äftänomʲijäɫɯ̞
автор	ɑftɔr
авторитар	afˈtɔrɪtɑr
авторлаштырылған	ɑwtʊ̞rɫɑʂtʊ̞rɯ̞ɫʁæn
авторҙаш	aftɯˈɾðɑʃ
автотуризм	ɑftɑtˈurizm
автотүңәрәк	aftɔtʏŋɛrɛk
автохужалыҡ	ɑfðʊ̞χuʒɑɫɯ̞q
автошин	aftɔʃin
автоюл	ɑftɔjoɫ
агава	agava
агентлыҡ	ɑgəntɫɯ̞q
агентура	agɛntura
агитатор	agitatɾ
агитаторлыҡ	ɑgitätɯ̞rɫʊ̞q
агитмасса	agɪtmasˈsa
агитплакат	agitpɫakat
аграр	agrar
аграрсы	ægɾärsæ
агроном	agrʊˈnɔm
агросара	agrosara
агул	agʊɫ
адажио	adaʒio
адвокат	advokat
адекватлыҡ	ɑðɪ̞kwɑtɫɯ̞q
аджар	atʃaɾ
административ	adminʲistratˈif
администратор	administratɔr
адмирал	admʲirɑɫ
адрес	adrɛs
адрес	ädrʲɪs
адресант	adresant
адресат	ɑdrɪsat
адреслау	adrɪslɑw
ажар	ɑʒlɑɾ
аждаһа	ɑʐdɑhɑ
ажур	aʒur
аз	ɑːz
азамат	ɑzɑmɑt
азамат	ʊ̞zɑmɑt
азатлыҡ	ɑzɑtlɯ̞k
азимут	azimut
азия	äzʲijä
азия	äzʲiʲä
азов	azof
азот	azot
ай	qɑj
ай	ɑj
айбар	ɑjbɑɾ
айбарс	ajbɑrs
айбат	ɑjbat
айбаҡты	ɑjbaqtɯ̞
айбиб	ajbip
айбикә	æjbʲikːæ
айбулат	ɑjbuɫɑt
айва	ɑjva
айгиз	ojgiz
айгизә	ajɣizɛ
айгизәр	ɑjgʲizær
айгөл	äjgʏ̞l
айдар	ʊ̞jdɑr
айдинә	æjdiːnæ
айзилә	ʔɑjzilɛ
айлина	ɑjˈɫɪnɑ
айлы	ɑjɫɑ
айлыҡ	ɑjɫɯ̞k
аймылыш	ɑjmɑɫɯ̞ʂ
айниса	aɪnisa
айнур	ajɫoɾ
айнур	ɑjnur
айнура	əjnora
айнури	ojnori
айнып	ajnɑp
айныҡ	ɑjnɯ̞q
айран	ajran
айрат	ɑjrɑt
айрат	ɑjɾɑt
айса	əjsˈa
айтуған	ɑjtuʁɑn
айтуған	ɑjtɯ̞ɫʁän
айша	aʃa
айшан	ˈɑsʃˈɑn
айшат	ai̯ʃat
айыл	pɑjɯ̞ɫ
айына	ɑjɯnla
айырма	ɑjɯ̞rmɑ
айырмалы	ɑjɯ̞rmɑɫæ
айырмаһыҙ	pɑjɯ̞rmähɯ̞ð
айырсалы	ɑjɯ̞rsʊ̞ɑɫɯ̞
айырым	ɑjɯ̞rəm
айырым	ɑjɯ̞ɾɯ̞m
айырымланыу	ɑjrɯ̞mɫɑnɯ̞w
айырымлыҡ	ɑjrɯ̞mɫɯ̞q
айырып	əjɯ̞rɑp
айырыуса	ɑjɯ̞rɯ̞wsɑ
айырыусы	ɑjɯ̞rɯ̞wsɑ
айыссыҡ	ɑjɯ̞sɯ̞q
айытбай	qɑjɯ̞tbɑj
айытнур	ɑjɯ̞tnʊ̞r
айыш	əjɯ̞ʃ
айыҡ	ɑjɯ̞q
айыҡҡан	qɑjɯ̞qqɑn
айға	ajɣa
айғолаҡ	ɑjʁʊ̞ɫɑq
айғыр	ɑjgɯ̞r
айғыр	ɑjʁɯ̞r
айҙан	ʊ̞jðɑn
айҙар	ɑjðɑr
айҙарһылыу	ɑjðɑrhɯ̞ɫoʊ
айҙаш	äjðär
айҙыл	ɑjðɑɫ
айҡанлы	ɑjqɑnlɑ
айҡау	əjqɑu
айҡашыу	ajkɑʃɯ̞w
айһай-мөрсәләй	ɑjhɑjmɪ̞rsæ̹læj
айһылыу	ɑjhɯ̞ɫɯ̞w
академизм	ˌɐkɐdɨmˈizm
академик	akadʲemʲik
академиклыҡ	ækadʲemʲikɫɯ̞q
акант	akant
аквамарин	akvämärjˈin
акванавт	ɑkvɑnaft
акварель	ɑkˈvɑrɪl
акведук	akvjduk
аккумулятор	akːumulatʊr
акрам	akram
акробат	akrɔbat
акробатизм	akrobatˈizm
акробатик	akrobatik
акробатика	akrobatika
аксиома	ækˈsiːɔmɑ
актив	aktˈif
активист	aptivjst
активлыҡ	ɑktʲifɫɯ̞k
актриса	aktrɪsa
актёр	aktʲɵr
акуа	akwa
акула	akuɫa
акустик	akustˈik
акустика	akustika
акушерка	akuʂɛrkɐ
акцент	aktsɛnt
акцепт	aktsɛpt
ал	ɑɫ
ала	ɑlɑ
ала-сыбар	ɑlɑsɯbaɾ
алабута	ɑɫɑbutɑ
алабуға	ɑlɑbuʁa
алабуға	ɑɫɑbuʁɑ
алайым	ɑɫaːjɯm
алайыҡ	bɑɫajɯ̞q
аларғансы	ɑɫɑrɢɑntsɯ̞
аласаҡ	ɑlɑsɑq
аласыҡ	ɑlɑsɯ̞q
алатуба	aɫatuba
алағай	ɑlɢɑj
алаҡ-шаҡалай	ɑɫɑqʃäqɑɫɑj
алаһы	ɑlɑhɑ
албания	ɑɫbɑnɪjɑ
албирмәҫ	ɑɫbɪrmæθ
