"бацькаўшчына"	batsʲkau̯ʂtʂɨna
aмялушка	amjaɫuʂka
i	i˥˩
а	a
аб	ab
аб'едзены	abjedzʲeɫɨ
аб'ежчык	abjeʂtʂɨ
аб'езд	abjɛst
аб'ект	abjekt
аб'ектаў	abjektau̯
аб'екты	abjektɨ
аб'ектыў	abxʲektɨw
аб'ектыўны	abjjektɨu̯nɨ
аб'ехаць	abjexatsʲ
аб'явіць	abjavʲitsʲ
аб'яднанне	abjatnannʲe
аб'яднання	abjatnannʲa
аб'язджае	abjaʐdʐaje
аб'язджаем	abjaʐdʐajem
аб'язджаеце	abjaʐdʐajetsʲe
аб'язджаеш	abjaʐdʐajeʂ
аб'язджаць	abjaʐdʐatsʲ
аб'язджаю	abjaʐdʐaju
аб'яўленне	abjau̯lʲenʲːe
аб'яўляць	abjau̯lʲatsʲ
аб'ём	abjom
аб'ёма	abjoma
аб'ёмам	abjomam
аб'ёмамі	abjomamʲi
аб'ёмах	abjomax
аб'ёмаў	abjomau̯
аб'ёме	abjomʲe
аб'ёмна	obʲomna
аб'ёмнага	abʲomnaɣa
аб'ёму	abjomu
аб'ёмы	abjomɨ
аб'інець	abɣʲinʲetsʲ
аба	aba
абабіцца	ababʲitstsa
абабіць	ababʲitsʲ
абавязак	abajvjazak
абавязак	abavjaza
абавязак	abavʲazak
абавязана	abavjazana
абавязаны	apavjazanɨ
абавязацельства	abavʲazatsʲelʲstva
абавязаў	abavjazau
абавязвацца	abavjatsvatsːo
абавязваць	abavjatsvatsʲ
абавязковае	abavjaskovɨʲa
абавязковасьць	abavjazkovaztsʲ
абавязковы	abavʲaskovɨ
абавязкі	abavjaskʲi
абавітая	abavitaja
абагачэнне	abaɣatʂɨnnʲa
абагаўленьне	abaɣau̯lʲennʲe
абагаўляць	abɨɣau̯lʲatsʲ
абагналі	abaɣnaɫʲi
абагнаць	abagnatsʲ
абагрэць	abaxrɛtsʲ
абагульненні	aboɣuɫʲnʲennʲe
абагульненьне	aboɣuɫʲnʲennʲe
абагульняць	abaɣulʲnʲatsʲ
абагульніць	abaɣulʲnʲitsʲ
абадралі	abadralʲi
абадраньне	abadranʲːe
абажур	abaʐur
абазначаны	abaznatʂanu
абазначаць	aboznatʂajutsʲ
абазначэнні	abaznatʂɛnnʲi
абазначэньне	aboznatʂɛnnʲe
абак	abak
абакуленьне	abokulʲennʲe
абакульвацца	abakulʲvatsːo
абакуліцца	abakulʲitsːa
абакуліць	abakulʲitsʲ
абалона	abaɫona
абалонка	abaɫonka
абалонкі	abalonkʲi
абалоны	aboɫonɨ
абама	abama
абамлела	abamlʲeɫa
абамленьне	abamlʲennʲe
абамлець	abɨmlʲetsʲ
абанемент	abanʲemʲent
абапал	abapau̯
абапал	abapaɫ
абапольна	abapolʲna
абапіраецца	abapjiraʲetstsa
абапірацца	abapʲiratsːa
абараначак	abaranatsak
абаранкі	abarankʲi
абараняецца	abaranʲaʲetstsa
абараняцца	abaranʲatsːa
абараняцца	oboronʲatsːa
абараняць	abaranʲatsʲ
абараніцца	abaranʲitstsa
абараніць	abaranʲitsʲ
абарачацца	abaratʂatsːa
абарачэння	abarotʂɛnnʲa
абарона	abarona
абаронена	abaronʲana
абаронка	abaronka
абароннага	abaronnaɣa
абаронны	ɑbaronnɨ
абарону	abaronu
абаронцы	aparontsɨ
абарончую	abarontʂuju
абарончым	abarontʂɨm
абарончыя	abarontʂɨʲa
абароны	abaronɨ
абарот	abarot
абаротных	abarotnɨx
абароту	abarotu
абат	abat
абатыса	abatɨsa
абацтва	abatstva
абач	abatʃ
аббегчы	abʲextʂɨ
аббрахаваць	abraxavatsʲ
аббягаць	abbʲaɣatsʲ
аббізуніць	abbʲizunʲitsʲ
абвадныя	abvadnɨja
абвал	ˈabvˈɑɫ
абвальваючы	abvaɫʲvaʲutʂɨ
абваліцца	abvalʲitstsa
абвастраюцца	abvastraʲetsːo
абвергнуць	abvʲerxnutsʲ
абверчаных	abvjertʂanɨx
абвестка	ˈabvˈestka
абвешчана	abvʲeʂtʂana
абвозіць	abvozʲitsʲ
абвугляроджванне	advuxlʲarodʂvanʲːe
абвыклы	apvɨklɨ
абвыкнуць	apʐɨknutsʲ
абвяла	abvjala
абвянчаць	abvintʂatsʲ
абвяшчаць	abvʲaʂtʂatsʲ
абвяшчэння	obvjaʂtʂɛnnʲa
абвінавальны	abvʲinavaɫʲnɨ
абвінавальнік	abvinavoɫʲnʲig
абвінаваціць	abvʲinavatsʲitsʲ
абвінавачаная	abvʲinavatʂanaja
абвінавачаны	abvʲinavatʂanɨ
абвінавачваць	abvʲinavatʂvatsʲ
абвінаньне	abvʲinannʲe
абвінацца	abvinatsːa
абвінуты	abvʲinutɨ
абвінуцца	apvˈinutstsʌ
абвісаць	abvisatsʲ
абвіслы	abviesɫɨ
абвіхнуцца	abvʲixnutsːa
абгабляваны	abxablʲavonɨ
абгаварыць	abɣavarɨtsʲ
абгавор	abɣavor
абгаворвацца	abxovorvatsːo
абгаворваць	abɣavorvatsʲ
абгаленьне	abɣalʲennʲe
абгалець	abɨɣolʲetsʲ
абганіць	abɣanʲitsʲ
абгароджваць	apɣarotʂɨvatsʲ
абгледжваць	abɨɣlʲedʂvatsʲ
абгледзець	abɨɣlʲedzʲetsʲ
абгляданьне	abɣlʲadannʲe
абгойсаць	abɣojsatsʲ
абголены	abɣvolʲenɨ
абгрызьці	abɣrɛsʲtsʲi
абдараваць	abdaraɫotsʲ
абдараваць	abdarovatsʲ
абдзіркі	abdzʲirkʲi
абдулы	abduɫɪ
абдуманасьць	abdumanasʲtsʲ
абдумаць	abdumaʲtsʲ
абдумваць	abdumvatsʲ
абдурыць	abturɨʲtsʲ
абдымаць	abdɨmatsʲ
абдымкам	abdɨmkam
абед	abʲet
абедам	abʲedam
абедаць	abʲedatsʲ
абедаў	abʲedau̯
абедзве	abʲedzʲvʲe
абедзвюм	abʲedzʲvʲum
абедзвюма	abedzvuma
абедзвюма	abʲedzʲvʲuma
абедзвюх	abʲedzʲvux
абедзвюх	abʲedzʲvʲux
абедзе	abʲedzʲe
абеду	abʲedu
абезгалоўліванне	abʲezgaɫou̯lʲivanʲːe
абеззаражаны	abʲesaraʐanɨ
абезнадзеены	abʲeznadsʲejanɨ
абезнадзейваць	abʲezˈnʲadzʲejvatsʲ
абезнадзеіцца	abʲeznadzʲeʲetsːa
абеліск	abɛliz
аберуч	abʲerutsʲ
аберуч	abʲerutʂ
абея	abjejɐ
абжаліць	abzalʲitsʲ
абжор	abʂor
абкарнаць	apkɐrnatsʲ
абклалі	apgɫaɫʲi
абкласьці	apkɫasˈtsʰi
абкрасьляць	abkroslʲatsʲ
абкружаны	abkruʐanɨ
абкружаў	abkruʐaw
абкружваць	obkruʐvatsʲ
абкрывавіць	abkrɨvavʲitsʲ
абкрывяніць	abkrɨvjanʲitsʲ
абкрэсьліць	apkrɛsɫʲitsʲ
абкутаць	apkɫtatsʲ
абкітаваць	abkʲidavatsʲ
абкітоўваць	apkʲidou̯vatsʲ
абкітоўка	abkʲidou̯ka
абкітоўка	apkʲitou̯ka
аблавах	abɫavax
аблавухі	abɫavuxi
аблам	ˈabɫam
аблапіць	apɫapʲitsʲ
абласны	obɫasnɨ
абласным	abɫasnɨm
абласныя	abɫosnɨja
аблашчаная	abɫaʂtanaja
