ং	ŋ
অঁকোল	ɔkol
অঁকোল	ɔ̃kol
অংগুস্তানা	ɔŋgust̪anaˑ
অংশ	ɔŋʃoˑ
অংশক	ɔŋʃɔk
অংশমান	ɔŋʃɔman
অংশল	ɔŋʃɔl
অংশাবতার	ɔŋʃabot̪aɹ
অংশাবতার	ɔŋʃabot̪aɾ
অংশু	ɔŋʃuˑ
অংশুল	ɔŋʃul
অংশুশিরা	ɔŋʃuʃiɹaˑ
অংশুশিরা	ɔŋʃuʃiɾaˑ
অংহ	ɔŋhoˑ
অই	oi̯
অওসৎ	ɔo̯sɔt̪
অওসৎ	ɔo̯ʃɔt̪
অকথা	ɔkɔt̪ʰaˑ
অকপটচিত্তে	ɔkɔpɔtːɕit̪ːeˑ
অকপটচিত্তে	ɔkɔpɔʈtʃit̪ːeˑ
অকমনীয়	ɔkɔmoni̯oˑ
অকম্পিত	ɔkɔmpit̪oˑ
অকরণ	ɔkɹon
অকরণ	ɔkɾon
অকরুণ	ɔkoɹun
অকরুণ	ɔkoɾun
অকর্তা	ɔkɔɹt̪aˑ
অকর্তা	ɔkɔɾt̪aˑ
অকর্মণ্য	ɔkɔɹmɔnːoˑ
অকর্মণ্য	ɔkɔɾmɔnːoˑ
অকর্মা	ɔkɔɹmaˑ
অকর্মা	ɔkɔɾmaˑ
অকর্ষিত	ɔkɔɹʃit̪oˑ
অকর্ষিত	ɔkɔɾʃit̪oˑ
অকল	ɔkɔl
অকলঙ্ক	ɔkɔloŋkoˑ
অকলঙ্কিত	ɔkɔloŋkit̪oˑ
অকলঙ্কী	ɔkɔloŋkiˑ
অকলমন্দ	ɔkolmɔnd̪
অকলমন্দ	ɔkolmɔnd̪oˑ
অকল্ক	ɔkɔlkɔˑ
অকল্কা	ɔkɔlkaˑ
অকল্পনা	ɔkɔlpɔnaˑ
অকল্মষ	ɔkɔlmɔʃ
অকল্যাণ	ɔkɔllan
অকল্যাণকর	ɔkɔlːankɔɹ
অকল্যাণকর	ɔkɔlːankɔɾ
অকল্যাণকারিণী	ɔkɔlːankaɹiniˑ
অকল্যাণকারিণী	ɔkɔlːankaɾiniˑ
অকস্মাৎ	ɔkɔʃːat̪
অকাজ	ɔkadʑ
অকাজ	ɔkadʒ
অকাট	ɔkat
অকাট	ɔkaʈ
অকাট্য	ɔkatːoˑ
অকাট্য	ɔkaʈːoˑ
অকাঠা	ɔkatʰaˑ
অকাঠা	ɔkaʈʰaˑ
অকাণ্ড	ɔkandɔˑ
অকাণ্ড	ɔkanɖɔˑ
অকাণ্ডে	ɔkandeˑ
অকাণ্ডে	ɔkaɳɖeˑ
অকাতর	ɔkat̪ɔɹ
অকাতর	ɔkat̪ɔɾ
অকাতরে	ɔkat̪ɔɹeˑ
অকাতরে	ɔkat̪ɔɾeˑ
অকাম	ɔkam
অকাম্য	ɔkamːoˑ
অকার	ɔkaɹ
অকার	ɔkaɾ
অকারণ	ɔkaɹon
অকারণ	ɔkaɾon
অকারণে	ɔkaɹɔneˑ
অকারণে	ɔkaɾɔneˑ
অকারত	ɔkaɹɔt̪
অকারত	ɔkaɾɔt̪
অকারাদি	ɔkaɹad̪iˑ
অকারাদি	ɔkaɾad̪iˑ
অকারান্ত	ɔkaɹant̪oˑ
অকারান্ত	ɔkaɾant̪oˑ
অকার্য	ɔkaɹdʑoˑ
অকার্য	ɔkaɾdʒoˑ
অকাল	ɔkal
অকালপক্বতা	ɔkalpɔkːɔt̪aˑ
অকালবোধন	ɔkalbod̪ʱɔn
অকালমৃত্যু	ɔkalmɹit̪ːuˑ
অকালমৃত্যু	ɔkalmɾit̪ːuˑ
অকালসন্ধ্যা	ɔkalɔʃɔnd̪ʱaˑ
অকালে	ɔkaleˑ
অকিঞ্চনতা	ɔkintɕɔnot̪aˑ
অকিঞ্চনতা	ɔkintʃɔnot̪aˑ
অকিঞ্চনত্ব	ɔkintɕɔnot̪ːoˑ
অকিঞ্চনত্ব	ɔkintʃɔnot̪ːoˑ
অকিঞ্চিৎ	ɔkintɕit̪
অকিঞ্চিৎ	ɔkintʃit̪
অকিঞ্চিৎকরতা	ɔkintɕit̪kɔɹot̪aˑ
অকিঞ্চিৎকরতা	ɔkintʃit̪kɔɾot̪aˑ
অকীর্তিকর	ɔkiɹt̪ikɔɹ
অকীর্তিকর	ɔkiɾt̪ikɔɾ
অকুটিলতা	ɔkutilɔt̪aˑ
অকুটিলতা	ɔkuʈilɔt̪aˑ
অকুণ্ঠিতচিত্ত	ɔkuntʰit̪ɔtɕit̪ːoˑ
অকুণ্ঠিতচিত্ত	ɔkuɳʈʰit̪ɔtʃit̪ːoˑ
অকুণ্ঠিতচিত্তে	ɔkuntʰit̪ɔtɕit̪ːeˑ
অকুণ্ঠিতচিত্তে	ɔkuɳʈʰit̪ɔtʃit̪ːeˑ
অকৃতকার্যতা	ɔkŕt̪ɔkaɹdʑɔt̪aˑ
অকৃতকার্যতা	ɔkŕt̪ɔkaɾdʒɔt̪aˑ
অকেশ	ɔkeʃ
অকোবিদ	ɔkobid̪
অকৌশল	ɔkou̯ʃɔl
অক্কা	ɔkːaˑ
অক্টোপাস	ɔktopaʃ
অক্টোপাস	ɔkʈopaʃ
অক্টোবর	ɔktobɔɹ
অক্টোবর	ɔkʈobɔɾ
অক্ত	ɔkt̪oˑ
অক্রিয়কর্মা	ɔkɹi̯ɔkɔɹmaˑ
অক্রিয়কর্মা	ɔkɾi̯ɔkɔɾmaˑ
অক্রিয়ানিষ্ঠ	ɔkɹi̯anistʰoˑ
অক্রিয়ানিষ্ঠ	ɔkɹi̯aniʃtʰoˑ
অক্রিয়ানিষ্ঠ	ɔkɾi̯aniʂʈʰoˑ
অক্রিয়ান্বিত	ɔkɹi̯anːit̪oˑ
অক্রিয়ান্বিত	ɔkɾi̯anːit̪oˑ
অক্রিয়াসক্ত	ɔkɹi̯aʃɔkt̪oˑ
অক্রিয়াসক্ত	ɔkɾi̯aʃɔkt̪oˑ
অক্ষ	ɔkʰːoˑ
অক্ষবৃত্ত	ɔkʰːɔbɹit̪ːoˑ
অক্ষবৃত্ত	ɔkʰːɔbɾit̪ːoˑ
অক্ষয়	ɔkʰːɔe̯
অক্ষয়কীর্তি	ɔkʰːɔe̯kiɹt̪iˑ
অক্ষয়কীর্তি	ɔkʰːɔe̯kiɾt̪iˑ
অক্ষরডম্বর	ɔkʰːɔɹodɔmbɔɹ
অক্ষরডম্বর	ɔkʰːɔɾoɖɔmbɔɾ
অক্ষরবৃত্ত	ɔkkʰɔɹbɹit̪t̪oˑ
অক্ষরবৃত্ত	ɔkkʰɔɾbɾit̪t̪oˑ
অক্ষরমালা	ɔkʰːɔɹmalaˑ
অক্ষরমালা	ɔkʰːɔɾmalaˑ
অক্ষরেখা	ɔkʰːɔɹekʰaˑ
অক্ষরেখা	ɔkʰːɔɾekʰaˑ
অক্ষশক্তি	ɔkʰːɔʃɔkt̪iˑ
অক্ষি	okʰːiˑ
অক্ষি	ɔkʰːiˑ
অক্ষিলোম	ɔkʰːilom
অক্ষিশালাক্য	ɔkʰːiʃalakːoˑ
অক্ষীয়	ɔkʰːi̯oˑ
অখিলেশ	ɔkʰileʃ
অগচ্ছিত	ɔgɔtɕʰːit̪oˑ
অগচ্ছিত	ɔgɔtʃʰːit̪oˑ
অগস্ট	ɔgɔst
অগস্ট	ɔgɔstoˑ
অগস্ট	ɔgɔsʈ
অগস্ট	ɔgɔsʈoˑ
অগস্ট	ɔgɔʂʈ
অগস্ট	ɔgɔʂʈoˑ
অগাষ্ট	ɔgast
অগাষ্ট	ɔgasʈ
অগাষ্ট	ɔgaʂʈ
অগোছালো	ɔgotɕʰaloˑ
অগোছালো	ɔgotʃʰaloˑ
অগোপনীয়	ɔgoponi̯oˑ
অগ্নি	ogniˑ
অগ্নিকাণ্ড	ɔgnikandoˑ
অগ্নিকাণ্ড	ɔgnikaɳɖoˑ
অগ্নিকুণ্ড	ɔgnikundoˑ
অগ্নিকুণ্ড	ɔgnikuɳɖoˑ
অগ্নিদাহ্য	ɔgnid̪adʑʱːoˑ
অগ্নিদাহ্য	ɔgnid̪adʒdʒʱoˑ
অগ্নিদাহ্য	ɔgnid̪az̪̪dʒʱoˑ
অগ্নিমূল্য	ɔgnimullɔˑ
অগ্র	ɔgɹoˑ
অগ্র	ɔgɾoˑ
অগ্রজিহ্বা	ɔgɹɔdʑiu̯bʱaˑ
অগ্রজিহ্বা	ɔgɹɔdʑiu̯vaˑ
অগ্রজিহ্বা	ɔgɾɔdʒiu̯bʱaˑ
অগ্রজিহ্বা	ɔgɾɔdʒiu̯vaˑ
অগ্রসূচনা	ɔggɹɔʃutɕɔnaˑ
অগ্রসূচনা	ɔggɾɔʃutʃɔnaˑ
অগ্রহায়ণ	ɔgɹohae̯on
অগ্রহায়ণ	ɔgɾohae̯on
অগ্র‍্য	ɔgɾɔe̯oˑ
অঘ	ɔg
অঘ্রান	ɔgʱɹan
অঘ্রান	ɔgʱɾan
অঙ্গন	ɔŋgon
অঙ্গার	ɔŋgaɹ
অঙ্গার	ɔŋgaɾ
অঙ্গুষ্ঠ	ɔŋgustʰoˑ
অঙ্গুষ্ঠ	ɔŋguʂʈʰoˑ
অঙ্গুষ্ঠ	ɔŋguʃtʰoˑ
অচেনা	ɔtɕenaˑ
অচেনা	ɔtʃenaˑ
অছি	ɔsiˑ
অছি	ɔtɕʰiˑ
অছি	ɔtʃʰiˑ
অজগর	ɔdʑogɔɹ
অজগর	ɔdʒogɔɾ
অজুহাত	ɔdʑuhat̪
অজুহাত	ɔd̪zuhat̪
অজুহাত	ɔdʒuhat̪
অজুহাত	ɔzuhat̪
অঞ্চল	ɔntɕɔl
অঞ্চল	ɔntʃɔl
অঞ্জলি	ɔndʑoliˑ
অঞ্জলি	ɔndʒoliˑ
অড়হর	ɔɹhɔɹ
অড়হর	ɔɹohɔɹ
অড়হর	ɔɽhɔɾ
অড়হর	ɔɽohɔɾ
অড়হর	ɔɾhɔɾ
অড়হর	ɔɾohɔɾ
অণ্ড	ɔndoˑ
অণ্ড	ɔɳɖoˑ
অণ্ডজ	ɔndodʑ
অণ্ডজ	ɔɳɖodʒ
অতিথি	ot̪it̪ʰiˑ
অতিরিক্ত	ot̪iɹikt̪oˑ
অতিরিক্ত	ot̪iɾikt̪oˑ
অতীত	ot̪it̪
অত্যাচার	ot̪ːatɕaɹ
অত্যাচার	ot̪ːatʃaɾ
অথবা	ɔt̪ʰobaˑ
অদৃশ্য	ɔd̪ːɹiʃːoˑ
অদৃশ্য	ɔd̪ːɾiʃːoˑ
অধর্ম	ɔd̪ʱɔɹmɔˑ
অধর্ম	ɔd̪ʱɔɾmɔˑ
অধিকার	od̪ʱikaɹ
অধিকার	od̪ʱikaɾ
অধিকার	ɔd̪ʱikaɹ
অধিকার	ɔd̪ʱikaɾ
অধৈর্য	ɔdʱoi̯rdʒːo
অধ্যয়ন	ɔd̪ʱːɔe̯on
অধ্যায়	ɔd̪ʱːae̯
অনন্যা	ɔnonːaˑ
অনার্য	ɔnaɹdʑoˑ
অনার্য	ɔnaɾdʒoˑ
অনুগত	onugɔt̪oˑ
অনুনাসিক	onunaʃik
অনুবাদ	onubad̪
অনুবাদক	onubad̪ɔk
অনুভূতি	onubʱut̪iˑ
অনুভূতি	onuvut̪iˑ
অনুমতি	onumot̪iˑ
অনুরাগ	onuɹag
অনুরাগ	onuɾag
অনুরোধ	onuɹod̪
অনুরোধ	onuɾod̪
অনুরোধে	onuɹod̪ʱeˑ
অনুরোধে	onuɾod̪ʱeˑ
অনুষ্ঠান	onustʰan
অনুষ্ঠান	onuʂʈʰan
অনুষ্ঠান	onuʃtʰan
অনুস্বর	onuʃːɔɹ
অনুস্বর	onuʃːɔɾ
অনুস্বার	onuʃːaɹ
অনুস্বার	onuʃːaɾ
অনেক	ɔnek
অন্টারিও	ɔntaɹi̯oˑ
অন্টারিও	ɔɳʈaɾi̯oˑ
অন্তর	ɔnt̪ɔɹ
অন্তর	ɔnt̪ɔɾ
অন্ধকার	ɔnd̪ʱokaɹ
অন্ধকার	ɔnd̪ʱokaɾ
অন্ধপ্রায়	ɔnd̪ʱɔpɹae̯
অন্ধপ্রায়	ɔnd̪ʱɔpɾae̯
অন্ধ্র	ɔnd̪ʱɹɔˑ
অন্ধ্র	ɔnd̪ʱɾɔˑ
অন্ধ্রপ্রদেশ	ɔnd̪ʱoɹpɹod̪eʃ
অন্ধ্রপ্রদেশ	ɔnd̪ʱoɾpɾod̪eʃ
অন্ধ্রপ্রদেশ	ɔnd̪ʱɹopɹod̪eʃ
অন্ধ্রপ্রদেশ	ɔnd̪ʱɾopɾod̪eʃ
অন্ন	ɔnːoˑ
অন্বেষণ	ɔnːeʃɔn
অন্য	onːoˑ
অন্যতম	onːot̪ɔmoˑ
অপরাধ	ɔpoɹad̪
অপরাধ	ɔpoɾad̪
অপারেশন	ɔpaɹeʃon
অপারেশন	ɔpaɾeʃon
অপিনিহিতি	ɔpinihit̪iˑ
অপেক্ষা	ɔpekːʰaˑ
অপেক্ষাকৃত	ɔpekːʰakɾit̪ɔ̝ˑ
অপ্সরা	ɔpʃɔɹaˑ
অপ্সরা	ɔpʃɔɾaˑ
অফিস	ɔfis
অফিস	ɔfiʃ
অফিস	ɔphis
অবগুন্ঠন	ɔboguntʰon
অবগুন্ঠন	ɔboguɳʈʰon
অবতার	ɔbot̪aɹ
অবতার	ɔbot̪aɾ
অবলম্বন	ɔbolɔmbon
অবশ্য	ɔboʃːoˑ
অবাক	ɔbäk
অবাক	ɔbäːk
অবিচার	ɔbitɕaɹ
অবিচার	ɔbitʃaɾ
অব্জ	ɔbdʑoˑ
অব্জ	ɔbdʒoˑ
অব্দ	ɔbd̪oˑ
অভিজ্ঞ	obʱigːõˑ
অভিজ্ঞ	ovigːoˑ
অভিজ্ঞ	ovigːõˑ
অভিজ্ঞতা	obʱigːɔt̪aˑ
অভিজ্ঞতা	ovigːɔt̪aˑ
অভিধান	obid̪ʱan
অভিধান	obʱid̪ʱan
অভিধান	ovid̪ʱan
অভিনেতা	ɔbʱinet̪aˑ
অভিনেতা	ɔvinet̪aˑ
অভিনেত্রী	ɔbʱinet̪ːɹiˑ
অভিনেত্রী	ɔbʱinet̪ːɾiˑ
অভিনেত্রী	ɔvinet̪ːɹiˑ
অভিনেত্রী	ɔvinet̪ːɾiˑ
অভিমত	obʱimɔt̪
অভিমত	obʱimɔt̪oˑ
অভিমত	ovimɔt̪
অভিমত	ovimɔt̪oˑ
অভিমন্যু	ɔbʱimɔnːuˑ
অভিমন্যু	ɔvimɔnːuˑ
অভিযোগ	obʱidʑog
অভিযোগ	obʱidʒog
অভিযোগ	ovidʑog
অভিযোগ	ovidʒog
অভিশ্রুতি	ɔbʱisɹut̪iˑ
অভিশ্রুতি	ɔbʱisɾut̪iˑ
অভিশ্রুতি	ɔvisɹut̪iˑ
অভিশ্রুতি	ɔvisɾut̪iˑ
অভিষিক্ত	ɔbʱiʃikt̪oˑ
অভিষিক্ত	ɔviʃikt̪oˑ
অভিষেক	obʱiʃek
অভিষেক	oviʃek
অভিস্রবণ	ɔbʱisɹɔbon
অভিস্রবণ	ɔbʱisɾɔbon
অভিস্রবণ	ɔvisɹɔbon
অভিস্রবণ	ɔvisɾɔbon
অভীষ্ট	ɔbʱiʂʈoˑ
অভীষ্ট	ɔbʱiʃtoˑ
অভীষ্ট	ɔvistoˑ
অভীষ্ট	ɔviʂʈoˑ
অভ্র	ɔbʱɹoˑ
অভ্র	ɔbʱɾoˑ
অভ্র	ɔvɹoˑ
অভ্র	ɔvɾoˑ
অমন	ɔmon
অমিতাভ	ɔmit̪ab
অমিতাভ	ɔmit̪av
অয়ন	ɔe̯on
অয়স্কান্ত	ɔe̯oskant̪oˑ
অযোধ্যা	ɔdʑod̪ʱːaˑ
অযোধ্যা	ɔdʒod̪ʱːaˑ
অরণ্য	ɔɹonːoˑ
অরণ্য	ɔɾonːoˑ
অরিজিনাল	ɔɹidʑinal
অরিজিনাল	ɔɾidʒinal
অরিত্র	ɔɾit̪ːɾoˑ
অরুণ	oɾun
অর্ঘ্য	ɔɹgʱːoˑ
অর্ঘ্য	ɔɹgʱːɔˑ
অর্ঘ্য	ɔɾɠːɔˑ
অর্ঘ্য	ɔɾgʱːoˑ
অর্ণব	ɔɹnob
অর্ণব	ɔɾnob
অর্থ	ɔɹt̪ʰoˑ
অর্থ	ɔɾt̪ʰoˑ
অর্থাৎ	ɔɹt̪ʰat̪
অর্থাৎ	ɔɾt̪ʰat̪
অর্ধমৃত	ɔɹd̪ʱomɹit̪oˑ
অর্ধমৃত	ɔɾd̪ʱomɾit̪oˑ
অর্পিতা	ɔɹpit̪aˑ
অর্পিতা	ɔɾpit̪aˑ
অলস	ɔloʃ
অলাত	ɔlat̪
অলৌকিক	ɔlou̯kik
অশিক্ষিত	ɔʃikʰːit̪oˑ
অশুচি	ɔʃutɕiˑ
অশুচি	ɔʃutʃiˑ
অশ্বগন্ধা	ɔʃːɔgɔnd̪ʱaˑ
অশ্বেত	ɔʃːet̪
অষ্টাশি	ɔstaʃiˑ
অষ্টাশি	ɔʂʈaʃiˑ
অষ্টাশি	ɔʃtaʃiˑ
অসভ্য	ɔʃobʱːoˑ
অসভ্য	ɔʃovːoˑ
অসমীয়া	ɔʃomi̯aˑ
অসি	ɔʃiˑ
অসিদ্ধ	ɔʃid̪ʱːoˑ
অসিয়ত	ɔʃi̯ɔt̪
অসীমা	ɔʃimaˑ
অসুখ	ɔʃuːk
অসুখ	ɔʃuːkʰ
অসুস্থ	ɔʃust̪ʰoˑ
অস্ট্রিয়া	ɔstːɹi̯aˑ
অস্ট্রিয়া	ɔsʈːɾi̯aˑ
অস্ট্রিয়া	ɔʂʈːɾi̯aˑ
অস্ট্রেলিয়া	ɔstːɹeli̯aˑ
অস্ট্রেলিয়া	ɔsʈːɾeli̯aˑ
অস্ট্রেলিয়া	ɔʂʈːɾeli̯aˑ
অস্ত্র	ɔst̪ːɹoˑ
অস্ত্র	ɔst̪ːɾoˑ
অস্ত্রচিকিৎসা	ɔst̪ːɹotɕikit̪ʃaˑ
অস্ত্রচিকিৎসা	ɔst̪ːɾotʃikit̪ʃaˑ
অস্ত্রোপচার	ɔst̪ːɹopotɕaɹ
অস্ত্রোপচার	ɔst̪ːɾopotʃaɾ
অস্থি	ost̪ʰi
অস্থির	ɔst̪ʰiɹ
অস্থির	ɔst̪ʰiɾ
অস্পৃশ্যতা	ɔʃpɹiʃːɔt̪aˑ
অস্পৃশ্যতা	ɔʃpɾiʃːɔt̪aˑ
অহংকার	ɔhoŋkaɹ
অহংকার	ɔhoŋkaɾ
অহরহ	ɔhoɹɔhoˑ
অহরহ	ɔhoɾɔhoˑ
অহর্নিশি	ɔhoɹniʃiˑ
অহর্নিশি	ɔhoɾniʃiˑ
অ্যাদ্দিন	æd̪ːin
অ্যাদ্দিন	ɛd̪ːin
অ্যানথ্রাক্স	ænt̪ʰɹaks
অ্যানথ্রাক্স	ænt̪ʰɾaks
অ্যানিমে	ænimeˑ
অ্যানিমে	ɛnimeˑ
অ্যানিমেশন	ænimeʃɔn
অ্যানিমেশন	ɛnimeʃɔn
