আই	aɪ
আজি	azi
আঠ	aʈʰ
আমি	ami
আরু	aru
আহ	ah
ইয়াত	ijat
ইলিশ	iliʃ
এ	ɛ
ওখ	ukʰ
কঁহা	kɔ̃ha
কত	kɔt
কলম	kɔlɔm
কাগজ	kagɔz
কালি	kali
কি	ki
কিতাপ	kitap
কিন্তু	kintu
কিয়	kij
কৃষ্ণ	kriʃnɔ
কেনে	kɛnɛ
কোন	kon
কৰ	kɔr
কৰন্তু	kɔrɔntu
কৰিব	kɔrib
কৰিল	kɔril
কৰোঁ	kɔrʊ̃
খা	kʰa
খাওঁ	kʰaʊ̃
খানা	kʰana
খান্তু	kʰantʊ
খাব	kʰab
খাল	kʰal
গরম	gɔrɔm
গরু	gɔru
গল	gɔl
গাঁও	gãʊ
গাছ	gatʃ
ঘর	gʰɔr
ঘর	gʱor
চকু	sɔku
চকু	tʃoku
চল	sɔl
চাপৰ	sapɔr
চাৰি	sari
চৰাই	sɔraɪ
ছয়	sɔj
ছৱাল	sɔwal
জ্ঞান	gʲan
টা	ʈa
ঠাণ্ডা	ʈʰaɳɖa
তই	tɔɪ
তাই	taɪ
তাত	tat
তিন	tin
তুমি	tumi
তেনেহলে	tɛnɛhɔlɛ
দহ	dɔh
দাইদা	daɪda
দেখ	dɛkʰ
দেশ	dɛʃ
ধৰ	dʰɔr
ন	nɔ
নতুন	nɔtun
নদী	nɔdi
নাম	nam
নীলা	nila
নে	nɛ
পঢ়	pɔɽʰ
পাঁচ	pãs
পাইল	paɪl
পাও	paʊ
পানি	pani
পানী	pani
পাহাড়	pahaɽ
পুৰণা	purɔna
পৰ	pɔr
ফুল	pʰul
বগা	bɔga
বা	ba
বান্দর	bandɔr
বাবা	baba
বেয়া	beja
বেল	bel
বেল	bɛl
বোল	bol
বৰ	bɔr
ভাত	bʰat
ভাল	bʰal
মই	mɔɪ
মণিপুর	mɔɲipur
মা	ma
মাছ	mas
মাটি	maʈi
মানুহ	manuh
যদি	zɔdi
যা	dʒa
যাওঁ	dʒaʊ̃
যান্তু	dʒantʊ
যাব	dʒab
লিখ	likʰ
লৰা	lɔra
শুই	ʃui
সত্য	ʃɔtːɔ
সাত	ʃat
সেউজ	seuz
সো	so
সৰু	sɔru
হঁই	hɔ̃ɪ
হঁউ	hɔ̃u
হঁয়া	hɔ̃ja
হই	hɔɪ
হাত	hat
হাতী	hati
হালধীয়া	halɔdʲja
