а	a
абаджиев	ɐbɐdʒiɛf
авакум	ɐvɐkum
аврамов	ɐvramof
австралия	ɐfstralijɐ
австрия	afstrijɐ
агура	ɐɡurɐ
адам	adɐm
адам	ɐdam
адамс	adɐms
аерофлот	ɐɛrofɫɔt
азербайджан	ɐzɛrbɐjdʒa̟n
азия	azijɐ
айрин	ɐjrin
айрис	ajris
аладжов	ɐɫɐdʒɔf
албания	ɐɫbanijɐ
албена	ɐɫbɛnɐ
албърт	aɫbɐrt
александра	ɐlɛksandrɐ
александрия	ɐlɛksandrijɐ
александрия	ɐlɛksɐndrijɐ
александров	ɐlɛksandrof
алексиев	ɐlɛksiɛf
алексов	ɐlɛksof
алесандра	ɐlɛsandrɐ
алис	alis
алистър	ɐlistɐr
алисън	alisɐn
аллах	ɐɫɫax
алпи	aɫpi
алфонсо	ɐɫfɔnso
аманда	ɐmandɐ
америка	ɐmɛrikɐ
ана	anɐ
ангелина	ɐŋɡɛlinɐ
ангелов	aŋɡɛɫof
англия	aŋɡlijɐ
андора	ɐndɔrɐ
андрю	andrʲo̟
анелия	ɐnɛlijɐ
анелка	ɐnɛɫkɐ
анета	ɐnɛtɐ
анкара	ɐŋkarɐ
антарктида	ɐntɐrktidɐ
антарктидо	ɐntɐrktido
антоанета	ɐntoɐnɛtɐ
антон	ɐntɔn
антъни	antɐni
апостолов	ɐpɔstoɫof
арес	arɛs
аржентина	ɐrʒɛntinɐ
ариел	ariɛɫ
арика	ɐrikɐ
аристотел	ɐristɔtɛɫ
армения	ɐrmɛnijɐ
арсов	arsof
артър	artɐr
арчи	artʃi
асенов	ɐsɛnof
атанасов	ɐtɐnɐsof
атина	ɐtinɐ
афганистан	ɐvɡɐnistan
африка	afrikɐ
ашли	aʃli
б	b
б	bɛ
б	bɤ
бсп	bɛsɛpɛ
багдад	bɐɡdat
балкан	bɐɫkan
балчик	bɐɫtʃik
бальови	bɐlʲo̟vi
бангладеш	baŋɡɫɐdɛʃ
бангладеш	bɐŋɡɫɐdɛʃ
бахрейн	bɐxrɛjn
бачев	batʃɛf
бейли	bɛjli
