吖笨	aa˥ ban˨
丫叉	aa˥ caa˥
丫杈	aa˥ caa˥
椏杈	aa˥ caa˥
吖嗪	aa˥ ceon˨˩
吖啶	aa˥ ding˨
鴉佬恤	aa˥ lou˧˥ seot˥
鴉路恤	aa˥ lou˧˥ seot˥
吖嗎	aa˥ maa˧
吖嘛	aa˥ maa˧
吖嗱	aa˥ naa˨˩
鴉片	aa˥ pin˧
鴉片貿易	aa˥ pin˧ mau˨ jik˨
鴉片戰爭	aa˥ pin˧ zin˧ zang˥
丫頭	aa˥ tau˨˩
丫鬟	aa˥ waan˨˩
丫烏	aa˥ wu˥
鴉烏	aa˥ wu˥
丫烏婆	aa˥ wu˥ po˧˥
鴉烏婆	aa˥ wu˥ po˧˥
丫嗚婆	aa˥ wu˥ po˨˩
丫烏婆	aa˥ wu˨˩ po˥
鴉烏婆	aa˥ wu˨˩ po˥
鴉嘴卷尾	aa˥ zeoi˧˥ gyun˧˥ mei˩˧
鴉雀無聲	aa˥ zoek˧ mou˨˩ sing˥
啞巴	aa˧˥ baa˥
啞巴虧	aa˧˥ baa˥ kwai˥
啞點	aa˧˥ dim˧˥
啞鼓	aa˧˥ gu˧˥
啞口	aa˧˥ hau˧˥
啞口無言	aa˧˥ hau˧˥ mou˨˩ jin˨˩
啞人	aa˧˥ jan˨˩
啞語	aa˧˥ jyu˩˧
啞劇	aa˧˥ kek˨
啞鈴	aa˧˥ ling˨˩
啞佬	aa˧˥ lou˧˥
啞老師	aa˧˥ lou˩˧ si˥
啞謎	aa˧˥ mai˨˩
啞婆	aa˧˥ po˧˥
啞色	aa˧˥ sik˥
啞仔	aa˧˥ zai˧˥
啞仔食雲吞	aa˧˥ zai˧˥ sik˨ wan˨˩ tan˥
啞仔食黃蓮	aa˧˥ zai˧˥ sik˨ wong˨˩ lin˨˩
啞子食黃蓮	aa˧˥ zi˧˥ sik˨ wong˨˩ lin˨˩
啞終端	aa˧˥ zung˥ dyun˥
阿亞圖拉	aa˧ aa˧ tou˨˩ laai˥
亞歐大陸	aa˧ au˥ daai˨ luk˨
阿爸父	aa˧ baa˥ fu˨
阿爸	aa˧ baa˨˩
阿爸病咗	aa˧ baa˨˩ beng˨ zo˧˥
阿伯	aa˧ baak˧
亞伯達	aa˧ baak˧ daat˨
亞伯氏症	aa˧ baak˧ si˨ zing˧
亞跛	aa˧ bai˥
阿跛	aa˧ bai˥
阿跛托蔗	aa˧ bai˥ tok˧ ze˧
阿崩	aa˧ bang˥
阿崩叫狗	aa˧ bang˥ giu˧ gau˧˥
阿崩養狗	aa˧ bang˥ joeng˩˧ gau˧˥
阿崩買火石	aa˧ bang˥ maai˩˧ fo˧˥ sek˨
阿崩咬狗虱	aa˧ bang˥ ngaau˩˧ gau˧˥ sat˥
阿崩咬狗蝨	aa˧ bang˥ ngaau˩˧ gau˧˥ sat˥
阿崩劏羊	aa˧ bang˥ tong˥ joeng˨˩
亞比玉	aa˧ bei˧˥ juk˨
阿邊個	aa˧ bin˥ go˧
阿便	aa˧ bin˨
阿炳	aa˧ bing˧˥
阿保阿勝	aa˧ bou˧˥ aa˧ sing˧
呀布	aa˧ bou˧
阿布	aa˧ bou˧
阿布哈茲	aa˧ bou˧ haa˥ zi˥
亞差	aa˧ caa˥
阿叉	aa˧ caa˥
阿差	aa˧ caa˥
阿燦	aa˧ caan˧
阿超着褲	aa˧ ciu˥ zoek˧ fu˧
阿塞拜彊	aa˧ coi˧ baai˧ goeng˥
阿塞拜疆	aa˧ coi˧ baai˧ goeng˥
阿閦佛	aa˧ cuk˥ fat˨
阿大	aa˧ daai˧˥
亞達薛西	aa˧ daat˨ sit˧ sai˥
阿特拉斯	aa˧ dak˨ laai˥ si˥
亞斗官	aa˧ dau˧˥ gun˥
阿斗官	aa˧ dau˧˥ gun˥
阿竇	aa˧ dau˨
阿爹	aa˧ de˥
阿丁	aa˧ ding˥
阿頂	aa˧ ding˧˥
亞東魚	aa˧ dung˥ jyu˧˥
阿凡達	aa˧ faan˨˩ daat˨
阿凡提	aa˧ faan˨˩ tai˨˩
阿法爾	aa˧ faat˧ ji˩˧
阿飛	aa˧ fei˥
阿非利加	aa˧ fei˥ lei˨ gaa˥
阿房宮	aa˧ fong˨˩ gung˥
阿富汗	aa˧ fu˧ hon˨
阿富汗語	aa˧ fu˧ hon˨ jyu˩˧
阿奎納	aa˧ fui˥ naap˨
阿福	aa˧ fuk˥
阿福阿壽	aa˧ fuk˥ aa˧ sau˨
亞加力膠	aa˧ gaa˥ lik˥ gaau˥
阿加力膠	aa˧ gaa˥ lik˥ gaau˥
亞加力	aa˧ gaa˥ lik˨
阿根廷	aa˧ gan˥ ting˨˩
亞急性	aa˧ gap˥ sing˧
亞狗亞貓	aa˧ gau˧˥ aa˧ maau˥
阿狗阿貓	aa˧ gau˧˥ aa˧ maau˥
啊哥	aa˧ go˥
阿哥	aa˧ go˥
亞該亞	aa˧ goi˥ aa˧
亞姑	aa˧ gu˥
阿姑	aa˧ gu˥
阿公	aa˧ gung˥
阿公嘅	aa˧ gung˥ ge˧
亞軍	aa˧ gwan˥
阿均賣大頭	aa˧ gwan˥ maai˨ daai˨ tau˨˩
亞哈斯	aa˧ haa˥ si˥
啊吓	aa˧ haa˧˥
阿克拉	aa˧ hak˥ laai˥
亞克力	aa˧ hak˥ lik˨
阿肯色	aa˧ hang˧˥ sik˥
阿合奇	aa˧ hap˨ kei˨˩
啊好恐怖	aa˧ hou˧˥ hung˧˥ bou˧
啊好無語	aa˧ hou˧˥ mou˨˩ jyu˩˧
啊好怕	aa˧ hou˧˥ paa˧
啊好討厭	aa˧ hou˧˥ tou˧˥ jim˧
阿一	aa˧ jat˥
亞爺	aa˧ je˨˩
阿爺	aa˧ je˨˩
亞裔	aa˧ jeoi˨
亞姨	aa˧ ji˥
阿姨	aa˧ ji˥
阿二	aa˧ ji˧˥
阿爾巴尼亞	aa˧ ji˩˧ baa˥ nei˨˩ aa˧
阿爾伯塔	aa˧ ji˩˧ baak˧ taap˧
阿爾卑斯山	aa˧ ji˩˧ bei˥ si˥ saan˥
阿爾卑斯山脈	aa˧ ji˩˧ bei˥ si˥ saan˥ mak˨
亞爾菲斯	aa˧ ji˩˧ fei˥ si˥
阿爾蓋達	aa˧ ji˩˧ goi˧ daat˨
阿爾袞琴	aa˧ ji˩˧ gwan˧˥ kam˨˩
阿爾及利亞	aa˧ ji˩˧ kap˨ lei˨ aa˧
阿育吠陀	aa˧ juk˨ fai˨ to˨˩
亞鉛	aa˧ jyun˨˩
亞原子	aa˧ jyun˨˩ zi˧˥
阿妗	aa˧ kam˩˧
阿給	aa˧ kap˥
阿舅	aa˧ kau˩˧
阿奇霉素	aa˧ kei˨˩ mui˨˩ sou˧
亞孻	aa˧ laai˥
阿孻	aa˧ laai˥
阿剌伯	aa˧ laai˥ baak˧
阿拉伯	aa˧ laai˥ baak˧
阿拉伯數字	aa˧ laai˥ baak˧ sou˧ zi˨
阿拉米語	aa˧ laai˥ mai˩˧ jyu˩˧
阿拉摩	aa˧ laai˥ mo˥
阿拉斯加	aa˧ laai˥ si˥ gaa˥
阿蘭文	aa˧ laan˨˩ man˨˩
阿麗	aa˧ lai˨
亞硫酸	aa˧ lau˨˩ syun˥
阿列夫	aa˧ lit˨ fu˥
阿羅漢	aa˧ lo˨˩ hon˧
瓦努阿圖	aa˧ lou˩˧ aa˧ tou˨˩
阿聾送殯	aa˧ lung˨˩ sung˧ ban˧
阿聯酋	aa˧ lyun˨˩ jau˨˩
阿媽	aa˧ maa˥
阿媽都唔認得	aa˧ maa˥ dou˥ m˨˩ jing˨ dak˥
阿媽係女人	aa˧ maa˥ hai˨ neoi˩˧ jan˧˥
亞嫲	aa˧ maa˨˩
亞嬤	aa˧ maa˨˩
阿嫲	aa˧ maa˨˩
亞麻布	aa˧ maa˨˩ bou˧
亞麻仁	aa˧ maa˨˩ jan˨˩
亞麻酸	aa˧ maa˨˩ syun˥
亞麻子油	aa˧ maa˨˩ zi˧˥ jau˨˩
阿瑪尼	aa˧ maa˩˧ nei˨˩
阿馬遜	aa˧ maa˩˧ seon˧
亞馬遜河	aa˧ maa˩˧ seon˧ ho˨˩
亞馬孫河	aa˧ maa˩˧ syun˥ ho˨˩
阿曼	aa˧ maan˨
亞貓	aa˧ maau˥
阿貓阿狗	aa˧ maau˥ aa˧ gau˧˥
阿米巴	aa˧ mai˩˧ baa˥
阿米巴病	aa˧ mai˩˧ baa˥ beng˨
阿盟	aa˧ mang˨˩
阿乜人	aa˧ mat˥ jan˨˩
阿乜水	aa˧ mat˥ seoi˧˥
阿某某	aa˧ mau˩˧ mau˩˧
亞茂	aa˧ mau˨
阿茂	aa˧ mau˨
阿茂阿壽	aa˧ mau˨ aa˧ sau˨
亞茂整餅	aa˧ mau˨ zing˧˥ beng˧˥
阿茂整餅	aa˧ mau˨ zing˧˥ beng˧˥
亞美尼亞	aa˧ mei˩˧ nei˨˩ aa˧
阿美尼亞	aa˧ mei˩˧ nei˨˩ aa˧
亞麼膠	aa˧ mo˥ gaau˥
阿摩司書	aa˧ mo˥ si˥ syu˥
阿母	aa˧ mou˧˥
阿毛	aa˧ mou˨˩
亞妹	aa˧ mui˥
阿妹	aa˧ mui˧˥
阿穆爾河	aa˧ muk˨ ji˩˧ ho˨˩
阿們	aa˧ mun˨˩
阿門	aa˧ mun˨˩
阿奶	aa˧ naai˥
阿難	aa˧ naan˨˩
啊你	aa˧ nei˩˧
阿女	aa˧ neoi˧˥
亞奀	aa˧ ngan˥
阿努比斯	aa˧ nou˩˧ bei˧˥ si˥
阿飄	aa˧ piu˥
阿婆	aa˧ po˨˩
阿婆賽跑	aa˧ po˨˩ coi˧ paau˧˥
亞婆髻	aa˧ po˨˩ gai˧
阿婆髻	aa˧ po˨˩ gai˧
阿普爾頓	aa˧ pou˧˥ ji˩˧ deon˨
阿三	aa˧ saam˥
阿生	aa˧ saang˥
亞撒	aa˧ saat˧
亞細亞	aa˧ sai˧ aa˧
阿嬸	aa˧ sam˧˥
亞砷酸	aa˧ san˥ syun˥
阿什拉維	aa˧ sap˨ laai˥ wai˨˩
亞瑟士	aa˧ sat˥ si˨
阿蛇	aa˧ se˨˩
