㓟皮	pʰɐi̯˥pʰei̯˨˩
㓟菠蘿皮	pʰɐi̯˥pɔː˥lɔː˨˩pʰei̯˨˩
㓟蘋果	pʰɐi̯˥pʰeŋ˨˩kʷɔː˧˥
㓟鉛筆	pʰɐi̯˥jyːn˨˩pɐt̚˥
㓤個窿	kɐt̚˥kɔː˧lʊŋ˥
㓤傷	kɐt̚˥sœːŋ˥
㓤出血	kɐt̚˥tsʰɵt̚˥hyːt̚˧
㓤喉	kɐt̚˥hɐu̯˨˩
㓤肉	kɐt̚˥jʊk̚˨
㓤親	kɐt̚˥tsʰɐn˥
㓤親手	kɐt̚˥tsʰɐn˥sɐu̯˧˥
㔆手	tsʰaːm˩˧sɐu̯˧˥
㕵㕵狗	wɐu̯˥wɐu̯˥kɐu̯˧˥
㗇㗇霸霸	haː˥haː˥paː˧paː˧
㗇人	haː˥jɐn˨˩
㗇人㗇物	haː˥jɐn˨˩haː˥mɐt̚˨
㗇得就㗇	haː˥tɐk̚˥tsɐu̯˨haː˥
㗎仔	kaː˨˩tsɐi̯˧˥
㗎你	kaː˧nei̯˩˧
㗎佬	kaː˨˩lou̯˧˥
㗎咋	kaː˧tsaː˧
㗎啦	kaː˨˩laː˥
㗎喇	kaː˧laː˧
㗎喇咩	kɐ˧la˧mɛː˥
㗎喇噃	kɐ˧la˧pɔː˧
㗎喎	kaː˧wɔː˧
㗎嗟	kaː˧˥tsɛː˥
㗎嘛	kaː˥maː˧
㗎妹	kaː˨˩muːi̯˥
㗎文	kaː˨˩mɐn˧˥
㗎話	kaː˨˩waː˧˥
㗎頭	kaː˨˩tʰɐu̯˨˩
㗱㗱聲	tsɛːp̚˨˩tsɛːp̚˧˥sɛːŋ˥
㗲㗲	waːk̚˥waːk̚˥
㗾㗾聲	hœː˨˩hœː˧˥sɛːŋ˥
㗾哆	hœː˨˩tœː˥
㙟東	lɔːŋ˩˧tʊŋ˥
㚻奸	kɐi̯˥kaːn˥
㜺鬼	tsaːn˧˥kʷɐi̯˧˥
㞎㞎	paː˧˥paː˧˥
㞓人	hɐi̯˥jɐn˨˩
㞓冧	hɐi̯˥lɐm˥
㞓口㞓面	hɐi̯˥hɐu̯˧˥hɐi̯˥miːn˨
㞓毛	hɐi̯˥mou̯˨˩
㞓窿	hɐi̯˥lʊŋ˥
㞓面	hɐi̯˥miːn˨
㞗屎	kɐu̯˥siː˧˥
㞘㞘車	tʊk̚˥tʊk̚˥tsʰɛː˥
㞘底	tʊk̚˥tɐi̯˧˥
㢥旗	tʊŋ˨kʰei̯˨˩
㢥起牀板	tʊŋ˨hei̯˧˥tsʰɔːŋ˨˩paːn˧˥
㤿憸腥悶	jiːm˥tsiːm˥sɛːŋ˥muːn˨
㧬人	ʊŋ˧˥jɐn˨˩
㧬歪	ʊŋ˧˥mɛː˧˥
㧬火	ŋʊŋ˧˥fɔː˧˥
㧬火	ʊŋ˧˥fɔː˧˥
㧬落	ʊŋ˧˥lɔːk̚˨
㧬開	ʊŋ˧˥hɔːi̯˥
㧻出嚟	tʊk̚˥tsʰɵt̚˥lɐi̯˨˩
㧻口㧻面	tʊk̚˥hɐu̯˧˥tʊk̚˥miːn˨
㧻口㧻鼻	tʊk̚˥hɐu̯˧˥tʊk̚˥pʰei̯̯˨
㧻波	tʊk̚˥pɔː˥
㧻爆	tʊk̚˥paːu̯˧
㧻眼㧻鼻	tʊk̚˥ŋaːn˩˧tʊk̚˥pʰei̯̯˨
㧻穿	tʊk̚˥tsʰyːn˥
㧻穿個窿	tʊk̚˥tsʰyːn˥kɔː˧lʊŋ˥
㧻背脊	tʊk̚˥puːi̯˧tsɛːk̚˧
㧻鼻哥	tʊk̚˥pʰei̯̯˨kɔː˥
㨃冧佢	tɵy̯˧˥lɐm˧kʰɵy̯˩˧
㨆好	lɐm˨hou̯˧˥
㨆滿晒	lɐm˨˩muːn˩˧saːi̯˧
㨆起身	lɐm˨hei̯˧˥sɐn˥
㨘牛王	saːŋ˧˥ŋɐu̯˨˩wɔːŋ˨˩
㨘返	saːŋ˧˥faːn˥
㨘鏡	saːŋ˧˥kɛːŋ˧
㨘黃魚	saːŋ˧˥wɔːŋ˨˩jyː˧˥
㨴起	kʰiːn˧˥hei̯˧˥
㩉手	jaːp̚˨sɐu̯˧˥
㩋㩋脆	sɔːk̚˥sɔːk̚˥tsʰɵy̯˧
㩒下盅	kɐm˨haː˩˧tsʊŋ˥
㩒住頭	kɐm˨tsyː˨tʰɐu̯˨˩
㩒地游水	kɐm˨tei̯˨jɐu̯˨˩sɵy̯˧˥
㩒掣	kɐm˨tsɐi̯˧
㩒機	kɐm˨kʰei̯̯˥
㩒水	kɐm˨sɵy̯˧˥
㩒釘	kɐm˨tɛːŋ˥
㩒錢	kɐm˨tsʰiːn˧˥
㩒風琴	kɐm˨fʊŋ˥kʰɐm˨˩
㩒鷓鴣	kɐm˨tsɛː˧kuː˥
㩒𨋢	kɐm˨liːp̚˥
㩧㩧聲	pɔːk̚˥pɔːk̚˥sɛːŋ˥
㩧㩧脆	pɔːk̚˥pɔːk̚˥tsʰɵy̯˧
㩧㩧齋	pɔːk̚˥pɔːk̚˥tsaːi̯˥
㩧佬	pɔːk̚˥lou̯˧˥
㩧嘢	pɔːk̚˥jɛː˩˧
㩧帽	pɔːk̚˥mou̯˧˥
㩧手指綟	paːk̚˥sɐu̯˧˥tsiː˧˥liːt̚˧
㩧溼	pɔːk̚˥sɐp̚˥
㩧落去	pɔːk̚˥lɔːk̚˨hɵy̯˧
㩧落嚟	pɔːk̚˥lɔːk̚˨lɐi̯˨˩
㩧親	pɔːk̚˥tsʰɐn˥
㩧鎚	pɔːk̚˥tsʰɵy̯˧˥
㩧頭	pɔːk̚˥tʰɐu̯˨˩
㩧頭黨	pɔːk̚˥tʰɐu̯˨˩tɔːŋ˧˥
㪐㩿	lɐk̚˥kʰɐk̚˥
㪗下	tʰɐu̯˧˥haː˩˧
㪗大氣	tʰɐu̯˧˥taːi̯˨hei̯˧
㪗大氣	tʰɐu̯˧˥taːi̯˨hei̯˨
㪗氣	tʰɐu̯˧˥hei̯˧
㪗涼	tʰɐu̯˧˥lœːŋ˨˩
㬌轟	keŋ˧˥kʷɐŋ˧˥
㷫乾	heŋ˧kɔːn˥
㷫合合	heŋ˧hɐp̚˨hɐp̚˨
㷫炠炠	heŋ˧hɐp̚˨hɐp̚˨
㷫烚烚	heŋ˧hɐp̚˨hɐp̚˨
㷫焫焫	heŋ˧naːt̚˧naːt̚˧
㷫熱	heŋ˧jiːt̚˨
㷫親	heŋ˧tsʰɐn˥
㷫起嚟	heŋ˧hei̯˧˥lɐi̯˨˩
