'anar'	anaɾ
'barcelona'	baɾθelona
'bé	be
'calma'	kalma
'com	kõm
'crema'	kɾema
'de	d̪e
'e'	e
'el	el
'els	els
'em	ẽm
'en	ẽn
'fill	fiʝ
'gran	gɾãn
'ha	a
'hi	ɟʝ
'jim'	xim
'la	la
'nen'	nẽn
'no	numeɾo
'non	nõn
'o'	o
'per	peɾ
'però	peɾ
'pes'	pes
'que	ke
'res	res
'riu	ɾiu
'soprano'	sopɾano
'sí	si
'sí'	si
'toxic	t̪oɣ̞sik
'ulls'	uʝs
'un	ũn
'una	una
'és	es
-ah	a
-amb	ãmb
-e	e
-el	el
-en	ẽn
-es	es
-està	est̪
-fa	fa
-grans	ɣ̞ɾãns
-ho	u
-hola	ola
-i	ĩ
-la	la
-la	lˈa
-ne	nɛ
-no	numeɾo
-oh	o
-ol	ol
-per	peɾ
-però	peɾ
-que	ke
-quina	kina
-què	k
-si	si
-sí	si
-un	ũn
-una	una
-va	ba
-¡quina	kina
-és	es
a	ã
a	ˈa
a-line	alini
a-spec	aspek
aaleniana	alenjana
aalenianas	alenjanas
aaleniano	alenjano
aalenianos	alenjanas
aarònic	aɾnjk
aarònica	aɾnika
aarón	aaɾõn
aba	aβ̞a
ababa	aβ̞aβ̞a
ababilla	aβ̞aβ̞iʝa
ababillaba	aβ̞aβ̞iʝaβ̞a
ababillabais	aβ̞aβ̞iʝaβ̞ai̯s
ababillaban	aβ̞aβ̞iʝaβ̞ãn
ababillabas	aβ̞aβ̞iʝaβ̞as
ababillada	aβ̞aβ̞iʝað̞a
ababilladas	aβ̞aβ̞iʝað̞as
ababillados	aβ̞aβ̞iʝað̞os
ababillamos	aβ̞aβ̞iʝamos
ababillan	aβ̞aβ̞iʝãn
ababillaos	aβ̞aβ̞iʝaos
ababillar	aβ̞aβ̞iʝaɾ
ababillara	aβ̞aβ̞iʝaɾa
ababillarais	aβ̞aβ̞iʝaɾai̯s
ababillaran	aβ̞aβ̞iʝaɾãn
ababillaras	aβ̞aβ̞iʝaɾas
ababillare	aβ̞aβ̞iʝaɾe
ababillareis	aβ̞aβ̞iʝaɾei̯s
ababillaremos	aβ̞aβ̞iʝaɾemos
ababillaren	aβ̞aβ̞iʝaɾẽn
ababillares	aβ̞aβ̞iʝaɾes
ababillarme	aβ̞aβ̞iʝaɾme
ababillarnos	aβ̞aβ̞iʝaɾnos
ababillaron	aβ̞aβ̞iʝaɾõn
ababillaros	aβ̞aβ̞iʝaɾos
ababillarse	aβ̞aβ̞iʝaɾse
ababillarte	aβ̞aβ̞iʝaɾt̪e
ababillará	aβ̞aβ̞iʝaɾa
ababillarán	aβ̞aβ̞iʝaɾãn
ababillarás	aβ̞aβ̞iʝaɾas
ababillaré	aβ̞aβ̞iʝaɾe
ababillaréis	aβ̞aβ̞iʝaɾei̯s
ababillaría	aβ̞aβ̞iʝaɾia
ababillaríais	aβ̞aβ̞iʝaɾiai̯s
ababillaríamos	aβ̞aβ̞iʝaɾiamos
ababillarían	aβ̞aβ̞iʝaɾiãn
ababillarías	aβ̞aβ̞iʝaɾias
ababillas	aβ̞aβ̞iʝas
ababillase	aβ̞aβ̞iʝase
ababillaseis	aβ̞aβ̞iʝasei̯s
ababillasen	aβ̞aβ̞iʝasẽn
ababillases	aβ̞aβ̞iʝases
ababillaste	aβ̞aβ̞iʝast̪e
ababillasteis	aβ̞aβ̞iʝast̪ei̯s
ababillate	aβ̞aβ̞iʝat̪e
ababille	aβ̞aβ̞iʝe
ababillemos	aβ̞aβ̞iʝemos
ababillen	aβ̞aβ̞iʝẽn
ababilles	aβ̞aβ̞iʝes
ababillo	aβ̞aβ̞iʝo
ababillábamos	aβ̞aβ̞iʝaβ̞amos
ababilláis	aβ̞aβ̞iʝai̯s
ababillándome	aβ̞aβ̞iʝãn̪d̪ome
ababillándonos	aβ̞aβ̞iʝãn̪d̪onos
ababillándoos	aβ̞aβ̞iʝãn̪d̪oos
ababillándose	aβ̞aβ̞iʝãn̪d̪ose
ababillándote	aβ̞aβ̞iʝãn̪d̪ot̪e
ababilláramos	aβ̞aβ̞iʝaɾamos
ababilláremos	aβ̞aβ̞iʝaɾemos
ababillás	aβ̞aβ̞iʝas
ababillásemos	aβ̞aβ̞iʝasemos
ababillé	aβ̞aβ̞iʝe
ababilléis	aβ̞aβ̞iʝei̯s
ababillémonos	aβ̞aβ̞iʝemonos
ababillés	aβ̞aβ̞iʝes
ababilló	aβ̞aβ̞iʝo
ababol	ababon
ababol	aβ̞aβ̞ol
ababols	abavolz
ababuy	aβ̞aβ̞ui̯
