гӏалгӏай	ʁəlʁɑj
пхьармат	pħaɾmat
посси	rɐsi
атта	aːtːa
аьрзу	ærzuː
аьтту	æːtːuː
бархӏ	bar̥
бод	bu̯od
бож	bʷoʒ
боргӏал	borʁal
борз	bʷorz
борц	bʷorts
борш	bʷorʃ
буд	bud
бумбари	bumbari
бутт	butː
бухӏа	buha
буьйса	byjsa
вай	waj
ваша	vaʃa
вир	viɾ
ворхӏ	vor̥
газа	gaːza
герзахо	gerzaχo
говр	gou̯r
гӏа	ʁa
гӏаз	ʁɑːz
гӏогӏ	ʁʷoʁ
гӏодагӏа	ʁuːo̯daʁa
да	daː
дан	də
дахка	daχka
даьтта	dætta
де	dje
деза	deza
дела	die̯la
дети	dɛti
деха	deːχa
деши	deʃi
диг	dig
диъ	diʔ
довха	dowχa
дог	dog
досбух	dosbuχ
доца	doːtsa
дош	doʃ
дошам	doʃəm
дукъ	duqʔ
еара	jeʔʌrʌ
жима	ʒima
жӏаьла	ʒʔæla
жӏаьлин	ʒʔæl̠in
иза	iza
ирча	irtʃa
исс	iss
итт	itt
йалх	jaːlχ
йий	jiː
йиша	jiʃa
йу	juː
йукъ	juqʔ
ког	kog
кор	koɾ
котам	koːtam
куьйра	kyːra
кхела	qχie̯la
кхокха	qχoqχa
кхоъ	qoʔ
кхоь	qχyø̯
кӏа	kʔa
кӏажар	kʔaːʒar
кӏант	kʔant
кӏеда	kʔeda
кӏомал	kʔuo̯mal
кӏомсар	kʔomsaɾ
кӏур	kʔuɾ
лам	laːm
лама	lama
латта	laːtta
лерг	lɛɾg
ло	luo̯
лоха	loχa
малх	maːlχ
мар	maɾ
марс	maːrs
марха	maɾχo
мача	maːtʃ
меза	meza
мела	mela
мерза	meɾza
мерза	meɾzã
меттиг	metːig
меца	metsa
можа	moːʒa
моз	moz
морза	moɾza
морзах	mɔrzah
морзах	mɔrzax
москал	moskal
мотт	motː
мох	moχ
моша	mɔːʃa
мукх	muqχ
муьста	mystʰə
наб	naːb
налха	nalχa
нана	naːna
нах	naːχ
наьрс	nærs
некъ	nɛqʔ
нехча	netʃxa
неца	nɛtsa
неӏ	neʕ
нитт	nitt
ниха	niχa
нохчий	no̞xtʃʔiː
нускал	nʊskəɫ
нуц	nuts
олхазар	ɔ̯alχazar
оьпа	yːø̯pa
пхиъ	pχiʔ
пхьагал	pħaːgal
пхьар	pħaɾ
пхьид	pħid
пӏелг	pʔɛlg
пӏенда	pʔi̯enda
са	sə
сай	saj
сеса	seːsa
со	su̯o
сту	stu
ткъа	tʔqʔa
туьха	tyχa
тхо	tχʷo
тӏеда	tʔeːda
тӏом	tʔu̯om
уж	uʒ
уьш	yʃ
хен	χɛn
хи	χi
хола	χuo̯la
хьакха	ħaqa
хьо	ħʷo
хьоза	ħoːza
хьун	ħun
хӏоъ	hoʔ
ца	tsa
це	tsɛ
цициг	tsitsig
цхьаъ	tsħaʔ
цхьогал	tsħuo̯gal
цӏаста	tsʔasta
цӏе	tsʔe
цӏе	tsʔje
цӏен	tsiːe̯n
цӏецайоккхург	tsʔetsajoqqurg
цӏий	tsʔiː
цӏонга	tsʔonga
цӏоькъалом	tsʔyøqʔəlom
ча	tʃa
чо	tʃo
чӏурам	tʃʔuram
ша	ʃa
шиъ	ʃiʔ
шоршал	ʃorʃal
шу	ʃu
шура	ʃura
эчиг	eːtʃig
ӏа	ʕa
ӏад	ʕaːd
ӏаь	ʕæ
ӏаьржа	ʕærʒa
