1адо	ado
1ам	fˈam
cо	sɔ
абат	ɑːbət
агӏо	aɣo
агӏор	aɣoɾ
адам	adɯm
аз	as
алу	ɑːlɔ
амал	ɑːmɑl
амма	ħamma
арз	ˈaɾəzɐ
арц	orɯts
атта	aːtːa
аьрзу	ærzuː
аьтто	etːo
аьтту	æːtːuː
б1ов	bo
бiаьрг	bærk
балг	bɯ̞ɫg
бамба	bamb
барз	bˈaɾʒ
барт	bəɾt
бархӏ	bar̥
басар	bəsar
батт	bət
баха	bˈax
бахархой	baxərxoj
бахтар	baxtar
баьхьа	bæˈħ
беда	bˈɛdˈe
бел	bˈɛl
белш	bɛls
бен	bʲen
бер	bˈeɾ
бесни	besnˈe
беттан	bətːən
беш	bɛʃ
бод	bu̯od
бода	bodɛ
бож	bʷoʒ
божал	boʒɛɫ
бой	bɔj
болат	bɔɫɑt
боргӏал	borʁal
борз	bʷorz
борз	bˈɔɾz
борц	bʷorts
борш	bɔrʃ
борш	bʷorʃ
бос	bˈɔs
буд	bud
буй	bʊɪ
бумбари	bumbari
буппаз	bupːəz
бутт	butː
бух	bʊ̞
бухка	buxka
бухӏа	buha
буьйса	byjsa
буьртиг	byrteg
вай	waj
вай	wˈaɪ
вас	væs
ваша	vaʃa
вета	vˈet
вир	viɾ
вир	vˈɪr
ворхӏ	vor̥
га	g
газа	gaz
газа	gaːza
гай	gɐ̝j
гала	gɑːlɑ
гар	gˈɛr
гата	gat
герз	gˈɛrz
герзахо	gerzaχo
гиба	gibɑ
говр	gou̯r
гола	guɫa
гомаш	gɔmʃ
горгали	gʊ̞rgəli
горгам	gɔrgɐm
гӏа	ʁa
гӏаз	ʁɑːz
гӏалгӏай	ʁəlʁɑj
гӏан	ɢan
гӏап	ʁˈap
гӏо	ɦo
гӏогӏ	ʁʷoʁ
гӏодагӏа	ʁuːo̯daʁa
гӏуй	ʁuːiː
гӏум	ɣum
гӏуркх	ʁurq
да	daː
да	dˈɑ
дагахь	daga
даим	dɑːeːm
дакх	dak
дан	də
дарба	d̪aɾbə
дарж	dæɾʒ
дарц	dˈɛrts
дато	dɐtˈo
датониг	datoanig
датӏо	dɑːtɔ
дахка	daχka
дахко	daxkɔ
дахча	daχtʃ
даш	dˈɵʃ
даьтта	dætta
де	d
де	dje
деба	dˈeb
деза	deza
дела	die̯la
дерзо	dˈɛɾzˈˈo
дети	dɛti
дети	dˈeːtˌi
деха	deːχa
дечиг	dˈɛstʃˈig
деши	deʃi
деши	dɪʃi
деши	dˈeˈʃi
диг	dig
дика	dik
дин	d̪in
динахь	dinˈah
диса	d̪is
диъ	diʔ
диъ	dˈi
дов	dou
довза	dou̯z
довха	dowχa
дог	dog
доза	dˈoz
докъар	dɔqaɾ
доло	tɔɫɔ
досбух	dosbuχ
дохо	dˈoɣo
доца	doːtsa
дош	doʃ
дошам	doʃəm
доьналла	dyønɑɫˈɯla
дукъ	duqʔ
еара	jeʔʌrʌ
жа	ʒˈɛ
жеро	ʒɨɛɾɔ
жима	ʒima
жима	ʒimɐ
жоп	ʒˈɒp
жӏаьла	ʒʔæla
жӏаьлин	ʒʔæl̠in
забар	zˈabr
зайл	zɛjl
захал	zaxl
зорх	zorah
зу	zo
зуда	zud
зулам	zʊˈlɑm
зурма	zurmɯ
и	iː
ижу	ˈiʒu
иза	iza
ийман	iːman
ирс	ɪrs
ирча	irtʃa
искогберг	iskogbærg
исс	iss
исс	ˈis
итт	itt
иччархо	igtʃarxo
йалх	jaːlχ
йий	jiː
йиша	jiʃa
йол	jɑːl
йу	juː
йукъ	juqʔ
к1ошт	kɔʃt
кiант	kɒnt
ка	kˈa
кагдан	kagda
кадам	kadɑm
карча	kartʃ
каш	kəʃ
кегий	kɛgˈi
кемс	kemz
керста	kɛrst
керт	krt
кеста	kɛst
кийра	kijɾ
киртиг	kirtjig
киса	kˈis
ковказ	kau̯kaz
ког	kog
кол	qɔll
кор	koɾ
кор	kɔr
котам	koːtam
коча	kɔːtʃ
кочар	kɔtʃar
куй	kui
кура	kuɾ
куц	kʊts
куьйра	kyːra
кхела	qχie̯la
кхокха	qχoqχa
кхор	qɔ̀ɾ
кхоъ	qoʔ
кхоь	qχyø̯
кӏа	kʔa
кӏа	qˈa
кӏажар	kʔaːʒar
кӏант	kʔant
кӏеда	kʔeda
кӏомал	kʔuo̯mal
кӏомсар	kʔomsaɾ
кӏора	kora
кӏур	kʔuɾ
лам	laːm
лама	lama
лата	ɫat
латта	laːtta
лерг	lɛrk
лерг	lɛɾg
ло	luo̯
ло	ɫɔ
лоха	loχa
мало	mɐɫɔ
малх	maːlχ
мар	maɾ
марс	maːrs
марха	maɾχo
мача	matʃ
мача	maːtʃ
