abakha	aɓakʰa
abale	aɓaɽé
abambo	aɓaᵐbo
abathwa	aɓatʷʰá
abulu	aɓuɽú
abusa	aɓúsa
abwana	aɓʷána
abwanamkubwa	aɓʷanamkúɓʷa
achewa	atʃewᵝá
adokotala	adókotaɽa
adotolo	adótoɽo
adyo	áɗʲo
afirika	áfiɽika
afisi	afisi
afisi	afísi
afiti	afíti
agalu	agaɽú
agogo	agogo
agogo	agógo
agondwa	agóⁿdʷa
akalaliki	akaɽáɽiki
akaloti	akáɽoti
akalulu	akaɽuɽú
akanungu	akánuᵑgu
akatekisima	akatekísima
akatundu	akatúⁿdu
akavalo	akaváɽo
akazi	akázi
akuluakulu	akúɽúakúɽu
alendo	aɽeⁿdó
aloma	aɽóma
amalawi	amaɽáwᵝi
amayi	amáji
ambulera	aᵐbúɽeɽa
amphaka	aᵐpʰaká
amwenye	amʷeɲe
ana	aná
angelo	aᵑgéɽo
anthu	aⁿtʰu
anyamata	aɲamatá
anyamata	aɲámata
anyani	aɲaní
anyezi	áɲezi
aphunzitsi	apʰuⁿzitsi
ashehe	aʃéhe
asilikali	asiɽikáɽi
asing'anga	asíŋaᵑga
asirikali	asiɽikáɽi
atambala	ataᵐbaɽa
atate	ataté
ayi	ají
azibambo	aziɓaᵐbo
azimayi	azimáji
azungu	azuᵑgu
ba	ɓa
badwa	ɓaɗʷa
bafa	báfa
baibulo	báibuɽo
bakha	ɓakʰa
bala	báɽa
bala	ɓaɽa
bala	ɓáɽa
balaka	ɓaɽáka
balala	ɓáɽáɽá
balalika	ɓaɽaɽiká
bambo	ɓaᵐbo
banda	ɓáⁿda
bandawe	ɓaⁿdáwe
banga	ɓaᵑga
bango	ɓaᵑgó
bango	ɓáᵑgo
bangula	ɓaᵑguɽá
bangula	ɓaᵑgúɽa
bangwe	ɓaᵑgʷe
banja	ɓáⁿdʒa
banki	báᵑki
basi	bási
basi	ɓasi
bata	ɓáta
batchi	ɓátʃʰi
batiza	ɓatiza
batiza	ɓatizá
bavu	ɓavu
bedi	ɓéɗi
benthuka	ɓeⁿtʰuká
benthula	ɓeⁿtʰuɽa
bere	ɓéɽe
beseni	béseni
beza	ɓéza
bingu	ɓiᵑgu
bira	ɓiɽá
bode	ɓóɗe
bodza	ɓódza
boma	ɓoma
bondo	ɓóⁿdo
bowa	ɓowa
bukhu	ɓúkʰu
buku	ɓúku
buledi	buɽédi
bulu	ɓuɽú
bvumbula	bvuᵐbuɽa
