!xóõ	ksˈoː
'bekeren	bəkˈeːrən
'k	kˈaː
'ns	œns
'r	ˈɛr
's	s
's-gravelandseveer	sɣrˌaːvəlˌɑndsəvˈɪr
's-gravenhaags	sɣrˌaːvɛnhˈaːxs
's-gravenhage	sɣrˌaːvənhˈaːɣə
's-hertogenbosch	shɛrtˈoːɣənbˌɔs
't	tˈeː
a	a
a	ˈaː
a-groot	ˈaːɣrˈoːt
a-grootakkoord	ˈaːɣrˈoːtɑkˌɔːrt
a-klein	ˈaːklˈɛɪn
a-kleinakkoord	ˈaːklˈɛɪnɑkˌɔːrt
a-majeur	ˈaːmaːjˈøːr
a-majeurakkoord	ˈaːmˈaːjøːrˌɑkɔːrt
a-mineur	ˈaːminˈøːr
a-mineurakkoord	ˈaːmˈinøːrˌɑkɔːrt
aa	a
aa	ˈaː
aacht	ˈaxt
aacht	ˈaːxt
aachten	ˈaːxtən
aad	pʰaːt̚˨˩
aad	ˈaːt
aads	ˈaːts
aafje	ˈaːfjə
aafjes	ˈaːfjəs
aafke	ˈaːfkə
aafkes	aːfkˈɛs
aagfe	ˈaxvə
aagje	ˈaːɣjə
aagjes	ˈaːɣjəs
aagt	ɑːxt
aagt	ˈaːxt
aagtappel	ˈaːxtɑpəl
aagtappel	ˈɑxtˈɑpəl
aagtappels	ˈaːxtɑpəls
aagtappeltje	ˈaːxtɑpˌɛltjə
aagtappeltjes	ˈaːxtɑpˌɛltjəs
aagten	ˈaːxtən
aagtje	ˈaːxtjə
aagtjes	ˈaːxtjəs
aah	ˈaːh
aai	ˈaɪ
aai	ˈaːj
aaibaar	ˈaːjbaːr
aaibaarder	ˈaːjbaːrdər
aaibaardere	ˈaːjbaːrdərə
aaibaarders	ˈaːjbaːrdərs
aaibaarheden	ˈaːjbaːrhˌeːdən
aaibaarheid	ˈaːjbaːrhˌɛɪt
aaibaarheidsfactor	ˈaːjbaːrhˌɛɪdsfɑktˌɔr
aaibaarheidsfactoren	ˌaːjbaːrhˌɛɪdsfɑktˈoːrən
aaibaarheidsfactortje	ˈaːjbaːrhˌɛɪdsfɑktˌɔrtjə
aaibaarheidsfactortjes	ˈaːjbaːrhˌɛɪdsfɑktˌɔrtjəs
aaibaars	ˈaːjbaːrs
aaibaarst	ˈaːjbaːrst
aaibaarste	ˈaːjbaːrstə
aaibare	ˈaːjbaːrə
aaide	ˈaɪdə
aaide	ˈaːjdə
aaiden	ˈaːjdən
aaien	ˈajən
aaien	ˈaːjən
aaiend	ˈaːjənt
aaiende	ˈaːjəndə
aaigem	aɪxɛm
aaiing	ˈaːjɪŋ
aaiingen	ˈaːjɪŋən
aaiinkje	ˈaːjɪŋkjə
aaiinkjes	ˈaːjɪŋkjəs
aaipoes	aːjpˈus
aaipoesje	ˈaːjpusjə
aaipoesjes	ˈaːjpusjəs
aaipoezen	ˈaːjpuzən
aait	ˈaːjt
aaitje	ˈaːjtjə
aaitjes	ˈaːjtjəs
aak	fˈak
aak	ˈaːk
aakje	ˈaːkjə
aakjes	ˈaːkjəs
aaks	ˈaːks
aakse	ˈaːksə
aaksen	ˈaːksən
aal	ˈaːl
aalbes	aːlbˈɛs
aalbesje	ˈaːlbɛsjə
aalbesjes	ˈaːlbɛsjəs
aalbessen	aːlbˈɛsən
aalbessenboompje	ˈaːlbɛsˌɛnboːmpjə
aalbessenboompjes	ˈaːlbɛsˌɛnboːmpjəs
aalbessengelei	ˈaːlbɛsˌɛŋəlˌɛɪ
aalbessengeleien	ˈaːlbɛsˌɛŋəlˌɛɪən
aalbessengeleitje	ˈaːlbɛsˌɛŋəlˌɛɪtjə
aalbessengeleitjes	ˈaːlbɛsˌɛŋəlˌɛɪtjəs
aalbessenjam	ˈaːlbɛsˌɛɲɑm
aalbessenjams	ˈaːlbɛsˌɛɲɑms
aalbessenjenever	ˈaːlbɛsˌɛɲənˌeːvər
aalbessenjenevers	ˈaːlbɛsˌɛɲənˌeːvərs
aalbessenjenevertje	ˈaːlbɛsˌɛɲənˌeːvɛrtjə
aalbessenjenevertjes	ˈaːlbɛsˌɛɲənˌeːvɛrtjəs
aalbessensap	ˈaːlbɛsˌɛnsɑp
aalbessensapje	ˈaːlbɛsˌɛnsɑpjə
aalbessensapjes	ˈaːlbɛsˌɛnsɑpjəs
aalbessensappen	ˈaːlbɛsˌɛnsɑpən
aalbessenstruik	ˈaːlbɛsˌɛnstrœyk
aalbessenstruiken	ˈaːlbɛsˌɛnstrœykən
