ཀ	kɑ
ཀླད་ཀོར	le˥ko˥
ཀི་ཏབ	ki˥tɑp˥
ཀོ་	ko
ཁ	kʰɑ˥
ཁ་ཆེ	kʰɑ˥tɕʰe˥
ཁ་ཆེའི་ལྷ	kʰɑ˥tɕʰej˥ɬɑ˥
ཁྱེས	tɕʰɛː˥
ཁྱོ་	khyo
ཁྱོད	tɕʰøː˥
ཁྱོད་ཅ་ང་ཅ་ཁ	tɕʰøː˥tɕɑ˥ŋɑ˩tɕɑ˥kʰɑ˥
ཁྲི་	tri
ཁོ	kʰo˥
ཁོང	kʰoŋ˥
ག	kʰɑ˥
གཅིག	tɕik̚˥
གཉིས	njiː˥
གཏན་འབེབས་	tanbebs
གཏོང་བཅན་	tongchen
གདུག་	dug
གདོང	toŋ˩
གནགཔོ	nɑp˥
གནམ་གྲུ་	namdru
གནས་ཚུལ་	netsul
གནས་སྐབས་	nekab
གཞུང	ʑuŋ˩
གཞོནམ	ʑøːm˩
གཟི	zi˩
གཟིགས་	zigs
གཟུགས	zuː˩
གཟུགས་པོ་	zugspo
གཟུགས་སྐུ་	zugsku
གཡུས	yː˥
གྲོང་	drong
གླུ	lu˥
གསུང་དབྱངས་	sungyang
གསུམ	sum˥
གསེར	seː˥
གོན	kʰøːn˩
ང	ŋɑ˥
ང	ŋɑ˩
ང་བཅས	ŋɑ˩tɕe˥
ངའི	ŋi˩
ཅ	tɕɑ
ཅི	tɕi˥
ཅིག	tɕik̚˥
ཆ	tɕʰɑ˥
ཆརཔ	tɕʰɑːp˥
ཆ་རོགས	tɕʰɑː˥rok̚˩
ཆི་རི་ལི་ཚ	tɕʰi˥ri˩li˩tsʰɑ˥
ཆུ་	chu
ཆུ	tɕʰu˥
ཆུང་ཀུ	tɕʰuŋ˥ku˩
ཇ	tɕɑ
ཇ་ཆང	tɕʰɑ˩tɕʰɑŋ˥
ཉ	ɲɑ
ཉིམ	njim˩
ཉི་མ	nji˩mɑ˩
ཏ	tɑ˥
ཏིང	tiŋ˥
ཐ	tʰɑ˥
ཐིག	tʰik̚˥
ཐིམ་ཕུ	tʰim˥pʰu˥
ཐོག་	thog
ཐོཝ	tʰow˥
ད	tɑ˥
དཀའ་ངལ་	kangal
དཀར་	kar
དགའ་གཏོང་	gatong
དགོངས་དོན་	gongsdon
དགོངས་བརྗོད་	gongsjod
དང	tʰɑ˩
དངུལ	ŋyː˥
དངུལ་ཀྲམ	ŋyː˥ʈɑm˥
དཔྱལཝ	ptɕɛːw˥
དཔེ་ཆ	pe˥tɕʰɑ˥
དབང་	wang
དབྱིབས་སྒྲིག་	yibsgrig
དམརཔོ	mɑːp˥
དམར་བཞིན་	marzin
དམིགས་གཏད་	migtad
དམིགས་བསལ་	migsal
དྲི་	dri
དྲུག	ʈʰuk̚˩
དུས་	dus
དེ་	de
དོན་ཚན་	dontsen
ན	nɑ˥
ནང	nɑ˩
ནད	neː˩
ནདཔ	nep˩
ནཱ	nɑː˩
ནུས་	nus
ནོ་	no
པ	pɑ˥
པགས་ཀོ	pɑk̚˥ko˥
པ་ནིར	pɑ˥niːr˩
ཕ	pʰɑ
ཕད་ཅུང	pʰe˥tɕu˥
ཕྱི་རྒྱལ	ptɕʰi˥kɛː˩
ཕྱུགཔོ	ptɕʰup˥
ཕྱོ	ptɕʰo˥
ཕར	pʰɑː˥
ཕུལ་	phul
ཕོ་ཅུངམ	pʰo˥tɕum˥
བ	pɑ˥
བཀའ་དྲིན་ཆེ	kɑ˥ʈʰi˩tɕʰe˥
བཀའ་མོལ་	kamol
བཏོན	tøːn˥
བདག་	dag
བདུན	tyːn˩
བཙོས་བཏོན་	tsoston
བཞི	ptɕi˩
བཞི་	zhi
བཞི	ʑi˩
བཞི་ཕོད	ʑe˩pʰøː˥
བཟང་དག་	zangdak
བྱག	ptɕʰɑːk̚˩
བྱི་ཙི	ptɕʰi˩tsi˥
བྱི་ལི	ptɕʰi˩li˩
བྱུང	ptɕʰuŋ˩
བློ་འདོད་	lodod
བསྐྱར་འབྱོར་	kyarbyor
བསྡུ	tu˩
བསྡུ་ཚིག	tu˩tsʰik̚˥
བསམ་བློ་	samlo
བསླབ་བྱ	lɑp˥ptɕʰɑ˩
བསོད་ནམས་	sodnam
བོད	pʰøː˩
བོདཔ	pʰøːp˩
མ	mɑ˥
མ	mɑ˩
མགྱོནམོ	kʰøːm˩
མཉམ	njɑm˥
མདའ	tɑ˩
མདུན་འགྲོ་	dundro
མཚམས	tsʰɑm˥
མཛོད	tsøː˩
མི	mi˥
མི	mi˩
མི་	mi
མིག་ཏོ	mik̚˥to˥
མིང	meŋ˩
མིང་དོན་	mingdon
མིང་སྡུད	meŋ˩tu˩
མི་སྣ་	mina
མེ	me˩
མོ	mo˩
མོ་	mo
མོས་	mos
ཙ	tsɑ˥
ཙན་དན	tsen˥te˩
ཙ་རི	tsɑ˥ri˩
ཚ	tsʰɑ˥
ཚིག	tsʰik̚˥
ཚིག་མཛོད	tsʰik̚˥tsøː˩
ཚུ	tsʰu˥
ཚོ་	tso
ཚོང	tsʰoŋ˥
ཚོར་	tsor
ཛ	tsɑ˥
ཛ་ཏི	tsɑ˩ti˥
ཛའི	tsɑj˩
ཝ	wɑ˥
ཝ	wɑ˩
ཝ་གཤོང	wo˩ɕo˥
ཞ	ɕɑ˥
ཞབས	ɕɑp˩
ཞབས་ཁྲ	ɕɑp˩ʈʰɑ˥
ཞྭམོ	ɕɑm˩
ཞལ	ɕɛː˩
ཟ	sɑ˥
ཟ	sɑ˩
ཟོརཝ	sow˩
ཟོརཝ་དང་ཐོཝ	sow˩tʰɑ˩tʰow˥
འ	ɦɑ˥
འཁྲུག་	khrug
འགྱོ	tɕor˩
འགྲོ་	dro
འགོད་འཛིན་	goddzin
འཆང་ཁམས་	changkham
འཆར་གཞི	tɕʰɑr˥ʑi˩
འཇོག་པ་	jogpa
འདི་	di
འཕྲད་སྟེང་	phradteng
འཕྲོ་རྒྱག་	phrogyag
འཕྲོས་བརྒྱབ་	phrosgyab
འཕོཝ	pʰow˥
འབད་	be
འབད་དོན་	bedon
