aaberg	ˈɑbɚg
aachen	ˈɑkən
aachener	ˈɑkənɚ
aah	ˈɑ
aaker	ˈɑkɚ
aaliyah	əlˈiə
aalseth	ˈɑlsɛθ
aam	ɑːm	["noun"]
aamodt	ˈɑmət
aancor	ˈɑŋkˌɔɹ
aardema	ɑɹdˈɛmə
aardvark	ˈɑːdvɑːk	["noun"]
aardvark	ˈɑɹdvˌɑɹk
aardvarks	ˈɑɹdvˌɑɹks
aardwolf	ˈɑːdˌwʊlf	["noun"]
aardwolves	ˈɑːdˌwʊlvz	["noun"]
aargh	ˈɑɹg
aarhus	ˌɑhˈus
aaron	ˈɛɹən
aaron's	ˈɛɹənz
aarons	ˈɛɹənz
aaronson	ˈɛɹənsən
aaronson's	ˈɛɹənsənz
aarti	ˈɑɹti
aase	ˈɑs
aasen	ˈɑsən
aasvogel	ˈɑːsˌfəʊgəl	["noun"]
ababa	ˈɑbəbə
ababa	əbˈɑbə
abaca	ˌæbəˈkɒ	["noun"]
abacha	ˈæbəkə
aback	əbˈæk
aback	əˈbæk	["adverb"]
abaco	ˈæbəkoʊ
abacus	ˈæbəkəs
abadaka	əbˈædəkə
abad	əbˈɑd
abadie	əbˈædi
abadi	əbˈædi
ab	ˈæb
aba	əˈbɑː	["noun"]
abaft	əˈbæft	["preposition","adverb"]
abair	əbˈɛɹ
abalkin	əbˈɑlkɪn
abalone	ˌæbəlˈoʊni
abalones	ˌæbəlˈoʊniz
abalos	ɑbˈɑloʊz
abandoned	əbˈændənd
abandoned	əˈbændənd	["verb","adjective"]
abandon	əbˈændən
abandon	əˈbændən	["verb"]
abandoning	əbˈændənɪŋ
abandonment	əbˈændənmənt
abandonment	əˈbændənmənt	["noun"]
abandonments	əbˈændənmənts
abandons	əbˈændənz
abanto	əbˈæntoʊ
abarca	əbˈɑɹkə
abare	ɑbˈɑɹi
abascal	ˈæbəskəl
abased	əˈbeɪst	["verb","adjective"]
abasement	əˈbeɪsmənt	["noun"]
abashed	əbˈæʃt
abashed	əˈbæʃt	["verb","adjective"]
abash	əbˈæʃ
abash	əˈbæʃ	["verb"]
abasia	əbˈeɪʒjə
abated	əbˈeɪtɪd
abate	əbˈeɪt
abate	əˈbeɪt	["verb","noun"]
abatement	əbˈeɪtmənt
abatement	əˈbeɪtmənt	["noun"]
abatements	əbˈeɪtmənts
abates	əbˈeɪts
abates	əˈbeɪts	["verb","noun"]
abating	əbˈeɪtɪŋ
abating	əˈbeɪtɪŋ	["verb","noun"]
abatis	ˈæbəˌtiː	["noun"]
abatises	ˈæbətəsəz	["noun"]
abattoir	ˌæbətwˈɑɹ
abaxial	æbˈæksɪəl	["adjective"]
abba	æˈbɒ	["noun"]
abba	ˈæbə
abbacy	ˈæbəsɪ	["noun"]
abbado	əbˈɑdoʊ
abbas	əbˈɑs
abbasi	ɑbˈɑsi
abbate	ˈɑbeɪt
abbatial	əˈbeɪʃəl	["adjective"]
abbatiello	ɑbɑtiˈɛloʊ
abbe	æbˈeɪ
abbe	æˈbeɪ	["noun"]
abbe	ˈæbi
abbenhaus	ˈæbənhˌaʊs
abbes	əˈbeɪz	["noun"]
abbess	ˈæbes	["noun"]
abbett	əbˈɛt
abbeville	ˈæbvɪl
abbey	ˈæbi
abbey	ˈæbɪ	["noun"]
abbey's	ˈæbiz
abbeys	ˈæbiz
abbeys	ˈæbɪz	["noun"]
abbie	ˈæbi
abbitt	ˈæbɪt
abbot	ˈæbət
abbot	ˈæbət	["noun"]
abbots	ˈæbəts	["noun"]
abbotstown	ˈæbətstˈaʊn
abbott	ˈæbət
abbott's	ˈæbəts
abbottstown	ˈæbətstˈaʊn
abboud	əbˈaʊd
abboud	əbˈud
abbreviated	əˈbɹiːvɪeɪtɪd	["verb","adjective"]
abbreviated	əbɹˈiviˌeɪtɪd
abbreviate	əˈbɹiːvɪeɪt	["verb"]
abbreviate	əbɹˈiviˌeɪt
abbreviate	əbɹˈiviɪt
abbreviates	əbɹˈiviˌeɪts
abbreviates	əbɹˈiviɪts
abbreviating	əbɹˈiviˌeɪtɪŋ
abbreviation	əˌbɹiːvɪˈeɪʃən	["noun"]
abbreviation	əbɹˌiviˈeɪʃən
abbreviations	əbɹˌiviˈeɪʃənz
abbruzzese	ɑbɹutsˈeɪzi
abbs	ˈæbz
abby	ˈæbi
abco	ˈæbkoʊ
abcotek	ˈæbkoʊtˌɛk
abdalla	ˌæbdˈælə
abdallah	ˌæbdˈælə
abdel	ˈæbdˌɛl
abdella	ˌæbdˈɛlə
abderrahman	æbdˈɛɹəmæn
abdicate	ˈæbdɪkˌeɪt
abdicate	ˈæbdɪˌkeɪt	["verb"]
abdicated	ˈæbdɪkˌeɪtɪd
abdicated	ˈæbdɪkeɪtɪd	["verb"]
abdicates	ˈæbdɪkˌeɪts
abdicating	ˈæbdɪkˌeɪtɪŋ
abdication	ˌæbdəˈkeɪʃən	["noun"]
abdication	ˌæbdɪkˈeɪʃən
abdnor	ˈæbdnɚ
abdo	ˈæbdoʊ
abdollah	ˌæbdˈɑlə
abdomen	æbˈdəʊmən	["noun"]
abdomen	æbdˈoʊmən
abdominal	æbdˈɑmənəl
abdominal	æbˈdɒmənəl	["adjective","noun"]
abdominous	æbˈdɒmənəs	["adjective"]
abducens	æbˈdjʊˌsenz	["noun"]
abduct	æbˈdəkt	["verb"]
abduct	æbdˈʌkt
abducted	æbdˈʌktɪd
abducted	æbˈdʌktɪd	["verb","adjective"]
abductee	æbdˌʌktˈi
abductees	æbdˌʌktˈiz
abducting	æbdˈʌktɪŋ
abduction	æbdˈʌkʃən
abduction	əbˈdʌkʃən	["noun"]
abductions	æbdˈʌkʃənz
abductor	æbˈdʌktə	["noun"]
abductor	æbdˈʌktɚ
abductors	æbdˈʌktɚz
abducts	æbdˈʌkts
abdul	æbdˈul
abdulaziz	æbdˌuləzˈiz
abdulla	ɑbdˈulə
abdullah	ˌæbdˈʌlə
abeam	əˈbiːm	["preposition","adjective","adverb"]
abecedarian	eɪbiːsiːˈdeəɹɪən	["adjective","noun"]
abed	əˈbed	["adverb"]
abed	əbˈɛd
abedi	əbˈɛdi
abee	əbˈi
abe	ˈeɪb
abela	ɑbˈɛlə
abelard	ˈæbɪlɚd
abele	əˈbeɪl	["noun"]
abele	əbˈɛl
abel	ˈeɪbəl
abeles	ˈeɪbəliz
abeles	əbˈɛlz
abelian	əˈbɪlɪən	["adjective"]
abella	əbˈɛlə
abell	ˈeɪbəl
abeln	ˈæbɪln
abelow	ˈæbəloʊ
abels	ˈeɪbəlz
abelson	ˈæbɪlsən
abend	ˈæbɛnd
abend	əbˈɛnd
abendroth	ˈæbɪndɹɔθ
abercrombie	ˌæbɚkɹˈɑmbi
aberdeen	ˈæbɚdˌin
aber	ˈeɪbɚ
aberford	ˈeɪbɚfɚd
aberg	ˈæbɚg
aberle	ˈæbɚəl
aberle	ˈæbɚl
