abako	abako
abandoni	abandoni
abandono	abandono
abasido	abasido
abaso	abaso
abatejo	abateio
abatinejo	abatineio
abatino	abatino
abato	abato
abdiki	abdiki
abdiko	abdiko
abdomeno	abdomeno
abela	abela
abeledoj	abeledoi
abelejo	abeleio
abelino	abelino
abelisto	abelisto
abelmanĝulo	abelmandʒulo
abelo	abelo
abelreĝino	abelredʒino
abelŝedo	abelʃedo
abelsvarmo	abelsvarmo
abelujo	abeluio
aberacii	aberatsii
aberacio	aberatsio
abidarmo	abidarmo
abio	abio
abisma	abisma
abismo	abismo
abiturienta	abiturienta
abituriento	abituriento
ablacia	ablatsia
ablacio	ablatsio
ablativo	ablativo
abnegacia	abnegatsia
abnegacio	abnegatsio
aboco	abotso
abocolibro	abotsolibro
aboli	aboli
abolicii	abolitsii
abomena	abomena
abomenaĵo	abomenaʒo
abomeni	abomeni
abomeninda	abomeninda
abomeno	abomeno
aboni	aboni
abonigi	abonigi
abonilo	abonilo
abono	abono
aborigena	aborigena
aborigeno	aborigeno
aborta	aborta
abortaĵo	abortaʒo
aborti	aborti
abortigi	abortigi
aborto	aborto
abortulo	abortulo
abrakadabro	abrakadabro
abrikotarbo	abrikotarbo
abrikoto	abrikoto
abrikotujo	abrikotuio
abrotano	abrotano
abrupta	abrupta
absceso	abstseso
absciso	abstsiso
absideto	absideto
absido	absido
absintaĵo	absintaʒo
absinto	absinto
absoluta	absoluta
absolute	absolute
absolutismo	absolutismo
absolvi	absolvi
absolvo	absolvo
absorbi	absorbi
absorbiĝi	absorbidʒi
abstinado	abstinado
abstinenco	abstinentso
abstini	abstini
abstrakta	abstrakta
abstrakti	abstrakti
absurda	absurda
absurdo	absurdo
abunda	abunda
abundeco	abundetso
abundi	abundi
abundo	abundo
abutmento	abutmento
aĉa	atʃa
aĉaĵo	atʃaʒo
aĉakaturo	atʃakaturo
aĉ	atʃ
aceracoj	atseratsoi
acerba	atserba
acero	atsero
aĉetaĵo	atʃetaʒo
aĉetanto	atʃetanto
acetato	atsetato
aĉetebla	atʃetebla
aĉeti	atʃeti
acetileno	atsetileno
acetilo	atsetilo
aĉetisto	atʃetisto
aceto	atseto
acetono	atsetono
acida	atsida
acido	atsido
aĉiĝi	atʃidʒi
acipenseredoj	atsipenseredoi
acipenserformaj	atsipenserformai
acipensero	atsipensero
adaĝe	adadʒe
adaĝo	adadʒo
adam	adam
adamo	adamo
adapti	adapti
adaptilo	adaptilo
adasismo	adasismo
adekvata	adekvata
adeptigi	adeptigi
adepto	adepto
adhera	adhera
adheraĵo	adheraʒo
adheri	adheri
adhero	adhero
adianto	adianto
adiaŭ	adiau
adiaŭdiri	adiaudiri
adiaŭi	adiaui
adiciato	aditsiato
adicii	aditsii
adicio	aditsio
adjektivo	adjektivo
adjudanto	adjudanto
adjudiki	adjudiki
adjudiko	adjudiko
adjunkto	adjunkto
adjutanto	adjutanto
administracio	administratsio
administraj	administrai
administrantaro	administrantaro
administrejo	administreio
administri	administri
admiralitato	admiralitato
admiralo	admiralo
admiri	admiri
admitanco	admitantso
admoni	admoni
admono	admono
adobo	adobo
adoleskanto	adoleskanto
adoleski	adoleski
adolesko	adolesko
adoleskulo	adoleskulo
adolfo	adolfo
adolta	adolta
adolteco	adoltetso
adoltiĝi	adoltidʒi
adoltiĝo	adoltidʒo
adolto	adolto
adopti	adopti
adori	adori
adorkliniĝi	adorklinidʒi
adrenalino	adrenalino
adresanto	adresanto
adresaro	adresaro
adresato	adresato
adresi	adresi
adreso	adreso
adstringa	adstringa
adulta	adulta
adultado	adultado
adultaĵo	adultaʒo
adultema	adultema
adulti	adulti
adultigi	adultigi
adulto	adulto
adultulino	adultulino
adultulo	adultulo
advento	advento
adverbo	adverbo
advokato	advokato
adzo	adzo
aedo	aedo
aera	aera
aerarmeo	aerarmeo
aerkondukilo	aerkondukilo
aero	aero
aerobia	aerobia
aerodromo	aerodromo
aerofloto	aerofloto
aerokondukilo	aerokondukilo
aerolito	aerolito
aerometro	aerometro
aeronaŭtiko	aeronautiko
aeronaŭto	aeronauto
aeroplano	aeroplano
aerostato	aerostato
aerpirato	aerpirato
aerpumpilo	aerpumpilo
aerŝipo	aerʃipo
aerŝtono	aerʃtono
aertransporto	aertransporto
aerumi	aerumi
afabla	afabla
afazio	afazio
afekcia	afektsia
afekcii	afektsii
afekcio	afektsio
afekta	afekta
afektaĵo	afektaʒo
afektema	afektema
