--من	mæn
-آره	ɑːrɛ
-اما	æmɑ
-اون	ɑn
-اين	æjˈn
-به	be
-تو	teu
-ما	ˈmɑ
-من	men
-نه	ne
-و	v
.اسب	aːsb
.ضرر	zæɾæɾ
.طاووس	tˈɔvuz
«هی	he
«هی	hej
«پاس	pɑs
ء	ʔ
آ	ɑː
آآ	ɑː
آآآ	ɑː
آآآآ	ɑː
آآآآه	ɑːh
آآآم	ɑːm
آآآه	ɑːh
آآم	ɑːm
آآه	ɑːh
آؤه	ɑːu
آئت	ɑːɑt
آئرورا	ɑːjɾuːɾɑ
آئودا	ɑːuːdɑː
آئورا	ɑːˈjuːɾɑ
آئورت	ɑːvɾet
آئين	ɑːjɪn
آئينه	ɑːjeːne
آئین	ɑːˈʔiːn
آاا	ɑː
آااه	ɑːh
آاه	ɑːh
آب	ɑːb
آب	ɒːb
آبا	ɑːbɑː
آباد	ɑːbɑːd
آباد	ɒːbɒːd
آبادانيها	ɑbɑdɑːniːe̞æ
آبادساختن	ɑːbɑːdsɑːxtæn
آبادسازی	bɑːbɑːzɑːziː
آبادند	ɑːbɑːdænd
آباده	ɑːbɑːde
آبادي	ɑːbɑːdiː
آبادی	ɑbɑːˈdiː
آبادی‌نشین	ɑːbɑːdiːne̞ʃiːn
آبت	ɑːbæt
آبتابه	ɑːbtɑːbɪ
آبتو	ɑːbˈtuː
آبجامه	ɑːbdʒɑːnæ
آبجوئه	ɑːbʒuːje
آبجوها	ɑːbdʒuːhɑː
آبجوي	ɑːbˈdʒuːj
آبجويي	ɑːbʒuːjiː
آبجوی	ɑːbʒuːj
آبجي	ɑːbˈdʒi
آبجی	ɑːbdʒiː
آبجی	ɑːbˈdʒi
آبخوار	ɑːkxɑːr
آبخورد	nɑxvm
آبخورد	ɑːbxʊɾ
آبخوری	ɑːbxʊːri
آبخوری	ɑːχoːri
آبخیز	ɑpʃiz
آبداده	ɑːbɑːdɑːde
آبدار	ɑːbˈdɑːr
آبدارخانه	ɑːbdɑːrxɑːnæt
آبدستان	ɑːbdæstɑːn
آبدندان	ɑbdændɑːn
آبرامز	ɑːbɾɑːmz
آبراه	ɑːbɾɑːh
آبراهام	ɑːbɾɑːhɑːm
آبرو	ɑːbɾo
آبرو	ɑːb̪e̞ɾæv
آبروت	ɑːbɾuːt
آبروخواه	ɑːbruxɑ
آبروريزي	ɑːbɾoːɾizi
آبروریزی	ɑːbɾuːɾiːzi
آبروزي	ɑːbɾuːzi
آبروش	ɑːbɾuːʃ
آبروم	ɑːbɾuːm
آبرومند	ɑːbɾoːmænd
آبرومندانه	ɑːbɾoːmændɑːne
آبرومون	ɑːbɾoːˈmuːn
آبروي	ɑːbɾuːj
آبرويي	ɑːbɾuːjiː
آبروی	ɑːbɾuːje
آبروی	ɑːbɾuːˈji
آبري	ɑːbri
آبريز	abɾiz
آبری	ɑːbriː
آبریزه	ɑːbizɛ
آبریکان	ɑːbɾiːkɑːn
آبزن	ɑːbzæn
آبزه	ɑːfˈzɑ
آبساب	ɑːbsab
آبستن	ɑːbistæn
آبستن	ɑːbɪsˈt̪ʰe̞n
آبسرد	ɑːbsɑːɾd
آبسه	ɑːbse
آبش	ɑːbʃ
آبشار	ɑːbæˈʃɑːr
آبشارها	ɑːbʃɑːrɑː
آبشخور	ɑːbeʃxoɾ
آبشش	ɑːbʃeʃ
آبشش	ɒbʃoʃ
آبشن	ɑːbʃænd
آبشون	ɑːbʃon
آبعلی	ʔɒːpli
آبفشان	ɑːbfeʃɑːn
آبل	ɑːbæl
آبلـه	ɑbele
آبله	ɑːbele
آبله‌رو	ɑːbəlɾuː
آبلیمو	ɑːbliːməʊ
آبم	ɑːbem
آبمون	ɑːbˈmuːn
آبميوه	ɑːbmiˈjuːh
آبمیوه	ɑːbmiːwe
آبمیوه	ɑːmiːbe
آبنبات	ɑːbnæbɑːt
آبنبات	ɑːbænbɑːt
آبنباتي	ɑːbænbɑːti
آبنباتی	ʔɒnɑːbˈtiː
آبنما	ɑːbnæmɑ
آبه	ɑːbe
آبها	ɑːbhɑː
آبهاي	ɑːbhaːjeː
آبهاي	ɑːbæhɑːj
آبهای	ɑːbhɑj
آبهي	ɑːbej
آبو	ɑːbuː
آبوت	ɑːbʊt
آبونمان	ɑɣ̞unmon
آبي	ɑːbiː
آبياري	ɑːbiejɑːri
آبيش	ɑːbiːʃ
آبيك	ɑːmjøk
آبيلين	ɑːbɪˈlɪn
آبيه	ɑːbiː
آبيِ	ɑːbiː
آبِ	ɑːb
آبپاش	ɑːbæpɑʃ
آبپاش	ɑːpɑʃ
آبپاشان	ɑːpɑːʃɑːn
آبپز	ɑːbˈpez
آبچین	potʃim
آبک	ɑːbæk
آبکافتی	ɑːbkɑːfiː
آبکش	ɑːbgeʃ
آبکنار	ɒːbke̞nɒːɾ
آبکي	ɑːbeɪ̯
آبکی	ɑːbˈki
آبگار	abgar
آبگرم	ɑːbgæɾm
آبگوشت	ɑːbgoʃt
آبگير	ɑːbgeɪr
آبگير	ɑːbgˈiːr
آبگیر	ɑbgi̯r
آبی	ɑːbiː
آبیه	ɑːbie
آبیِته	abiete
آب‌زیرکاه	ɑːbziːɾkɑːx
آب‌شش	ɑpʃoz
آب‌ها	ɑːbxɑ
آب‌گذر	ɑːbgozæɾ
آت	ɑt
آتا	ɑːtɑː
آتاري	ɑːtɑːriː
آتش	ɑːt̪eʃ
آتش	ɑːt̪ʃ
آتش	ɒːtæʃ
آتشبار	ɑːt̪ʃbɑːr
آتشباری	bɑtʃbɑːri
آتشخوار	ɑːt̪ʃxɑːr
آتشدان	ɑːt̪ʃdɑːn
آتشزا	ɑːt̪eʃˈzɑː
آتشسوزي	ɑːt̪eʃsoːzi
آتشش	ɑːt̪eʃeʃ
آتشفام	ɑːt̪ʃvɑːm
آتشفشان	ɑːt̪eʃfeˈʃɑːn
آتشفشاني	ɑːteʃfeʃɑːniː
آتشفشانی	ɑt̪eʃfeˈʃɑni
آتشفشانی	ɑːt̪ʃfʃɑːniː
آتشنشاني	ɑːtʃeʃæˈniː
آتشنشانی	ɑːtʃeʃnɑːni
آتشه	ɑːt̪eʃe
آتشي	ɑːtˈtʃi
آتشين	ɑːt̪eʃin
آتشپاره	ɑːtæʃpɒːɾe
آتشک	ɑːtæʃæk
آتشکار	ɑːt̪ʃkɑːr
آتشگردان	ɑːt̪ʃgæɾdɑːn
آتشی	ɑtˈʃiː
آتشی	ɑːtæʃiː
آتشین	ɑːtʃæˈne
آتشین	ɑːt̪eʃiːn
آتش‌نشان	ɑːt̪e̞ʃne̞ʃɑːn
آتل	ɑːtɪl
آتلانتيک	ɑːt̪lɑːn̪ˈt̪iːk
آتلانتیک	ɑːt̪lɑːn̪ˈt̪iːk
آتليه	ɑt̪eˈliːe
آتليه	ɑːt̪ɑːliːe
آتن	aːten
آتنا	ɑːte̞ne̞
آتني	ɑːt̪eːniː
آتو	ɑːtʊ
آتوبات	ɑtɑbɑt
آتوس	ɑtɔs
آتول	ɑːtul
آتوود	ɑːtʊːd
آتي	ɑːtiː
آتيش	ɑːtiːʃ
آتيشت	ɑːtiːʃt
آتيشش	ɑːt̪iːˈʃeʃ
آتيشه	ɑːt̪iːˈʃe
آتيشو	ɑːt̪iːˈʃu
آتيشي	ɑːtiːˈʃiː
آتينا	ɑːtiːnɑː
آتی	ɑːtiː
آتیش	pɑːtʃ
آتیش	ɑːtiːʃ
آتیشش	ɑːtiːʃeʃ
آتیشی	ɑːtiːˈʃiː
آتیه	ɑːtiːje
آثار	asoɾ
آثار	ɑːtæɾ
آثار	ɒːsɒːɾ
آثارش	ɑːtæɾeʃ
آثاري	ɑːθɑːriː
آجانتا	ɑːdʒɑːntɑː
آجاي	ɑːdʒɑːj
آجر	ɑːɣer
آجري	ɑːɣɾiː
آجودان	ɑːdɕuːdɑːn
آجودانیه	aːgʊdɑːniːe
آجوما	ɑːdʒuːmɑː
آجي	ɑːdʒi
آجُر	ɑːdʒʊr
آجیده	ɑːgide
آجیل	ɑːdʒiːl
آجیل	ɑːgɪl
آجین	ɒːdʒiːn
آحاد	ɑːhɑː
آخ	ax
آخ	ɑːx
آخال	ɑːhɑːl
آخت	ɒːxt
آختم	ɒːxtæm
آختند	ɒːxtænd
آختهام	ɒːxte̞æm
آختهاند	ɒːxte̞ænd
آختهای	ɒːxte̞iː
آختهاید	ɒːxte̞iːd
آختهایم	ɒːxte̞iːm
آختی	ɒːxtiː
آختید	ɒːxtiːd
آختیم	ɒːxtiːm
آخر	ɑːxɾ
آخر	ɒːxæɾ
آخرالزمان	ɑːxæɾɑzˈmɑːn
آخراي	ɑkˈhæɾɑj
آخرته	ɑkˈhæɾtæ
آخرسر	ɑkˈhæɾˈsæɾ
آخرش	ɑkˈhæɾeʃ
آخرشم	ɑkˈhæɾʃæm
آخرشه	ɑkˈhæɾeʃe
آخرشون	ɑkʰlɪʃɔn
آخرم	ɑkˈhæɾm
آخرمه	ɑkʰlɑmæ
آخرمون	ɑkʰlɪmˈuːn
آخرو	ɑːxro
آخري	ɑːxri
آخريش	ɑːxɾiːʃ
آخريشه	ɑːxɾiːˈʃe
آخرين	æˈxæɾiːn
آخريه	ɑːxɾiːjæ
آخریش	ɑkˈhæriʃ
آخرین	ɒːxæɾiːn
آخور	axoɾ
آخور	ɑːxɔːr
آخوندک	ɑːxundek
آخوندی	ɑːxndi
آخي	ɑːxɪ
آخيش	ɑːxɪʃ
آخی	ɑːχɪj
آخیش	ɑːxɪʃ
آد	ɑːd
آدا	ɑːdɑː
آداب	ɑːdɑːb
آداليند	ɑːdɑːlɪnd
آدام	ɑːdæm
آدامز	ɑːdæmæz
آدامس	ɑːdæm
آدامس	ɑːdæmæs
آداچر	ɑːdɑːtʃeɾ
آدخ	ɑːdəx
آدرس	ɑːd̪æres
آدرست	ɑːd̪ɾest
آدرستون	ɑːdɾesˈt̪ʰon
آدرسش	ɑːd̪æresʃ
آدرسشو	ɑːd̪æresˈʃo
آدرسه	ɑːd̪eɾˈse
آدرسو	ɑːdæresu
آدرسي	ɑːdæɾˈsiː
آدرسِ	ɑːdæresi
