aakkonen	ˈɑɑkkonen
aakkosellinen	ˈɑɑkkoˌsellinen
aakkosellisesti	ˈɑɑkkoˌselliˌsesti
aakkosellisuus	ˈɑɑkkoˌsellisuus
aakkosittain	ˈɑɑkkoˌsittɑin
aakkosjärjestys	ˈɑɑkkosˌjærjestys
aakkosnumeerinen	ˈɑɑkkosnuˌmeerinen
aakkostaa	ˈɑɑkkostɑɑ
aakkosto	ˈɑɑkkosto
aakkostus	ˈɑɑkkostus
ääliö	ˈææliø
ääliömäinen	ˈææliøˌmæinen
ääliömäisesti	ˈææliøˌmæisesti
ääliömäisyys	ˈææliøˌmæisyys
aalloittain	ˈɑɑlloittɑin
aalloittainen	ˈɑɑlloitˌtɑinen
aalloittaisuus	ˈɑɑlloitˌtɑisuus
aallokas	ˈɑɑllokɑs
aallokko	ˈɑɑllokko
aallonharja	ˈɑɑllonˌhɑrjɑ
aallonmurtaja	ˈɑɑllonˌmurtɑjɑ
aallonpituus	ˈɑɑllonˌpituus
aallonpohja	ˈɑɑllonˌpohjɑ
aallota	ˈɑɑllotɑ
aallotar	ˈɑɑllotɑr
aallottaa	ˈɑɑllottɑɑ
aallotus	ˈɑɑllotus
aaloe	ˈɑɑloe
aaltoallas	ˈɑɑltoˌɑllɑs
aaltoalue	ˈɑɑltoˌɑlue
aalto	ˈɑɑlto
aaltoenergia	ˈɑɑltoeˌnergiɑ
aaltoilla	ˈɑɑltoillɑ
aaltoilu	ˈɑɑltoilu
aaltolevy	ˈɑɑltoˌlevy
aaltoliike	ˈɑɑltoˌliike
aaltopahvi	ˈɑɑltoˌpɑhvi
aaltopelti	ˈɑɑltoˌpelti
aaltopituus	ˈɑɑltoˌpituus
aaltosulje	ˈɑɑltoˌsulje
aaltosulku	ˈɑɑltoˌsulku
aaltosulkumerkki	ˈɑɑltoˌsulkuˌmerkki
aaltoviiva	ˈɑɑltoˌviivɑ
aaltovoimala	ˈɑɑltoˌvoimɑlɑ
aamen	ˈɑɑmen
aamiainen	ˈɑɑmiˌɑinen
aamiaismajoitus	ˈɑɑmiˌɑismɑˌjoitus
aamiaistapaaminen	ˈɑɑmiˌɑistɑˌpɑɑminen
aamiaistunti	ˈɑɑmiˌɑistunti
aamuaskare	ˈɑɑmuˌɑskɑre
aamuateria	ˈɑɑmuˌɑteˌriɑ
aamu	ˈɑɑmu
aamuhämärä	ˈɑɑmuˌhæmæræ
aamuhartaus	ˈɑɑmuˌhɑrtɑus
aamuinen	ˈɑɑmuinen
aamuisin	ˈɑɑmuisin
aamujumalanpalvelus	ˈɑɑmuˌjumɑˌlɑnpɑlˌvelus
aamujuna	ˈɑɑmuˌjunɑ
aamukahdeksan	ˈɑɑmuˌkɑhdeksɑn
aamukahvi	ˈɑɑmuˌkɑhvi
aamukampa	ˈɑɑmuˌkɑmpɑ
aamukaste	ˈɑɑmuˌkɑste
aamukylmä	ˈɑɑmuˌkylmæ
aamulähetys	ˈɑɑmuˌlæhetys
aamulämpö	ˈɑɑmuˌlæmpø
aamulehti	ˈɑɑmuˌlehti
aamulenkki	ˈɑɑmuˌlenkki
aamullinen	ˈɑɑmulˌlinen
aamulypsy	ˈɑɑmuˌlypsy
aamunavaus	ˈɑɑmuˌnɑvɑus
aamunkoite	ˈɑɑmunˌkoite
aamunkoitto	ˈɑɑmunˌkoitto
aamunraikas	ˈɑɑmunˌrɑikɑs
aamunsarastus	ˈɑɑmunsɑˌrɑstus
aamuntorkku	ˈɑɑmunˌtorkku
aamunvirkku	ˈɑɑmunˌvirkku
aamupahoinvointi	ˈɑɑmupɑˌhoinvointi
aamupäivä	ˈɑɑmuˌpæivæ
aamupäivisin	ˈɑɑmuˌpæivisin
aamupala	ˈɑɑmuˌpɑlɑ
aamupesu	ˈɑɑmuˌpesu
aamupuoli	ˈɑɑmuˌpuoli
aamurusko	ˈɑɑmuˌrusko
aamuruuhka	ˈɑɑmuˌruuhkɑ
aamusella	ˈɑɑmuˌsellɑ
aamutähti	ˈɑɑmuˌtæhti
aamutakki	ˈɑɑmuˌtɑkki
aamutohveli	ˈɑɑmuˌtohveli
aamutorkku	ˈɑɑmuˌtorkku
aamutossu	ˈɑɑmuˌtossu
aamutuimaan	ˈɑɑmuˌtuimɑɑn
aamu-uninen	ˈɑɑmuuˌninen
aamu-unisuus	ˈɑɑmuuˌnisuus
aamu-uutiset	ˈɑɑmuuˌutiset
aamuvarhain	ˈɑɑmuˌvɑrhɑin
aamuvarhainen	ˈɑɑmuvɑrˌhɑinen
aamuvartio	ˈɑɑmuˌvɑrtio
aamuvirkku	ˈɑɑmuˌvirkku
aamuvoimistelu	ˈɑɑmuˌvoimisˌtelu
aamuvuoro	ˈɑɑmuˌvuoro
aamuyö	ˈɑɑmuyø
ääneen	ˈææneen
äänekäs	ˈæænekæs
äänekkäästi	ˈæænekˌkææsti
äänekkyys	ˈæænekkyys
äänellinen	ˈæænelˌlinen
ääneneriste	ˈææneneˌriste
ääneneristys	ˈææneneˌristys
äänenjohde	ˈæænenˌjohde
äänenjohtaja	ˈæænenˌjohtɑjɑ
äänenkannattaja	ˈæænenˌkɑnnɑtˌtɑjɑ
äänenkantama	ˈæænenˌkɑntɑmɑ
äänenkäyttö	ˈæænenkæˌyttø
äänenkorkeus	ˈæænenˌkorkeus
äänenkuljetus	ˈæænenˌkuljetus
äänenlaatu	ˈæænenˌlɑɑtu
äänenmuodostus	ˈæænenˌmuodostus
äänenmuokkaus	ˈæænenˌmuokkɑus
äänenmuokkauslaite	ˈæænenˌmuokkɑusˌlɑite
äänenmuokkaustekniikka	ˈæænenˌmuokkɑˌustekˌniikkɑ
äänenmurros	ˈæænenˌmurros
äänenpaine	ˈæænenˌpɑine
äänenpaino	ˈæænenˌpɑino
äänenpitävä	ˈæænenˌpitævæ
äänenpitävästi	ˈæænenˌpitæˌvæsti
äänenpitävyys	ˈæænenˌpitævyys
äänensävy	ˈæænenˌsævy
äänentallennus	ˈæænenˌtɑllennus
äänentallennustekniikka	ˈæænenˌtɑllenˌnustekˌniikkɑ
äänentoisto	ˈæænenˌtoisto
äänentoistolaite	ˈæænenˌtoistoˌlɑite
äänentoistolaitteisto	ˈæænenˌtoistoˌlɑitteisto
äänentoistotekniikka	ˈæænenˌtoistotekˌniikkɑ
äänenvaimennin	ˈæænenˌvɑimennin
äänenvaimennus	ˈæænenˌvɑimennus
äänenväri	ˈæænenˌværi
äänenvoimakkuus	ˈæænenˌvoimɑkkuus
äänes	ˈæænes
äänestää	ˈæænestææ
äänestäjä	ˈæænesˌtæjæ
äänestys	ˈæænestys
äänestysalue	ˈæænesˌtysɑˌlue
äänestysesitys	ˈæænesˌtyseˌsitys
äänestyskäyttäytyminen	ˈæænesˌtyskæytˌtæytyˌminen
äänestyskelpoinen	ˈæænesˌtyskelˌpoinen
äänestyskone	ˈæænesˌtyskone
äänestyslippu	ˈæænesˌtyslippu
äänestysoikeus	ˈæænestyˌsoikeus
äänestyspaikka	ˈæænestysˌpɑikkɑ
äänestyspäivä	ˈæænestysˌpæivæ
äänestysprosentti	ˈæænesˌtysproˌsentti
äänestystulos	ˈæænesˌtystulos
ääneti	ˈææneti
äänetön	ˈæænetøn
äänettömästi	ˈæænettøˌmæsti
äänettömyys	ˈæænetˌtømyys
ääniaalto	ˈææniˌɑɑlto
ääni	ˈææni
ääniaines	ˈææniˌɑines
ääniala	ˈææniˌɑlɑ
äänialue	ˈææniˌɑlue
ääniaukko	ˈææniɑˌukko
ääniefekti	ˈæænieˌfekti
äänielin	ˈæænielin
äänielokuva	ˈæænieˌlokuvɑ
äänieristää	ˈæænieˌristææ
äänieriste	ˈæænieˌriste
äänieristys	ˈæænieˌristys
äänifilmi	ˈææniˌfilmi
äänigeneraattori	ˈææniˌgeneˌrɑɑttori
äänihäiriö	ˈææniˌhæiriø
ääniharava	ˈææniˌhɑrɑvɑ
äänihuuli	ˈææniˌhuuli
äänihuulikyhmy	ˈææniˌhuuliˌkyhmy
äänijänne	ˈææniˌjænne
äänikenttä	ˈææniˌkenttæ
äänikerta	ˈææniˌkertɑ
äänikirja	ˈææniˌkirjɑ
