!sil	sˈil
'c'que	skə
'j'ai	ʒe
'l'appartement	lapaʁtəmˈɑ̃
_armana	aʁmanˈa
_ici	isˈi
_ils	ilz
_revue	ʁəvˈy
a	a
a-t-elle	atɛl
a-t-il	atil
a-t-on	atɔ̃n
a-til	atˈil
aa	aˈa
aai	aˈe
ab	ˈab
abad	abˈad
abaissa	abɛsˈa
abaissaient	abɛsˈɛt
abaissait	abɛsˈɛt
abaissant	abɛsˈɑ̃
abaisse	abˈɛs
abaissement	abɛsmˈɑ̃
abaissements	abɛsmˈɑ̃z
abaissent	abˈɛst
abaisser	abɛsˈe
abaisserait	abɛsʁˈɛt
abaissèrent	abɛsˈɛʁt
abaissé	abɛsˈe
abaissée	abɛsˈe
abaissées	abɛsˈez
abaissés	abɛsˈez
abandon	abɑ̃dˈɔ̃
abandonna	abɑ̃dɔnˈa
abandonnaient	abɑ̃dɔnˈɛt
abandonnait	abɑ̃dɔnˈɛt
abandonnant	abɑ̃dɔnˈɑ̃
abandonne	abɑ̃dˈɔn
abandonnement	abɑ̃dɔnmˈɑ̃
abandonnent	abɑ̃dˈɔnt
abandonner	abɑ̃dɔnˈe
abandonnera	abɑ̃dɔnʁˈa
abandonnerai	abɑ̃dɔnʁˈe
abandonneraient	abɑ̃dɔnʁˈɛt
abandonnerait	abɑ̃dɔnʁˈɛt
abandonneras	abɑ̃dɔnʁˈaz
abandonneriez	abɑ̃dɔnəʁjˈez
abandonnerons	abɑ̃dɔnʁˈɔ̃z
abandonneront	abɑ̃dɔnʁˈɔ̃t
abandonnes	abɑ̃dˈɔnz
abandonnez	abɑ̃dɔnˈez
abandonnez-moi	abɑ̃dɔnˈemwˌa
abandonnez-vous	abɑ̃dɔnˈevuz
abandonniez	abɑ̃dɔnjˈez
abandonnons-nous	abɑ̃dɔnˈɔ̃nuz
abandonnât	abɑ̃dɔnˈaː
abandonnèrent	abɑ̃dɔnˈɛʁt
abandonné	abɑ̃dɔnˈe
abandonnée	abɑ̃dɔnˈe
abandonnées	abɑ̃dɔnˈez
abandonnés	abɑ̃dɔnˈez
abasourdi	abazuʁdˈi
abasourdie	abazuʁdˈi
abasourdis	abazuʁdˈi
abasourdit	abazuʁdˈi
abat	abˈa
abat-jour	abˈaʒˈuʁ
abatis	abatˈi
abats	abˈaz
abattage	abatˈaʒ
abattait	abatˈɛt
abattant	abatˈɑ̃
abatte	abˈat
abattement	abatmˈɑ̃
abattements	abatmˈɑ̃z
abattent	abˈatt
abattez	abatˈez
abattirent	abatˈiʁt
abattit	abatˈi
abattoir	abatwˈaʁ
abattoirs	abatwˈaʁz
abattra	abatʁˈa
abattrait	abatʁˈɛt
abattre	abˈatʁ
abattront	abatʁˈɔ̃t
abattu	abatˈy
abattue	abatˈy
abattues	abatˈyz
abattus	abatˈy
abbas	abˈaz
abbaye	abˈaj
abbes	ˈabz
abbesse	abˈɛs
abbesses	abˈɛsz
abbeville	abvˈil
abbeville-saint-lucien	abvˈilsˈɛ̃lysjˈɛ̃
abbé	abˈe
abbés	abˈez
abbés-tanguy	abˈetɑ̃gˈi
abc	ˌabˌesˈe
abcès	absˈɛ
abd	ˈabd
abd-el-kader	ˈabdɛlkadˈe
abdallah	abdalˈa
abdel	abdˈɛl
abdelaziz	abdlazˈiz
abdeslam	abdəslˈam
abdication	abdikasjˈɔ̃
abdiquant	abdikˈɑ̃
abdique	abdˈik
