's	s̪
a	a
a	ə
aba	apə
abaich	apɪç
abair	apɪɾʲ
abhainn	awɪɲ
abhainn	aɪɲ
acair	axkɪɾʲ
acaire	axkɪɾʲə
acasan	aʰkəs̪ən̪
acfhainn	axkɪɲ
achadh	ax
achadh	axəɣ
acras	aʰkʰɾəs̪
adag	at̪ak
adhar	aəɾ
adharc	ɤəɾk
adhbharaich	ɤːvəɾɪç
adhbrann	ɤːpɾən̪ˠ
afganastan	afɣanəst̪aːn
afghanastàn	afɣanəst̪aːn
ag	ag
agad	ajət̪
agad	akət̪
agad	aɣəd
agadsa	ajət̪s̪ə
agadsa	akət̪s̪ə
agadsa	at̪s̪ə
agaibh	aku
agaibh	akɪ
agaibh	akɪv
agaibhse	akɪvʃə
againn	akɪɲ
againn	aɣɪɲ
againn	aɪɲ
againne	akɪɲə
agair	akɪrʲ
agairt	akɪɾʲtʲ
agallamh	akəl̪ˠəv
agam	akəm
agam	am
agam	aɣəm
agamsa	akəms̪ə
agamsa	akəməs̪
agamsa	ams̪ə
agus	akəs
agus	aɣəs
aibhne	aivɲɪ
aice	ɛʰkʲə
aicese	ɛʰkʲəʃə
aifreann	afrʲənˠ
aig	ɛkʲ
aige	ɛkʲə
aigeal	akʲəl̪ˠ
aigesan	ɛkʲəs̪ən̪
aigne	acɲə
aigneas	akʲn̪əs̪
ailbhean	ɛl̪ɛvan
ailbheanan	ɛl̪ɛvanən
ailean	alan
ailean	ɛlɛn
ailidh	alɪ
ailis	alɪʃ
aillse	aɪlʃʲə
ailm	alam
ailt	altʲ
ailtire	aʎtʲɪɾʲə
aimhreid	aivɾʲɪtʲ
ainbheach	ɛnɛvəx
aindeònach	aɲɔnəx
ainm	anam
ainm	ɛnɛm
ainneamh	an̪ˠəv
ainneart	aɲəɾʃt̪
ainneartaich	aɲəɾʃt̪ɪç
aintighearna	aɲdʲɪjərˠn̪ˠə
aintighearnas	aɲdʲɪjərˠn̪ˠəs
air	ɛrʲ
aire	aɾʲə
airgead	ɛɾʲɛkʲət
airidh	arʲɪ
airson	ərs̪ɔn
aiseag	aʃək
aisling	aʃlɪgʲ
aisling	aʃlɪŋʲgʲ
aisling	aʃlɪɲ
aiste	aʃtʲə
aistese	aʃtʲəʃə
aithris	aɾʲɪʃ
alasdair	al̪ˠəs̪t̪ɪɾʲ
alba	al̪ˠəpə
albannach	al̪ˠapən̪ˠəx
alcol	aɫ̪kʰɔɫ̪
alcolach	aɫ̪kʰɔɫ̪ax
allas	al̪ˠəs̪
allt	auɫ̪t
amadan	amat̪an
amaideach	amatʲəx
amaideachd	amətʲəxk
amh	af
amharc	ãvəɾk
amharc	ãũəɾk
amhran	ãũɾan
an	an
an	ən
anabarrach	anaparˠəx
analachadh	ənaləxə
anam	anam
angaidh	aŋkɪ
anmhann	anavən̪ˠ
ann	aun̪ˠ
ann	ãũn̪ˠ
anna	an̪ˠa
anna	an̪ˠə
annad	an̪ˠət̪
annad	un̪ˠət̪
annag	an̪ˠak
annaibh	an̪ˠɪv
annaibh	un̪ˠɪv
annainn	an̪ˠɪɲ
annainn	un̪ˠɪɲ
annam	an̪ˠəm
annam	un̪ˠəm
annasach	an̪ˠəs̪əx
anndra	ãũn̪ˠt̪ɾə
annta	uːn̪ˠt̪ə
aodach	ɯːt̪əx
aodann	ɯːt̪ən̪ˠ
aodh	ɯːɣ
aoghaire	ɯːɛɾʲ
aoine	ɯːɲə
aon	ɯ̃ːn
aonair	ɯ̃ːnəɾʲ
aonar	ɔ̃ːnəɾ
aonar	ɯ̃ːnəɾ
aontamhach	ɯːn̪t̪ʰəvəx
aontamhachd	ɯːn̪t̪ʰəvəxk
aosda	ɯstə
aotrom	ɯːtɾəm
aotruime	ɯːtɾɪmə
ar	aɾ
ar	əɾn
arbhar	aɾavəɾ
arsa	arˠs̪ə
arsa	ɔrˠs̪ə
art	arˠʃt̪
asad	as̪ət̪
asadsa	as̪ət̪s̪ə
asaibh	as̪əv
asaibhse	as̪əvʃə
asainn	as̪ɪɲ
asainne	as̪ɪɲə
asal	as̪al̪ˠ
asam	as̪əm
asamsa	as̪əms̪ə
asarbaideàn	asərpɪdʲaːn
asgaidh	as̪kɪ
asta	as̪t̪ə
astasan	as̪təs̪ən
athair	ahəɾʲ
b	p
bab	pap
babaidh	papɪ
bacadh	paʰkəɣ
bachall	paxəl̪ˠ
bachrain	baxrɛɲ
baga	bakə
bagairt	pakərʃtʲ
baile	palə
baile	pɛlə
bainne	paɲə
bainne	pɔɲə
bainne	pɛɲə
baintighearna	bantʃjarnə
baist	paʃtʲ
baisteadh	paʃtʲəɣ
balach	pal̪ˠəx
balaich	pal̪ˠɪç
balbh	pal̪ˠav
balla	paɫ̪ə
banachdaichean	banəxgəxʲən
banais	pan̪ˠɪʃ
banais	pɛn̪ˠɪʃ
baoghalta	bɯːəltə
baoiseachd	pɯːʃaxk
baoth	pɯː
barabal	paɾapəl̪ˠ
barail	baral
barra	parˠə
barraigh	baraj
basan	pas̪an
basan	pas̪ən
basgaid	paskɪtʲ
bathar	pahar
beach	pɛx
beachan	pɛxan
beachd	pɛxk
beachdan	pɛxkən
bealach	pjaɫ̪əx
bealaidh	pɛl̪ˠɪ
bealaruisis	bjal̪ˠəruʃɪʃ
bealltainn	b̥jauɫ̪t̪ɪɲ
beann	pjaun̪ˠ
beanntan	pjãũn̪ˠt̪ən
beart	pjarˠʃt̪
beatha	pɛhə
beathach	pɛhəx
beathag	pɛhak
beathaichean	pɛhɪçən
beathan	pʲahan
beileag	pelak
beilear	bel̪əɾ
beileas	bel̪əs̪
beingidh	peiŋʲkʲɪ
beinn	peiɲ
beinn	pɤiɲ
beinne	peɲə
beithir	peɪɾʲ
beul	piaɫ̪
beurla	bjɤːrˠl̪ˠə
beus	peːs
beusach	peːsəx
beàrn	pjaːrˠn̪ˠ
beò	pjɔː
bha	va
bha	vaː
bhalaich	val̪ˠɪç
bhall	vaul̪ˠ
bhatar	vaʰt̪əɾ
bhathar	vaəɾ
bheachd	vɛxk
bheag	vek
bhealach	vjaɫ̪əx
bhean	vɛn
bheatha	vɛhə
bheil	vel̪
bheilear	vel̪əɾ
bheileas	vel̪əs̪
bheinn	veiɲ
bheir	veɾʲ
bhi	vi
bhiodh	viɣ
bhiodh	vjəɣ
bhiodh	vəɣ
bhiomaid	vimɪtʲ
bhitheadh	viəɣ
bhitheas	viəs̪
bhithinn	vihiɲ
bhlàth	vl̪ˠaː
bho	vɔ
bhogsa	voks̪ə
bhon	vɔn̪ˠ
bhotal	vɔhtəl̪ˠ
bhreab	vɾʲep
bhreatainn	vɾʲɛht̪ɪɲ
bhriogais	vɾʲikɪʃ
bhris	vɾʲiʃ
bhriseadh	vɾʲiʃəɣ
bhriste	vɾʲiʃtʲə
bhruichealachd	vɾuçəl̪ˠəxk
bhruidhinn	vɾiɪɲ
bhuail	vuɪl
bhuam	vuəm
bhuat	vuəht̪
bhuidhe	vujə
bhun	vun
bhunadh	vunəɣ
bi	pi
biadh	piəɣ
biastag	piəstak
bidse	pɪtʲə
bigein	pikʲɪɲ
bioda	bidə
biomaid	pimɪtʲ
bithear	piəɾ
bitheas	piəs̪
bithinn	pihiɲ
blasta	pl̪ˠas̪t̪ə
bleideag	pletʲak
bliadhna	bliən̪ˠə
blialam	pliəɫ̪əm
bliochdan	plixkan
blàr	bɫ̪aːɾ
blàth	pl̪ˠaː
boc	pɔxk
bod	pɔt
bodach	pɔt̪əx
bodhar	poəɾ
bogha	poə
bogsa	poks̪ə
boireann	pɔɾʲən̪ˠ
boireannach	pɔɾʲən̪ˠəx
bonaid	pɔnatʲ
bonn	pɔun̪ˠ
bonnach	bonəx
borb	pɔrɔp
botal	pɔhtəl̪ˠ
bothan	pɔhan
bracaist	pɾaxkəʃtʲ
bradan	pɾatan
braim	pɾɤim
brama	pɾamə
branndaidh	pɾãũn̪ˠt̪ɪ
braon	pɾɯːn
brat	pɾaht̪
bratach	pɾaht̪əx
brath	pɾah
breab	pɾʲep
breabadh	pɾʲepəɣ
breac	pɾʲɛxk
breacag	pɾʲɛxkak
breisleachail	brɛʃlʲaxal
breith	pɾʲeh
briathar	pɾʲiəhəɾ
briathrach	prʲiərəx
brice	prʲiʰkʰʲə
briogais	pɾʲikɪʃ
briosgaid	pɾʲiskɪtʲ
bris	pɾʲiʃ
briseadh	pɾʲiʃəɣ
briste	pɾʲiʃtʲə
britheamh	pɾʲihəv
broc	pɾɔʰk
brochan	pɾɔxan
broilleach	pɾɔʎəx
broinn	pɾəiɲ
brot	pɾɔht̪
bruach	pɾuə̯x
bruadair	pɾuət̪ɪɾʲ
bruadar	pɾuət̪əɾ
bruic	pɾuçkʲ
bruich	pɾuç
bruichealachd	pɾuçəl̪ˠəxk
bruicheil	pruçal
bruidhinn	pɾiɪɲ
bruidhnibh	pɾiɲɪv
bruis	pɾuʃ
brà	pɾaː
brèagha	pɾʲiə
brìde	pɾʲiːt̪ʲə
brìghde	pɾʲiːʝtʲə
bròg	pɾɔːk
brògan	pɾɔːkən
brònach	pɾɔːnəx
brùid	b̥ruːdʲ
bu	pu
buabhaill	puəəl
buachaill	puəçɪʎ
buadhair	puəɣɛɾʲ
buaidh	puəj
buail	puɪl
buain	puəɲ
bualadh	puəl̪ˠəɣ
buan	puən
buannachadh	puən̪ˠəxəɣ
buannaich	puən̪ˠɪç
buille	puʎə
buinneach	puɲəx
bun	pun
bunadh	punəɣ
buntàta	pən̪ˠt̪aːht̪ə
burras	pʊrˠəs
bus	pus̪
bàgh	paːɣ
bàidh	paːj
bàillidh	paːʎi
bàirneach	paːɾʲɲəx
bàn	paːn
bàrd	paːrˠʃt̪
bàrr	paːrˠ
bàs	paːs̪
bàta	paːʰt̪ə
bìodach	piːtəx
bòc	pɔːxk
bòcan	bɔːxgan
bògas	pɔːkəs
bòid	b̊ɔːd̊ʲ
bòid	pɔːtʲ
bòidhchead	pɔːçət̪
bòidheach	pɔːjəx
bòl	pɔːɫ̪
bó	poː
bùrach	puːrəx
bùrn	puːrˠn̪ˠ
c	kʰ
cabadaich	kʰapət̪ɪç
cabar	kʰapəɾ
cabhag	kʰavak
cabhlach	kʰauɫ̪əx
cabhsair	kʰaus̪ɪɾʲ
cac	kʰaxk
cachaileith	kʰaxələ
cadal	kʰat̪aɫ̪
caidil	kʰatʲɪl
caidlidh	kʰatʲliɣ
caidreach	kʰatʲɾʲəx
caifean	kɛfan
caifein	kʰafɛɲ
cailc	kʰalçc
caileag	kʰalak
cailean	kʰalan
caill	kʰaiʎ
cailleach	kʰaʎəx
cailleannach	kʰaʎan̪ˠəx
caimbeul	kʰaimpəl̪ˠ
cainnt	kʰaiɲtʰʲ
cairt	kʰarˠʃtʲ
cairteal	kʰarˠʃtʲal
caisteal	kʰaʃtʲɛl̪ˠ
cait	kʰɛʰtʲ
caith	kʰɛh
caitheamh	kʰɛhəv
call	kʰaul̪ˠ
calltainn	kʰauɫ̪t̪ʰɪɲ
calma	kʰal̪ˠamə
calman	kʰaɫ̪aman
calpach	kʰal̪ˠpəx
caluim	kʰal̪ˠɪm
calum	kʰal̪ˠəm
cam	kaːm
caman	kaman
campa	kʰaumpʰə
campadh	kʰãũmpəɣ
cana	kʰanə
canaidh	kʰanɪ
canail	kanal
cangaru	kʰaŋkəɾu
cangaruthan	kʰaŋkəɾuhən̪ˠ
cantail	kan̪ˠt̪al
cantainn	kan̪ˠt̪ɪɲ
caodachan	kʰɯːdəxan
caog	kʰɯːk
caogad	kʰɯːkət̪
caoile	kʰɯːlə
caoimhe	kɤivə
caoimhe	kʰɤivə
caoin	kʰɯːɲ
caol	kʰɯːɫ̪
caomh	kʰɯːv
caora	kʰɯːɾə
caoraich	kʰɯːɾɪç
capall	kʰahpəl̪ˠ
caractar	kʰaɾəkt̪əɾ
caraich	kʰaɾɪç
caraid	kʰaɾɪtʲ
caran	kʰaɾan
carbad	kʰaɾəpat̪
carbaid	kʰaɾəpɛtʲ
carghas	kʰaɾaəs̪
carraig	kʰarˠɪc
carson	kʰarˠs̪ɔn
carthannas	kʰarˠən̪ˠəsˠ
cas	kʰas
casag	kʰasak
casaid	kasadʲ
casan	kʰas̪an
casan	kʰas̪ən
castan	kʰas̪t̪an
cat	kʰaʰt̪
cathair	kʰahɪɾʲ
catrìona	kʰatʰɾiənə
catrìona	kʰɔtʰɾiənə
cead	kʲʰet̪
ceanaidh	kʰenɪ
ceannach	cʰan̪ˠəx
ceannaich	kʰʲan̪ˠɪç
ceannard	kʰʲan̪ˠaɾʃt̪
ceannasach	kʰʲan̪ˠəs̪əx
ceap	kʲʰɛhp
ceapaire	kʲʰɛhpəɾʲə
cearbanan	kʲʰaɾapanən
cearclach	kʰʲɛrxkl̪ˠəx
cearr	kʰʲaːrˠ
ceatharnach	cʰɛhərˠn̪ˠəx
ceathrad	cʰɛɾət̪
ceathrar	cʰɛɾəɾ
ceilp	cʰelp
ceilpe	cʰelpə
ceilteach	cʰeltʲəx
ceistean	cʰeʃtʲən
ceit	kʰehtʲ
ceithir	kʲehɪɾʲ
ceitidh	kʰeht̪ɪ
ceudamh	kʰʲeːt̪əv
ceum	kʰʲeːm
ceàrnach	kʰʲaːrˠn̪ˠəx
ceò	kʰʲɔː
ceòthach	kʲɔːəx
cha	xa
chabar	xapəɾ
chaidh	xaɪ
chaidil	xatʲɪl
chaidreach	xatʲɾʲəx
chaill	xaiʎ
chaimbeul	xaimpəl̪ˠ
chait	xɛʰtʲ
chaitheamh	xɛhəv
chaluim	xal̪ˠɪm
chalum	kʰal̪ˠəm
chamara	xamaɾˠa
chan	xan̪ˠ
chan	xaɲ
chaneil	χanjel
chaol	xɯːɫ̪
charactar	xaɾəkt̪əɾ
cheana	çɛnə
cheannaich	çan̪ˠɪç
chiad	çiə̯t̪
chian	xʲian
chiar	çʰiaɾ
chidsin	çitʲʃɪn
chirce	çiɾ̥cə
chladhaire	xl̪ˠɤɪɾʲə
chlas	xl̪ˠas̪
chlì	xliː
cho	xɔ
choinneamh	xɤɲəv
choire	xɔɾʲə
choire	xɤɾʲə
chom	xɔum
chompanaidh	xɔ̃ũmpənɪ
chor	xɔɾ
