á	a
á	aː
abacá	abaka
ábaco	abako
ábaco	aβako
abada	aβaða̝
abade	aβaðɪ
abadengo	aβaðeŋɡo̝
abadesa	aβaðesɐ
abadexo	aβaðeʃʊ
abadía	aβaðiɐ
abafante	aβafantɪ
abafar	aβafaɾ
abafo	aβ̞afʊ
abaixar	aβajʃaɾ
abalar	aβalaɾ
abalo	aβalo̝
abaloucar	aβalowkaɾ
abanar	aβanaɾ
abancar	aβaŋkaɾ
abanear	aβɑneaɾ
abanicar	aβanikaɾ
abanico	aβanikʊ
abano	aβano̝
abanqueiro	aβaŋkejɾo̝
abarquilar	aβaɾkilaɾ
abastanza	aβastanθa
abastar	aβastaɾ
abastecemento	aβasteθemɛntʊ
abasto	aβastʊ
abaxial	aβ̞aʃjɑɫ
abdome	abdɔmɪ
abeaca	aβeaka̝
abeberar	aβeβeɾaɾ
abecé	aβeθɛ
abeirar	aβejɾaɾ
abeiro	aβejɾo̝
abelá	aβela
abeleira	aβelejɾɐ
abella	aβeʎa̝
abellariza	aβeʎaɾiθa̝
abelleira	aβeʎejɾa̝
abelleiro	aβeʎejɾo̝
abellón	aβeʎoŋ
abeluria	aβeluɾjɐ
abeneiro	aβenejɾʊ
abeto	aβeto̝
abicar	aβikaɾ
abiñar	aβiɲaɾ
abofé	aβofɛ
aboiar	aβoi̯aɾ
aboiar	aβɔi̯aɾ
abondamento	aβondamentʊ
abondamento	aβondamɛntʊ
aborrallado	aβoraʎaðʊ
aborrecer	aβoreseɾ
aborrecer	aβoreθeɾ
abotoar	aβotoaɾ
abouxar	aβ̞owʃaɾ
abra	aβɾa̝
abraiar	aβɾajaɾ
abranguer	aβɾaŋɡeɾ
abrasar	aβɾasaɾ
abrazar	aβ̞ɾasaɾ
abrazar	aβ̞ɾaθaɾ
abrazo	aβ̞ɾasʊ
abrazo	aβ̞ɾaθʊ
ábrego	aβ̞ɾeɣ̞ʊ
ábrego	aβ̞ɾeħʊ
abrente	aβɾɛnte̝
abrigar	aβɾiɣaɾ
abrigo	aβɾiɣʊ
abrigoso	aβɾiɣosʊ
abril	aβɾil
abrir	aβɾiɾ
abrollo	aβɾɔʎʊ
abrótea	aβɾɔte̯a̝
abrótega	aβɾɔtɪɣɐ
abruñeiro	aβɾuɲejɾo̝
abruño	aβɾuɲo̝
absoluto	aβsolutʊ
abullar	aβuʎaɾ
aburar	aβuɾaɾ
abur	aβuɾ
aburiño	aβuɾiɲʊ
aburrir	aβ̞uriɾ
acalentar	akalentaɾ
acalentar	akalɛntaɾ
acanear	akɑneaɾ
acantazar	akɑntaθaɾ
acantilar	akɑntilaɾ
acantoar	akantoaɾ
acareo	akaɾeʊ
acariñar	akaɾiɲaɾ
acarreirar	akɑrejɾaɾ
acción	ɑksjoŋ
acción	ɑkθjoŋ
aceal	aθeal
acedía	aseðiɐ
acedía	aθeðiɐ
acedume	aθeðumɪ
aceite	asejt̪ɪ
aceite	aθejt̪ɪ
achaiar	a̠tʃajaɾ
achairar	atʃajɾaɾ
achanzar	atʃansaɾ
achanzar	atʃanθaɾ
achaque	atʃakɪ
acoiar	akojaɾ
acoitelar	akojtelaɾ
acolá	akola
açom	asoŋ
açom	aθoŋ
acompañamento	akompaɲamentʊ
aconchegar	akontʃeɣaɾ
acordanza	akoɾðansɐ
