Ⴀ	ɑ
Ⴃ	d̪
Ⴄ	ɛ
Ⴅ	v
ააბარგებს	aabaɾɡebs
აადვილებს	aadʷilebs
აბაზაშვილი	abazaʃʷili
აბაიშვილი	abaiʃʷili
აბაჟური	abaʒuɾi
აბარგება	abaɾɡeba
აბარებს	abaɾebs
აბასაშვილი	abasaʃʷili
აბაშვილი	abaʃʷili
აბაშიშვილი	abaʃiʃʷili
აბეზღებს	abezʁebs
აბელაშვილი	abeɫaʃʷili
აბეწვაშვილი	abetsʼʷaʃʷili
აბზაცი	abzatsʰi
აბიაშვილი	abiaʃʷili
აბინძურებს	abindzuɾebs
აბისონაშვილი	abisonaʃʷili
აბლაბუდა	abɫabuda
აბლაგვებს	abɫaɡʷebs
აბლაუტი	abɫautʼi
აბორიგენი	aboɾiɡeni
აბრაგი	abɾaɡi
აბრაკადაბრა	abɾakʼadabɾa
აბრალებს	abɾalebs
აბრამაშვილი	abɾamaʃʷili
აბრამი	abɾami
აბრამიშვილი	abɾamiʃʷili
აბრევი	abɾevi
აბრევიატურა	abɾeviatʼuɾa
აბრეშუმი	abɾeʃumi
აბრუნებს	abɾunebs
აბრძანდება	abɾdzandeba
აბსოლუტიზმი	absoɫutʼizmi
აბსოლუტურად	absoɫutʼuɾatʰ
აბსოლუტური	absoɫutʼuɾi
აბსტრაქტულად	abstʼɾakʰtʼuɫatʰ
აბსტრაქტული	abstʼɾakʰtʼuli
აბსტრაქცია	abstʼɾakʰtsʰia
აბსურდულად	absuɾduɫatʰ
აბსურდული	absuɾduli
აბსურდულობა	absuɾduɫoba
აბუაშვილი	abuaʃʷili
აბულაშვილი	abuɫaʃʷili
აბურძგნილი	abuɾdzɡnili
აბუსერიძე	abuseɾidze
აბშილავა	abʃiɫava
აბჯარი	abdʒaɾi
აგარა	aɡaɾa
აგარაკი	aɡaɾakʼi
აგაშენაშვილი	aɡaʃenaʃʷili
აგდებულად	aɡdebuɫatʰ
აგეგმვა	aɡeɡmʷa
აგენტად	aɡentʼatʰ
აგენტურა	aɡentʼuɾa
აგვირგვინებს	aɡʷiɾɡʷinebs
აგვისტო	aɡʷistʼo
აგვისტოდ	aɡʷistʼotʰ
აგვისტოთი	aɡʷistʼotʰi
აგვისტომ	aɡʷistʼom
აგვისტოს	aɡʷistʼos
აგზნებულად	aɡznebuɫatʰ
აგიტატორი	aɡitʼatʼoɾi
აგლომერაცია	aɡɫomeɾatsʰia
აგნოსტიკური	aɡnostʼikʼuɾi
აგნოსტიციზმი	aɡnostʼitsʰizmi
აგორაფობია	aɡoɾapʰobia
აგორებს	aɡoɾebs
აგრეთვე	aɡɾetʰʷe
აგრესიულად	aɡɾesiuɫatʰ
აგრესიული	aɡɾesiuli
აგრესიულობა	aɡɾesiuɫoba
აგრესორი	aɡɾesoɾi
აგროვებს	aɡɾovebs
აგრძელებ	aɡɾdzelepʰ
აგრძელებს	aɡɾdzelebs
აგულაშვილი	aɡuɫaʃʷili
აგური	aɡuɾi
ადამაშვილი	adamaʃʷili
ადამიანად	adamianatʰ
ადამიანთაშორისი	adamiantʰaʃoɾisi
ადამიანურად	adamianuɾatʰ
ადამიანური	adamianuɾi
ადაპტაცია	adapʼtʼatsʰia
ადარებს	adaɾebs
ადარნასე	adaɾnase
ადგილას	adɡiɫas
ადგილობითი	adɡiɫobitʰi
ადგილობრივად	adɡiɫobɾivatʰ
ადგილობრივი	adɡiɫobɾivi
ადეიშვილი	adeiʃʷili
ადეკვატურად	adekʼʷatʼuɾatʰ
ადეკვატური	adekʼʷatʼuɾi
ადეკვატურობა	adekʼʷatʼuɾoba
ადენოიდური	adenoiduɾi
ადვაძე	adʷadze
ადვენტი	adʷentʼi
ადვილად	adʷiɫatʰ
ადვილი	adʷili
ადიკაშვილი	adikʼaʃʷili
