ააბარგებს	aabaɾgebs
აადვილებს	aadʷilebs
აბაზაშვილი	abazaʃʷili
აბაი	abai
აბაიშვილი	abaiʃʷili
აბაჟური	abaʒuɾi
აბარგება	abaɾgeba
აბარებს	abaɾebs
აბასაშვილი	abasaʃʷili
აბაშვილი	abaʃʷili
აბაშიშვილი	abaʃiʃʷili
აბდ	abd
აბდულა	abdula
აბეზღებს	abezʁebs
აბელაშვილი	abeɫaʃʷili
აბესალომ	abesalom
აბეწვაშვილი	abetsʼʷaʃʷili
აბზაცი	abzatsʰi
აბიაშვილი	abiaʃʷili
აბინძურებს	abindzuɾebs
აბისონაშვილი	abisonaʃʷili
აბლაბუდა	abɫabuda
აბლაგვებს	abɫagʷebs
აბლაუტი	abɫautʼi
აბორიგენი	aboɾigeni
აბრაგი	abɾagi
აბრაკადაბრა	abɾakʼadabɾa
აბრალებს	abɾalebs
აბრამაშვილი	abɾamaʃʷili
აბრამი	abɾami
აბრამიშვილი	abɾamiʃʷili
აბრევი	abɾevi
აბრევიატურა	abɾeviatʼuɾa
აბრეშუმი	abɾeʃumi
აბრუნებს	abɾunebs
აბრძანდება	abɾdzandeba
აბსოლუტიზმი	absoɫutʼizmi
აბსოლუტურად	absoɫutʼuɾatʰ
აბსოლუტური	absoɫutʼuɾi
აბსტრაქტულად	abstʼɾakʰtʼuɫatʰ
აბსტრაქტული	abstʼɾakʰtʼuli
აბსტრაქცია	abstʼɾakʰtsʰia
აბსურდულად	absuɾduɫatʰ
აბსურდული	absuɾduli
აბსურდულობა	absuɾduɫoba
აბუ	abu
აბუაშვილი	abuaʃʷili
აბულაშვილი	abuɫaʃʷili
აბურძგნილი	abuɾdzgnili
აბუსერიძე	abuseɾidze
აბშილავა	abʃiɫava
აბჯარი	abdʒaɾi
აგარა	agaɾa
აგარაკი	agaɾakʼi
აგაშენაშვილი	agaʃenaʃʷili
აგდებულად	agdebuɫatʰ
აგეგმვა	agegmʷa
აგენტად	agentʼatʰ
აგენტურა	agentʼuɾa
აგვირგვინებს	agʷiɾgʷinebs
აგვისტო	agʷistʼo
აგვისტოდ	agʷistʼotʰ
აგვისტოთი	agʷistʼotʰi
აგვისტომ	agʷistʼom
აგვისტოს	agʷistʼos
აგზნებულად	agznebuɫatʰ
აგიტატორი	agitʼatʼoɾi
აგლომერაცია	agɫomeɾatsʰia
აგნოსტიკური	agnostʼikʼuɾi
აგნოსტიციზმი	agnostʼitsʰizmi
აგორაფობია	agoɾapʰobia
აგორებს	agoɾebs
აგრეთვე	agɾetʰʷe
აგრესიულად	agɾesiuɫatʰ
