'nen	nen
a	e
a	ˈɑː
a-bild-verfahren	abɪltfɛɾfˈɑːrən
a-bombe	apɔmbɛ
a-jugendlicher	ajˈuːgəntlˌɪçɜ
a-jugendmannschaft	ajˈuːgəntmˌanʃaft
aaa-modell	aaamɔdɛl
aabach	abax
aach	ˈaɪx
aachen	ɑːxən
aachen	ˈɑːxən
aachenexperte	aɾxənɛkspɛɾtɛ
aachenland	aɾxənlˈant
aachens	ˈɑːxəns
aachensieger	ɑːxənzˈiːgɜ
aachenspiel	axɛnspiːl
aachenstar	aːxɛnstau
aachtopf	axtˈɔpf
aahs	bɑːs
aaken	ˈaɾkeːn
aal	ˈal
aal	ˈɑːl
aalangel	aːlɑŋɛn
aalart	ˈɑːlˈɑːt
aalaufstieg	aːlˌaʊfˈztiːk
aalbaum	ˈaːlˈaʊm
aalbrutleiter	aːlpɾoːtlaɪtˈɛɾ
aale	ˈɑːlə
aaleisen	aːlˈaɪzən
aalen	ˈɑːlən
aalen-waldhausen	ɑːlˌənvˈalthaʊzən
aales	ˈɑːləs
aalessen	ˈalˈɛsən
aalfang	ˈaɾlfˌaŋ
aalfischer	ˈalfˈɪʃɜ
aalfischerei	ˈɑːlfˈɪʃeːrˌaɪ
aalfrau	ˈaɪlfˌaʊ
aalfressend	ˈalfrəsənt
aalfänge	ˈaɾlfˌɛŋə
aalfänger	ˈaɾlfˈɛŋɜ
aalgabel	ˈaːlgˈɑːbəl
aalgang	aːlˌgˌaŋ
aalgericht	aˈlgeːrˌɪçt
aalgeschmack	ˈaːlgəʃmˈak
aalgift	ˈaɪlgɪft
aalglatt	aːlglat
aalig	ˈaɾlɪç
aalknobeln	alknˈoːbəln
aalkästen	alkɛstən
aalrauchwurst	aːlrauːxvʊɐst
aalraupe	ˈaːlrˌaʊfə
aalreuse	aːlɾɔøsø
aalrute	aːlɾɔtɛ
aals	ˈaɾls
aals	ˈɑːls
aalstechen	ˈalʃtˈɛçən
aalstecher	altʃtˈɛçɜ
