aegina	aegino
kύων	kion
phaidon	fajduŋ
serapion	s̻eɾapion
αγαθός	aɣatɾos
αγαμήδης	agamede
ακάδημος	agadeemos
ακολουθήσω	akoˈluteesɔ
ανόητος	anoetos
απολλωνία	apolonio
αἰγί	avˈi
αἰγίδες	aigides
αἰγίδι	aiɣiði
αἰγίδια	aikɪdja
αἰγίδιον	aiionion
αἰγίδιος	aiɣidios
αἰγίδος	aiɣiðos
αἰγίσι	ajvisi
αἰγαία	ai̯gaia
αἰγαίαν	aigajja
αἰγαίας	aigaias
αἰγαίοις	aigaiois
αἰγαίου	aigɑjw
αἰγαίων	aiɣaion
αἰγιαλοί	aikialoi
αἰγιαλούς	aːi̯kiːalʊs
αἰγιδίοις	aigidiois
αἰγλήεντα	aiɣlɛnta
αἰγλήεντας	aikɾentas
αἰγλήεντος	aigreentos
αἰγυπτίας	aiɣjptias
αἰγυπτίους	aiɣuptiuz
αἰγός	ajgɔs
αἰγύπτιαι	aiptiaj
αἰγύπτιον	aiɣiptiom
αἰδήμονα	aideːmona
αἰδήμονι	aideːmoni
αἰδήμων	aidemon
αἰδημονέσταται	aidɛmonɛstataj
αἰδημονέστατε	aidɛmɔnestate
αἰδημονέστεροι	ajdemonesteroj
αἰδημονέστερος	aidɛmɔnɛʃteros
αἰδημονεστάτας	aidɛmonestatas
αἰδημονεστέρας	ajdemonest̪eɾas
αἰθάλαι	ajtaːlaj
αἰθέριαι	ai̯tɾdie
αἰθέριος	ajterios
αἰθέρος	ai̯tɛros
αἰθίοπες	aitiupes
αἰθίοπος	aitiupos
αἰθερίων	aiteriːon
αἰθιοπικά	ajteobika
αἰθρία	aitria
αἰθρίαι	aikriːaɪ
αἰθρίαις	aitriais
αἰθρίας	aitrias
αἰθρίου	ajfɾiu
αἰθρίους	aitrius
αἰθρίων	aitriom
αἰκία	ajkia
αἰκίαι	aikiai
αἰκίαις	aikiais
αἰκίαν	alkiam
αἰκίας	aikias
αἰνά	ajnɑ
αἰνάς	oinas
αἰνέ	nɛ
αἰνέσεσθε	aineseste
αἰνέσεται	ainɛsɛtai
αἰνέσετε	ainesɛte
αἰνέσομαι	ainesamai
αἰνέσουσι	ajnesʊzi
αἰνή	ajne
αἰνίγμασι	ajnemaːse
αἰνίγματος	ajniɣmatos
αἰναί	ajnaj
αἰναῖς	ajnas
αἰνεσόμεθα	ajnsoːmɛtad
αἰνεῖ	aine
αἰνοί	ajnoj
αἰνόν	ajnom
αἰνός	ajnos
αἰολοσκόπου	ajoloskopu
αἰολοστόμοις	aiolostomois
αἰολοστόμου	aiolostomu
αἰολοστόμους	ajɔlɔstɔmuːz
αἰολοστόμων	iolostomon
αἰολοφώνου	jolofonu
αἰολόστομε	aiɔlɔstɔme
αἰολόστομοι	ajolostomoi
αἰολόστομον	aiorostomum
αἰολόστομος	aiolostomos
αἰολόχρως	aiɔlɔkɾɔs
αἰολόχρωσι	aiɔlɔkɾɔsi
αἰολόχρωτα	aioloʃroda
αἰσίοις	aifiois
αἰσίους	ajfius
αἰσίων	aifion
αἰσίῳ	ai
αἰσθάνεσθε	ajstanɛstɛ
αἰσθάνεται	ajstanetaj
αἰσθάνοιτο	lataanoito
αἰσθέσθαι	aisteslaj
αἰσθήμασι	ajstemasi
αἰσθήμασιν	ajstɛmɛtni
αἰσθήσεσι	biːstɛzɛsi
