0χι	oxi
10η	ˈdeka
10ο	deka
10χρονο	ˈdɛkso
11η	ɔnˈdɛ
11ης	ˈiɾis
11ο	ɔː
12η	ˈdode
12ο	ˈdodeko
12χρονο	ˈdodekronu
13η	ˈdodeka
13ο	ˈdodeka
14η	ˈdɛkate
14ο	ˈdɛkate
14χρονο	ˈtɾɛxono
15η	ˈmini
15ο	ˈpʰɔnɛmiˌzaɪ
15χρονο	ˈi̯ɲço̞no̞
16η	ˈiksa
16ο	ˈiksɛra
16ου	ˈiksos
16χρονο	ˈiksɾono
17η	iːˈmi
17ο	ˈiɾiɔ
17ου	ˈiɾiɔ
18η	iˈi
18ο	ɔ
18ου	ˈiθi
19ο	ˈɔnɔ
19ου	ˈɔndu
1η	i
1ης	i
1ο	ɔ
1ον	on
1ος	ɔs
1ου	ʝo
20η	ˈikate
20ο	ˈiko
20ου	ˈikosi
21η	ˈini
21ο	ˈɔnɔ
21ου	ˈɔku
22άρι	ˈβɛɾi
23η	ˈini
24ωρη	ˈvɛsθori
24ωρο	ˈvɛsθɛra
25η	ˈiksɛrθi
2η	i
2ης	ˈiðis
2ο	ɣo
2ον	on
2ος	ˈdojos
2ου	ˈtu
38άρι	ˈʃari
3d	ðeː
3η	i
3ης	i
3ο	θo
3ος	ˈtʃos
3ου	ʃu
45άρι	ˈaɾi
4η	ɪ
4ης	ˈi
4ο	fo
4ος	ˈtɛɾos
4ου	fo
5η	ɪ
5ης	ˈiθis
5ο	ˈθio
5ος	ˈpɛːn
5ου	ˈsu
666stelios666	ʃiɛlios
6η	ʝi
6ης	iːs
6ο	θo
720p	ˈsevɾiˈope
7η	iː
7ης	ˈiɣis
7ο	ˈiɾo
8o	ɣo
8η	i
8ο	θo
8ος	ɔs
9η	ni
9ο	ˈɣo
aah	ɑː
aaron	ɑːrɔːn
a	ɑ
abby	abɪ
abc	abkʰ
abel	ˈabel
abigail	abɪˈgaɪl
about	ˈabɔt
acro	akro
adam	ˈadam
adams	ˈadams
adespoti	ˈaðespoti
adrian	ˈadɾjan
afrodite	afɔˈɾɔtiðe
after	ˈatɛr
again	ɛɣeːn
agent	ˈaʒent
agnes	ˈaɲʝes
ah	ɑ
aiden	ˈaɪðɛn
aids	ɛːds
ain	ɛn
air	ɛːr
ajattara3302	ajataɾa
aka	aka
akash	akaʃ
alain	alɛ̃
al	al
alan	alɑn
albert	alˈbɛrt
alberto	ælˈbɛɾto
alec	alɛk
alex	alɛks
alexander	alɛkˈsandɛr
alexis	alɛkʰis
alfonso	alfonso
alfred	ælfɹɛd
alfredo	alfɾeðo
ali	ali
alias	alias
alice	alits
alicepao13	aliˈtʃepo
alicia	alitsa
alison	aliˈsɔn
all	al
allan	alɑn
allen	alɛn
allie	aliː
allison	ɑˈlɪsɒn
alone	ɔˈlɔn
alpha	ɑlfa
always	ɑlwɑjs
am	am
amanda	əˈmændə
amber	ˈambe̞r
america	əˈmɛɾikə
american	əˈmɛɹɪkən
amerzone	amɛrˈzɔnɛ
amy	ami
an8	ˈanθ
ana	ˈana
anael	anɛl
anatomy	anaˈtomɪ
an	ɑn
anda	ˈaɲða
and	ɑːnd
anderson	ændɜrsən
andrea	anˈðɾea
andre	ˈandɾe
andrew	anˈðrʊ
andrews	ɑːndɹiːz
andy	andi
angela	ˈaŋgela
angel	ˈaɲɟɛl
angeles	ˈaŋgɛles
angeliki	ˈaɲɟɛlici
angie	ˈaŋɟi
anita	anitɑ
anna	ˈana
ann	an
annanyx	ananiʃ
anne	ɑnɛ
annie	ani
anonymous	ˌanəˈnɪməs
another	ɔnˈðɛr
anthony	ɑnˈθɔːni
antoine	ɑnˈtwaɲ
anton	ɑnˈton
antonino	ɑntɔninɔ
antonio	ɑnˈtɔnjo
antovet	ɑntovet
any	ˈani
anyone	ˈenɪ
anything	paniˈci
apos	ˈapos
apple	ɑp̬l̪i
april	ɑpɾil
archie	ˈaɾçɪ
are	ɑːrɛ
arms	armes
armstrong	ɑːrmstrʌŋ
arnold	ɑːrnɔːld
around	ɑːˈraʊnd
arrow	ˈtoksɔ
art	ɑːrt
art-emida	artemida
arthur	ɑːrθʊr
arxontas23	arˈxondas
as	as
ash	aʃ
ashley	æʃleɪ
ass	as
asteroula	astɛrouˈla
at	at
atf	atf
atlantic	atˈlɛŋtik
atm	atm
au	au
aubrey	ɔːbɹi
audrey	ɔːˈdɹiː
auggie	au̯ɣi
aurora	au̯ˈɾɔɾa
austin	ɑːstɪn
ava	avɐ
avatar	ˈavɾatɛɾ
av	av
avenue	avɛni
avon	avɔn
away	avɛ
aw	ɑː
aα	ɑ
aαα	ɑ
aγάπη	agapi
aκόμα	akoˈma
aκου	akʊ
aκριβώς	akrivos
aλ	al
aλαν	alɑn
aλήθεια	aliˈθia
aλλά	alá
aμερική	amɛriˈki
aν	ɑ̃
aντε	ande
aντίο	anˈdio
aπ	ɑːp
aπλά	ˈapla
aπλώς	ˈaplos
aπό	ˈapo
aπόδοση	ˈapodosi
aρα	ara
aρκετά	arkeˈta
aς	as
