a	ɑ
aah	ɑː
aaron	ɑːrɔːn
abby	abɪ
abc	abkʰ
abel	ˈabel
abigail	abɪˈgaɪl
about	ˈabɔt
acro	akro
adam	ˈadam
adams	ˈadams
adespoti	ˈaðespoti
adrian	ˈadɾjan
afrodite	afɔˈɾɔtiðe
after	ˈatɛr
again	ɛɣeːn
agent	ˈaʒent
agnes	ˈaɲʝes
ah	ɑ
aiden	ˈaɪðɛn
aids	ɛːds
ain	ɛn
air	ɛːr
ajattara	ajataɾa
aka	aka
akash	akaʃ
al	al
alain	alɛ̃
alan	alɑn
albert	alˈbɛrt
alberto	ælˈbɛɾto
alec	alɛk
alex	alɛks
alexander	alɛkˈsandɛr
alexis	alɛkʰis
alfonso	alfonso
alfred	ælfɹɛd
alfredo	alfɾeðo
ali	ali
alias	alias
alice	alits
alicepao	aliˈtʃepo
alicia	alitsa
alison	aliˈsɔn
all	al
allan	alɑn
allen	alɛn
allie	aliː
allison	ɑˈlɪsɒn
alone	ɔˈlɔn
alpha	ɑlfa
always	ɑlwɑjs
am	am
amanda	əˈmændə
amber	ˈambe̞r
america	əˈmɛɾikə
american	əˈmɛɹɪkən
amerzone	amɛrˈzɔnɛ
amy	ami
an	ɑn
an8	ˈanθ
ana	ˈana
anael	anɛl
anatomy	anaˈtomɪ
and	ɑːnd
anda	ˈaɲða
anderson	ændɜrsən
andre	ˈandɾe
andrea	anˈðɾea
andrew	anˈðrʊ
andrews	ɑːndɹiːz
andy	andi
angel	ˈaɲɟɛl
angela	ˈaŋgela
angeles	ˈaŋgɛles
angeliki	ˈaɲɟɛlici
angie	ˈaŋɟi
anita	anitɑ
ann	an
anna	ˈana
annanyx	ananiʃ
anne	ɑnɛ
annie	ani
anonymous	ˌanəˈnɪməs
another	ɔnˈðɛr
anthony	ɑnˈθɔːni
antoine	ɑnˈtwaɲ
anton	ɑnˈton
antonino	ɑntɔninɔ
antonio	ɑnˈtɔnjo
antovet	ɑntovet
any	ˈani
anyone	ˈenɪ
anything	paniˈci
apos	ˈapos
apple	ɑp̬l̪i
april	ɑpɾil
archie	ˈaɾçɪ
are	ɑːrɛ
argo	arɣo
arms	armes
armstrong	ɑːrmstrʌŋ
arnold	ɑːrnɔːld
around	ɑːˈraʊnd
arrow	ˈtoksɔ
art	ɑːrt
art-emida	artemida
arthur	ɑːrθʊr
arxontas	arˈxondas
as	as
ash	aʃ
ashley	æʃleɪ
ass	as
asteroula	astɛrouˈla
at	at
