aaffaffak	aaffaffak
aaffanniaq	aaffanniaq
aaffanniarpoq	aaffanniarpuq
aaffanniusiorpoq	aaffanniusiurpuq
aaffanniut	aaffanniut
aaffanniutaaruppoq	aaffanniutaaruppuq
aaffappoq	aaffappuq
aaffaq	aaffaq
aaffarmiippoq	aaffarmiippuq
aagiak	aagiak
aagiaq	aagiaq
aaja	aaja
aaju	aaju
aajunnguaq	aajuŋŋuaq
aak	aak
aakilliorneq	aakilliurniq
aakilliorpoq	aakilliurpuq
aalaakkak	aalaakkak
aalajavoq	aalajavuq
aalaneq	aalaniq
aalaq	aalaq
aalaqqajuppoq	aalaqqajuppuq
aalavoq	aalavuq
aali	aali
aalisagaq	aalisagaq
aalisaq	aalisaq
aalisarpaa	aalisarpaa
aalisarpoq	aalisarpuq
aalisartoq	aalisartuq
aallaat	aallaat
aalut	aalut
aamanganiaq	aamaŋaniaq
aamma	aamma
aanaa	aanaa
aanak	aanak
aanaq	aanaq
aaneq	aaniq
aani	aani
aapaalingiagaa	aapaaliŋiagaa
aap	aap
aapakaaq	aapakaaq
aapakaatsiaq	aapakaatsiaq
aapalaat	aapalaat
aapavoq	aapavuq
aappaa	aːppaː
aappalaarpoq	aappalaarpuq
aappalaartoq	aappalaartuq
aappalaat	aappalaat
aappalajaarpoq	aappalajaarpuq
aappalajappoq	aappalajappuq
aappalik	aappalik
aappallarippoq	aappallarippuq
aappallarissoq	aappallarissuq
aappalloqut	aappalluqut
aappaluarpoq	aappaluarpuq
aappalujappoq	aːppalujappɔq
aappalujattoq	aːppalujattɔq
aappalukujuppoq	aappalukujuppuq
aappalunguserpoq	aappaluŋusirpuq
aappaluppoq	aappaluppuq
aappaluttoq	aappaluttuq
aappaq	aappaq
aappariit	aappariit
aappersariaq	aappirsariaq
aappilattoq	aappilattuq
aappillerpoq	aappillirpuq
aaq	aaq
aaqanngitsoq	aaqaŋŋitsuq
aaqarpoq	aaqarpuq
aaqartarneq	aaqartarniq
aaqqat	aaqqat
aariak	aariak
aarlaat	aarlaat
aarlorpoq	aarlurpuq
aarlorussivoq	aarlurussivuq
aarluarsuk	aarluarsuk
aarluk	aarluk
a'arpoq	aɑppɔq
aasiak	aasiak
aasik	aasik
aataa	aataa
aataaliannguaq	aataaliaŋŋuaq
aataaq	aataaq
aataq	aataq
aatsaat	aatsaat
aatsippaa	aatsippaa
aatsitassaq	aatsitassaq
aattorpaa	aatturpaa
aavaa	aavaa
aavarfik	aavarfik
aavariarpoq	aavariarpuq
aavarpaa	aavarpaa
aavarpoq	aavarpuq
aaveq	aaviq
aavooq	aavuuq
aavoq	aavuq
abrikosi	aprikusi
afrikarmiu	afrikarmiu
agguaappai	agguaappai
aggu	aggu
agguaqatigiissitaq	agguaqatigiissitaq
agguarneqarsinnaasoq	agguarniqarsinnaasuq
agguarpaa	agguarpaa
aggustusi	aggustusi
agiamineq	agiaminiq
agiaq	agiaq
agiorpoq	aɣiʲɔppɔq
ajaa	ajaa
aja	aja
ajaaq	ajaaq
ajak	ajak
ajornanngilaq	ajurnaŋŋilaq
ajornarpoq	ajurnarpuq
ajornartorsiut	ajurnartursiut
ajorpaa	ajurpaa
ajorpoq	ajurpuq
ajorsaarivoq	ajursaarivuq
ajortorsuaq	ajurtursuaq
ajunaarneq	ajunaarniq
ajunngilaq	ajuŋŋilaq
ajuusaarnarpoq	ajuusaarnarpuq
ajuusaarpoq	ajuusaarpuq
akaarinnittoq	akaarinnittuq
akiitsut	akiitsut
akiliut	akiliut
akissut	akissut
akisussaaffik	akisussaaffik
akkusativi	akkusativi
akoqanngilaq	akuqaŋŋilaq
akoqarpoq	akuqarpuq
akornanni	akurnanni
aku	aku
akueraa	akuiraa
akuliuppoq	akuliuppuq
akulleq	akulliq
akunneq	akunniq
alaakkilli	alaakkilli
alanngialasoq	alaŋŋialasuq
alanngialavoq	alaŋŋialavuq
alanngoq	alaŋŋuq
aleqa	aliqa
aleqaq	aliqaq
aleqat	aliqat
aleutisut	aliutisut
aleutit	aliutit
alla	alla
allaffeqarfik	allaffiqarfik
allaffik	allaffik
allakkat	allakkat
allamoorut	allamuurut
allappoq	allappuq
allernaaraq	allirnaaraq
allernaq	allirnaq
alleroq	aɬɬɜʁɔq
allivaa	allivaa
allivoq	allivuq
allu	allu
aluu	aluu
amaasa	amaasa
amaasi	amaasi
amaroq	amaruq
ameq	amiq
amerikarmiu	amirikarmiu
amerikarmiut	amirikarmiut
amerlasuut	amirlasuut
amharisut	amharisut
amikoq	amikuq
aminnguaq	amiŋŋuaq
amma	amma
ammak	ammak
ammassak	ammassak
ammassassuaq	ammassassuʷɑq
anaana	anaːna
anaanat	anaːnat
anarnaq	anɑnnɑq
andengradsligningi	antiŋratsligniŋi
anersaaq	anirsaaq
anersaarpoq	anirsaarpuq
anersaaruluppoq	anirsaaruluppuq
angajoq	aŋajuq
angajoqqaaq	aŋajuqqaaq
angajoqqaarsiaq	aŋajuqqaarsiaq
angak	aŋak
angakkoq	aŋakkɔq
angakkoqarneq	aŋakkɔqɑnnɜq
angallanneq	aŋallanniq
angaluppoq	aŋaluppuq
angerla	aŋirla
angerlannguaq	aŋirlaŋŋuaq
angerlarpoq	aŋɜɬɬɑppɔq
angerlartoq	aŋirlartuq
angerlartunnguaq	aŋirlartuŋŋuaq
angisooq	aŋisuuq
angivoq	aŋivɔq
angoorpoq	aŋɔːppɔq
angut	aŋut
anguteqatiminoortartoq	aŋutiqatiminuurtartuq
anguteqatiminoortoq	aŋutiqatiminuurtuq
anguvoq	aŋuvuq
ani	ɛni
anigorpaa	anigurpaa
aningaasaq	aniŋaasaq
aningaasat	aniŋaasat
aningaasivik	aniŋaasivik
anisooq	anisuuq
anivoq	anivuq
annassi	annassi
anneq	anniq
annernarpoq	annirnarpuq
annerpaaq	annirpaaq
annerpoq	annirpuq
annertusisaq	annɜttusisɑq
annertusivoq	annirtusivuq
anngilik	aŋŋilik
anniarfik	anniarfik
anniarpoq	anniarpuq
anniita	anniita
annilaangavoq	annilaaŋavuq
annilaarpoq	annilaarpuq
annoraaq	annɔʁɑːq
anorersuaq	anurirsuaq
anori	anuri
anorliorpoq	anurliurpuq
aperivoq	apirivuq
appa	appa
appaliarsuk	appaliʲɑssuk
apparluk	appɑɬɬuk
appartarneq	appartarniq
appelsiina	appɜlsiːna
apusineq	apusiniq
aput	aput
aputsiaq	aputsiaq
aqaguani	aqaguani
aqagu	aqaɣu
aqerloq	aqirluq
aqerluusaq	aqirluusaq
aqisseq	ɑqissɜq
aqqalu	aqqalu
aqqaluk	aqqaluk
aqqanillit	aqqaniɬɬit
aqqusineq	aqqusiniq
aqqut	aqqut
aquppaa	aquppaa
aqutsisoq	aqutsisuq
araberisut	arapirisut
arfeq	arfiq
arfernat	ɑffɜnnat
arfersaneq	arfirsaniq
