'a	ʔa
'e	ʔe
'u	ʔu
ahendu	ahɛnðu
ahy'o	ahɨʔo
aikuaa	aikˈua
ajeve	ageˈve
akã	akˈɛ̃
akã	ãk̃ã
akãnundu	akːanunˈdu
akãrangue	ãk̃ãɾ̃ãᵑgʷe
ambue	amɣ̞ue
amérika	ameɾika
anga	aga
angana	aːngaːna
anguja	aːnguːjˈdʒa
ao	aɔ
apay	apal
apu'a	apuʔa
apyka	apɛka
arahentína	aɾaheⁿtina
aranduka	aɾaⁿduka
arandukakuéra	aɾaⁿdukakʷeɾa
araro'y	aɾaɾɔɨ
arasa	aɾast
are	aɾˈe
ary	aɾɨ
arykuéra	aɾɨkʷeɾa
asuka	ɾɑsuka
asukary	asˌukˈaɾɨ
atukupe	atokupe
ava	ava
ava	aʋa
avakuaaty	aʋakwaatɨ
avati	aʋati
avatisoka	avatasoka
avañe'ẽ	ʔãʋãɲẽʔẽ
ayvu	alvˈu
che	ɕɛ
che	ʃe
chendive	ʃendiʋe
chile	ʃˈiːl
chupe	ʃupe
chéve	ʃeʋe
chíle	ɕile
eiratã	ɛjˈɾata
ekañy	ɛkaɲi
epáña	epaɲã
guasu	wasu
guata	ɰʷata
guyrakuaaty	gwɨɾakwaatɨ
guyrakuaatykuéra	piɾakwaatɨkwɛɾa
ha	hɑ
hague	haɰʷe
haku	haku
hape	hape
hayhu	haɨhu
hecha	heʃa
heka	heka
hendu	sendu
hetãvore	h̃ẽt̃ãʋ̃õɾe
heñoihague	he̞ɲoihaue
hikuái	hikwaj
ho	ho
ho'a	hɔːa
hovyngy	hovɨᵑgɨ
héra	heɾa
hũ	mh
hū	xɛ̀
ichupe	iʃupe
ijapu	idʒapɔ̃
iporãnte	ipːoɾante
isãso	isaso
ita	gita
itatĩ	itati
jagua	dʒaŋwa
jaguakuéra	dʒawakʷeɾa
jaguaru	ᵈjaɰʷaɾu
jaguarundi	dʒagwaɾuⁿdi
japete	jˈˈapetˈtˈe
jarara	ʝaːɾaːɾa
jarýi	dʒaːɾˈʌiː
jasy	dʒas
jasy	dʒasɨ
jasy	dʒa˥˥sɯ˥˥
jasykuéra	dʒasɨkʷeɾa
jekupyty	jakupɨtɨ
jepéramo	dʒeperamo
jerovia	ᵈjeɾoʋia
jopara	ʝopaɾa
jopy	dʒopː
juka	dʒuka
juka	tuka
juru	dʒuɾu
juru	dʒuːɾɔː
jurukuéra	dʒuɾukʷeɾa
juvy	juʋɨ
jyva	dʒɨʋa
jyvakuéra	dʒɨʋakʷeɾa
ka'aguasu	kaʔawasu
kakuaa	kakuaa
kane'õ	k̃ãnẽʔõ
kanéla	kanila
kape	kapɛ
kapi'i	kapiːli
kapilla	kapilja
karaku	kaɾakˈu
karape	kaɾape
karu	kɐɾˈu
kasõ	kaso
kavajukuéra	kaʋadʒukʷeɾa
kañy	kaɲːa
ke	k
kichiha	kiʃiha
ko	ko˥˩
ko'ẽrõ	koʔẽɾ̃õ
kolómbia	koloᵐbja
koty	kotɨ
kotykuéra	kotɨkʷeɾa
ku'a	kua
kuaa	kwaa
kuehe	kuegɛ
kuimba'ekuéra	kʷiᵐbaʔekʷeɾa
kuimbaʼe	kʷiᵐbaʔe
kuimbe	kʷiᵐbe
kuimbekuéra	kʷiᵐbekʷeɾa
kumanda	umanda
kupyju	kupɨᵈju
kuratũ	kˈuɾˈatˈ
kure	kuɾe
kurekuéra	kuɾekʷeɾa
kururu	kuɾuɾu
kuva	juva
kuña	kũɲã
kuñakarai	kˌuɲˈakˈaɾaˈi
kuñanguéra	kũɲãŋʷeɾa
kuñataĩ	kũɲãtaĩ
kuñataĩnguéra	kũɲãtaĩŋʷeɾa
kype	kupˈe
kyse	kɯse
kytĩ	kɨtĩ
káña	kɐɲˈa
kóre	kore
kū	u
maitei	maistei
mandi'o	mãnˈdˈiːto
mandyju	maⁿdɨᵈju
maramo	mɛˈɾamˈɔ
marandukuaaty	maɾaⁿdukwaatɨ
marangatu	maɾaɛŋatu
mayma	maɨma
mba'e	ᵐbaʔe
mba'épa	ᵐbaʔepa
mbarakaja	ᵐbaɾakadʒa
mbarakajakuéra	ᵐbaɾakadʒakʷeɾa
mbarete	baɾete
mbatara	bat̪aɾa
mbo'e	ᵐboʔe
mbo'ehao	ᵐboʔehao
mbo'ehaokuéra	ᵐboʔehaokʷeɾa
mbo'eharakuéra	ᵐboʔehaɾakʷeɾa
mbo'ehára	ᵐboʔehaɾa
mbo'ehára	ᵐbɔʔɛhaɾa
mbohéra	ᵐboxeɾa
mbopi	bopːi
mboy	ᵐboɨ
mbyja	ᵐbɨᵈja
mbyky	ᵐbɨkɨ
mbói	boj
mesa	me̞saː
michĩ	mĩɕ̃ĩ
mitã	mita
mombyñe'ẽporu	mɔᵐbɨɲɛʔɛ̃pɔɾu
mopu'ã	mõp̃ũʔã
myaña	moaɲːa
mymba	mˈɛmbˈa
méhiko	mehiko
ména	ena
nahániri	nahaniɾi
ndaje	ⁿdaᵈje
nde	nde
nohẽ	nˈohe
oga	ogɑ
oguata	owata
ohechauka	ohesauka
oiko	pojko
oikóva	oikova
oimékuri	hojmˈekuɾi
ojopara	oʎopaɾa
okambúva	okaᵐbuʋa
okára	ˈɔkˈaɾɐ
opa	oppa
opoíva	opoi̯va
opy	opɨ
opyno	opino
ore	oɾe
orekovéva	ɔɾɛkɔvɛva
oréve	oɾeʋe
osaingo	osaiŋgo
osapukái	osapukaʝ
pa	fˈa
pa'i	paːi˨˦
paje	padʲe
pakova	pakoʋa
pakovakuéra	pakoʋakʷeɾa
paraguay	paɾawaɨ
paraguái	paɾawai
pe	pˈe
pehengue	seheŋue
peju	pɛʎˈu
pepo	pˌɛːpoː
peteĩva	pˈeteɪnˈɪvˈa
peẽ	peẽ
peẽme	peẽme
pindoráma	piⁿdoɾama
pira	piɾa
pira	piːɾa
pirakuaaty	piɾakwaatɨ
pirakuéra	piɾakʷeɾa
pirapire	piɾapiɾe
po	o
po	po
po'o	poʔo
poapy	poˈapɯ
poapyha	poapɨxˈa
pokuéra	pokʷeɾa
popo	pɔpɔ
porã	põɾã
poteĩ	potem
poteĩ	potẽĩ
poyvi	poɨʋi
pu	pu
puku	puku
puku	ukˈu
pukuéra	pukʷeɾa
py	pɨ
py'a	pɨa
pyahu	pɨahu
pykuéra	pɨkʷeɾa
pytyvõ	pɨtɨʋõ
pytyvõ	p̃ɨ̃t̃ɨ̃ʋ̃õ
pytã	pɨta
péichaite	pɛjʃaʲitɛ
pýpe	pˈupˈɛ
rague	ɾaɰʷe
rape	ɾape
re'use	ɾeusˈe
reko	reko
rembiapo	eɾɛmbjaˈpɔ
retyma	ɾɛtɨma
retã	ɾɛta
retãvore	ɾ̃ẽt̃ãʋ̃õɾe
revípe	lɛʋipɛ
ro	ydo
ro'y	ɾoʔɨ
roguata	ɾogatːa
rohaihu	rohajˈhu
ryguasu	ɾɨwasu
ryguasukuéra	ɾɨwasukʷeɾa
réra	ɾeɾa
sa	sˈa
sa'y	saʔɨ
sa'yju	saʔɨdʒu
sa'yju	saːʔøːvjuː
sa'ykuéra	saʔɨkʷeɾa
sandia	sãn̪d̪ja
sapukái	sapukˈai
sapy'a	saːpɨlˈʔa
saraki	saɾaki
sevoikuéra	seʋoikʷeɾa
sevói	seʋoi
soro	soɾo
soro	sˌoːɾˈoː
sã	sˈɛ̃
sỹi	sɨ̃ĩ
tague	taw˧w˧e
tague	taɰʷe
takamby	takaᵐbɨ
taku	tˈakˈu
tanimbu	taniːnˈbu
tape	tape
tapiti	apiti
tapiti	tapiti
tapitikuéra	tapitikʷeɾa
tapo	tapo
tata	tɔta
tatakua	tˈəatˈakwˈa
tavakuéra	taʋakʷeɾa
teko	teko
tekove	teko̞vɛ
tembe'y	tembeʔɨ̃
tembijepapa	tɛmbidʒɛpapa
tembikuaa	tembikwaa
tembireko	tenbiɾeko
tembivytu	tɛmbiʋɨtu
tesa	tesa
tete	tete
tetyma	tetɨma
tetã	tɛta
tetãme	tetamɛ
tetãvore	tẽt̃ãʋ̃õɾe
toba	to
toky	tokɨ
tomatekuéra	tomatekʷeɾa
tomáte	tomate
tuja	tudʒa
tuju	tudʒo
tupao	tupau
tuva	tuːba
tuvy	tuvɨ
ty	tɯ̞
tykue	tɨkʷe
táva	taʋa
téra	tera
téra	teɾa
tóro	tɔɾɔ
túva	tuʋa
tĩnguéra	tĩŋʷeɾa
tī	tˈi
umía	omia
upéa	upˈeɾ
upévare	upeʋaɾe
uruguái	uɾuwai
vai	bai
vai	vai
vaikue	bai̯kue
vaka	baka
venesuéla	ʋeneswela
veve	ʋeʋe
vikipetã	ʋĩkĩpẽtã
vikiñe'ẽndy	ʋĩkĩɲẽʔẽⁿdɨ̃
viru	dˌiɾˈu
váiro	paiɾɔ
y	ɨ
y'u	ʔɨʔu
yga	ɨga
ygakuéra	ɨgakwɛɾa
yke	ke
ype	upe
ysaja	ɨsaᵈja
ysyry	ɨsɨɾɨ
ysyrykuéra	ɨsɨɾɨkʷeɾa
yva	dvˈa
yvapytã	ɨʋapɨ̃tã
yvapytãnguéra	ɨʋapɨ̃tãnweɾa
yvate	ɨvˈaːte
yvatekue	ɨbatekwɛ
yvoty	ɨʋotɨ
yvy	ɨʋɨ
yvy'a	ɨʋɨʔa
yvypóra	ɨʋɨpoɾa
yvyra	ɨʋɨɾa
yvyrakuéra	ɨʋɨɾakʷeɾa
yvytu	ɨʋɨtu
yvytu'apo	ɨʋɨtuʔapɔ
yvytu'apokuéra	ɨʋɨtuʔapɔkwɛɾa
yvytukuéra	ɨʋɨtukwɛɾa
ásia	asja
áva	ava
ñami	ɲiami
ñande	nande
ñande	ɲande
ñandéve	ɲandeʋe
ñe'ã	ɲɛʔã
ñe'ãkuaaty	ɲɛʔãkwaatɨ
ñe'ẽ	ɲẽʔẽ
ñe'ẽkuaaty	ɲɛʔɛ̃kwaatɨ
ñe'ẽpu	ɲɛʔɛ̃pu
ñe'ẽpukuaaty	ɲɛʔɛ̃pukwaatɨ
ñe'ẽpukuaatykuéra	ɲɛʔɛ̃pukwaatɨkwɛɾa
ñe'ẽpukuaatynguéra	ɲɛʔɛ̃pukwaatɨᵑgwɛɾa
ñe'ẽpunguéra	ɲɛʔɛ̃puᵑgwɛɾa
ñe'ẽryru	ɲɛʔɛ̃ɾɨɾu
ñemi	ɲẽmĩ
ñemu	ɲemu
ỹ	ɨ̃
