અં	ə̃ː
અંક	əŋkə
અંકગણિત	əŋkəgəɳɪt̪
અંકલ	əŋkəl
અંકુર	əŋkuɾ
અંગ	əŋg
અંગરખો	əŋgəɾkʰɔ
અંગસંગ	əŋgsəŋg
અંગારકામ્લ	əŋgɑɾkɑmlə
અંગૂઠો	əŋguʈʰɔ
અંગૂર	əŋguɾ
અંગ્રેજ	əŋgɾeːdʒ
અંઘોળ	əŋgʱoɭ
અંચલ	əɲtʃəl
અંજલિ	əɲdʒəlɪ
અંજીર	əɲdʒiɾ
અંત્યેષ્ટિ	ənt̪jeːʂʈɪ
અંદાજ	ənd̪ɑdʒ
અંધારું	ənd̪ʱɑɾũ
અંબર	əmbəɾ
અંશુ	ãʃu
અઃ	əɨ
અકાદમી	əkɑd̪əmɪ
અકીક	əkik
અક્ષર	əkʃəɾ
અખાડો	ɑkʰɑɽɔ
અગનગોળો	əgəngoɭo
અગરબત્તી	əgəɾbət̪t̪i
અગિયાર	əgijɑɾ
અગિયારી	əgɪjɑɾi
અગ્રમસ્તિષ્ક	əgɾəməst̪ɪʃk
અછબડા	ətʃʰəbɖɑ
અજમ	ədʒəm
અજવાળું	ədʒʋɑɭũ
અજાન	ədʒɑn
અજાન	əzɑn
અઝાન	ədʒʱɑn
અઝાન	əzɑn
અટકળ	əʈkəɭ
અટકવું	əʈəkʋũ
અટારી	əʈɑɾi
અઠવાડિયું	əʈʰʋɑɖɪjũ
અડવું	əɽʋũ
અઢળક	əɖʱəɭkə
અઢાર	əɖʱɑɾ
અણગમતું	əɳəgəmt̪ũ
અણસણ	əɳəsəɳ
અતંત્રતા	ət̪ənt̪ɾət̪ɑ
અતિથિ	ət̪ɪt̪ʰɪ
અતિશય	ət̪ɪʃəj
અત્તર	ət̪t̪əɾ
અત્યંત	ət̪jənt̪
અત્યારે	ət̪jɑɾeː
અથવા	ət̪ʰəʋɑ
અથાણું	ət̪ʰɑɳũ
અથાહ	ət̪ʰɑʱ
અદરક	əd̪əɾək
અદાલત	əd̪ɑlət̪
અધમૂઉં	əd̪ʱəmuũ
અધિકાર	əd̪ʱɪkɑɾ
અધુના	əd̪ʱunɑ
અધૂરું	əd̪ʱuɾũ
અનનાસ	ənənɑs
અનલ	ənəl
અનાજ	ənɑdʒ
અનારકળી	ənɑɾkəɭi
અનિદ્રા	ənɪd̪ɾɑ
અનુભવ	ənubʱəʋ
અનુમધ્યમસ્તિષ્ક	ənuməd̪ʱjəməst̪ɪʃk
અનુરાગ	ənuɾɑg
અનુવાદ	ənuʋɑd̪
અને	ənɛ
અન્ય	ənjə
અપભ્રંશ	əpəbʱɾãʃ
અફગાનિસ્તાન	əpʰgɑnɪst̪ɑn
અફઘાન	əpʰgʱɑn
અફરાસિયાબ	əpʰɾɑsɪjɑb
અફલાતૂન	əpʰlɑt̪un
અફસાના	əpʰəsɑnɑ
અફીણ	əpʰiɳ
અબલખ	əbələkʰ
અબાબીલ	əbɑbil
અબ્દુલ્લા	əbd̪ullɑ
અભિનેતા	əbʱɪneːt̪ɑ
અભિમાન	əbʱɪmɑn
અમદાવાદ	əmd̪ɑʋɑd̪
અમારું	əmɑɾũ
અમાવસ	əmɑʋəs
અમી	əmi
અમીર	əmiɾ
અમુક	əmuk
અમૂર્ત	əmuɾt̪
અમૃતસર	əmɾut̪səɾ
અમૃતા	əmɾʊt̪ɑ
અમે	əmeː
અયાદત	əjɑd̪ət̪
અયોધ્યા	əjod̪ʱjɑ
અરજદાર	əɾədʒd̪ɑɾ
અરડૂસી	əɾəɖusi
અરધું	əɾd̪ʱũ
અરબસ્તાન	əɾəbəst̪ɑn
અરમાન	əɾəmɑn
અરસલાન	əɾslɑn
અરસલાન	əɾsəlɑn
અરિ	əɾɪ
અરીસો	əɾisɔ
અરૂસ	əɾus
અર્થ	əɾt̪ʰ
અર્દિબેહશ્ત	əɾd̪ɪbeːɦəʃt̪
અર્ધવર્તુળાકાર	əɾd̪ʱəʋəɾt̪uɭɑkɑɾ
અર્મનિસ્તાન	əɾmənɪst̪ɑn
અલખ	ələkʰ
અલાઉદ્દીન	əlɑud̪d̪in
અલાવો	əlɑʋɔ
અલિફ	əlɪf
અલિફ	əlɪpʰ
અલી	əli
અલીકુલી	əlikuli
અલ્પાકા	əlpɑkɑ
અલ્લાહ	əllɑʱ
અલ્હમ્દુલિલાહ	əlɦəmd̪ulɪlɑʱ
અળતો	əɭt̪ɔ
અવધ	əʋəd̪ʱ
અવયવીકરણ	əʋəjəʋikɾəɳ
અવસ્તા	əʋəst̪ɑ
અવાક	əʋɑk
અવાજ	əʋɑdʒ
અવિદ્યા	əʋɪd̪jɑ
અવેસ્તા	əʋeːst̪ɑ
અશોક	əʃok
અશ્રુ	əʃɾu
અશ્વત્થ	əʃʋət̪t̪ʰə
અષાઢ	əʃɑɖʱ
અસબાબ	əsəbɑb
અસર	əsəɾ
અસાડ	əsɑɽ
અસુર	əsuɾ
અસ્તબલ	əst̪əbəl
અસ્પૃશ્યતાનિવારણ	əspɾʊʃjət̪ɑnɪʋɑɾəɳ
અહલેકિતાબ	əʱleːkɪt̪ɑb
અહીં	əɦĩ
અહીંતહીં	əɦĩt̪əɦĩ
અહીંતહીં	ə̤ĩt̪ə̤ĩ
આ	ɑ̈
આંખ	ɑ̃kʰ
આંગણ	ɑŋgəɳ
આંગણું	əŋgəɳũ
આંતરજાળ	ɑnt̪əɾdʒɑɭ
આંતરરાષ્ટ્રીય	ɑnt̪əɾɾɑʂʈɾijə
આંબ	ɑ̃bə
આંબો	ɑ̃bo
આંસ	ɑ̃s
આંસુ	ɑ̃su
આઈ	ɑi
આકાશ	ɑkɑʃ
આકાશગંગા	ɑkɑʃgəŋgɑ
આખું	ɑkʰũ
આગ	ɑg
આગગાડી	ɑgəgɑɖi
આગાર	ɑgɑɾ
આગ્રા	ɑgɾɑ
આચરણ	ɑtʃəɾəɳ
આજ	ɑdʒ
