a	a
abandone	abãdone
abdenwel	abdenwɛl
abi	abi
abilite	abilite
abita	abita
abitid	abitid
aboli	aboli
abolisyon	abolisjɔ̃
abondans	abõdãs
abònman	abɔnmã
abyotik	abjotik
achte	aʃte
adaptasyon	adaptasjɔ̃
adapte	adapte
administratè	administɣatɛ
adokine	adokine
adore	adoɣe
afè	afɛ
afekte	afekte
afrik	afɣik
afyo	afjo
agrave	aɡɣave
agrikòl	aɡɣikɔl
ajantin	aʒãtin
aje	aʒe
aji	aʒi
ak	ak
akaryat	akaɣjat
akennsas	akɛ̃nsas
akeyoloji	akejoloʒi
akimile	akimile
akize	akize
akòz	akɔz
akselerasyon	akseleɣasjɔ̃
aksidan	aksidã
aktivite	aktivite
al	al
ale	ale
aletranje	aletɣãʒe
alfabe	alfabe
alfabèt	alfabɛt
alkòl	alkɔl
alo	alo
alò	alɔ
amelyore	ameljoɣe
ameriken	ameɣikɛ̃
an	ã
anba	ɑ̃ba
anch	ãʃ
andedan	ãdedã
andwa	ãdwa
ane	ane
ang	ãɡ
angle	ãɡle
anglè	ãɡlɛ
animal	animal
anivèsè	anivɛsɛ
anjeneral	ãʒeneɣal
ankouraje	ãkuɣaʒe
anlè	ãlɛ
anmenmtan	ãmɛ̃mtã
ann	ãn
annou	ãnu
anonse	anɔ̃se
anpàn	ãpan
anpeche	ãpeʃe
anperè	ãpeɣɛ
anpil	ãpil
anpitasyon	ãpitasjɔ̃
anplwaye	ãplwaje
anpwazònman	ãpwazɔnmã
anrejistreman	ãɣeʒistɣemã
ansanm	ãsãm
ansèkle	ãsɛkle
ansent	ãsɛ̃t
ansiklopedi	ãsiklopedi
ant	ãt
antatik	ãtatik
antiy	ãtij
antre	ãtɣe
anvan	ãvã
anviwònman	ãviwɔnmã
anvwaye	ãvwaje
anyen	ãjɛ̃
ap	ap
aparèy	apaɣɛj
apeprè	apepɣɛ
aplikasyon	aplikasjɔ̃
aplike	aplike
aprann	apɣãn
apre	apɣe
aprè	apɣɛ
areye	aɣeje
ase	ase
asefi	asefi
asepte	asepte
asire	asiɣe
asistans	asistãs
astwonomi	astwonomi
asye	asje
atak	atak
atansyon	atãsjõ
atè	atɛ
atenn	atɛ̃n
atik	atik
atlèt	atlɛt
atomik	atomik
atrap	atɣap
avanse	avãse
avè	avɛ
avèk	avɛk
avril	avɣil
avwàn	avwan
avyon	avjɔ̃
ayè	ajɛ
ayeropò	ajewopɔ
ayewopò	ajewopɔ
ayisyen	ajisjɛ̃
ayiti	ajiti
azi	azi
azòt	azɔt
ba	ba
bab	bab
bagay	baɡaj
bag	baɡ
bak	bak
bal	bal
bale	bale
balèn	balɛn
balkon	balkɔ̃
ban	bã
bann	bãn
banza	bãza
bat	bat
batèm	batɛm
batiman	batimɐ̃
bato	bato
baton	batɔ̃
bayakou	bajaku
bay	baj
baze	baze
bebe	bebe
bèbè	bɛbɛ
bè	bɛ
bèf	bɛf
bèl	bɛl
bese	bese
bèso	bɛso
bèt	bɛt
bezig	beziɡ
bezwen	bezwɛ̃
bilding	bildzin
bilding	bildziŋ
bileng	bilɛ̃ɡ
bivèt	bivɛt
biyografi	bijoɡɣafi
biznis	biznis
blan	blã
blanch	blãʃ
ble	ble
blesi	blesi
bliye	blije
bobin	bobin
bò	bɔ
bofis	bofis
bokal	bokal
bokit	bokit
bòkò	bɔkɔ
bon	bɔ̃
bondye	bɔ̃dje
bonjou	bɔ̃ʒu
bonnanj	bɔ̃nãʒ
bonswa	bɔ̃swa
bouch	buʃ
boule	bule
boutèy	butɛj
bra	bɣa
branch	bɣãʃ
brav	bɣav
brezil	bɣezil
bwa	bwa
bwason	bwasɔ̃
bwat	bwat
bwè	bwɛ
bwèt	bwɛt
bwokoli	bwokoli
byè	bjɛ
byen	bjɛ̃
byennèt	bjɛ̃nɛt
byenvini	bjɛ̃vini
chache	ʃaʃe
chadèk	ʃadɛk
chaje	ʃaʒe
chak	ʃak
chalè	ʃalɛ
chamo	ʃãmo
chanje	ʃãʒe
chanjman	ʃãʒmã
chanmakouche	ʃãmakuʃe
chanm	ʃãm
chante	ʃãte
chape	ʃape
chèf	ʃɛf
chemen	ʃemɛ̃
chenn	ʃɛ̃n
chen	ʃɛ̃
chè	ʃɛ
cheve	ʃeve
chèvrèt	ʃɛvɣɛt
chèz	ʃɛz
chimè	ʃimɛ
chimik	ʃimik
chimi	ʃimi
chita	ʃita
chonje	ʃɔ̃ʒe
chosèt	ʃosɛt
cho	ʃo
choukètlarouze	ʃukɛtlawuze
choukèt	ʃukɛt
chouk	ʃuk
chwal	ʃwal
chwa	ʃwa
chwazi	ʃwazi
chyen	ʃjɛ̃
dakò	dakɔ
dan	dã
danje	dãʒe
