a	a
abandone	abãdone
abdenwel	abdenwɛl
abi	abi
abilite	abilite
abita	abita
abitid	abitid
aboli	aboli
abolisyon	abolisjɔ̃
abondans	abõdãs
abyotik	abjotik
abònman	abɔnmã
achte	aʃte
adaptasyon	adaptasjɔ̃
adapte	adapte
administratè	administɣatɛ
adokine	adokine
adore	adoɣe
afekte	afekte
afrik	afɣik
afyo	afjo
afè	afɛ
agrave	agɣave
agrikòl	agɣikɔl
ajantin	aʒãtin
aje	aʒe
aji	aʒi
ak	ak
akaryat	akaɣjat
akennsas	akɛ̃nsas
akeyoloji	akejoloʒi
akimile	akimile
akize	akize
akselerasyon	akseleɣasjɔ̃
aksidan	aksidã
aktivite	aktivite
akòz	akɔz
al	al
ale	ale
aletranje	aletɣãʒe
alfabe	alfabe
alfabèt	alfabɛt
alkòl	alkɔl
alo	alo
alò	alɔ
amelyore	ameljoɣe
ameriken	ameɣikɛ̃
an	ã
anba	ɑ̃ba
anch	ãʃ
andedan	ãdedã
andwa	ãdwa
ane	ane
ang	ãg
angle	ãgle
anglè	ãglɛ
animal	animal
anivèsè	anivɛsɛ
anjeneral	ãʒeneɣal
ankouraje	ãkuɣaʒe
anlè	ãlɛ
anmenmtan	ãmɛ̃mtã
ann	ãn
annou	ãnu
anonse	anɔ̃se
anpeche	ãpeʃe
anperè	ãpeɣɛ
anpil	ãpil
anpitasyon	ãpitasjɔ̃
anplwaye	ãplwaje
anpwazònman	ãpwazɔnmã
anpàn	ãpan
anrejistreman	ãɣeʒistɣemã
ansanm	ãsãm
ansent	ãsɛ̃t
ansiklopedi	ãsiklopedi
ansèkle	ãsɛkle
ant	ãt
antatik	ãtatik
antiy	ãtij
antre	ãtɣe
anvan	ãvã
anviwònman	ãviwɔnmã
anvwaye	ãvwaje
anyen	ãjɛ̃
ap	ap
aparèy	apaɣɛj
apeprè	apepɣɛ
aplikasyon	aplikasjɔ̃
aplike	aplike
aprann	apɣãn
apre	apɣe
aprè	apɣɛ
areye	aɣeje
ase	ase
asefi	asefi
asepte	asepte
asire	asiɣe
asistans	asistãs
astwonomi	astwonomi
asye	asje
atak	atak
atansyon	atãsjõ
atenn	atɛ̃n
atik	atik
atlèt	atlɛt
atomik	atomik
atrap	atɣap
atè	atɛ
avanse	avãse
avril	avɣil
avwàn	avwan
avyon	avjɔ̃
avè	avɛ
avèk	avɛk
ayeropò	ajewopɔ
ayewopò	ajewopɔ
ayisyen	ajisjɛ̃
ayiti	ajiti
ayè	ajɛ
azi	azi
azòt	azɔt
ba	ba
bab	bab
bag	bag
bagay	bagaj
bak	bak
bal	bal
bale	bale
balkon	balkɔ̃
balèn	balɛn
ban	bã
bann	bãn
banza	bãza
bat	bat
batiman	batimɐ̃
bato	bato
baton	batɔ̃
batèm	batɛm
bay	baj
bayakou	bajaku
baze	baze
bebe	bebe
bese	bese
bezig	bezig
bezwen	bezwɛ̃
bilding	bildzin
bilding	bildziŋ
bileng	bilɛ̃g
bivèt	bivɛt
biyografi	bijogɣafi
biznis	biznis
blan	blã
blanch	blãʃ
ble	ble
blesi	blesi
bliye	blije
bobin	bobin
bofis	bofis
bokal	bokal
bokit	bokit
bon	bɔ̃
bondye	bɔ̃dje
bonjou	bɔ̃ʒu
bonnanj	bɔ̃nãʒ
bonswa	bɔ̃swa
bouch	buʃ
boule	bule
boutèy	butɛj
bra	bɣa
branch	bɣãʃ
brav	bɣav
brezil	bɣezil
bwa	bwa
bwason	bwasɔ̃
bwat	bwat
bwokoli	bwokoli
bwè	bwɛ
bwèt	bwɛt
byen	bjɛ̃
byennèt	bjɛ̃nɛt
byenvini	bjɛ̃vini
byè	bjɛ
bè	bɛ
bèbè	bɛbɛ
bèf	bɛf
bèl	bɛl
bèso	bɛso
bèt	bɛt
bò	bɔ
bòkò	bɔkɔ
chache	ʃaʃe
chadèk	ʃadɛk
chaje	ʃaʒe
chak	ʃak
chalè	ʃalɛ
chamo	ʃãmo
chanje	ʃãʒe
chanjman	ʃãʒmã
chanm	ʃãm
chanmakouche	ʃãmakuʃe
chante	ʃãte
chape	ʃape
chemen	ʃemɛ̃
chen	ʃɛ̃
chenn	ʃɛ̃n
cheve	ʃeve
chimi	ʃimi
chimik	ʃimik
chimè	ʃimɛ
chita	ʃita
cho	ʃo
chonje	ʃɔ̃ʒe
chosèt	ʃosɛt
chouk	ʃuk
choukèt	ʃukɛt
choukètlarouze	ʃukɛtlawuze
chwa	ʃwa
chwal	ʃwal
chwazi	ʃwazi
chyen	ʃjɛ̃
chè	ʃɛ
chèf	ʃɛf
chèvrèt	ʃɛvɣɛt
chèz	ʃɛz
dakò	dakɔ
dan	dã
danje	dãʒe
danjere	dãʒeɣe
dans	dãs
