abacada	ʔàːbàːtʃàːdâː
abada	ʔàbə̀dâː
abarba	ʔàbàɽbáː
abdulhamid	ʔàbdɪ̀lhàmɪ̂d
abdulƙadir	ʔàbdɪ̀lkʼáːdɪ̀r
abdullahi	ʔàbdɪ̀lláːhɪ̀
abdurrahim	ʔábdɪ́ɽrə́hɪ́ŋ
abdussalamu	ʔàbdɪ̀ssə̀láːmʊ̀
abdu	ʔábdɪ̀
abjadi	ʔábdʒə̀díː
aboki	ʔàbóːcíː
abubakar	ʔàbúːbə́kàr
abu	ʔábʊ́
abu	ʔàbʊ̀
acca	ãtʃtʃə́
acca	ʔáttʃàː
adabi	ʔádə̀bíː
adabo	ʔádàːbóː
adadi	ʔádə̀díː
adamu	ʔàːdə̀mʊ́
adam	ʔádàŋ
adawa	ʔàdáːwàː
addaba	ʔàddə́bàː
addini	ʔàddíːnìː
addu'a	ʔàddɪ́ʔàː
adire	ʔàdɪ̀ré
aduwa	ʔádʊ́wàː
adu	ʔádɪ́
afirka	ʔáɸɪ́rkə̀
afrilu	ʔàɸríːlɪ̀
agade	ʔàgə̀dè
agogo	ʔàgʷóːgʷó
agola	ʔágʷòːlə̀
agushi	ʔàgʷʊ́ʃíː
agusta	ʔàgʷʊ́stàː
agwado	ʔàgʷàːdóː
agwagwa	ʔàgʷàːgʷáː
ahmad	ʔáːmàd
aibi	ʔáibɪ̀
aibu	ʔáibʊ̀
aidin	ʔàidɪ̂ŋ
aiki	ʔáicìː
aiki	ʔàicɪ́
ailan	ʔáilàŋ
ainun	ʔáinɪ̀ŋ
a'ishatu	ʔáːʔɪ̀ʃə́tɪ̀
ajali	ʔádʒə̀líː
ajami	ʔàdʒə̀mɪ́
ajuza	ʔàdʒúːzàː
akala	ʔákàːlə̀
akara	ʔàkə̀ɽə̀
akasidan	ʔákə́sɪ̀dâŋ
akawali	ʔákə́wə̀líː
akawal	ʔákə́wàl
akawu	ʔàkàːwʊ́
akure	ʔàkʷʊ́ɽé
akushi	ʔákʷʊ̀ʃíː
akuya	ʔàkʷíjàː
akwasa	ʔákʷə́sáː
akwati	ʔàkʷàːtɪ̀
aƙalla	ʔàkʼállə̀
aƙida	ʔàcʼíːdàː
alabe	ʔàlə́bèː
alabo	ʔàlə̀bóː
al'ada	ʔàlʔáːdàː
alade	ʔàlə́dèː
al'ajabi	ʔàlʔádʒə̀bíː
al'amari	ʔàlʔámə̀ríː
alama	ʔàláːmàː
alaramma	ʔálə̀rámmə̀
alatu	ʔáːláːtɪ̀
al'aura	ʔàlʔáuràː
alawa	ʔàláːwàː
albaras	ʔàlbə́ràs
albarka	ʔàlbárkàː
albarushi	ʔàlbə̀rúːʃìː
albasa	ʔàlbə́sàː
albashi	ʔàlbâːʃíː
albishir	ʔàlbɪ́ʃɪ̀r
alfadari	ʔàlɸə́də́ríː
alfahari	ʔàlɸə́hàríː
alfijir	ʔàlɸɪ́dʒɪ̀r
algaita	ʔàlgéitàː
algashi	ʔálgə̀ʃíː
alhaji	ʔàlhádʒíː
alhaki	ʔàlhácíː
alhali	ʔàlháːlíː
alhamdulillahi	ʔàlhámdɪ̀lɪ̀lláːhɪ̀
alhamis	ʔàlhàmɪ̂s
alhanzir	ʔàlhànzɪ̂r
alheri	ʔàlhéːrìː
alhudahuda	ʔàlhʊ́də̀hʊ́də̀
alif	ʔálɪ̀ɸ
ali	ʔàlɪ́
aljabara	ʔàldʒə́bə́ràː
aljani	ʔàldʒə́níː
