a	a
ā	aː
aeʻo	ae̯ʔo
aha	aha
ahi	ahi
ahiahi	ahiahi
aho	aho
aʻa	aʔa
aʻe	aʔe
aʻo	aʔo
aʻu	aʔu
aia	ai̯a
ai	ai̯
aina	ai̯na
aka	aka
akā	akaː
akaʻai	akaʔai̯
ākea	aːkea
ake	ake
akemāmā	akemaːmaː
ako	ako
akua	akua
aku	aku
ala	ala
alakaʻi	alakaʔi
alana	alana
alapaʻi	alapaʔi
alelo	alelo
aliʻi	aliʔi
alo	alo
aloha	aloha
ama	ama
amo	amo
āna	aːna
ana	ana
anahulu	anahulu
ane	ane
ani	ani
ano	ano
anu	anu
anuhea	anuhea
ao	ao̯
apau	apau̯
āu	aːu
au	au̯
auau	au̯au̯
auē	au̯eː
aumoe	au̯moe
aupuni	au̯puni
awa	awa
awakea	awakea
awāwa	awaːwa
banagaladesa	panakalakeka
beretania	pelekaːnia
burunei	pulunei̯
daniela	kaniela
ea	ea
ehu	ehu
galatia	kalakia
gāna	kaːna
habakuka	hapakuka
hagai	hakai̯
hā	haː
haʻaheo	haʔaheo
haʻalulu	haʔalulu
hāʻāpuka	haːʔaːpuka
haʻawina	haʔawina
hailama	hai̯lama
hailawe	hai̯lawe
hailepo	hai̯lepo
hailuku	hai̯luku
haka	haka
halaki	halaki
hālana	haːlana
hale	hale
halelū	haleluː
haliaka	haliaka
hāliu	haːlju
hālō	haːloː
hana	hana
hanalē	hanaleː
hanalei	hanalei̯
hānana	haːnana
hanauna	hanau̯na
haneli	haneli
hanini	hanini
haole	hao̯le
hapalua	hapalua
hasegawa	hakekawa
hau	hau̯
haukalima	hau̯kalima
haukapila	hau̯kapila
haumea	hau̯mea
hāuna	haːuna
haunani	hau̯nani
hawaiʻi	hawai̯ʔi
hea	hea
healani	healani
hebera	hepela
heʻe	heʔe
hekekia	hekekia
hele	hele
heleʻekela	heleʔekela
helena	helena
helene	helene
helu	helu
heluhelu	heluhelu
hema	hema
henelē	heneleː
henua	henua
hepa	hepa
heu	heu̯
