'aina	ajna
`aina	ajnæ
`oi	oi
a	a
a'a	ˈaɪˈaɪ
aeʻo	ae̯ʔo
aha	aha
ahi	ahi
ahiahi	ahiahi
aho	aho
ai	ai̯
aia	ai̯a
aina	ai̯na
aka	aka
akamai	aqamaj
akaʻai	akaʔai̯
ake	ake
akemāmā	akemaːmaː
ako	ako
aku	aku
akua	akua
akā	akaː
ala	ala
alakaʻi	alakaʔi
alana	alana
alapaʻi	alapaʔi
alaula	allaula
alelo	alelo
aliʻi	aliʔi
ali‘i	alii
alo	alo
aloha	aloha
aloha	ˈaloːɑhˈa
ama	ama
amo	amo
ana	ana
anahulu	anahulu
ane	ane
ani	ani
ano	ano
anu	anu
anu	anə
anuhea	anuhea
ao	ao̯
aolani	aulani
apau	apau̯
apelila	apellila
au	au̯
auau	au̯au̯
aumakua	au̯makua
aumoe	au̯moe
aupuni	au̯puni
auē	au̯eː
awa	awa
awakea	awakea
awāwa	awaːwa
aʻa	aʔa
aʻe	aʔe
aʻo	aʔo
aʻu	aʔu
banagaladesa	panakalakeka
beretania	pelekaːnia
burunei	pulunei̯
daniela	kaniela
ea	ea
ehu	ehu
galatia	kalakia
gāna	kaːna
habakuka	hapakuka
hagai	hakai̯
hailama	hai̯lama
hailawe	hai̯lawe
hailepo	hai̯lepo
hailuku	hai̯luku
haka	haka
halaki	halaki
hale	ale
hale	hale
halelū	haleluː
haliaka	haliaka
hana	hana
hanalei	hanalei̯
hanalē	hanaleː
hanauna	hanau̯na
haneli	haneli
hanini	hanini
haole	hao̯le
hapa	aɫpːa
hapalua	hapalua
hasegawa	hakekawa
hau	hau̯
haukalima	hau̯kalima
haukapila	hau̯kapila
haumea	hau̯mea
haunani	aunani
haunani	hau̯nani
hawaiʻi	hawai̯ʔi
haʻaheo	haʔaheo
haʻalulu	haʔalulu
haʻawina	haʔawina
hea	hea
healani	healani
hebera	hepela
hekekia	hekekia
hele	hele
helena	helena
helene	helene
heleʻekela	heleʔekela
helu	helu
heluhelu	heluhelu
hema	hema
henelē	heneleː
henua	henua
hepa	hepa
heu	heu̯
heʻe	heʔe
hikina	hikina
hiku	hiku
hili	hili
hilinaʻi	hilinaʔi
hilo	hilo
hina	hina
hio	hio
hipa	hipa
hiō	hioː
hiʻiaka	hiʔiaka
hiʻilani	hiʔilani
hoa	hoa
hoai	hoai̯
hoe	hoe
hoehoe	hoehoe
hoihoi	ho̯iho̯i
hola	hola
holoholo	hoˈloˈhoˈlo
holoholona	holoholona
holokū	holokuː
hono	hono
honolulu	honolulu
honu	honu
honua	honua
hou	hou̯
hoʻoaka	hoʔaka
hoʻohanini	hoʔohanini
hoʻohaole	hoʔohao̯le
hoʻohaʻalulu	hoʔohaʔalulu
hoʻohele	hoʔohele
hoʻohāliu	hoʔohaːlju
hoʻokala	hoʔokala
hoʻomakaʻu	hoʔomakaʔu
hoʻomake	hoʔomake
hoʻomale	hoʔomale
hoʻopelapela	hoʔopelapela
hoʻoponopono	hoʔoponopono
hoʻoʻulaʻula	hoʔoʔulaʔula
hua	hua
huhu	huhu
huhū	hˈuhˈu
hui	hui
huila	huila
hula	hula
huli	tuli
hulinea	hulinea
huluhulu	huluhulu
humuhumu	humuhumu
humuhumunukunukuāpuaʻa	humuhumunukunukuaːpuaʔa
hunakalia	hunakalia
huʻihuʻi	huʔihuʔi
hā	haː
hālana	haːlana
hāliu	haːlju
hālō	haːloː
hānai	ʔaːnaj
hānana	haːnana
hāuna	haːuna
hāʻāpuka	haːʔaːpuka
hōkū	hoːkuː
hōkūlani	hoːkuːlani
hōlani	hoːlani
hōʻai	hoːʔai̯
hōʻaʻā	hoːʔaʔaː
hōʻike	hoːʔike
hū	huː
hūi	huːi
i	i
ia	ia
iakopa	iakopa
iakopo	iakopo
ianakama	ianakama
iaʻu	iaʔu
iemene	iemene
ieremia	ielemia
iho	iho
ikaika	ikai̯ka
ikaika	ikːʰaɪ˥˧ka˥˥
ilo	ilo
imu	iu˥˩
inoa	inoa
ioane	ioane
ioba	iopa
iokepa	iokepa
iona	iona
ioredāne	iolekaːne
ioʻela	ioʔela
ipu	ipu
iuda	juka
iune	june
iwa	iwa
iwa	java
iā	iaː
iāpana	iaːpana
ka	ka
kahakō	kahakoː
kahalaomāpuana	kahalaomaːpuana
kahale	kahale
kahananui	kahananui
kahaʻi	kahaʔi
kahealani	kahealani
kahele	kahele
kahi	kahi
kahiki	kahiki
kaholo	kɑhˈolo
kahu	kahu
kahua	kahua
kahuapaʻa	kahuapaʔa
kahue	kahue
kahula	kahula
kahuna	kahuna
kahuna	kauɔnˈa
kai	kai̯
kaila	kai̯la
kailani	kai̯lani
kaimana	kai̯mana
kainalu	kai̯nalu
kainoa	kai̯noa
kaipo	kai̯po
kaiwi	kai̯wi
kaka	kaka
kakahiaka	kakahiaka
kakalia	kakalia
kakalina	kakalina
kala	kala
kalai	kalai̯
kalaima	kalai̯ma
kalaina	kalai̯na
kalalaina	kalalai̯na
kalama	kalama
kalani	kalani
kalaniopu'u	kalaniopubu
kalawaiʻa	kalawai̯ʔa
kalaʻi	kalaʔi
kale	kale
kalehua	kalehua
kalei	kalei̯
kaleialoha	kalei̯aloha
kaleikaumaka	kalei̯kau̯maka
kaleiokalani	kalei̯okalani
kalena	kalena
kaleo	kaleo
kaleolani	kaleolani
kali	kali
kalia	kalia
kalikimaka	kalikimaka
kaliko	kaliko
kalili	kalili
kaliʻa	kaliʔa
kalolaina	kalolai̯na
kalua	kalua
kalukalu	kalukalu
kalā	kalaː
kama	kama
kamabodia	kamapokia
kamahiʻai	kamahiʔai̯
kamaile	kamai̯le
kamaka	kamaka
kamaki	kamaki
kamala	kamala
kamalani	kamalani
kamalei	kamalei̯
kamana	amana
kamaʻāina	kamaʔaːina
kamehameha	kamehameha
kamepuila	kamepuila
kameāloha	kameaːloha
kamila	kamila
kanaka	kanaka
kanakā	kanakaː
kanaloa	kanaloa
kanani	kanani
kanapī	kanapiː
kaniele	kaniel
kanikau	kanikau̯
kanoa	kanoa
kanoelani	kanoelani
kao	kao̯
kao	kau
kapa	kapa
kapeka	kapeka
kapi'olani	kapiolani
kapika	kapika
kapiʻolani	kapiʔolani
kapono	kapono
kapu	kapul
kapua	kapua
kapule	kapule
katala	kakala
kau	kau̯
kauaʻi	kau̯aʔi
kauhi	kau̯hi
kaukani	kau̯kani
kaulana	kau̯lana
kaumokuʻāina	kau̯mokuʔaːina
kauō	kau̯oː
kauʻi	kau̯ʔi
kauʻilani	kau̯ʔilani
kawai	kawai̯
kawailani	kawai̯lani
kawehi	kawehi
kawelo	kawelo
kawena	kawena
kaʻa	kaʔa
kaʻaukai	kaʔau̯kai̯
kaʻehu	kaʔehu
kaʻena	kaʔena
kaʻili	kaʔili
kaʻimi	kaʔimi
kaʻiulani	kaʔjulani
kaʻohu	kaʔohu
kaʻu	kaʔu
kaʻuhane	kaʔuhane
ke	ke
kea	kea
keahi	keahi
keaka	keaka
keala	keala
keala	kiala
kealalaina	kealalai̯na
kealani	kealani
keali'i	kialii
kealia	kalia
kealiʻi	kealiʔi
kealoha	kealoha
keanu	keanu
keao	keao̯
keawe	keawe
keiki	kˈeɪki
keikilani	kei̯kilani
keka	keka
kekele	kekele
kekoa	kekoa
keleka	keleka
kelekia	kelekia
kelekolio	kelekolio
kelemānia	kelemaːnia
keliʻi	keliʔi
kelupaina	kelupai̯na
kenemaka	kenemaka
keoki	keoki
keokia	keokia
keola	keola
keona	keona
keonaona	keonao̯na
keone	keone
keonimana	keonimana
kepania	kepania
kepano	kepano
kepanī	kepaniː
kepola	kepola
keō	keoː
keʻala	keʔala
keʻalohilani	keʔalohilani
ki	si˥˩
kia	kia
kiana	kiana
kiele	kiele
kika	kika
kikiki	kikiki
kikilia	kikilia
kila	kila
kilia	kilia
kilikina	kilikina
kiliona	kiliona
kilo	kilo
kilohana	kilohana
kilohi	kilohi
kimo	kimo
kimokeo	kimokeo
kimona	kimona
kimu	kimu
kina	kina
kini	kini
kino	kina
kinohi	kinohi
kio	kio
kipikelia	kipikelia
kipola	kipola
kiʻi	kiʔi
ko	ko
koa	koa
koaea	koae̯a
koali	koali
koi	ko̯i
kokoleka	kokoleka
kokomi	kokomi
koleka	koleka
kolili	kolili
koloa	koloɐ
kolokea	kolokea
kolomepia	kolomepia
kolomona	kolomona
kolomupia	kolomupia
kolopā	kolopaː
kolosa	koloka
kolu	kolu
koma	koma
komohana	komohana
kona	kona
kona	xˈona
konini	konini
kopa	kopa
kopaea	kopae̯a
kope	kope
korineto	kolineko
kou	kou̯
koʻa	koʔa
koʻo	koʔo
koʻokoʻo	koʔokoʔo
koʻu	koʔu
kuekena	kuekena
kuekene	kuekene
kuene	kuene
kuete	kueke
kuhi	kuhi
kuhina	kuhina
kuikui	kuikui
kuilei	kuilei̯
kuka	kuka
kukana	kukana
kuki	kuki
kukula	kukula
kulaʻi	kulaʔi
kuleana	kuleana
kuleke	kuleke
kulia	kulia
kumu	kumu
kumu	kɔmu
kumuhana	kumuhana
kuna	kuna
kupelo	kupelo
kupuna	kupuna
kuʻu	kuʔu
kuʻualoha	kuʔualoha
kuʻuipo	kuʔuipo
kuʻulei	kuʔulei̯
kuʻuleialoha	kuʔulei̯aloha
kā	kaː
kāhewa	kaːhewa
kāhili	kaːhili
kāhinu	kaːhinu
kāhuli	kaːhuli
kākini	kaːkini
kākou	kaːkou̯
kālai	kaːlai̯
kālele	kaːlele
kālelei	kaːlelei̯
kālepa	kaːlepa
kāna	kaːna
kāne	kaːne
kānāwai	kaːnaːwai̯
kāu	kaːu
kāua	kaːua
kāwelu	kaːwelu
kāwika	kaːwika
kāwili	kaːwili
kēhau	keːhau̯
kēhau	kʰe˥˥hau˥˧
kēhaulani	keːhau̯lani
kēia	ke˥˩ja˥˧
kēnā	keːnaː
kī	kiː
kīkala	siːkal˥˥a˥˧
kīwila	kiːwila
kō	koː
kōina	koːina
kōkua	koːkua
kōleka	koːleka
kū	kuː
kūaliʻi	kuːaliʔi
kūkaepele	kuːkae̯pele
kūlou	kuːlou̯
kūnou	kuːnou̯
kūʻē	kuːʔeː
lahaina	laħajna
lahapa	lahapa
laka	laka
lakalo	lakalo
lakawia	lakawia
lala	lala
lana	lana
lanai	lanai̯
lanakila	lanakila
lani	lani
laosa	lao̯ka
lau	lau̯
lau	lou
laulau	lau̯lau̯
laulā	lau̯laː
laʻa	laʔa
laʻakea	laʔakea
lea	lea
lehua	lehua
lei	le
lei	lei̯
leialoha	lei̯aloha
leilani	lei̯lani
leimomi	lei̯momi
leinani	lei̯nani
leināʻala	lei̯naːʔala
lele	lele
leo	leo
lepa	lepa
lepeka	lepeka
lepu	lepu
lewi	lewi
lihi	lihi
lihue	nihue
like	like
likeke	likeke
likelike	ð̞ikeljke
likenekaina	likenekai̯na
lilia	lilia
liliana	liliana
lilinoe	lilinoe
lima	lima
lima	lma
lio	lio
liona	liona
lipo	lipo
lituania	likuania
liu	lju
liʻi	liʔi
loa	loa
loika	lo̯ika
loka	loka
lokalia	lokalia
loke	loke
lokelani	lokelani
loku	loku
lolouila	lolou̯ila
lono	lono
lonoā	lonoaː
lopaka	lopaka
lua	lua
luana	luana
luau	luˈaɪo
luhi	luːhi
luhi	lˈuhˈi
lui	lui
luika	luika
luka	luka
lukemapuka	lukemapuka
lukia	lukia
luku	luku
lulia	lulia
lulu	lulu
luma	luma
lumaʻi	lumaʔi
lunu	lunu
luʻukia	luʔukia
lā	laː
lā	lˈɑː
lāhela	laːhela
lāhui	laːhui
lākana	laːkana
lākou	laːkou̯
lālā	laːlaː
lānaʻi	laːnaʔi
lāua	laːua
lāʻau	laːʔau̯
lūkia	luːkia
lūkini	luːkini
ma	ma
mahalo	mahalo
mahana	mahana
mahele	mahele
mahelona	mahelona
mahina	mahina
mahiʻai	mahiʔai̯
mahū	mahuː
maika`i	majkaj
maikai	majkaʕii
maikaʻi	mai̯kaʔi
maika‘i	majkai
maile	maele
maile	mai̯le
maka	maka
makaio	makai̯o
makaleka	makaleka
makalika	makalika
makamae	makamae̯
makana	makana
makani	makani
makanui	makanui
makaʻina	makaʔina
makia	makia
makoa	makoa
makua	makua
makua	maua
makua	mkua
mala	mala
malaea	malae̯a
malaia	malai̯a
malaisia	malai̯kia
malaki	malaki
male	male
maleka	maleka
maleko	maleko
malia	malia
malihini	malihini
mama	mama
manawa	manawa
manaʻolana	manaʔolana
manene	manene
manu	manu
manuela	manuela
manō	mano
mareko	maleko
maria	malia
maui	mau̯i
mauka	bau̯ka
mauli	mau̯li
mauna	malna
mauna	mau̯na
maʻi	maʔi
me	me
mea	mˈeɪɚ
mei	mei̯
mekiko	beˈkiko
mekiko	mekiko
mele	mele
meleana	meleana
melia	melia
mika	mika
mikala	mikala
mikaʻela	mikaʔela
mileka	mileka
miliama	miliama
mililani	mililani
miliona	miliona
mina	mina
mo'okini	mookini
moa	moa
moana	moana
moani	moani
moehewa	moehewa
moena	moena
moke	moke
mokihana	mokihana
moku	moku
moku	mˌoːkˈu
mokulē'ia	mokuleija
mokuʻāina	mokuʔaːina
molokai	malokai
molokaʻi	molokaʔi
moloā	molova
momi	momi
momilani	momilani
mona	mona
monokolia	monokolia
moʻo	moʔo
moʻopuna	moʔopuna
mua	mua
muku	muku
mukuela	mukuela
muli	muli
muʻumuʻu	muʔumuʔu
māhealani	maːhealani
māiʻuʻu	maːiʔuʔu
mākaukau	maːkau̯kau̯
mākaʻi	maːkaʔi
mākolu	maːkolu
mākou	maːkou̯
māla	maːla
mālie	maːlie
māmaki	maːmaki
mānoa	maːnua
māpuana	maːpuana
māua	maːua
māui	maːui
mīka	miːka
mīkini	miːkini
mōʻī	moːʔiː
na	na
nahuma	nahuma
naigeria	nai̯kelia
naiʻa	nai̯ʔa
naka	naka
nakoa	nakoa
naku	naku
nalo	nalo
nalu	nalu
nana	nana
nanahana	nanahana
nanea	nanea
nani	nani
naomi	nao̯mi
napali	nˈapˈɑli
naʻi	naʔi
naʻu	naʔu
nehemia	nehemia
nekelana	nekelana
nene	nene
nene	ne̞ne
newaka	newaka
nihi	nihi
nini	nini
niʻihau	niʔihau̯
no	no
noa	noa
noelani	noelani
nohealani	nohealani
noku	noku
nolewai	nolewai̯
nona	nona
nui	nui
nui	nˈuɪ
nunu	nunu
nuʻuanu	nuʔuanu
nuʻuhiwa	nuʔuhiwa
nā	naː
nāinoa	naːinoa
nākuʻi	naːkuʔi
nālani	naːlani
nāmaka	naːmaka
nāna	naːna
nānahu	naːnahu
nānā	naːnaː
nāpua	naːpua
nāu	naːu
nāwai	naːwai̯
nō	noː
nō	nˈoʊ
oahu	ɔːahu
ohi'a	oxia
oki	oki
olo	olo
ona	ona
one	one
ono	ono
oʻahu	oʔahu
oʻo	oʔo
pa'akai	paːkaj
pa'u	pau
pahu	pahu
paila	pai̯la
paina	pai̯na
paka	paka
pakalolo	pa˦˥kaloloɾ
pakitana	pakikana
palaki	palaki
palakiko	palakiko
palakila	palakila
palani	palani
palaoa	palao̯a
palapala	palapala
pale	pale
palekana	palekana
pali	hali
pali	pali
pana	pana
panakō	panakoː
pane	pane
pau	pau̯
pauahi	pau̯ahi
paulo	pau̯lo
paʻakai	paʔakai̯
paʻi	paʔi
pea	pea
pehea	pehea
peke	peke
pekelo	pekel
pekelo	pekelo
pelapela	pelapela
pele	hele
pele	pele
pelekila	pelekila
pelekiuma	pelekjuma
pelekānia	pelekaːnia
peneki	peneki
peni	peni
peniʻamina	peniʔamina
pepeiao	pepei̯ao̯
peʻa	peʔa
pi'ilani	piileni
piapia	piapia
pihemanu	pihemano
pihemanu	pihemanu
pika	pika
pila	pila
pili	pili
pilikana	pilikana
piliona	piliona
pilipi	pilipi
pilipino	pilipino
pilipo	pilipo
pinehaka	pinehaka
pinehasa	pinehaka
pinilana	pinilana
pipi	pipi
piʻi	piʔi
piʻikea	piʔikea
piʻilani	piʔilani
poaha	poɦava
poke	poke
pokukala	pokukala
poliʻahu	poliʔahu
poloka	poloka
pono	pono
pua	pua
pua	tua
pualani	pualani
puanani	puanani
puaʻa	puaʔa
puka	puka
puka	pɯk˥a
puke	puke
pukikī	pukikiː
puku	puku
pulukalia	pulukalia
puruma	puluma
pā	paː
pālākiō	paːlaːkioː
pāpālina	paːpaːlina
pāwai	paːwai̯
pāʻina	paːʔina
pēla	peːla
pō	poː
pōmaikaʻi	poːmai̯kaʔi
pūkuʻi	puːkuʔi
pūpule	pupule
roselani	lokelani
roselani	roselani
rusia	lukia
rūsia	luːkia
sepania	kepania
sililanaka	kililanaka
sinapoa	kinapoa
solowakia	kolowakia
solowenia	kolowenia
suria	kulia
tailani	kai̯lani
tesalonike	kekalonike
timoteo	kimokeo
tūtū	tuːtuː
uaua	uau̯a
uila	uila
uilama	uilama
uka	uka
ukana	ukana
uku	uku
ula	ula
ulana	ulana
ululani	ululani
uʻilani	uʔilani
waena	wae̯na
wahine	wahine
wahīʻeha	wahiːʔeha
wai	wai̯
wailani	wai̯lani
waimanalo	vajmanalo
waina	wai̯na
waiwai	wai̯wai̯
waka	waka
wala	wala
wale	wale
walu	walu
wanuatu	wanuaku
wau	wau̯
wela	wela
wela	ðela
welaweka	welaweka
welina	welina
wenekola	wenekola
wiekanama	wiekanama
wikiwiki	wikiwiki
wikolia	wikolia
wilama	wilama
wiliama	wiliama
wilikī	wilikiː
wāhi	waːhi
wāhine	waːhine
zekaria	kekalia
zepania	kepania
ā	aː
ā	fɑ˥˥
ākea	aːkea
āna	aːna
āu	aːu
ōlaʻi	oːlaʔi
ū	uː
ʻ	ʔ
ʻahamaka	ʔahamaka
ʻahi	ʔahi
