א	ʔ
אא	ʔa
אאבד	avɛd
אאו	ɑːo
אאודי	ɑoˈdi
אאוט	ɔt
אאוץ	ɑots
אאוריקה	ɑɔrika
אאחר	ɑːχɛr
אאכזב	ɑʔˈχɛzβ
אאכיל	ɑʔχil
אאלץ	ʔalets
אאמין	ɑʔmiːn
א-אני	ʔani
אאסוף	ɑsɔf
אאפשר	ɑefæxan
אארגן	ʔaːɾgen
אארוז	ʔaʁoːz
אאשים	ʔaʃim
אאשר	ʔaʃer
אאתר	ʔaːtɛr
אב	ɑv
אבא	ɑbɑ
אַבָּא	ɑbɑ
אבא	ʔäbä
אבאל	ɑbɑl
אבבא	ɑvɑvɑ
אבגוד	ɑvgɔd
אבד	avɛd
אבדה	ɑbˈdɑ
אבדו	avˈdu
אבדון	avˈdon
אבדוק	avdoq
אבדות	avdoθ
אבדן	avˈdən
אבדנו	ɑvðˈnuː
אבדת	avˈdɛt
אבדתי	ɑvdeː
אבה	ɑvɑ
אבהות	ɑvɑθ
אבו	ɑbo
אבוא	avɔ
אבוד	ɑvɔd
אבודה	ʔoˈða
אבודות	ɑboˈdot
אבודים	avodim
אבוט	avot
אבוי	avoj
אבולה	avola
אבולוציה	avolotsja
אבוקדו	avokdo
אבות	avot
אבותיהם	avothem
אבותיו	avotav
אבותיי	avotɪ
אבותיך	avotɪx
אבותינו	avotˈinʊ
אבזבז	avzaz
אבזם	avzɛm
אבחון	ɑbˈχɔn
אבחן	ɑbˈχen
אבחנה	avχaˈna
אבחר	ɑbˈχɛr
אבטח	avˈtɑx
אבטחה	avtiˈχa
אבטחו	avtˈχu
אבטחת	avtaχat
אבטיח	avtiχ
אב-טיפוס	avtiˈpus
אבטל	avˈtɛl
אבטלה	avtela
אבי	ɑːvi
אביא	avja
אביב	aviv
אביגייל	avigajil
אביגיל	avigil
אבידה	avida
אבידות	avidiθ
אביה	avjɑ
אביהם	avhem
אביו	avjo
אביזר	avizɛr
אביזרי	avizri
אביזרים	avizˈʁiʃ
אביט	avɪt
אביך	avɪx
אביכם	ɑvɪxɛm
אבין	avɪn
אבינו	avino
אביס	avis
אביר	ɑːˈviʁ
אבירות	avirej
אבירי	avɪri
אבירים	avɪʁɪm
אבכה	ɑvɛχɑ
אבל	ævɛl
-אבל	ɑːvel
אבל	ɑːβɛl
אבלה	avla
אבלון	avlɔn
אבלים	avlem
אבן	avɛn
אבן	ʔɛːvɛn
אבנה	avˈnɑ
אבני	avne
אבניו	avneɪ
אבנים	avnim
אבנר	avneʁ
אבס	ɑbɛs
אבסורד	ɑbsuʁɛd
אבסורדי	ʔabsuʁdi
אבעבועות	avboˈʔot
אבעט	avɑt
אבצע	avˈtsɑ
אבק	ʔapɛk
אבקה	avkɑ
אבקר	avkɛr
אבקש	avkæʃ
אבקת	ɑvˈket
אבר	avr
אברהם	avraˈhem
אברהם	avrɔhɔm
אברהם	ʔavrɔːhɔːm
אברהמס	avraˈhems
אברח	avɾaχ
אברט	avˈɾet
אברי	avri
אברם	avˈrem
אברמס	avʁams
אברר	avˈrɛr
אבשל	avʃal
אג	ɑg
אגב	ɑgɛv
אגבה	ʔɛgˈbɑ
אגדה	ʔagˈdɑ
אגדות	ɑgˈdot
אגדי	ʔgaði
אגדל	ʔɛgɛdɛl
אגדת	ɑgˈdɛt
אגו	ʔɛgo
אגואיסט	ɑgoˈʔist
אגודה	ʔagoða
אגודל	ʔagoˈdɛl
אגודלים	ʔagoˈdɛlɛm
אגודת	ʔagoˈdot
אגוז	ʔagoz
אגוזי	ʔaguzi
אגוזים	ʔɑgoːzɪm
אגוס	ɑgɔs
אגור	ɑgɔr
אגורה	ʔgoˈra
אגורות	ɑgoˈɾot
אגזי	ʔɛgˈzi
אגי	ɑgi
אגיב	ʔɛgiːv
אגיד	ɑgɪd
אגיע	ɑgjɑ
אגיש	ʔagiʃ
אגלה	ɑgɛlɑ
אגם	ʔagem
אגמור	ɑgmoʁ
אגמים	ɑgɑm
אגן	ʔagan
אגנוב	ɑgˈnɔv
אגנס	ʔagˈnes
אגס	ɑges
אגסים	ʔɛgˈsim
אגע	ɑgɑ
אגף	ɑgɛf
אגר	ɑgɛr
אגרה	ʔɛgʁɑ
אגרום	ɑgˈɾum
אגרוף	ʔgaˈruf
אגרופים	ʔgʁoːf
אגרור	ʔgʁuʁ
אגרות	ʔɑgˈɾoθ
אגרטל	ʔagaʁtel
אגרסיבי	ɑgrɛˈsiv
אגרסיביים	ɑgrɛsiˈvim
אגרסיבית	ɑgrɛsivɪt
אגש	ʔɛgeʃ
אגתה	ɑgeθɑ
אד	ɑd
אדאג	ʔadag
אדאמס	ʔadamːs
אדביק	ʔadˈvik
אדבר	ʔadˈvɛr
אדג	ʔadg
אדגר	ʔadgaʁ
אדה	ɑdɑ
אדו	ʔaduː
אדוארד	ɑdoˈʔaʁd
אדוארדו	ʔaduːˈʔaːɾo
אדוארדס	ɑduːɑːrds
אדווארד	ɑdɔvaʁd
אדווח	ʔadovɑx
אדווין	ɑdˈvin
אדוורד	ɑdɔvɛɾd
אדולף	ʔadolfe
אדום	ɔðeːm
אדום	ʔaˈduːm
אדומה	ʔadʊma
אדומות	ʔadomot
אדומים	ʔadomim
אדון	ʔadɔn
אדוני	adɛɪnoj
אדוני	adonuj
אדוני	ʔadoni
אֲדוֹנִי	ʔadoni
אדוניי	ʔadoni
אדונים	ʔadˈjon
אדונך	ʔadɔnæx
אדוננו	ʔadɔnɔ
אדוק	ʔadok
אדחה	ʔadˈχa
אדחוף	ʔadˈχuf
אדחף	ʔadˈχaf
אדי	ʔadi
אדיב	ʔadiːb
אדיבה	ʔadibɑ
אדיבות	ʔadivˈtɛv
אדיבים	ʔadiːvim
אדיוט	adiot
אדיוטים	adiˈotim
אדיוס	ʔadius
אדים	ʔadim
אדיסון	ʔadiˈson
אדיר	ʔadiːr
אדירה	ʔadiːra
אדירות	ʔadiːteʁ
אדירים	ʔadiːrim
אדיש	ʔadiʃ
אדישה	ʔadˈʃa
אדישות	ʔadiːʃut
אדית	ɑdiθ
אדל	ʔadl
אדלייד	ʔadliːd
אדלינד	ɑdlinɛd
אדליק	ʔadlik
אדלר	ɑdˈlɛr
אדם	ɔdɔm
אדם	ʔadˈm
אדמה	ʔadˈma
אדמונד	ɑdmɔn
אדמות	ʔadˈmuθ
אדם-זאב	ʔadm-zaʕav
אדמירל	ʔadmiʁal
אדמס	ɑdˈmɑs
אדמת	ʔadˈmat
אדמתי	ʔadˈmate
אדמתנו	ʔadˈmɛtno
אדן	ʔadˈn
אדנה	ʔadˈnɑ
אדע	ʔadˈʕa
אדפוק	ʔadˈfok
אדקור	ʔadˈkuːr
אדרוש	ʔadˈruʃ
אדריאן	ʔadriˈan
אדריאנה	ɑdʁiˈɑnɑ
אדריך	ʔadˈriːx
אדריכל	ʔadriχal
אדריכלות	adʁiχalut
אדריכלות	ʔadriχˈlot
אדרנלין	ʔadʁanlin
אה	ɑ
אה	ɑːheː
אה	ʔahe
אהא	ɑhɑ
אה-אה	ɑːɑː
אהב	ɑhˈvɑ
אהבה	ɑhˈvɑ
אהבה	ʔähävä
אהבו	ɑhevo
אהבים	ɑhɑvim
