אֱגוֹז	eˈgoz
אֱווִיל	eˈvil
אֱזוֹרִי	ezoˈri
אֱייָל	eˈjal
אֱלִיל	eˈlil
אֱלוֹהִים	eloˈhim
אֱלוֹהַּ	eˈloa
אֱמֶת	eˈmet
אֱמוּנָה	emuˈna
אֱנוֹשׁ	eˈnoʃ
אֱנוֹשִׁי	enoˈʃi
אֱנוֹשׁוּת	enoˈʃut
אֲבִיבִי	aviˈvi
אֲבִיזָר	aviˈzar
אֲבֵדָה	aveˈda
אֲבֵידָה	aveˈda
אֲבַדּוֹן	avaˈdon
אֲבַטִּיחַ	avaˈtiax
אֲבַקֵּשׁ	avaˈkeʃ
אֲבָל	aˈval
אֲגִידָה	agiˈda
אֲגַם	aˈgam
אֲגַף	aˈgaf
אֲגַרְטָל	agarˈtal
אֲגוּדָל	aguˈdal
אֲגוּדָּה	aguˈda
אֲדִיקוּת	adiˈkut
אֲדַמְדַּם	adamˈdam
אֲדָמָה	adaˈma
אֲווִיר	aˈvir
אֲווִירוֹן	aviˈron
אֲווָז	aˈvaz
אֲזִיקִּים	aziˈkim
אֲזִיקוֹן	aziˈkon
אֲחִיזָה	axiˈza
אֲחוֹרִי	axoˈri
אֲחוֹרַייִם	axoˈrajim
אֲחוּזָּה	axuˈza
אֲטִימוּת	atiˈmut
אֲכִילָה	axiˈla
אֲכִיפָה	axiˈfa
אֲלַכְסוֹן	alaxˈson
אֲלוּנְקָה	alunˈka
אֲמִיתִּי	amiˈti
אֲמִיתָּה	amiˈta
אֲמִיתּוּת	amiˈtut
אֲמָנָה	amaˈna
אֲנִי	aˈni
אֲנַחְנוּ	anaxˈnu
אֲנָחָה	anaˈxa
אֲנָךְ	aˈnax
אֲנָכִי	anaˈxi
אֲנוֹכִי	anoˈxi
אֲנוֹכִיּוּת	anoxiˈjut
אֲסֵיפָה	aseˈfa
אֲפִייָּה	afiˈja
אֲפִילּוּ	aˈfilu
אֲפֵלָה	afeˈla
אֲפַרְסֵק	afarˈsek
אֲצִילִי	atsiˈli
אֲצִילוּת	atsiˈlut
אֲצוּלָּה	atsuˈla
אֲרִיזָה	ariˈza
אֲרִיכוּת	ariˈxut
אֲרָעִי	araˈʔi
אֲרָעִיּוּת	araʔiˈjut
אֲרוֹנִית	aroˈnit
אֲרוּבָּה	aruˈba
אֲרוּחַת	aruˈxat
אֲרוּחָה	aruˈxa
אֲשֶׁר	aˈʃer
אֲתָר	aˈtar
אִגְרוּף	igˈruf
אִזְמֵל	izˈmel
אִטְלִיז	itˈliz
אִטְרִיַה	itriˈja
אִטְרִיָּה	itriˈja
אִי	ˈi
אִיּוּם	iˈjum
אִיּוּר	iˈjur
אִיּוּשׁ	iˈjuʃ
אִיּוּת	iˈjut
אִיבְחוּן	ivˈxun
אִיבְטוּחַ	ivˈtuax
אִיבּוּד	iˈbud
אִיבּוּק	iˈbuk
אִיגֵרֵת	iˈgeret
אִיגֶּרֶת	iˈgeret
אִיגּוּד	iˈgud
אִיגּוּף	iˈguf
אִיגוּד	iˈgud
אִיגוּף	iˈguf
אִידֵיאַל	ideˈʔal
אִידֵיאַלִי	ideʔaˈli
אִידֵיאָל	ideˈʔal
אִידֵיאָלִי	ideʔaˈli
אִידּוּי	iˈduj
אִידוּי	iˈduj
אִיוּם	iˈjum
אִיוּר	iˈjur
אִיוּשׁ	iˈjuʃ
אִיוּת	iˈjut
אִיווְרוּר	ivˈrur
אִיווְשׁוּשׁ	ivˈʃuʃ
אִיווֵּלֵת	iˈvelet
אִיווֶּלֶת	iˈvelet
אִיזְכּוּר	izˈkur
אִיזּוּן	iˈzun
