--------अंत-----------	ə̃t̪
-इसके	ɪs̪keː
-एमिली	əʋiːliː
-और	əʊr
-कि	ki
-क्या	kʲɑː
-यह	ja
-लोग	loːg
-वर्ना	ʋərnə
-वास्तविक	ʋɑːst̪ʋɪk
-वैस्ट	ʋaːst̪
-व्हाइट	ʋʱaɪt̪
-सबको	ʃəbkoː
ंकोई	ə̃koːi̯
अ	ɐ
अ	ə
अँ	ɐ̃
अँकड़ा	ɐ̃kɽäː
अँकवैया	ɐ̃kwɐ̯ijäː
अँगड़ाई	ɐ̃ŋgɽäːiː
अँगड़ाना	ɐ̃ŋgɽäːnäː
अँगरेज़	ɐ̃ŋgɾeːdʒ
अँगरेज़	ɐ̃ŋgɾeːz
अँगरेज़ी	ɐ̃ŋgɾeːdʒiː
अँगरेज़ी	ɐ̃ŋgɾeːziː
अँगहीन	ɐ̃ŋgʱĩːn
अँगिया	ɐ̃ŋgijäː
अँगीठी	ɐ̃ŋgiːʈʰiː
अँगूठा	əŋuːʈʰə
अँगूठी	ɐ̃ŋguːʈʰiː
अँग्रेज	əŋgɾeːz
अँग्रेज़	ɐ̃ŋgɾeːdʒ
अँग्रेज़	ɐ̃ŋgɾeːz
अँग्रेज़ी	ɐ̃ŋgɾeːdʒiː
अँग्रेज़ी	ɐ̃ŋgɾeːziː
अँटना	ɐ̃ʈnäː
अँठई	ɐ̃ɳʈʰɐiː
अँतड़ी	ɐ̃t̪ɽiː
अँधियारा	ɐ̃n̪d̪ʱijäːɾäː
अँधे	ə̃d̪ʰe
अँधेरा	ɐ̃n̪d̪ʱeːɾäː
अँधेरा	ə̃d̪ʱeːɾɑː
अँधेरी	ɐ̃n̪d̪ʱeːɾiː
अँधेरे	ɐ̃n̪d̪ʱeːɾeː
अँधेरे	ə̃d̪ʱeːre
अँधेरों	ɐ̃n̪d̪ʱeːɾõː
अं	ɐ̃
अंक	ɐ̃ŋk
अंक	əŋk
अंकक	ɐ̃ŋkɐk
अंकगणित	ɐ̃ŋk̚gɐɳɪt̪
अंकगणित	əŋkəgəɳit̪
अंकगणितीय	ɐ̃ŋk̚gɐɳɪt̪iːjᵊ
अंकगणितीय	əŋkəgəɳiːtiː
अंकन	ɐ̃ŋkɐ̃n
अंकन	əŋkən
अंकनी	ɐ̃ŋkniː
अंकनीय	ɐ̃ŋkniːjᵊ
अंकल	ɐ̃ŋkɐl
अंकल	əŋkəl
अंकारा	ɐ̃ŋkäːɾäː
अंकित	ɐ̃ŋkɪt̪
अंकित	əŋkɪt̪
अंकुड़ा	əŋkʊɽa
अंकुर	ɐ̃ŋkʊɾ
अंकुर	əŋkʊɾ
अंकुरक	ɐ̃ŋkʊɾɐk
अंकुरण	əŋkʊɾəɳ
अंकुरित	ɐ̃ŋkʊɾɪt̪
अंकुरित	əŋkʊɾɪt̪
अंकुश	ɐ̃ŋkʊʃ
अंकुश	əŋkuʃ
अंको	ɐ̃ŋkoː
अंकों	ɐ̃ŋkõː
अंग	ɐ̃ŋg
अंग	əŋg
अंगच्छेद	ɐ̃ŋgɐt̚tʃʰeːd̪
अंगड़ाई	ɐ̃ŋgɽäːiː
अंगड़ाना	ɐ̃ŋgɽäːnäː
अंगद	ɐ̃ŋgɐd̪
अंगदान	ɐ̃ŋgd̪ä̃ːn
अंगन	ɐ̃ŋgɐ̃n
अंगना	ɐ̃ŋgɐnäː
अंगमर्दन	ɐ̃ŋgmɐɾd̪ɐ̃n
अंगरr	əŋgəɾ
अंगरक्षक	ɐ̃ŋgɾɐkʃɐk
अंगरक्षक	əŋgəɾəɕkə
अंगरखा	əŋgəɾkʰɑ
अंगराग	əŋgəɾɑːg
अंगसंग	ɐ̃ŋgsɐ̃ŋg
अंगहीन	ɐ̃ŋgɦĩːn
अंगार	ɐ̃ŋgäːɾ
अंगारा	ɐ̃ŋgäːɾäː
अंगारा	əŋgɑːɾɑː
अंगारे	əŋgɑːre
अंगारों	əŋgɑːroː
अंगिया	ɐ̃ŋgijäː
अंगियाँ	ɐ̃ŋgijä̃ː
