00-ig	ɒːg
00-kor	ˈoːkɔr
00-ra	ɒrɒ
100-at	ˈɒt
101-es	ˈtɛnɛʃ
10-ből	ˈtɛnbøːl
10-én	ˈtɛn
10-es	ˈtɛnɛʃ
10-et	tɛt
10-ig	ˈtɛngi
10-kor	ˈtøkːor
10-re	tɛrɛ
10-szer	tɛnseɾ
11-én	ˈɛn
11-es	ˈɛs
11-ig	ɪlːig
11-kor	ˈɒlːkɔr
11-re	ɪlːeː
12-én	ˈɟʝɛn
12-es	ˈtsʊlɛs
12-kor	ˈtsʊkɔr
13-án	ˈtʃeːn
13-as	ˈtseːɒs
14-én	ˈɟɒɾˌneːn
14-es	ˈtɛnzɛs
15-én	ˈɟeːn
15-kor	ˈfɛntnˌtɛn
15-ös	ˈfɛnteːnˌøʃ
15-öt	ˈfɛnteːn
16-án	ˈɟeːn
16-os	ˈʃtsɒnzɒk
17-én	ˈseːteːn
17-es	ˈseːtːeːʃ
1800-as	ˈɒɾɒs
18-as	ɒʃɒs
18-at	ɒt
19-én	ˈneːn
19-es	ˈneːtsɛs
1ah00	ɒhɒ
1ah10	ɒhɒ
1ahff	ɒhɒf
1ch000000	ɪtʃ
1chcaad29	ɪtʃɒd
1-es	ˈeʃ
1-hez	ɒheːz
1-kor	ˈɒkɒr
1x01	ɒksɒm
1x02	ɪksɒ
1x03	ɪksɒ
1x04	ɪkszɛt
1x05	ɪksɒm
1x06	ɪksɒ
1x07	ɪksɛl
1x08	ɪksɒt
1x09	ɪksɒʔ
1x10	ɪksɪlɛn
2001-ben	ˈvɛzɛtˌvɛn
2002-ben	ˈvɛzrɛbɛn
2003-ban	ˈdʊzjɛnˌhɒrmanˌtɒrˌhɒrmanˌtɒrˌhɒrmanˌtɒrˌhɒrmanˌtɒr�
2004-ben	ˈduszeŋtɛrben
2005-ben	ˈvɛzrɛŋˌbɛn
2006-ban	ˈvɛzrɛŋˌbɒn
2007-ben	ˈvɛzɛtˌhɛtˌnyɛn
2008-ban	ˈvɛzrɛn
2009-ben	ˈdʊzʏŋben
200-at	ˈdʊsɒt
2010-ben	ˈvɛzɛn
2012-ben	ˈvɛnɟɛrˈtsɛzˈɟɛtˈbeɲ
20-án	ˈvɛn
20-as	ˈvɛːʃ
20-at	ˈvɛnɒt
20-kor	ˈvɛnˌtʃin
21-én	ˈeːɾeːn
21-es	ˈeɟi
22-én	ˈeːneːn
22-es	ˈtveːʃ
23-án	ˈtseːn
23-as	ˈtʃeːɒʃ
24-én	ˈvɛsnyɛn
24-es	ˈvɛsneː
25-én	ˈvɛːn
25-ös	ˈtsɛmøʃ
27-én	ˈhɒɟɒrɒ
27-es	ˈtseːˈjɛʃ
2ahff	ɒhɒf
2-án	ˈaːn
2-es	ˈeːs
2-kor	ˈtʃoːr
2-t	ˈtɛ
30-as	ˈhɛːmˌtɛn
30-at	ˈhɛt̪t̪
30-ig	ˈhɛːmˌtɛnˌtɛn
30-kor	θøkør
30-ra	hɛːmˈtɛn
31-es	ˈeːɟɛs
32-es	ˈtʃɛtteːs
33-as	ˈtsːɒs
37-es	ˈtrɛtʃeːʃ
38-as	ˈtɛtsɛn
3ahff	ɒhɛf
3-án	ɛn
3-as	ʃaːs
3-at	ʃɒt
3ch000000	ɛtʃoː
3ch4f4738	ɒtʃɒfɒtʃ
3ch785ded	ɒtʃɒt
3cha4a349	ɛtʃɒɒ
3chffffff	ɛtʃɛf
3d	ˈdeːdeː
3d-s	ðeːds
3-ig	ˈi
3-kor	ʃːkɔr
3-ra	ʃɒrɒ
3-szor	ʃoːr
40-es	ˈɟɛs
40-et	ˈɟɒrˌtɛt
42-es	ˈɛttes
44-es	ɒrɒʃ
45-kor	ˈtɛr̪tsɛn
45-ös	ˈɒs
47-es	ˈɛtːsɛʃ
488e5b	ˈvɒrɒʃ
4ahff	ɒhɒf
