-am	ɔːm
-ba	ba
-ba	bo
-ból	bˈoːl
-em	ɛm
-hat	hɒt
-het	hɛt
-ig	ig
-ik	ik
-itek	itɛk
-juk	juq
-kor	kɔɾ
-lak	lɒk
-om	um
-otok	otok
-re	rɛ
-ta	tɔ
-tad	tɔd
-te	te
-ted	tɛd
-tuk	tuk
-tük	tˈyk
-től	tøːl
-uk	uk
-unk	unk
-öm	m
-ük	yk
a	aː
a	ɑ̃n
a	ɒ
a	ˈɑ
a-	ɒ
a-dúr	aːduːr
aa	ɒː
aaah	ɒː
aachen	aːɦɛn
aah	ɒː
aang	ɒːŋ
aaron	ɒːron
ab	ɒb
aba	obo
aba	ɒbɒ
abacil	aːbɒtsil
abajdok	abajdɔk
abajgat	abaːjgat
abajgat	ɒbɒjgɒt
abajog	objɔg
abakan	abɑqɑn
abakteriális	aːbɒktɛriːaːliʃ
abakteriális	ɒbɒktɛrijaːliʃ
abakusszal	ɒbɒkusːɒl
abakusszá	ɒbɒkusːaː
abakusz	abakus
abakusz	abakuz
abakusz	ɒbɒkus
abakusza	ɒbɒkusɒ
abakuszai	ɒbɒkusɒji
abakuszaid	ɒbɒkusɒjid
abakuszaik	ɒbɒkusɒjik
abakuszaim	ɒbɒkusɒjim
abakuszaitok	ɒbɒkusɒjitok
abakuszba	ɒbɒkuzbɒ
abakuszban	ɒbɒkuzbɒn
abakuszból	ɒbɒkuzboːl
abakuszhoz	ɒbɒkushoz
abakuszig	ɒbɒkusig
abakuszként	ɒbɒkuskeːnt
abakusznak	ɒbɒkusnɒk
abakusznál	ɒbɒkusnaːl
abakuszod	ɒbɒkusod
abakuszok	ɒbɒkusok
abakuszokat	ɒbɒkusokɒt
abakuszokba	ɒbɒkusogbɒ
abakuszokban	ɒbɒkusogbɒn
abakuszokból	ɒbɒkusogboːl
abakuszokhoz	ɒbɒkusokhoz
abakuszokig	ɒbɒkusokig
abakuszokkal	ɒbɒkusokːɒl
abakuszokká	ɒbɒkusokːaː
abakuszokként	ɒbɒkusokːeːnt
abakuszoknak	ɒbɒkusoknɒk
abakuszoknál	ɒbɒkusoknaːl
abakuszokon	ɒbɒkusokon
abakuszokra	ɒbɒkusokrɒ
abakuszokról	ɒbɒkusokroːl
abakuszoktól	ɒbɒkusoktoːl
abakuszokért	ɒbɒkusokeːrt
abakuszom	ɒbɒkusom
abakuszon	ɒbɒkuson
abakuszotok	ɒbɒkusotok
abakuszra	ɒbɒkusrɒ
abakuszról	ɒbɒkusroːl
abakuszt	abakust
abakuszt	ɒbɒkust
abakusztól	ɒbɒkustoːl
abakuszuk	ɒbɒkusuk
abakuszunk	ɒbɒkusuŋk
abakuszért	ɒbɒkuseːrt
abaliget	ɒbɒligɛt
abaposztó	abapostuː
abasár	aːbɒʃaːr
