a	aː
áa	aːua
aaa	auː
ä	æ
áætiun	au̯etiun
áætla	auːaihtla
áætla	au̯ɛtl̥a
áætlaðan	auːaihtlaðan
áætlaðar	auːaihtlaðar
áætlað	auːaihtlað
áætlađ	au̯ɛtl̥aː
áætlaður	auːaihtlaðʏr
áætlađur	au̯ɛtl̥aːðʏr
áætlana	auːaihtlana
áætlanagerð	auːaihtlanacɛrð
áætlanir	auːaihtlanɪr
áætlanir	au̯ɛtlɑːnɪr
áætlanirnar	au̯ɛtl̥anɪrnar
áætlar	auːaihtlar
áætlar	auːtl̥ar
áætluð	auːaihtlʏð
áætluđ	auːtlʏθ
áætluðum	auːaihtlʏðʏm
áætlunar	auːaihtlʏnar
áætlunar	au̯ɛtlʏnar
áætlunarbíllinn	auːaihtlʏnarpitlɪn
áætlunarflug	auːaihtlʏnarflʏːɣ
áætlunarflugi	auːaihtlʏnarflʏiːjɪ
áætlunarinnar	auːaihtlʏnarɪnar
áætlunarinnar	au̯ɛtlʏnarɪnːar
áætlun	auːaihtlʏn
áætlun	au̯ɛtlʏn
áætlunina	auːaihtlʏnɪna
áætlunina	au̯ɛtlʏnɪna
áætlunin	auːaihtlʏnɪn
áætlunin	au̯ɛtlʏnɪn
áætluninni	auːaihtlʏnɪnɪ
áætluninni	au̯ɛtlʏnɪnɪ
áætlunum	auːaihtlɔnʏm
áætlunum	au̯ɛtlʏnʏm
aah	au̯
aa	ɔ
aarfy	auːrfɪ
aaron	ɔɪːrɔːn
aarons	auːrɔns
á	au̯
á	auː
à	auː
â	auː
ā	auː
a	ɑ
ábata	auːpata
ábatasamt	auːpaːtasamt
ab	ɑːp
abbadís	ˈapːaˌtis
abbadísin	apatiːsɪn
abbađist	ɑːbaːðɪst
abbast	apast
abbast	ɑbːast
abbey	ɛːpɪ
abbie	abɪ
abbott	ɔbɔt
abby	ɑbɪ
abc	ɑːp̥s̪t̪
abdul	ˈabːtʰʏl
abe	ɑːpɛ
abel	ɛːpɛl
ábendinga	auːpɛntiŋka
ábendingar	auːpɛntiŋkar
ábendingar	auːˌpɛɲɪŋkar
ábending	auːpɛntiŋk
ábending	auːˌpɛɲɪŋk
ábendingu	auːˌpɛːɲɪŋkʏ
ábendingu	auːpɛntiŋkʏ
ábendingum	auːpɛntiŋkʏm
ábendinguna	auːˌpɛɲɪŋkʏna
áberandi	auːpɛrantɪ
áberandi	au̯bɛraːntɪ
aberdeen	ˈabɛrdeːn
abernathy	ˈaːpɛrtnatɪ
abigail	ˈabɪɣɛɪl
abilene	ˈaːpɪlɛɪnə
abin	ˈaːpɪn
abis	ˈaːpɪs
ábķt	au̯p̥çʰt
able	ɑːplɛ
abner	ˈapn̥ɛr
ábótann	auːpoutan
ábót	auːpout
ábótavant	auːpoutavan̥t
ábóti	auːpoutɪ
ábótinn	auːpoutɪn
abra	ɑːbra
abraham	ˈapraːham
abrahams	ˈaːpraːhams
abramowitz	ˈaːpramɔːtɪs
abrams	ˈapraːms
abrego	ˈaprɛɣɔ
ábreiđu	auːˈpreiðʏ
ábreiðu	auːpreiðʏ
ábreiðum	auːpreiðʏm
ábreiðuna	auːpreiðʏna
ábreiðunni	auːpreiðʏnɪ
ábreiðunum	auːpreiðɔnʏm
ábreiður	auːpreiðʏr
absolem	ˈapˌsɔːlɛm
abu	ɑːpuː
ábúðarfullur	auːpuðarfʏtlʏr
ábúðarmikil	auːpuðarmɪːcɪl
ábúðarmikill	auːpuðarmɪːcɪtl̥
ábúendur	auːpuɛntʏr
áburðardreifarar	auːpʏrðatreiːvarar
áburđarvél	au̯bʏrðarvɛl
áburð	auːpʏrð
áburđ	au̯bʏrð
áburð	au̯bʏrθ
áburði	auːpʏrðɪ
áburður	auːpʏrðʏr
ábyggilega	auːpɪcɪlɛɣa
ábyggilega	auːpɪcɪlɪɣɛa
ábyrga	auːpɪrka
ábyrgan	auːpɪrkan
ábyrg	auːpɪrɣ
ábyrg	auːpɪrk
ábyrgðar	auːpɪrðar
ábyrgđar	auːpɪrɣaɾ
ábyrgđarlaus	auːpɪrɣθaːlɔɪs
ábyrgðarleysi	auːpɪrðarleiːsɪ
ábyrgđarleysi	auːpɪrɣtarleːɪs
ábyrgðarmaður	auːpɪrðarmaːðʏr
ábyrgðarmanns	auːpɪrðarmans
ábyrgðarmenn	auːpɪrðarmɛn
ábyrgđ	auːbɪrɣð
ábyrgð	auːpɪrð
ábyrgð	auːpɪrɣθ
ábyrgđina	auːbɪrɣθɪna
ábyrgðina	auːpɪrðɪna
ábyrgðina	auːpɪrɣθɪna
ábyrgđin	auːbɪrɣðɪn
ábyrgðin	auːpɪrðɪn
ábyrgðinni	auːpɪrðɪnɪ
ábyrgðir	auːpɪrðɪr
ábyrgđist	auːpɪrɣɪst
ábyrgir	auːpɪrcɪr
ábyrgir	auːpɪrjɪr
ábyrgist	auːpɪrcɪst
ábyrgist	auːpɪrjist
ábyrgjast	auːpɪrcast
ábyrgjast	auːpɪrɣast
ábyrgjumst	auːpɪrɣʏmst
ábyrgra	auːpɪrkra
ábyrgst	auːpɪrksst
ábyrgst	auːpɪr̥st
ábyrgt	auːpɪrkt
ábyrgur	auːbɪrɣʏr
ábyrgur	auːpɪrkʏr
abyzou	ɑːbɪtsou
acapulco	ˈaːkaˌpʰʏl̥kɔ
accio	atʃɪo
ace	aiːtʃ
ackerman	ɔkʰɛrman
acotæknival	aːkoutaihknɪval
action	ɛɣʃʏːn
að	aːð
ada	ɑːða
aðal	aːðal
aðalástæðan	aːðalaustaiðan
ađalástæđan	auðalaustæðan
aðalatriði	aːðalatrɪðɪ
aðalatriðið	aːðalatrɪðɪð
ađalatriđiđ	auðalɑtrɪðɪð
aðalatriðið	ɔːɮaːtrɪːðɪ
ađalatriđin	ɔaɮɑtrɪθɪn
aðalatriðum	aːðalatrɪðʏm
ađalatriđum	auðalɑtrɪðʏm
ađal	auðal
aðalbandinu	aːðalpantɪnʏ
aðalbjörg	aːðalpjœrk
aðalbúðunum	aːðalpuːðɔnʏm
aðalbyggingu	aːðalpɪciŋkʏ
aðalbyggingunni	aːðalpɪciŋkʏnɪ
ađalbyggingunni	ɔːðalˌpɪkːɪŋkʏnɪ
aðaldal	aːðaltaːl
ađaldyrnar	ɔːðaltɪrnar
aðaldyrunum	aːðaltɪːrɔnʏm
aðaleigandi	aːðaleiːɣantɪ
aðaleikarinn	aːðalɛːjkarɪn
aðaleinkenni	aːðalɛjɲcɛnɪ
aðaleinkunn	aːðaleiŋ̊kʏn
aðaleyjarnar	aːðalɛjatnar
ađalfag	auðalfaɣ
ađalfagiđ	auðalvɑɣɪð
aðalfjörið	aːðalfjœːrɪð
aðalframkvæmdastjóri	aːðalframkvaimtastjouːrɪ
ađalfréttin	auðalfrɛhtin
aðalfréttirnar	aːðalfrjɛhtɪtnar
ađalfrétt	ɔːðalˌfrɛht
ađalfulltrúa	auðalfulltrʏa
aðalfulltrúar	aːðalfʏtl̥truar
ađalfulltrúi	auðal̥fʏl̥trʏi
aðalfund	aːðalfʏnt
aðalfundar	aːðalfʏntar
aðalfundardegi	aːðalfʏntartɛjɪ
aðalfundarstörf	aːðalfʏntarstœrv
aðalfundarstörfum	aːðalfʏntarstœrvʏm
aðalfundi	aːðalfʏntɪ
aðalfundinum	aːðalfʏntɪnʏm
aðalfundur	aːðalfʏntʏr
aðalfundurinn	aːðalfʏntʏrɪn
aðalfylkingar	aːðalfɪl̥ciŋkar
aðalfyrirlesara	aːðalfɪːrɪrlɛsara
aðalfyrirlesari	aːðalfɪːrɪrlɛsarɪ
ađalgaurinn	auðalˌkʰœyrɪn
aðalgaurinn	ɔːɬaːl̥kɔɪrɪn
aðalgeirsdóttir	aːðalcɛjr̥stouhtɪr
aðalgötu	aːðalkœːtʏ
aðalgötuna	aːðalkœːtʏna
aðalgötunni	aːðalkœːtʏnɪ
ađalgötunni	auðalˌkœtnɪ
aðalgreinum	aːðalkrɛjnʏm
aðalheiðar	aːðalheiːðar
aðalheiði	aːðalheiːðɪ
aðalheiður	aːðalheiːðʏr
aðalheimild	aːðalhɛjmɪlt
ađalhliđiđ	auðalɬɪðɪð
aðalhlutverk	aːðal̥ʏtvɛr̥k
aðalhlutverki	aːðal̥ʏtvɛr̥cɪ
ađalhlutverki	auðal̥ɬʏtʰvɛr̥cɪ
aðalhlutverkið	aːðal̥ʏtvɛr̥cɪð
ađalhlutverkiđ	ɔːðal̥l̥ʏtʰvɛr̥cɪːð
aðalhlutverkið	ɔːðal̥ˌl̥ʏtˌvɛr̥cɪθ
aðalhlutverkin	aːðal̥ʏtvɛr̥cɪn
aðalhlutverkinu	aːðal̥ʏtvɛr̥cɪnʏ
ađalhlutverk	ɔːðal̥ˌl̥ʏtʰvɛr̥k
aðalhlutverkum	aːðal̥ʏtvɛr̥kʏm
aðalhönnuður	aːðalhœnʏðʏr
ađalinnganginn	ɔːðɛɬɪŋkaŋɪn
aðalinnganginum	aːðalɪŋkauŋcɪnʏm
aðaljárnbrautarstöðinni	aːðaljautnprœitarstœːðɪnɪ
ađalkarlinn	auðalkɑɭɭɪn
aðalkostur	aːðalkɔstʏr
aðalkvöldfréttatími	aːðalkvœltfrjɛhtatiːmɪ
aðallandstjórans	aːðalantstjourans
aðallega	aːðalɛɣa
ađallega	auðalˌlɛɣa
aðallega	ɔːɮaɬɛɣa
aðalleiðbeinanda	aːðalɛjðpɛjnanta
aðalleiðbeinandi	aːðalɛjðpɛjnantɪ
ađalleikarinn	ɔːðɛil̥kɛɪrɪn
aðalleikendur	aːðaleiːkɛntʏr
aðalleit	aːðalɛjt
aðallista	aːðalɪsta
ađalmađurinn	ɔːðalmɔːðʏrɪn
aðalmálið	aːðalmauːlɪð
ađalmáliđ	ɔːðalˌmauːlɪð
aðalmarkmið	aːðalmar̥kmɪð
aðalnámskrá	aːðalnaumskrau
aðalnámskránni	aːðalnaumskraunɪ
aðalnámskrár	aːðalnaumskraur
ađalnúmeriđ	ɔːðalˌn̥uːmɛːrɪð
aðalorkan	aːðalɔr̥kan
aðal	ɔːɬaːl
aðalpersóna	aːðalpɛr̥souna
aðalpersónan	aːðalpɛr̥sounan
aðalpersónu	aːðalpɛr̥sounʏ
aðalpósthúsinu	aːðalpousthusɪnʏ
aðalræðismaður	aːðalraiːðɪsmaːðʏr
aðalrétt	aːðalrjɛht
aðalréttinum	aːðalrjɛhtɪnʏm
aðalrétturinn	aːðalrjɛhtʏrɪn
aðalritstjóra	aːðalrɪːtstjoura
aðalritstjórann	aːðalrɪːtstjouran
aðalritstjórans	aːðalrɪːtstjourans
aðalritstjórinn	aːðalrɪːtstjourɪn
aðalsættum	aːðalsaihtʏm
aðalsafn	aːðalsapn̥
aðalsafnaðarfundur	aːðalsapnaðarfʏntʏr
aðalsafninu	aːðalsapnɪnʏ
aðalsafnsins	aːðalsapsɪns
aðalsagnarinnar	aːðalsaknarɪnar
aðalsal	aːðalsaːl
ađalsalinn	auðalsalɪn
aðalsalnum	aːðalsalnʏm
ađalsalnum	auðalsɛlplʏn
ađalsherra	ɔːɬalshɛr̥a
aðalskipulag	aːðalscɪpʏlaɣ
aðalskipulagi	aːðalscɪːpʏlaːjɪ
aðalskipulaginu	aːðalscɪːpʏlaːjɪnʏ
aðalskipulags	aːðalscɪpʏlaxs
aðalskipulagsskyldra	aːðalscɪpʏlaxscɪltra
aðalsmaður	aːðalsmaːðʏr
ađalsmađur	auðalsmaðʏr
ađalsmenn	auðalsmɛn̥
ađalsmennirnir	auðalsmɛnːɪr̥nɪr
aðalsmerki	aːðalsmɛr̥cɪ
ađalsmerki	auðalsmɛr̥cɪ
aðalstarf	aːðalstarv
aðalstarfi	aːðalstarvɪ
aðalstein	aːðalsteiːn
aðalsteini	aːðalsteiːnɪ
aðalsteinn	aːðalsteitn̥
aðalsteins	aːðalsteins
aðalsteinsdóttir	aːðalsteinstouhtɪr
aðalsteinsdóttur	aːðalsteinstouhtʏr
aðalsteinsson	aːðalsteinsɔːn
aðalsteinssonar	aːðalsteinsɔːnar
aðalsteinssyni	aːðalsteinsɪːnɪ
aðalstjórn	aːðalstjourtn̥
aðalstoð	aːðalstɔð
aðalstöðvar	aːðalstœðvar
ađalstöđvar	ɔaɮstœɮvaɻ
aðalstöðvum	aːðalstœðvʏm
aðalstöðvunum	aːðalstœðvɔnʏm
aðalstræti	aːðalstraiːtɪ
ađalstræti	ɔːɮaːstrɛiː
aðalstrætis	aːðalstraiːtɪs
aðalstyrktaraðili	aːðalstɪr̥taraðɪlɪ
aðaltekjulindir	aːðaltɛːcʏlɪntɪr
aðaltorg	aːðal̥tɔrk
aðaluppspretta	aːðalʏhpsprɛhta
aðalvandinn	aːðalvantɪn
ađalvarđstjķri	auðalvɔrðstjɣrɪ
aðalveginn	aːðalveiːjɪn
aðalverka	aːðalvɛr̥ka
aðalverki	aːðalvɛr̥cɪ
aðalverktaka	aːðalvɛr̥ktaka
aðalverktakar	aːðalvɛr̥ktakar
aðalverktökum	aːðalvɛr̥ktœkʏm
aðalvík	aːðalviːk
adam	ˈaːtaːm
adam	aːtam
adams	ˈaːtaːms
adams	aːtams
áðan	auːðan
áđan	auðan
áðan	auðan
adapted	ˈaːtpɛːt
áð	auːð
ađ	auð
aðbúnað	aðpunað
aðbúnaði	aðpunaðɪ
aðbúnaður	aðpunaðʏr
ađdáanda	ɔɪðɑːnta
aðdáandi	aðtauantɪ
ađdáandinn	ɔːðɑːnɪn
aðdáandi	ɔːðaɪːnɪ
ađdáandi	ɔɪðauːntɪ
adda	ata
adda	ɑːða
aðdáenda	aðtauɛnta
ađdáendabréf	ɔːðɛn̥taːprɛf
aðdáendaklúbbs	aðtauɛntaklups
ađdáenda	ɔɪðθɛnta
aðdáendum	aðtauɛntʏm
ađdáendum	ɔɪðɑɪ̯n̪d̪ɛnt̪
aðdáendur	aðtauɛntʏr
ađdáendurnir	ɔɪðɛnːtʏrɳɪr
ađdáendur	ɔɪðθɛnːʏr
aðdáun	aðtauʏn
aðdáunar	aðtauʏnar
aðdáunaraugum	aðtauʏnarœiːɣʏm
aðdáunarverð	aðtauʏnarvɛrð
aðdáunarverðar	aðtauʏnarvɛrðar
ađdáunarverđ	ɔɪðɔɪnarvɛrð
aðdáunarvert	aðtauʏnarvɛr̥t
ađdáunarvert	ɔɪðːaunɛɹvɛɹ̥t
aðdáunina	aðtauʏnɪna
aðdáunin	aðtauʏnɪn
aðdáun	ɔːðaun
ađdáun	ɔɪθaun
adder	ˈaːðɛr
addi	atɪ
addi	ɑːðɪ
aðdraganda	aðtraɣanta
aðdragandi	aðtraɣantɪ
aðdráttarafl	aðtrauhtarapl̥
ađdráttarafliđ	ɔɪðrɑːtraːvliːð
ađdráttarafli	ɔɪðrahtaːravlɪ
ađdráttarafl	ɔθrahtaɾaːfɬ
aðdráttarlinsuna	aðtrauhtarlɪnsʏna
aðdróttanir	aðtrouhtanɪr
addy	ɔːɪ
ádeila	auːteila
ádeilu	auːteilʏ
adeins	ˈaːdaintʰs
aðeins	aːðeins
ađeins	aiðjɪns
aðeins	ɔːθeins
adela	ˈaːðɛla
adele	ˈaːðɛlɛ
ađelns	auðl̥ns
aðfangadag	aðfauŋkataːɣ
aðfangadagskvöld	aðfauŋkataxskvœlt
ađfangadagskvöld	ɔːðfangadakspœlt
aðfangadagur	aðfauŋkataːɣʏr
aðfaranótt	aðfaranouht
aðfarir	aðfarɪr
aðfarirnar	aðfarɪtnar
aðferða	aðfɛrða
aðferð	aðfɛrð
aðferðafræði	aðfɛrðafraiːðɪ
ađferđafræđi	auðfɛrðafraiːðɪ
ađferđ	auðfɛrð
aðferðina	aðfɛrðɪna
ađferđina	auðfɛrðɪna
aðferðin	aðfɛrðɪn
ađferđin	auðfɛrðɪn
aðferðinni	aðfɛrðɪnɪ
ađferđinni	auðfɛrðɪnɪ
aðferðir	aðfɛrðɪr
ađferđir	auðfɛrðɪr
aðferðirnar	aðfɛrðɪtnar
ađferđirnar	auðfɛrðɪrnar
aðferðir	ɔðˌfɛːrðɪr
aðferð	ɔðfɛrð
aðferðum	aðfɛrðʏm
ađferđum	auðfɛrðʏm
aðfinnslur	aðfɪnstlʏr
ađflug	auðfluː
aðflugsbúnað	aðflʏxspuːnað
aðflugshallasendum	aðflʏxshatlasɛntʏm
aðflugsstefnu	aðflʏxstɛpnʏ
aðföng	aðfœiŋk
aðför	aðfœr
aðframkomnir	aðframkɔmnɪr
aðgæslu	aðcaistlʏ
aðgæta	aðcaita
ađgæta	auðketʰa
ađgætiđ	ɔːðˌcɛːðɪθ
ađgæti	ɔɪðˌcɛːtɪ
ađgætti	ɔɪðˌcɛhtɪ
ađgættu	auðkæhtʏ
ađgætum	ɔɪðˌcɛːtʏm
aðgang	aðkauŋk
aðgangi	aðkauŋcɪ
ađgangi	auðˌkɑŋkɪ
ađgang	ɔːɣaŋk
aðgang	ɔðkɑŋ
aðgangs	aðkauŋks
aðgangsbox	aðkauŋspɔks
aðgangseyri	aðkauŋkseiːrɪ
aðgangseyrir	aðkauŋkseiːrɪr
aðgangsharðir	aðkauŋsharðɪr
ađgangskort	ɔːðkɔŋskɔr̥t
aðgangsorð	aðkauŋsɔrð
ađgangsorđiđ	auðkɔŋksɔrðɪð
ađgangsorđ	ɔɪðkɔŋsɔɻː
aðgangstölur	aðkauŋkstœːlʏr
aðgangstölurnar	aðkauŋkstœːlʏtnar
aðgangur	aðkauŋkʏr
ađgangur	auðˌkauŋkʏr
aðgangur	ɔðkɑŋkʏr
aðgát	aðkaut
aðgengi	aðceiɲcɪ
aðgengilega	aðceiɲcɪlɛɣa
