กก	gok
กกไม้	gokmai
กด	got
กน	gon
กบ	gop
กม	gom
กวด	gu:at
กวยเตียว	gu:aiti:ao
กว่า	gwa:
กว้าง	gwa:ŋ
กอง	gɔ:ŋ
กองไฟ	gɔ:ŋfai
กอน	gɔ:n
กอบ	gɔ:p
กะ	ga
กะคุ	gaku
กะจก	gajok
กะดอง	gadɔ:ŋ
กะดาด	gada:t
กะดาดแข็ง	gada:tkhɛŋ
กะดาน	gada:n
กะดิก	gadik
กะดุม	gadum
กะดูก	gadu:k
กะด้อกะเดี้ย	gadɔ:kgadi:a
กะต่า	gata:
กะทะ	gatha
กะปอง	gapɔŋ
กะปุก	gapuk
กะละกะดาคม	galagada:khom
กะละมัง	galamaŋ
กะลัง	galaŋ
กะหล้ำ	galam
กะหล้ำปี	galampi:
กะเดย	gadə:i
กะเทียม	gathi:am
กะเปา	gapao
กะเปาเป้	gapaope:
กะเพาะ	gaphɔ
กะโดด	gado:t
กะโปง	gapo:ŋ
กะโหลก	galo:k
กัด	gat
กัน	gan
กันญาย๊น	ganɲa:yon
กันไก	gangai
กับ	gap
กับตัน	gaptan
กับเข้า	gapkhao
กั้น	gan
กากะบาด	ga:gaba:t
กากี	ga:gi:
กาง	ga:ŋ
กางเกง	ga:ŋge:ŋ
กาตูน	ga:tu:n
กาน	ga:n
กานเมือง	ga:nmʉ:aŋ
กาบ	ga:p
กาย	ga:i
กาละเทสะ	ga:lathe:sa
กาแฟ	ga:fɛ:
กำปั้น	gamban
กำลัง	gamlaŋ
กำแพง	gamphɛ:ŋ
กิดจะกัม	gitjagam
กิน	gin
กิ่ง	giŋ
กิ่น	gin
กีบ	gi:p
กีลา	gi:la:
กุงเทบ	guŋthe:p
กุงไทย	guŋthai
กุนแก	gungɛ:
กุนแกข้อมือ	gungɛ:khɔ:mʉ:
กุนแจ	gunjɛ:
กุมพา	gumpha:
กุมพาพัน	gumpha:phan
กุ่บ	gup
กู	gu:
กู้	gu:
ก่น	gon
ก่อ	gɔ:
ก่อกน้ำ	gɔkna:m
ก่อง	gɔŋ
ก่องแก่ง	gɔŋgɛŋ
ก่อน	gɔ:n
ก่อส้าง	gɔ:sa:ŋ
ก่ำ	gam
ก้น	gon
ก้ม	gom
ก้วย	gu:ai
ก้อกๆ	gɔ:k
ก้อง	gɔ:ŋ
ก้อน	gɔ:n
ก้อนหิน	gɔ:nhin
ก้อนเมก	gɔ:nme:k
ก้า	ga:
ก้ากๆ	ga:kga:k
ก้าน	ga:n
ก้าม	ga:m
ก้าว	ga:o
ขดตะหมาด	khottama:t
ขน	khon
ขนส่ง	khonsoŋ
ขม	khom
ขวด	khu:at
ขวน	khu:an
ขวา	khwa:
ขอ	khɔ:
ของ	khɔ:ŋ
ของขวน	khɔ:ŋkhu:an
ของหวาน	khɔ:ŋwa:n
ของเหล้น	khɔ:ŋlen
ขอซ้าง	khɔ:sa:ŋ
ขอทาน	khɔ:tha:n
ขอนไม้	khɔ:nmai
ขอบ	khɔ:p
ขอบคุณ	khɔ:pkhun
ขอบิ่น	khɔ:bin
ขอบใจ	khɔ:pjai
ขอโต	khɔ:to:
ขะบวน	khabu:an
ขะยะ	khaya
ขะหนม	khanom
ขะหนาด	khana:t
ขะโมย	khamo:i
ขัง	khaŋ
ขัน	khan
ขับ	khap
ขั้น	khan
ขั้นตอน	khantɔ:n
ขั้วน	khu:an
ขา	kha:
ขาด	kha:t
