ಅ	ɐ
ಅಂಕ	ɐŋkɐ
ಅಂಕಣ	ɐŋkɐɳɐ
ಅಂಗ	ɐŋɡɐ
ಅಂಚೆ	ɐɲtʃe
ಅಂಟಂಟಾದ	ɐɳʈɐɳʈaːd̪ɐ
ಅಂಟು	ɐɳʈu
ಅಂತಃಕಲಹ	əntəkkələɦa
ಅಂತಃಕಲಹ	əntəxkələɦa
ಅಂಬಿ	ɐmbi
ಅಕರಣಿ	ɐkɐɾɐɳi
ಅಕ್ಕ	ɐkkɐ
ಅಕ್ಕಲು	ɐkkɐlu
ಅಕ್ಕಳೆ	ɐkkɐɭe
ಅಕ್ಕಿ	ɐkki
ಅಕ್ಟೋಬರ್	ɐkʈoːbɐɾ
ಅಕ್ಷರ	ɐkʂɐɾɐ
ಅಗಲ	ɐɡɐlɐ
ಅಗಸೆ	ɐɡɐse
ಅಗ್ನಿ	ɐɡn̪i
ಅಗ್ನಿಪರ್ವತ	ɐɡn̪ipɐɾʋɐt̪ɐ
ಅಘನಾಶಿನಿ	ɐɡʱɐn̪aːʃin̪i
ಅಜ್ಜಿ	ɐdʒdʒi
ಅಟಕಾವು	ɐʈɐkaːʋu
ಅಟ್ಟಂಗಡಿ	ɐʈʈɐŋɡɐɖi
ಅಟ್ಟಿಗ	ɐʈʈiɡɐ
ಅಡಕೆ	ɐɖɐke
ಅಡವಿ	ɐɖɐʋi
ಅಡಿ	ɐɖi
ಅತ್ತೆ	ɐt̪t̪e
ಅಥವಾ	ɐt̪ʰɐʋaː
ಅನ್ನ	ɐn̪n̪ɐ
ಅಯೋಧ್ಯೆ	ɐjoːd̪ʱje
ಅಯ್ಯೋ	ɐjjoː
ಅರಸ	ɐɾɐsɐ
ಅರಸಿನ	ɐɾɐsin̪ɐ
ಅರಸು	ɐɾɐsu
ಅರಿಮೆ	ɐɾime
ಅರಿಲ್	ɐɾil
ಅರಿಲ್ಸುತ್ತುಗ	ɐɾilsut̪t̪uɡɐ
ಅರ್ಥ	ɐɾt̪ʰɐ
ಅರ್ಧ	ɑɾd̪ʱɑ
ಅಲಾಸ್ಕ	ɐlaːskɐ
ಅಲೆ	ɐle
ಅಳು	ɐɭu
ಅವಧಿ	ɐʋɐd̪ʱi
ಅವನು	ɐʋɐn̪u
ಅವಳು	ɐʋɐɭu
ಅವು	ɐʋu
ಅಶ್ರು	ɐʃɾu
ಅಸ್ಥಿ	ɐst̪ʰi
ಆ	aː
ಆಂಗ್ಲ	aːŋɡlɐ
ಆಂಜನೇಯ	aːɲdʒɐn̪eːjɐ
ಆಗಸ್ಟ್	aːɡɐsʈ
ಆಟ	aːʈɐ
ಆಟಿಕೆ	aːʈike
ಆಡು	aːɖu
ಆನೆ	aːn̪e
ಆಮೆ	aːme
ಆರು	aːɾu
ಆರ್ಟಿಲಿ	aːɾʈili
ಆಳು	aːɭu
ಆಳ್ಜುನಿಡ್	aːɭdʒun̪iɖ
ಆವರಿ	aːʋɐɾi
ಆವು	aːʋu
ಆಸ್ಪತ್ರೆ	aːspɐt̪ɾe
ಇಂಗುಶೇಟಿಯಾ	iŋɡuʃeːʈijaː
ಇಂಗ್ಲಿಷ್	iŋɡliʂ
ಇಂದು	in̪d̪u
ಇಂದ್ರಚಾಪ	in̪d̪ɾɐtʃaːpɐ
ಇಚ್ಛಿಸು	itʃtʃʰisu
ಇಚ್ಛೆ	itʃtʃʰe
ಇಟ್ಟಿಗೆ	iʈʈiɡe
ಇಡ್ಡಲಿ	iɖɖɐli
ಇಡ್ಲಿ	iɖli
ಇತಿಹಾಸ	it̪ihaːsɐ
ಇತ್ತ್	it̪t̪
ಇದು	id̪u
ಇದೆ	id̪e
ಇದ್ದು	id̪d̪u
ಇಪ್ಪುಕೆ	ippuke
ಇಪ್ಪುಲೆ	ippule
ಇರಿ	iɾi
ಇರುಳು	iɾuɭu
ಇಲಿ	ili
ಇಲ್ಲವೆ	illɐʋe
ಇಲ್ಲಿ	illi
ಇವುಗಳು	iʋuɡɐɭu
ಈ	iː
ಈಗ	iːɡɐ
ಈಡಿ	iːɖi
ಈರುಳ್ಳಿ	iːɾuɭɭi
ಈರ್ಷ್ಯೆ	iːɾʂje
ಈಲಿ	iːli
ಉ	u
ಉಂಟು	uɳʈu
ಉಗುರು	uɡuɾu
ಉಗ್ರ	uɡɾɑ
ಉಜ್ಜು	udʒdʒu
ಉಡುಪಿ	uɖupi
ಉಣ್ಣು	uɳɳu
ಉಣ್ಣೆ	uɳɳe
ಉದ್ದು	ud̪d̪u
ಉರಿಬೆಟ್ಟ	uɾibeʈʈɐ
ಉಸಿರಾಡು	usiɾaːɖu
ಉಸಿರು	usiɾu
ಉಸುಕು	usuku
ಊ	uː
ಊಟ	uːʈɐ
ಊದು	uːd̪u
ಊರು	uːɾu
ಋಣ	ɾiɳɐ
ಎಂಟು	eɳʈu
ಎಂದು	en̪d̪u
ಎಡ	eɖɐ
ಎಣಿಕೆ	eɳike
ಎಣಿಸು	eɳisu
ಎಣ್ಣು	eɳɳu
ಎಣ್ಣೆ	eɳɳe
ಎತ್ತು	et̪t̪u
ಎದುರಾಳಿ	ed̪uɾaːɭi
ಎಬಡ	ebɐɖɐ
ಎರಚು	eɾɐtʃu
ಎರಡು	eɾɐɖu
ಎರುಗು	eɾuɡu
ಎಲು	elu
ಎಲೆ	ele
ಎಲ್ಲ	ellɐ
ಎಲ್ಲಿ	elli
ಎಳ್ಳು	eɭɭu
ಎಷ್ಟು	eʂʈu
ಎಸು	esu
ಏ	eː
ಏಕೆ	eːke
ಏಡು	eːɖu
