абажур	abaʒur
абайлау	ɑbɑjɫɑw
абак	ɐbak
аббревиатура	ɐbrʲɪvʲɪɐturə
абдикация	ɐbdʲɪkatsɨjə
абдоминопластика	ɐbdəmʲɪnɐpɫasʲtʲɪkə
абиссаль	ɐbʲɪsalʲ
абонемент	ɐbənʲɪmʲent
абонент	ɐbɐnʲent
абсолют	ɐpsɐlʲut
абсолютизм	ɐpsəlʲʉtʲizm
абстракционизм	ɐbstrəktsɨɐnʲizm
абстракция	ɐbstraktsɨjə
авангард	ɐvɐngard
аванс	ɐvans
авиация	ɐvʲɪatsɨɪ̯ə
автономия	ɐftɐnomʲɪjə
автономиялы	ɐftɐnəmʲɪjələ
автономиялық	ɐftɐnəmʲɪjələq
автоспорт	aftɐsport
автохтондық	ɐvtɐxtondɯq
агава	ɐgavə
агностицизм	ɐgnəsʲtʲɪtsɨzm
ағай	ɑ̝ʁɑ̝j
ағза	ɑʁzɑ
ағылшын	ɑɣɯɫʃɯn
аденозин	ɐdɛnɐzʲin
адмирал	ɐdmʲɪraɫ
адрес	adrʲɪs
адрон	ɐdron
адъютант	ɐdjʊtant
ажал	ɑʒɑɫ
азамат	ɑzɑmɑt
азимут	ɑzʲɪmuwt
азшылық	ɑzʃɯɫɯq
азық	ɑzɯq
айдай	ɑ̝jdɑ̝j
айтыс	ɑjtəs
айыр	ɑjɯr
академизм	ɐkədʲɪmʲizm
академик	ɐkɐdʲemʲɪk
академия	ɐkɐdʲemʲɪjə
академиялық	ɐkɐdʲemʲɪjəɫəq
акварель	ɐkvɐrʲelʲ
акварельші	ɐkvɐrʲelʲʃi
аквариум	ɐkvarʲɪʊm
аккордеон	ɐkərdʲɪon
аккредитив	ɐkrʲɪdʲɪtʲif
аккумулятор	ɐkʊmʊlʲatər
акриламид	ɐkrʲɪlɐmʲid
акробатика	ɐkrɐbatʲɪkə
актёр	ɐktʲɵr
ақиқат	ɑqɯjqɑt
ақпарат	ɑqpɑrɑt
ақтау	ɑqtɑw
ақтөбе	ɑqtɵbʲe
алақан	ɑɫɑqɑn
алаң	ɑɫɑŋ
аластау	ɑɫɑstɑw
албания	ɐlbanʲɪjə
алгебра	algʲɪbrə
алгоритм	ɐlgɐrʲitm
алғашқы	ɑɫɣɑʃqɯ
алғытөлем	ɐvans
алжапқыш	ɑɫʒɑpqɯʃ
алкалоид	alkɐloɪd
алкин	ɐlkʲin
алкоголь	ɐɫkɐgolʲ
аллельаралық	ɐlʲelʲɑrɑɫɯq
аллергия	ɐlʲɪrgʲiɪ̯ə
аллотропия	ɐlɐtropʲɪjə
алматы	ɑɫmɑtə
алпразолам	ɐɫprəzɐɫam
алты	ɑɫtə
алушы	ɑɫʊwʃɯ
алхамдулилла	alxamdʊwlʲɪlɑː
алхимия	ɐɫxʲimʲɪɪ̯ə
альдегид	ɐlʲdɨgʲid
альпинизм	ɐlʲpʲɪnʲizm
альтруизм	ɐlʲtrʊizm
альянс	ɐlʲjans
алюминий	ɐlʲʉmʲinʲɪj
аманат	ɑmɑnɑt
аммиак	ɐmʲɪak
анархизм	ɐnɐrxʲizm
анатомия	ɐnɐtomʲɪɪ̯ə
ангидрид	ɐngʲɪdrʲid
ант	ɑnt
антенна	ɐntɛnə
антибиотик	ɐnʲtʲɪbʲɪotʲɪk
антикоммунизм	anʲtʲɪkəmʊnʲizm
антиоксидант	anʲtʲɪəksʲɪdant
антипризма	ɐnʲtʲɪprʲizmə
антисептик	ɐnʲtʲɪsɛptʲɪk
антифриз	ɐnʲtʲɪfrʲiz
антициклон	anʲtʲɪtsɨklon
антоним	antɔnim
антрополог	ɐntrɐpoɫəg
антропология	ɐntrəpɐlogʲɪjə
антропологиялық	ɐntrəpɐlogʲɪjələq
антропометрия	ɐntrəpɐmʲetrʲɪɪ̯ə
антропонимика	ɐntrəpɐnʲimʲɪkə
анық	ɑnɯq
апай	ɑ̝pɑ̝j
апельсин	ɐpʲɪlʲsʲin
арал	ɑrɑɫ
арамшөп	ɑrɑmʃøp
арба	ɐrba
арбалет	ɐrbɐlʲet
аргентина	ɐrgʲɪnʲtʲinə
арккосинус	ɐrkkosʲɪnʊs
арккотангенс	ɐrkkɐtangʲɪns
арксеканс	ɐrksɛkəns
арксинус	ɐrksʲinʊs
арктангенс	ɐrktangʲɪns
арқалық	ɑɾqɑɫɯq
арман	ɑrmɑn
арпеджио	ɐrpʲedʒɨo
артиллерия	ɐrtʲɪlʲerʲɪjə
арфа	arfə
археология	ɐrxʲɪɐɫogʲɪɪ̯ə
аскөк	ɑskøk
асқабақ	ɑsqɑbɑq
асқазан	ɑsqɑzɑn
аспап	ɑspɑp
аспект	ɐspʲekt
аспирантура	ɐspʲɪrɐnturə
ассалаумағалейкум	asɐlawmaʕəlʲejkʊwm
ассалаумағалейкүм	asɐlawmaʕəlʲejkʉm
ассамблея	ɐsɐmblʲejə
ассимиляция	ɐsʲɪmʲɪlʲatsɨɪ̯ə
ассонанс	ɐsɐnans
ассоциация	ɐsətsɨatsɨjə
астана	ɑ̝stɑ̝nɑ̝
астроном	ɐstrɐnom
астрономия	ɐstrɐnomʲɪjə
астрофизика	ɐstrɐfʲizʲɪkə
ата	ɑtɑ
атавизм	ɐtɐvʲizm
атаксия	ɐtɐksʲijə
атлас	atləs
атом	ɑtom
атомаралық	ɑtomɑrɑɫɯq
атропин	ɐtrɐpʲin
аттестат	ɐtʲɪstat
атырау	ɑtərɑw
аудармашы	ɑwdɑrmɑʃɯ
аура	aʊrə
ауру	ɑwrʊw
аустенит	ɐʊstɛnʲit
аутизм	ɐʊtʲizm
ауыл	ɑwɯɫ
ацетилен	ɐtsɨtʲɪlʲen
аштық	ɑʃtɯq
ашу	ɑʃʊw
аяз	ɑjɑz
әдебиет	ædʲebʲiʲet
әдебиеттану	ædebɘjːetːɑnʊw
әдебиеттанушы	ædebɘjːetːɑnʊwʃɯ
әдемі	ædemɘ
әділетсіздік	ædɘletsɘzdɘk
әжетхана	æʒetxɑnɑ
әлхамдулилла	ælxamdʊwlʲɪlɑː
әлхамдулиллаһ	ælxamdʊwlʲɪlɑːh
әлхамдуллиллә	ælxamdʊwlʲɪlæ
әмбебап	æmbʲebap
әңгіме	æŋgɘmʲe
әр	ær
бағбан	bɑɣbɑn
бағдарламалық	bɑɣdɑrɫɑmɑɫɯq
бағдаршам	bɑɣdɑrʃɑm
базальт	bɐzalʲt
бай	bɑ̝j
байдарка	bɐjdarkə
байқоңыр	bɑjqoŋɯr
