oн	uŋ
абажадай	abazadaj
абажур	abaʒur
абайла	abajla
абайлау	ɑbɑjɫɑw
абайлашы	ɑbɑjlɑʃɯ
абайсыз	abajsiz
абак	ɐbak
абат	abat
абаттық	ɑbɑtːɯ̞k
аббревиатура	ɐbrʲɪvʲɪɐturə
абдикация	ɐbdʲɪkatsɨjə
абдоминопластика	ɐbdəmʲɪnɐpɫasʲtʲɪkə
абдыра	abdra
абзал	apzɑːl
абзац	apzɛts
абиссаль	ɐbʲɪsalʲ
абонемент	ɐbənʲɪmʲent
абсолют	ɐpsɐlʲut
абсолютизм	ɐpsəlʲʉtʲizm
абстракционизм	ɐbstrəktsɨɐnʲizm
абстракция	ɐbstraktsɨjə
абхаздар	apχazdar
абысын	abɯsɯm
авангард	ɐvɐngard
аванс	ɐvans
аварлар	ɑvɑɾɫɑɾ
авиация	ɐvʲɪatsɨɪ̯ə
автоара	afdora
автобекет	aʃtobɪkɪt
автогендік	ɑftɑkɛndɯk
автодүкен	aftɑdʊkæn
автокөлік	ɑftɑkʏlɪ̞k
автоматтық	aftɑmɑtːɑt
автономия	ɐftɐnomʲɪjə
авторлық	ɑftɯrlɯq
автоспорт	aftɐsport
автохтондық	ɐvtɐxtondɯq
агава	ɐgavə
агентте	ɑgʲentˈte
агентті	ɑgʲentˈti
агенттің	ɑgʲentˈtɪŋ
агенті	ɑgʲɪntɪ
агентім	ɑgʲɛnˈtɪm
агентімін	ɑgʲɛntɪˈmɪn
агентін	ɑgʲɪtɪn
агронұсқау	agrɔnusqɑw
ад	ɑd
адай	adaj
адал	aðau
адал	ɑˈdɑɫ
адалдану	adɑldɑno
адалдық	aðɑɫdɯt
адалсыну	atɑɫsnu
адам	adam
адам	ɑˈdɑm
адамадары	ɑdɑmɑˈdɯrɯ
адамбыз	ɑdɑmˈbɯz
адамда	ɑdɑmdɑ
адамдар	adamdɑ
адамдар	ɑdɑmdɑr
адамдарды	ɑdɑmdɑɾdɑ
адамдармен	ɑdɑmdɑrmʲɪn
адамдары	ɑdɑmdɑrɯ
адамдарым	ɑdɑmdɑˈrɯm
адамдарымның	ɑdɑmdɑrɯmɯnɯ
адамдарыңа	ɑdɑmdɑɾɯŋɑ
адамдарыңды	ɑdɑmdɑɾɯŋdɯ
адамдарға	ɑdɑmdɑrɣɑ
адамдық	ɑdɑmdɯm
адамзат	aðɑmzæt
адаммен	ɑdɑmˈmɛn
адаммын	ɑdɑmˈmɯn
адамнан	ɑdɑmnɑn
адамның	ɑdɑmˈnɯŋ
адамсың	ɑdɑmsɯŋ
адамсыңдар	ɑdɑmsɯŋdɑr
адамға	ɑdɑmʁɑ
адаса	ɑdɑsɑ
адастыру	adastɾu
адвокат	advakat
аденозин	ɐdɛnɐzʲin
адеп	ʔɑdɪp
адмирал	ɐdmʲɪraɫ
адрес	adrʲɪs
адрон	ɐdron
адъютант	ɐdjʊtant
адырайту	atrajtu
адырсыз	ɑdɯɾsɯz
ажал	aʃau̯
ажал	ɑʒɑɫ
ажалдай	əʃaɫtaj
ажалды	aʐaɫdʊ̞
ажар	ɑʒɑɾ
ажарланған	ɑʒɑrɫɑŋkɑn
ажарлылық	ɑʒɑrɫɯ̞ɫʊ̞q
ажарсыз	aʒaɾsɯz
ажыраталмай	ɑʒɯɾɑtɑɫmɑj
ажырату	aʒratu
аз	ɑz
аз-аздан	azazdan
азабын	ɑzɑbɯn
азайту	ɑzɑjtum
азайтылу	azæjdɛlu
азамат	azamat
азамат	ɑzɑmɑt
азамат	ɑzɑˈmɑt
азаматпын	ɑzɑmɑtˈpɯn
азаматтық	ɑzɑmɑtɯq
азан	azɑm
азап	azap
азап	ɑzɑp
азапталу	ɑzɑptɑlu
азаптанған	ɑzɑptɑnɢɑn
азарланған	ɐzɐrɫɑnɢɑn
азасыз	azɑˈsɯz
азаттық	ɑzɑtˈtɯq
азбар	asbar
аздап	ɑzˈdɑp
аздыру	azdrˈu
азиаттарды	ɑzʲiɑtːɑɾdɯ
азиаттарға	ɑziɑtːɑrɑ
азимут	ɑzʲɪmuwt
азотталу	azotːɐlu
азшылық	ɑzʃɯɫɯq
азып	ɑzɯp
азып-тозу	azɯptozu
азық	ɑzɯq
азық	ɑːzɯk
азғана	ɑsɢɑnɑ
азғана	ɑzɣɑnɑ
азғындану	azɣɯnˈdɑnu
азғындау	azɣɑmdaʊ
ай	aj
айбалта	ajbol̪t̪a
айбарлы	ɑjbɑrɫɯ̞
айбат	əipət
айбаттану	æjbɑtːɑnʊ
айбатты	əjbɑtːɯ̞
айбынбау	ajbɯŋbal
айбынды	ajbɯnˈdɯ
айда	ajda
айда	ajdɑ
айдай	ɑ̝jdɑ̝j
айдайсың	ajdajsɯŋ
айдалу	ajdaɫu
айдалуда	ajdɑɫʊdɑ
айдама	ajdɑma
айдап	ajdap
айдар	ɑˈjðɑr
айдасу	ajdɑsu
айдауыл	ajðɑuɫ
айдағаныңды	ajdɑɣɑŋɯndɯ
айдаһар	ajdɑˈhɑr
айдаһарды	ajdɑhɑrdɯ
айдаһардың	ajdɑhɑrdɯŋ
айдаһарға	ajdɑhɑrɣɑ
айди	ajdi
айдындану	əjd̪ɯndɑnu
айкидо	aikido
айландырып	ajlɑndɯˈrɯp
айлар	ajˈlɑr
айларда	ajlɑrdɑ
аймағы	ajmɑɣɯ
аймақта	ajmaχtə
аймақтың	ajmɑqˈtɯŋ
айна	ajna
айналада	ajnalɑdɑ
айналайын	ajnalajɯn
айналайын	ajnɑɫɑjɯn
айналамның	ajnalɑmˈnɯŋ
айналасың	ajnɑlɑˈsɯŋ
айналатын	ajnalɑtɯn
айналдырайын	ajnaldɯrajɯn
айналдырам	ajnaldɯɾam
айналдыратын	ajnalˈdɯrɑtɯn
айналдырды	ajnaldɯrdɯ
айналдырып	ajnalˈdɯrɯp
айналмайсың	ajnalmajˈsɯŋ
айналып	ajnɑɫɯp
айналысатынымды	ajnalɯsɑtɯmˈdɯ
айналыспаймын	ajnalɯspajmɯn
айналысуым	ajnalɯsujm
айналысқанмын	ajnalɯsqanmɯn
айналған	ɑjnaɫʁɑn
айныдық	ajnɯðɯq
айт	ajt
айта	ajˈtɑ
айта	həjtɑ
айтады	ajtadɐ
айтады	ajtɑdɯ
айтайын	ajtaˈjɯn
айтам	ajˈtɑm
айтамыз	ajtɑmɯz
айтамын	ajtɑmɯn
айтамың	ajtɑˈmɯŋ
айтарым	ajtɑrɯm
айтарымды	ajtɑrɯmdɯ
айтарыңыз	ajtɑɾɯŋɯz
айтасыз	ajtɑsɯz
айтасың	ajtɑˈsɯŋ
айтатындығымды	ajtɑjndɯɣɯmdɯ
айтатынын	aːjtɑtɯnɯn
айтпа	ajtpa
айтпай	ajtpaɪ
айтпаймын	ajtpajmɯn
айтпайсың	ajtpaɪsɯŋ
айтпасқа	ajtpaʃqɑ
айтпақшы	ajtpaqʃɯ
айтпақшымын	ajtpaqʃɯmɯn
айтсам	ajtsam
айтты	ajtɯ
