na	na
tata	tata
ja	ha
wa	wa
jach	hatʃ
winaq	winaq
q'ij	qˈih
che'	tʃeʔ
q'ab'	qˈaɓ
wach	watʃ
a	a
aa	aː
äch	aːtʃ
aj	aχ
ajaw	aˈχaʊ̯
ajmaq	aχˈmaqʰ
ajpop	aχˈpopʰ
ajqʼij	aχˈqʼiχ
ajtzaʼm	aχˈtsaːm
ajwal	aχˈwal
akʼ	aqʼ
alaj	aˈlaχ
alaxbʼal	alaʃˈɓal
alkʼwal	alˈkʼwal
amaqʼ	aˈmaqʼ
aninaq	aniˈnaqʰ
are	aˈre
atzʼyaq	aˈtsʼjaqʰ
awäch	aˈwaːtʃ
axe	aˈʃe
ayew	aˈjeʊ̯
bʼa	ɓa
bʼalam	ɓaˈlam
bʼanik	ɓaˈnikʰ
bʼe	ɓe
bʼey	ɓej
bʼi	ɓi
bʼij	ɓiχ
bʼikʼit	ɓiˈkʼitʰ
bʼinik	ɓiˈnikʰ
bʼiqʼ	ɓiqʼ
bʼis	ɓis
bʼix	ɓiʃ
bʼochʼ	ɓotʃʼ
bʼoqʼ	ɓoqʼ
cha	tʃa
chʼa	tʃʼa
chʼabʼ	tʃʼaɓ
chʼakät	tʃʼaˈkʼætʰ
chʼichʼ	tʃʼitʃʼ
chʼo	tʃʼo
chʼuti	tʃʼuˈti
chak	tʃakʰ
chan	tʃan
chapa	tʃaˈpa
chiköp	tʃiˈkʼøpʰ
chilaʼ	tʃiˈlaʔ
chomanik	tʃomaˈnikʰ
chuqaʼ	tʃuˈqaʔ
e	e
ee	eː
ik	ikʰ
ij	iχ
ikʼ	iqʼ
in	in
inaqʼ	iˈnaqʼ
ix	iʃ
ixik	iˈʃikʰ
ixim	iˈʃim
ixkak	iʃˈkakʰ
ixkan	iʃˈkan
ixkay	iʃˈkaj
ixkʼuʼx	iʃˈkʼuʔʃ
ixoq	iˈʃoqʰ
ja	χa
jabʼ	χaɓ
jachin	χaˈtʃin
jaki	χaˈki
jal	χal
jalach	χaˈlatʃ
jantapeʼ	χantaˈpeʔ
jaʼ	χaʔ
je	χe
jeʼ	χeʔ
jeʼl	χeʔl
jetaq	χeˈtaqʰ
jey	χej
ji	χi
jichaqʼ	χiˈtʃaqʼ
jikʼ	χiqʼ
jikʼbʼäl	χiqʼˈɓəl
jikʼin	χiˈkʼin
jikomal	χikoˈmal
jikop	χiˈkopʰ
jil	χil
jinan	χiˈnan
jinamit	χinaˈmitʰ
jitzʼ	χitsʼ
jiʼ	χiʔ
joʼ	χoʔ
jolom	χoˈlom
joronik	χoroˈnikʰ
jotay	χoˈtaj
joyoʼ	χoˈjoʔ
ju	χu
jubʼiqʼ	χuˈɓiqʼ
juchʼ	χutʃʼ
jukuʼ	χuˈkuʔ
jumul	χuˈmul
jun	χun
junabʼ	χuˈnaɓ
junam	χuˈnam
jupuqʼ	χuˈpuqʼ
jut	χutʰ
juʼ	χuʔ
ka	ka
kʼa	kʼa
kʼajol	kʼaˈχol
kʼakʼ	kʼaqʼ
kʼamöl	kʼaˈmøl
kʼas	kʼas
kʼaslem	kʼasˈlem
kʼat	kʼatʰ
kʼax	kʼaʃ
kʼay	kʼaj
kʼayesik	kʼaˈjesikʰ
kʼayibʼäl	kʼaˈjiɓəl
kʼicheʼ	kʼiˈtʃeʔ
kʼi	kʼi
kʼij	kʼiχ
kʼisik	kʼiˈsikʰ
kʼo	kʼo
kʼolik	kʼoˈlikʰ
kʼu	kʼu
kʼulajik	kʼuˈlaχikʰ
kʼux	kʼuʃ
kʼuxa	kʼuˈʃa
kaʼ	kaʔ
kabʼ	kaɓ
kabʼij	kaˈɓiχ
kaj	kaχ
kakʼ	kaqʼ
kam	kam
kamik	kaˈmikʰ
kan	kan
kanaj	kaˈnaχ
kat	katʰ
kax	kaʃ
kay	kaj
ke	ke
kej	keχ
kematikʼ	kemaˈtikʼ
kemik	keˈmikʰ
ken	ken
kes	kes
ket	ketʰ
kex	keʃ
key	kej
ki	ki
kichʼin	kiˈtʃʼin
kichin	kiˈtʃin
kikʼ	kiqʼ
kim	kim
kin	kin
kinäq	kiˈnəqʰ
kip	kipʰ
kis	kis
kit	kitʰ
kix	kiʃ
kiy	kij
ko	ko
koch	kotʃ
kojobʼ	koˈhoɓ
kokʼ	koqʼ
kol	kol
kolik	koˈlikʰ
kom	kom
konojel	konoˈχel
kop	kopʰ
kotzʼiʼj	koˈtsʼiʔχ
kow	kow
koy	koj
ku	ku
kuk	kukʰ
kumätz	kuˈməts
kʼuʼx	kʼuʔʃ
kux	kuʃ
la	la
le	le
leqʼ	leqʼ
lo	lo
laj	laχ
lem	lem
lew	lew
li	li
loqʼ	loqʼ
ma	ma
majaʼ	maˈχaʔ
mak	makʰ
maltyox	malˈtjoʃ
man	man
maq	maqʰ
matiox	maˈtjoʃ
max	maʃ
may	maj
me	me
meʼs	meʔs
mi	mi
mix	miʃ
