अंजें	əndʒɛ̃
अंडें	əɳɖɛ̃
अंतांव	əntɑ̃ːʋ
अक्षर	əkʂəɾ
अगुस्तिन	əɡustin
अग्दु	əɡdu
अदांव	ədɑ̃ːʋ
अनवळखी	ənʋəɭkʰiː
अबिरी	əbiɾiː
अरूंद	əɾuːnd
अलेक्संदर	əlɛksəndəɾ
अळदुवो	əɭduʋoː
अस्तुरी	əstuɾiː
अस्तुरी	əstɔɾiː
आंतकडी	ɑːntəkɖiː
आकाश	ɑːkɑːʃ
आकाशी	ɑːkɑːʃiː
आजी	ɑːdʒiː
आजो	ɑːdzɔ
आठवडो	aːʈʰəʋɖoː
आडो	ɑːɖo
आदलें	ɑːdlɛ̃
आपोवणें	ɑːpɔʋɳɛ̃
आब्रील	ɑːbɾiːl
आमंत्रण	ɑːməntɾəɳ
आमोरी	ɑːmoɾiː
आयकप	ɑːjkəp
आयतार	ɑːjtɑːɾ
आलमपेड्ड्यार	ɑːləmpɛɖːjɑːɾ
आवट	ɑːʋʈ
आवटसाण	ɑːʋʈsɑːɳ
आवटें	ɑːʋʈɛ̃
आवटो	ɑːʋʈɔ
आवय	ɑːʋəj
आवयभास	ɑːʋəjbʱɑːs
आवाज	ɑːʋɑːdz
इंग्लेज	iŋlez
इंद्रधोणू	indɾədʱoɳuː
इगर्जे	iɡəɾze
इस्तिमासांव	istimɑːsɑ̃ːʋ
उंडो	uɳɖɔ
उजळ	udʒəɭ
उजो	udzɔː
उडप	uɖəp
उडोवप	uɖoʋəp
उतर	utəɾ
उदक	ud̪iː
उदक	ud̪əːk
उद्येगधंदो	udjeɡdʱəndɔ
उमेद	umed
ऊय	uːj
एकवीस	ekʋiːs
एलिअस	ɛliəs
ऑगस्ट	æɡəsʈ
ओंकप	oŋkəp
ओडप	oɖəp
ओतुब्र	ɔtubɾə
ओलें	olɛ̃
कचरो	kətʃɾɔː
कथोलिक	kətʰolik
कदेल	kədɛl
कन्नड	kənːəɖ
कपडो	kəpɖo
करप	kəɾəp
कर्चे	kəɾtʃe
कर्नाटक	kəɾnɑːʈək
कळप	kəɭəp
कशें	kəʃɛ̃
कांय	kɑ̃ːj
कागद	kɑːɡəd
काजळी	kɑːdʒɭiː
कात	kɑːt
कातर	kɑːtəɾ
कातरप	kɑːtɾəp
काथो	kɑːtʰo
कान	kɑːn
काफी	kɑːfiː
काफी	kɑːpʰiː
काफीर	kɑːfiːɾ
काफीर	kɑːpʰiːɾ
काल	kɑːl
काळंगी	kɑːɭəŋiː
काळेंसावळें	kɑːɭɛ̃sɑːʋɭɛ̃
काळो	kɑːɭɔː
किरिस्तांव	kiɾistãʋ
किलिंडर	kiliɳɖəɾ
कुड्को	kuɖko
कुर्तो	kuɾtɔ
कुलेर	kulɛɾ
कुशिल्लें	kuʃilːɛ̃
कृपेन	kɾupɛːn
केंद्र	kɛ̃d̪ɾ
