ᆜ	jɯ
ㄴㄴ	no̞no̞
ㄹ혜	kɯnʝe̞
ㄹ혜	ɾiɯɾʝe̞
ㅇㅇ	ɯŋ
ㅈㅅ	tɕwe̞sʰo̞ŋ
ㅊㅋ	tɕʰkʰ
ㅋㅋㅋ	kxɯkxɯkxɯ
ㅏ	a̠
ㅐ	e̞
ㅑ	ja̠
ㅓ	ʌ̹
ㅔ	e̞
ㅕ	jʌ̹
ㅖ	je̞
ㅗ	o̞
ㅘ	wa̠
ㅚ	we̞
ㅛ	jo
ㅜ	u
ㅝ	wʌ̹
ㅞ	we̞
ㅟ	ɥi
ㅠ	ju
ㅡ	ɯ
ㅢ	ɰi
ㅣ	i
ㆉ	joj
ㆌ	juj
가	ka
가	ka̠
가	ka̠ː
가가린	ka̠ga̠ɾin
가가우스어	ka̠ga̠usʰɯʌ̹
가강수량	ka̠ga̠ŋsʰuɾja̠ŋ
가갸시절	ka̠gja̠ɕʰidʑʌ̹ɭ
가게	kagɛ
가게	ka̠ːge̞
가게는	k͈agɛnɯn
가게들이	kagɛdɯɾi
가게에선	kagɛɛsʌn
가겠다고	kagɛt̚t͈ago
가격	kagjʌk
가격에	kagjʌkɛ
가격은	kagjʌkɯl
가격은	kagjʌkɯn
가격을	kagjʌkɯl
가격의	kagjʌkɰi
가격이	kagjʌki
가계	kagjɛ
가계	ka̠gje̞
가계대출	kagjɛdɛtɕʰul
가계부채를	kagjɛbutɕʰɛɾɯl
가계소득과	kagjɛsodɯk̚k͈wa
가계신용	kagjɛsinjoŋ
가계의	kagjɛɰi
가계통신비	kagjɛtʰoŋsinpi
가고	kago
가곡	ka̠go̞k̚
가공	ka̠go̞ŋ
가공되다	ka̠go̞ŋdwe̞da̠
가공사	kagoŋsa
가공품	ka̠go̞ŋpʰum
가공하다	ka̠go̞ŋɦa̠da̠
가관	ka̠gwa̠n
가관	ka̠ːgwa̠n
가구	kagu
가구	ka̠gu
가구에	kaguɛ
가구점	kagudʑʌm
가구주는	kagudʑunɯn
가구주의	kagudʑuɰi
가금	ka̠gɯm
가기	kagi
