а	a
а	a
а	ɑ
а	ɑ
аалам	ɑːɫɑm
аалы	ɑːlɯ
аалым	ɑːlɯm
аба	ɑwɑ
абал	ɑwɑɫ
агартуу	ɑʁɑrt
адамчыл	adamtʃɯl
адамчылдык	adamtʃɯldɯq
аёо	ɑjoː
аёосуз	ɑjoːsuz
ажыдаар	adʒɯdaːr
азаттык	ɑzɑttɯq
айгүл	ajɡyl
айдаркен	ɑjdɑrcen
айпери	ajperi
айрыча	ɑjrɯtɕɑ
ак	aq
акмечит	ɑqmetʃit
албетте	ɑlbette
алим	ɑlim
алиппе	alippe
алма	ɑlmɑ
алмурут	ɑlmurut
алтымышынчы	altɯmɯʃɯntʃɯ
алтынчы	altɯntʃɯ
ам	am
амбаш	ambaʃ
англис	anɡlis
англисче	anɡlistʃe
араб	arab
арабча	arabtʃa
арип	arip
армянча	armʲantʃɑ
астана	ɑstɑnɑ
атабийлик	ɑtɑbijlic
атооч	atoːtʃ
атыр	ɑtɯr
атыргүл	ɑtɯrɡyl
ашкана	ɑʃqɑnɑ
аюу	ɑjuː
аянт	ajant
б	b
б	b
б	w
б	w
баалуу	baːluː
баалуулук	baːluːluq
баасыз	baːsɯz
баасыздык	baːsɯzdɯq
баатыр	bɑːtɯr
бадам	bɑdɑm
бажыкана	bɑdʒɯqɑnɑ
базар	bazar
байке	bɑjke
бакчасарай	bɑqtʃɑsɑrɑj
бал	bal
балкан	bǎlkaːn
балмуздак	balmuzdɑq
балык	bɑɬɯq
балыкчы	bɑlɯqtʃɯ
барак	bɑrɑq
барыш	bɑrɯʃ
баскыч	basqɯtʃ
батинча	bɑtintʃɑ
батир	batir
баткен	bɑtcen
батыш	bɑtɯʃ
баш	bɑʃ
башкырт	baʃqɯrt
башкыртча	baʃqɯrttʃɑ
баян	bajan
белек	belec
бермет	bermet
бермет	bermet
бет	bet
бешинчи	beʃintʃi
бийик	bijic
бийиктик	bijictic
билгич	bilɡitʃ
билдирме	bildirme
билдирүү	bildiryː
билимдик	bilimdictʃi
билме	bilme
бир	bir
биринчи	birintʃi
биркудайчылык	birqudɑjtʃɯlɯq
бишкек	biʃcec
боз	boz
бороон	boroːn
бөлүнүүчү	bølynyːtʃy
бөлүүчү	bølyːtʃy
бөрү	børy
буйрутма	bujrutmɑ
бүгүн	byɡyn
быштак	bɯʃtɑq
бээжин	beːdʒin
в	v
в	v
г	ɡ
г	ɡ
г	ɢ
г	ɢ
г	ʁ
г	ʁ
гөтеборг	ɟœtɛbork
грек	ɡrec
грекче	ɡrectʃe
гүл	ɡyl
гүлстан	ɡylstɑn
гүржү	ɡyrdʒy
д	d
д	d
даамдуулук	daːmduːluq
дал	dal
далил	dalil
даңк	daŋq
дарбыз	dɑrbɯz
дарыгер	darɯɡer
дарыкана	dɑrɯqɑnɑ
дарыс	dɑɾɯs
дарыскана	dɑɾɯsqɑnɑ
дарыя	dɑrɯja
деңиз	deŋis
деңиз	deŋiz
деңиз	deŋiz
деңизчи	deŋiztʃi
деңизчилик	deŋiztʃilik
дин	din
добулбас	doβ̞ulbas
добулбасчы	doβ̞ulbastʃɯ
долбоор	dolboːr
долбоорчу	dolboːrtʃu
дөөлөт	døːløt
дуңганча	duŋʁantʃa
дүзже	dyzdʒe
дүйнө	dyjnø
дүйнөлүк	dyjnølyc
дүсселдорф	dysːeldorf
е	e
е	e
е	je
е	je
ё	jo
ё	ʲo
ё	jo
ё	ʲo
ж	dʒ
ж	dʒ
ж	ʒ
ж	ʒ
жакып	dʒɑqɯp
жалаптык	dʒalaptɯq
жамаат	dʒɑmɑːt
жаңгел	dʒɑŋɡɛl
жапон	dʒɑpon
жапония	dʒɑponija
жапончо	dʒɑpontʃo
жаран	dʒɑrɑn
жарандаштырым	dʒɑrɑndɑʃtɯrɯm
жарандуулук	dʒɑrɑnduːluq
жарандык	dʒɑrɑndɯq
жарганат	dʒɑrʁɑnɑt
жарнама	dʒɑrnɑmɑ
жасмык	dʒasmɯq
жатыш	dʒatɯʃ
жаш	dʒɑʃ
жашыл	dʒaʃɯl
жең	dʒeŋ
жеңилдик	dʒeŋildik
жеңилиш	dʒeŋiliʃ
