а	a
а	ɑ
аалам	ɑːɫɑm
аалы	ɑːlɯ
аалым	ɑːlɯm
аба	ɑwɑ
абал	ɑwɑɫ
агартуу	ɑʁɑrt
адамчыл	adamtʃɯl
адамчылдык	adamtʃɯldɯq
ажыдаар	adʒɯdaːr
азаттык	ɑzɑttɯq
айгүл	ajgyl
айдаркен	ɑjdɑrcen
айпери	ajperi
айрыча	ɑjrɯtɕɑ
ак	aq
акмечит	ɑqmetʃit
албетте	ɑlbette
алим	ɑlim
алиппе	alippe
алма	ɑlmɑ
алмурут	ɑlmurut
алтымышынчы	altɯmɯʃɯntʃɯ
алтынчы	altɯntʃɯ
ам	am
амбаш	ambaʃ
англис	anglis
англисче	anglistʃe
араб	arab
арабча	arabtʃa
арип	arip
армянча	armʲantʃɑ
астана	ɑstɑnɑ
атабийлик	ɑtɑbijlic
атооч	atoːtʃ
атыр	ɑtɯr
атыргүл	ɑtɯrgyl
ашкана	ɑʃqɑnɑ
аюу	ɑjuː
аянт	ajant
аёо	ɑjoː
аёосуз	ɑjoːsuz
б	b
б	w
баалуу	baːluː
баалуулук	baːluːluq
баасыз	baːsɯz
баасыздык	baːsɯzdɯq
баатыр	bɑːtɯr
бадам	bɑdɑm
бажыкана	bɑdʒɯqɑnɑ
базар	bazar
байке	bɑjke
бакчасарай	bɑqtʃɑsɑrɑj
бал	bal
балкан	bǎlkaːn
балмуздак	balmuzdɑq
балык	bɑɬɯq
балыкчы	bɑlɯqtʃɯ
барак	bɑrɑq
барыш	bɑrɯʃ
баскыч	basqɯtʃ
батинча	bɑtintʃɑ
батир	batir
баткен	bɑtcen
батыш	bɑtɯʃ
баш	bɑʃ
башкырт	baʃqɯrt
башкыртча	baʃqɯrttʃɑ
баян	bajan
белек	belec
бермет	bermet
бет	bet
бешинчи	beʃintʃi
бийик	bijic
бийиктик	bijictic
билгич	bilgitʃ
билдирме	bildirme
билдирүү	bildiryː
билимдик	bilimdictʃi
билме	bilme
бир	bir
биринчи	birintʃi
биркудайчылык	birqudɑjtʃɯlɯq
бишкек	biʃcec
боз	boz
бороон	boroːn
буйрутма	bujrutmɑ
быштак	bɯʃtɑq
бээжин	beːdʒin
бүгүн	bygyn
бөлүнүүчү	bølynyːtʃy
бөлүүчү	bølyːtʃy
бөрү	børy
в	v
г	g
г	ɢ
г	ʁ
грек	grec
грекче	grectʃe
гүл	gyl
