a	a
ababwa	aˈbabwa
ada	ˈada
adewe	aˈdewe
amash	aˈmaʃ
anda	anda
ando	ˈando
ape	ˈape
ashung	aˈʃuŋ
ata	ˈata
au	ˈau
babuch	baˈbutʃ
bakof	baˈkof
bakong	baˈkoŋ
beltalowda	beltaˈlowda
beltalowda	bɛltalowda
bera	ˈbera
beref	ˈberef
besh	ˈbeʃ
bif	ˈbif
boo	ˈbu
bosmang	ˈbosmaŋ
bowa	ˈbowa
bu	ˈbu
bumpa	ˈbumpa
bush	ˈbuʃ
chak	ˈtʃak
che	ˈtʃe
chimang	tʃiˈmaŋ
chop	ˈtʃop
da	da
da	ˈda
dedawang	deˈdawaŋ
dewe	ˈdewe
di	ˈdi
dig	ˈdig
dit	ˈdit
do	ˈdo
doc	ˈdotʃ
dodawang	doˈdawaŋ
du	ˈdu
du-sh	ˈduʃ
ere	ˈere
ewa	ˈewa
faka	ˈfaka
fash	ˈfaʃ
felota	feˈlota
feng	ˈfeŋ
feti	ˈfeti
fetim	ˈfetim
fife	ˈfife
finyish	ˈfiɲiʃ
fo	fo
fo	ˈfo
fo-fo	ˈfofo
fo-wa	ˈfowa
fo-xe	ˈfoʃe
fo-ye	ˈfoje
fo-yo	ˈfojo
fong	foŋ
fong	ˈfoŋ
fosh	ˈfoʃ
fuf	ˈfuf
gif	ˈgif
gisha	ˈgiʃa
go	ˈgo
gonya	ˈgoɲa
gova	ˈgova
gut	ˈgut
hafa	ˈhafa
hafuf	haˈfuf
hah	ˈhah
hesh	ˈheʃ
hifi	ˈhifi
hitesh	hiˈteʃ
hof	ˈhof
hosh	ˈhoʃ
i	ˈi
im	im
im	ˈim
inyalowda	iɲaˈlowda
je	ˈdʒe
jef	ˈdʒef
jemang	dʒeˈmaŋ
kapawu	kaˈpawu
keting	ˈketiŋ
keya	ˈkeja
kiba	ˈkiba
kowl	ˈkowl
ku	ˈku
kuxaku	kuˈʃaku
lang	ˈlaŋ
leta	ˈleta
lik	ˈlik
lili	ˈlili
lowda	ˈlowda
mali	ˈmali
mama	mama
mang	ˈmaŋ
mebi	ˈmebi
mel	ˈmel
mi	mi
mi	ˈmi
milowda	miˈlowda
mo	ˈmo
mo-wa	ˈmowa
mo-ye	ˈmoje
mo-yo	ˈmojo
mok	ˈmok
molof	moˈlof
momo	ˈmomo
mong	ˈmoŋ
mowt	ˈmowt
na	ˈna
naf	ˈnaf
nating	ˈnatiŋ
nem	ˈnem
nixo	ˈniʃo
no	ˈno
nowt	ˈnowt
o	ˈo
obe	ˈobe
obe-to	ˈobeto
of	ˈof
oguf	ˈoguf
oko	oko
omo	ˈomo
ona	ˈona
oni	ˈoni
opa	ˈopa
oto	ˈoto
owkwa	ˈowkwa
papa	papa
pashang	paˈʃaŋ
paxon	ˈpakson
payo	ˈpajo
pe	ˈpe
pelésh	peˈleʃ
pensa	ˈpensa
pikit	ˈpikit
pomang	poˈmaŋ
pox	ˈpoʃ
puxa	ˈpuʃa
sa-sa	ˈsasa
sabe	ˈsabe
saf	ˈsaf
sata	ˈsata
se	ˈse
sempela	semˈpela
sereng	ˈsereŋ
setara	seˈtara
sh	ˈʃ
shag	ˈʃag
she	ˈʃe
sheshe	ˈʃeʃe
shioxa	ʃiˈoʃa
shiro	ˈʃiro
shokop	ˈʃokop
showxa	ˈʃowʃa
sif	ˈsif
sili	ˈsili
siz	ˈsiz
so	ˈso
sobak	ˈsobak
sone	ˈsone
sowng	ˈsowŋ
suta	ˈsuta
ta	ˈta
taki	ˈtaki
takish	taˈkiʃ
tem	ˈtem
tenye	ˈteɲe
tenye-wa	ˈteɲewa
tili	tili
to	to
to	ˈto
to-fo	ˈtofo
to-mo	ˈtomo
to-wa	ˈtowa
to-xe	ˈtoʃe
to-ye	ˈtoje
to-yo	ˈtojo
tobi	ˈtobi
tomang	toˈmaŋ
tong	ˈtoŋ
towchu	ˈtowtʃu
tre	tre
tumang	tuˈmaŋ
tumsi	ˈtumsi
ték	ˈtek
unte	ˈunte
usa	ˈusa
vache	ˈvatʃe
vedi	ˈvedi
vid	ˈvid
vá	ˈva
wa	wa
wa	ˈwa
wad	ˈwad
walowda	waˈlowda
wamang	waˈmaŋ
wang	ˈwaŋ
wanya	ˈwaɲa
wating	ˈwatiŋ
we	ˈwe
welwala	welˈwala
wesa	ˈwesa
wit	ˈwit
wo	ˈwo
wota	wota
wowt	ˈwowt
xante	ˈʃante
xase	ˈʃase
xelix	ˈʃeliʃ
xeta	ˈʃeta
xid	ˈʃid
xitim	ˈʃitim
xom	xom
xun	ʃun
xun	ˈʃun
xunye	ˈʃuɲe
ya	ˈja
ye	je
ye	ˈje
yepe	ˈjepe
yeting	ˈjetiŋ
yo	jo
yo	ˈjo
yut	ˈjut
zhao	ˈʒao
