a	aː
aarōn	aaroːn
ab	ab
ababa	ababa
abacaenum	abakae̯num
abace	abake
abacinā	abakinaː
abacinātus	abakinaːtus
abacinātūrus	abakinaːtuːrus
abacinō	abakinoː
abacis	abakis
abaculus	abakulus
abacum	abakum
abacus	abakus
abacī	abakiː
abacīna	abakiːna
abacīna	abakiːnaː
abacīnus	abakiːnus
abacīs	abakiːs
abacūc	abakuːk
abaddōn	abaddoːn
abae	abae̯
abaesamis	abae̯samis
abaestuātum	abae̯stuaːtum
abaestuō	abae̯stuoː
abagmentum	abaɡmentum
abalietās	abalietaːs
abaliēnāte	abalieːnaːte
abaliēnātiō	abalieːnaːtioː
abaliēnātō	abalieːnaːtoː
abaliēnō	abalieːnoː
aballaba	aballaba
aballava	aballau̯a
abalus	abalus
abalī	abaliː
abambulō	abambuloː
abamita	abamita
abannātiō	abannaːtioː
abante	abante
abantius	abantius
abantēa	abanteːa
abantēa	abanteːaː
abantēus	abanteːus
abanēt	abaneːt
abanēth	abaneːtʰ
abarceō	abarkeoː
abascanta	abaskanta
abascanta	abaskantaː
abascantissimus	abaskantus
abascantus	abaskantus
abascus	abaskus
abasgī	abasɡiː
abavia	abau̯ia
abavunculus	abau̯unkulus
abavus	abau̯us
abax	abaks
abba	abba
abbacinō	abbakinoː
abbreviandus	abbreu̯iandus
abbreviātiō	abbreu̯iaːtioː
abbreviātiōnibus	abbreu̯iaːtioːnibus
abbreviātulus	abbreu̯iaːtulus
abbreviātum	abbreu̯iaːtum
abbreviātūrus	abbreu̯iaːtuːrus
abbreviō	abbreu̯ioː
abbās	abbaːs
abbātia	abbaːtia
abbātissa	abbaːtissa
abbātizō	abbaːtizzoː
abbātiālis	abbaːtiaːlis
abchasica	abkʰasika
abchasica	abkʰasikaː
abchasicus	abkʰasikus
abdara	abdara
abdicandō	abdikandoː
abdicā	abdikaː
abdicārem	abdikaːrem
abdicārās	abdikaːraːs
abdicārēs	abdikaːreːs
abdicās	abdikaːs
abdicās	abdiːkaːs
abdicāsse	abdikaːsse
abdicāssem	abdikaːssem
abdicāssēs	abdikaːsseːs
abdicātiō	abdikaːtioː
abdicātīva	abdikaːtiːu̯a
abdicātīva	abdikaːtiːu̯aː
abdicātīvus	abdikaːtiːu̯us
abdicātīvās	abdikaːtiːu̯aːs
abdicātīvē	abdikaːtiːu̯eː
abdicātīvō	abdikaːtiːu̯oː
abdicātīvōs	abdikaːtiːu̯oːs
abdicātōria	abdikaːtoːria
abdicātōria	abdikaːtoːriaː
abdicātōrius	abdikaːtoːrius
abdicō	abdikoː
abditus	abditus
abditīva	abditiːu̯a
abditīva	abditiːu̯aː
abditīvus	abditiːu̯us
abdua	abdua
abductiō	abduktioː
abductīva	abduktiːu̯a
abductīva	abduktiːu̯aː
abductīvus	abduktiːu̯us
abductōris	abduktoːris
abdēra	abdeːra
abdēre	abdeːre
abdērus	abdeːrus
abdērī	abdeːriː
abdērītānus	abdeːriːtaːnus
abdērītēs	abdeːriːteːs
abdērō	abdeːroː
abdīcam	abdiːkam
abdīcar	abdiːkar
abdīcō	abdiːkoː
abdō	abdoː
abdōmen	abdoːmen
abdōminālis	abdoːminaːlis
abdūcēns	abduːkens
abdūcō	abduːkoː
abecedārium	abekedaːrium
abecedārius	abekedaːrius
abella	abella
abellana	abellana
abellīnum	abelliːnum
abelus	abelus
abequitō	abekʷitoː
aberdeenēnsis	aberdeːnensis
aberrant	aberrant
aberrante	aberrante
aberrantēs	aberranteːs
aberrātiō	aberraːtioː
aberrō	aberroː
abeō	abeoː
abhibeō	abhibeoː
