a	a
aarōn	aaron
ab	ab
ababa	ababa
abacaenum	abatʃenum
abace	abatʃe
abacinā	abatʃina
abacinātus	abatʃinatus
abacinātūrus	abatʃinaturus
abacinō	abatʃino
abacis	abatʃis
abaculus	abakulus
abacum	abakum
abacus	abakus
abacī	abatʃi
abacīna	abatʃina
abacīnus	abatʃinus
abacīs	abatʃis
abacūc	abakuk
abaddōn	abaddon
abae	abe
abaesamis	abesamis
abaestuātum	abestuatum
abaestuō	abestuo
abagmentum	abagmentum
abalietās	abalietas
abaliēnāte	abalienate
abaliēnātiō	abalienattsio
abaliēnātō	abalienato
abaliēnō	abalieno
aballaba	aballaba
aballava	aballava
abalus	abalus
abalī	abali
abambulō	abambulo
abamita	abamita
abannātiō	abannattsio
abante	abante
abantius	abantsius
abantēa	abantea
abantēus	abanteus
abanēt	abanet
abanēth	abanet
abarceō	abartʃeo
abascanta	abaskanta
abascantissimus	abaskantus
abascantus	abaskantus
abascus	abaskus
abasgī	abasdʒi
abavia	abavia
abavunculus	abavunkulus
abavus	abavus
abax	abaks
abba	abba
abbacinō	abbatʃino
abbreviandus	abbreviandus
abbreviātiō	abbreviattsio
abbreviātiōnibus	abbreviattsionibus
abbreviātulus	abbreviatulus
abbreviātum	abbreviatum
abbreviātūrus	abbreviaturus
abbreviō	abbrevio
abbās	abbas
abbātia	abbattsia
abbātissa	abbatissa
abbātizō	abbatiddzo
abbātiālis	abbattsialis
abchasica	abkasika
abchasicus	abkasikus
abdara	abdara
abdicandō	abdikando
abdicā	abdika
abdicārem	abdikarem
abdicārās	abdikaras
abdicārēs	abdikares
abdicās	abdikas
abdicāsse	abdikasse
abdicāssem	abdikassem
abdicāssēs	abdikasses
abdicātiō	abdikattsio
abdicātīva	abdikativa
abdicātīvus	abdikativus
abdicātīvās	abdikativas
abdicātīvē	abdikative
abdicātīvō	abdikativo
abdicātīvōs	abdikativos
abdicātōria	abdikatoria
abdicātōrius	abdikatorius
abdicō	abdiko
abditum	abditum
abditus	abditus
abditīva	abditiva
abditīvus	abditivus
abdua	abdua
abductiō	abduktsio
abductīva	abduktiva
abductīvus	abduktivus
abductōris	abduktoris
abdēra	abdera
abdēre	abdere
abdērus	abderus
abdērī	abderi
abdērītānus	abderitanus
abdērītēs	abderites
abdērō	abdero
abdīcam	abdikam
abdīcar	abdikar
abdīcō	abdiko
abdō	abdo
abdōmen	abdomen
abdōminālis	abdominalis
abdūcēns	abdutʃens
abdūcō	abduko
abecedārium	abetʃedarium
abecedārius	abetʃedarius
abella	abella
abellana	abellana
abellīnum	abellinum
abelus	abelus
abequitō	abekwito
aberdeenēnsis	aberdenensis
aberrant	aberrant
aberrante	aberrante
aberrantēs	aberrantes
aberrātiō	aberrattsio
aberrō	aberro
abeō	abeo
abhibeō	abibeo
abhinc	abink
abhorreō	aborreo
abhorrēscō	aborresko
abia	abia
abiciō	abitʃio
abiciō	abjitʃio
abiectiō	abjektsio
abiectō	abjekto
abierimus	abierimus
abieris	abieris
abieritis	abieritis
abietifolia	abietifolia
abietifolius	abietifolius
abietina	abietina
abietinus	abietinus
abietāria	abietaria
abietārius	abietarius
abiga	abiga
abigeus	abidʒeus
abigeātor	abidʒeator
abigeātus	abidʒeatus
abigō	abigo
abilitās	abilitas
abissīnus	abissinus
abitiō	abittsio
abitus	abitus
abiugō	abjugo
abiungō	abjungo
abiāthār	abiatar
abiēgna	abieɲɲa
abiēgnus	abieɲɲus
abiēs	abies
abiūdicandus	abjudikandus
abiūdicātīva	abjudikativa
abiūdicātīvus	abjudikativus
abiūdicō	abjudiko
abiūrgō	abjurgo
abiūrātiō	abjurattsio
abiūrō	abjuro
abjiciō	abjitʃio
abjudicātīvus	abjudikativus
abjugō	abjugo
abjungō	abjungo
abjūdicō	abjudiko
abjūrgō	abjurgo
ablactō	ablakto
ablacuō	ablakuo
ablaqueātiō	ablakweattsio
ablaqueō	ablakweo
ablepsia	ablepsia
abligurriō	abligurrio
abligurrītiō	abligurrittsio
abligurrītor	abligurritor
ablocō	abloko
abluvium	abluvium
abluviō	abluvio
abluō	abluo
ablātiō	ablattsio
ablātor	ablator
ablātīva	ablativa
ablātīve	ablative
ablātīvus	ablativus
ablātīvās	ablativas
ablātīvī	ablativi
ablātīvō	ablativo
ablātīvōs	ablativos
ablēgātiō	ablegattsio
ablēgō	ablego
ablūdō	abludo
ablūtiō	abluttsio
ablūtor	ablutor
ablūtīva	ablutiva
ablūtīvum	ablutivum
ablūtīvus	ablutivus
ablūtīvī	ablutivi
ablūtūrus	abluturus
abmātertera	abmatertera
abnatātum	abnatatum
abnatātūrus	abnataturus
abnatō	abnato
abnegātiō	abnegattsio
abnegātor	abnegator
abnegātīva	abnegativa
abnegātīvus	abnegativus
abnegō	abnego
abnepōs	abnepos
abnoctātum	abnoktatum
abnoctātūrus	abnoktaturus
abnoctō	abnokto
abnuitiō	abnuittsio
abnumerō	abnumero
abnuō	abnuo
abnōdō	abnodo
abnōrmis	abnormis
abnūtātum	abnutatum
abnūtātūrus	abnutaturus
abnūtīva	abnutiva
abnūtīvus	abnutivus
abnūtō	abnuto
abobrīga	abobriga
abodiacum	abodiakum
aboleō	aboleo
abolitiō	abolittsio
abolitor	abolitor
abolla	abolla
abolānī	abolani
abolēscō	abolesko
abomāsum	abomasum
aborigina	aboridʒina
aboriginus	aboridʒinus
aborigō	aborigo
aborior	aborior
aborsa	aborsa
aborsus	aborsus
abortiō	abortsio
abortus	abortus
abortās	abortas
abortātūrus	abortaturus
abortīva	abortiva
abortīvum	abortivum
abortīvus	abortivus
abortō	aborto
aborīgineus	aboridʒineus
abpatruus	abpatruus
abra	abra
abracadabra	abrakadabra
abram	abram
abrelicta	abrelikta
abrelictus	abreliktus
abrenuntiātum	abrenuntsiatum
abrenuntiātūrus	abrenuntsiaturus
abrenūntiātiō	abrenuntsiattsio
abrenūntiō	abrenuntsio
abrincatuī	abrinkatui
abripiō	abripio
abrocomēs	abrokomes
abrogāta	abrogata
abrogāte	abrogate
abrogātiō	abrogattsio
abrogātī	abrogati
abrogātō	abrogato
abrogāvissēmus	abrogavissemus
abrogō	abrogo
abrotanifolia	abrotanifolia
abrotanifolius	abrotanifolius
abrumpō	abrumpo
abrupta	abrupta
abruptissima	abruptissima
abruptiō	abruptsio
abruptās	abruptas
abruptōs	abruptos
abrādō	abrado
abrās	abras
abrāsiō	abrasio
abrīs	abris
abrōdō	abrodo
abrōnius	abronius
abs	abs
absarus	absarus
abscindō	abʃindo
abscissa	abʃissa
abscissiō	abʃissio
abscondeō	abskondeo
absconditus	abskonditus
abscondō	abskondo
abscēdō	abʃedo
abscīdō	abʃido
abscīsa	abʃisa
abscīsus	abʃisus
abscōnsa	abskonsa
abscōnsus	abskonsus
abscōnsō	abskonso
absediī	absedii
absentia	absentsia
absentīvus	absentivus
absentō	absento
absiliō	absilio
absimilis	absimilis
absinthifolius	absintifolius
absinthium	absintium
absinthiātus	absintiatus
absinthītārum	absintitarum
absinthītēs	absintites
absistō	absisto
absitus	absitus
absocer	absotʃer
absoluō	absoluo
absolvēns	absolvens
absolvō	absolvo
absolūtiō	absoluttsio
absolūtus	absolutus
absolūtōrius	absolutorius
absonus	absonus
absonō	absono
absorbent	absorbent
absorbentem	absorbentem
absorbeō	absorbeo
absorptiō	absorptsio
absortus	absortus
abspellō	abspello
absportō	absporto
absque	abskwe
abstentiō	abstentsio
abstergeō	absterdʒeo
absterreō	absterreo
abstinentia	abstinentsia
abstineō	abstineo
abstināx	abstinaks
abstractiō	abstraktsio
abstractus	abstraktus
abstrahentibus	abstraentibus
abstraherentur	abstraerentur
abstrahēns	abstraens
abstrahō	abstrao
abstrāxerimus	abstrakserimus
abstrūdō	abstrudo
abstrūsus	abstrusus
abstulī	abstuli
abstēmius	abstemius
abstō	absto
absum	absum
absurdus	absurdus
absynthītēs	absintites
absārius	absarius
absēns	absens
absīdātus	absidatus
absūmēdō	absumedo
absūmō	absumo
abudius	abudius
abundanter	abundanter
abundantia	abundantsia
abundantius	abundantsius
abundantēs	abundantes
abundiflōrus	abundiflorus
abundus	abundus
abundābit	abundabit
abundātiō	abundattsio
abundātum	abundatum
abundātūrus	abundaturus
abundē̆	abunde
abundō	abundo
aburius	aburius
abusina	abusina
abyla	abila
abyssicolus	abissikolus
abyssinicus	abissinikus
abyssus	abissus
abyssālis	abissalis
abzoae	abdzoe
abāctius	abaktsius
abāctor	abaktor
abāctus	abaktus
abīa	abia
abōminandus	abominandus
abōminābilis	abominabilis
abōmināmentum	abominamentum
abōminātiō	abominattsio
abōminō	abomino
abōminōsa	abominosa
abōminōsus	abominosus
abūsor	abusor
abūsque	abuskwe
abūsīvus	abusivus
abūtor	abutor
abȳdenus	abidenus
abȳdus	abidus
ac	ak
acacia	akatʃia
acaciifolius	akatʃiifolius
acacēsium	akatʃesium
acadēmicus	akademikus
acadēmus	akademus
acadēmīa	akademia
acalandrus	akalandrus
acalyphāceus	akalifatʃeus
acalēphē	akalefe
acampsis	akampsis
acanthicarpus	akantikarpus
acanthifolius	akantifolius
acanthinus	akantinus
acanthius	akantius
acanthiō	akantio
acanthocalycibus	akantokalitʃibus
acanthocalyx	akantokaliks
acanthocarpus	akantokarpus
acanthochitōn	akantokiton
acanthocladus	akantokladus
acanthocomus	akantokomus
acanthodontus	akantodontus
acanthonotus	akantonotus
acanthophorus	akantoforus
acanthophyllus	akantofillus
acanthopodius	akantopodius
acanthus	akantus
acaricus	akarikus
acarnānia	akarnania
acarnānicus	akarnanikus
acascomarcī	akaskomartʃi
acatus	akatus
acaulis	akau̯lis
acaustus	akau̯stus
accadicus	akkadikus
accanite	akkanite
accanitō	akkanito
accanī	akkani
accanō	akkano
accapitō	akkapito
acceia	attʃeja
accelerātiō	attʃelerattsio
accelerātrīx	attʃeleratriks
accelerō	attʃelero
accendō	attʃendo
accentor	attʃentor
accentus	attʃentus
accepta	attʃepta
acceptante	attʃeptante
acceptiō	attʃeptsio
acceptābilis	attʃeptabilis
acceptō	attʃepto
accersiō	attʃersio
accessibilis	attʃessibilis
accessitō	attʃessito
accessōrius	attʃessorius
accidenta	attʃidenta
accidentia	attʃidentsia
accidentum	attʃidentum
accidentī	attʃidenti
accidentō	attʃidento
accidere	attʃidere
accidēns	attʃidens
accidō	attʃido
accingō	attʃingo
accinō	attʃino
accipiter	attʃipiter
accipitrīna	attʃipitrina
accipitrō	attʃipitro
accipiēns	attʃipiens
accipiō	attʃipio
accisī	attʃisi
accius	attʃius
acciō	attʃio
acclāmō	akklamo
acclārō	akklaro
acclīnis	akklinis
acclīnō	akklino
acclīvis	akklivis
acclīvus	akklivus
accolēius	akkoleius
accomandatiō	akkomandattsio
accommodus	akkommodus
accommodātus	akkommodatus
accommodō	akkommodo
acconciliō	akkontʃilio
accorporō	akkorporo
accrēdō	akkredo
accrēscente	akkreʃʃente
accrēscō	akkresko
accrētus	akkretus
accua	akkua
accubitus	akkubitus
accubitātiō	akkubitattsio
accubō	akkubo
accumbere	akkumbere
accumbō	akkumbo
accumulātiō	akkumulattsio
accumulō	akkumulo
accurrō	akkurro
accēdō	attʃedo
accēnseō	attʃenseo
accēnsibilis	attʃensibilis
accēnsūrus	attʃensurus
accī	attʃi
accīdere	attʃidere
accīdia	attʃidia
accīdēns	attʃidens
accīdō	attʃido
accūrātiō	akkurattsio
accūrātus	akkuratus
accūrō	akkuro
accūsitō	akkusito
accūsābilis	akkusabilis
accūsātiō	akkusattsio
accūsātor	akkusator
