airija	ajrʲɪjɛ
airija	ɐjrʲɪjɛ
airijai	ɐjrʲɪjɛj
airijoje	ɐjrʲɪjojɛ
airijos	ɐjrʲɪjos
airiją	ɐjrʲɪjæː
akmuo	ɐkmuə̯
alachas	ɐlɑːxɐs
albanija	ɐlbaːnʲɪjɛ
alytus	ɐlʲiːtʊs
arabija	ɐraːbʲɪjɛ
arabijai	ɐraːbʲɪjɛj
arabijoje	ɐraːbʲɪjojɛ
arabijos	ɐraːbʲɪjos
arabiją	ɐraːbʲɪjæː
armėnija	ɐrmʲeːnʲɪjɛ
armėnijai	ɐrmʲeːnʲɪjɛj
armėnijoje	ɐrmʲeːnʲɪjojɛ
armėnijos	ɐrmʲeːnʲɪjos
armėniją	ɐrmʲeːnʲɪjæː
atėnė	ɐtʲeːnʲeː
bagdoniškis	bɐgdoːnʲɪɕkʲɪs
baršėnai	bɐrʲɕeːnɐɪ̯ˑ
biržai	bʲɪrʒɐɪ̯ˑ
bobriškis	boːbʲrʲɪɕkʲɪs
bradesiai	brɐdʲɛsʲɛɪ̯ˑ
brazilija	brɐzʲɪlʲɪjɛ
bulgarija	bʊlgǎːrʲɪjɛ
bulgarijai	bʊlgaːrʲɪjɛj
bulgarijoje	bʊlgaːrʲɪjojɛ
bulgarijos	bʊlgaːrʲɪjos
bulgariją	bʊlgaːrʲɪjæː
buniuškiai	bʊnʲʊɕkʲɛɪ̯ˑ
busiškis	bʊsʲɪɕkʲɪs
danija	dɑːnʲɪjɛ
danijai	daːnʲɪjɛj
danijoje	daːnʲɪjojɛ
danijos	daːnʲɪjos
daniją	daːnʲɪjæː
druskininkai	d̪rʊsʲkʲɪnʲɪŋkɐɪ̯ˑ
dvarčiai	dvɐrʲtɕɛɪ̯ˑ
estija	ɛsʲtʲɪjɛ
estijai	ɛsʲtʲɪjɛj
estijoje	ɛsʲtʲɪjojɛ
estijos	ɛsʲtʲɪjos
estiją	ɛsʲtʲɪjæː
gargždai	gaːɾgʒdɐj
graikija	grɐjkʲɪjɛ
graikijai	grɐjkʲɪjɛj
graikijoje	grɐjkʲɪjojɛ
graikijos	grɐjkʲɪjos
graikiją	grɐjkʲɪjæː
gruzija	grʊzʲɪjɛ
gruzijai	grʊzʲɪjɛj
gruzijoje	grʊzʲɪjojɛ
gruzijos	grʊzʲɪjos
gruziją	grʊzʲɪjæː
italija	ɪtaːlʲɪjɛ
italijai	ɪtaːlʲɪjɛj
italijoje	ɪtaːlʲɪjojɛ
italijos	ɪtaːlʲɪjos
italiją	ɪtaːlʲɪjæː
japonija	jɛponʲɪjɛ
kalėdos	kɐlʲěːd̪oːs̪
kaunas	kɐʊ̯ˑn̪ɐs̪
keležeriai	kʲɛlʲɛʑɛrʲɛɪ̯ˑ
kinija	kʲɪnʲɪjɛ
klaipėda	kɫɐɪ̯ˑpʲeːdɐ
koranas	kɔrɑːnɐs
kroatija	kroaːtʲɪjɛ
kupiškis	kʊpʲɪɕkʲɪs
kėdainiai	kʲeːdâːɪnʲɛɪ̯ˑ
latvija	laːtʲʋʲɪjɛ
lenkija	læːnʲkʲɪjɛ
liūtas	luːtɐs
mahometas	mɐɣɔmʲɛtɐs
marijampolė	mɐrʲɪjɐmpoːlʲeː
mažeikiai	mɐʑæˑɪ̯kʲɛɪ̯ˑ
mažeikiai	mɐʑɛɪ̯ˑkʲɛɪ̯ˑ
medūza	mʲɛduːzɐ
meilė	mʲɛ̂ˑɪlʲeː
mėnulis	mʲeːnʊlʲɪs
norvegija	nɔrʲʋʲɛgʲɪjɛ
olandija	olaːnʲdʲɪjɛ
palanga	pɐlɐŋgɐ
panevėžys	pɐn̪ʲɛʋʲeːʒʲiːs̪
prancūzija	prɐntsuːzʲɪjɛ
rokiškis	roːkʲɪɕkʲɪs
rumunija	rʊmʊnʲɪjɛ
rumunijai	rʊmʊnʲɪjʲɪjɛj
rumunijoje	rʊmʊnʲɪjʲɪjojɛ
rumunijos	rʊmʊnʲɪjʲɪjos
rumuniją	rʊmʊnʲɪjʲɪjæː
rusija	rʊsʲɪjɛ
seda	sʲɛdɐ
suomija	suɔmʲɪjɛ
telšiai	tʲɛlʲɕɛɪ̯ˑ
turkija	tʊrʲkʲɪjɛ
utena	ʊtʲɛnɐ
vakariai	vɐkɐrʲɛɪ̯ˑ
varėna	vɐrʲeːnɐ
vengrija	ʋɛnʲgʲrʲɪjɛ
abakas	ɐbaːkɐs̪
