bierdná	ˈpierdnaː
biessá	ˈpiesːaː
biettjá	ˈpietːjaː
bievjá	ˈpie̯vjaː
bijjá	ˈpijːaː
bijá	ˈpijaː
bilká	ˈpilkaː
biltá	ˈpiltɑː
bissá	ˈpisːaː
bivdá	ˈpivdaː
bivvá	ˈpivːaː
buhtsá	ˈpuhtsɑː
buktá	ˈpuktaː
buollá	ˈpuolːaː
buordá	ˈpuordɑː
buorre	buorre
buot	puot
buovjá	ˈpuovjaː
bussá	ˈpusːaː
bádde	ˈbadːe
báddá	ˈbadːaː
bádná	ˈbadːnaː
báhtár	ˈbaːhtaːr
báján	ˈbaːjaːn
bállnå	ˈbalːnɔ
bállá	ˈbalːaː
bárrå	ˈbarːɔ
bárttá	ˈbartːaː
bávttá	ˈbavtːaː
båhtjá	ˈpɔhtjaː
bållå	ˈpɔlːɔ
bårrå	ˈporːɔ
dielgá	ˈtielgaː
dielljá	ˈtielːjaː
diessá	ˈtiesːaː
diettjá	ˈtietːjaː
diggá	ˈtiggaː
dijvá	ˈtijvaː
dilljá	ˈtilːjaː
dirrá	ˈtirːaː
disdá	ˈtistɑː
divdá	ˈtivdaː
divrá	ˈtivraː
duoddár	ˈtuodːaːr
duodná	ˈtuodnaː
duolbá	ˈtuolpaː
duommá	ˈtuomːaː
duoppá	ˈtuopːaː
duoršá	ˈtuorʃaː
duottár	ˈtuotːaːr
duppá	ˈtupːaː
durdá	ˈturdaː
durrá	ˈturːaː
dussá	ˈtusːaː
dájdá	ˈtaːjtaː
dállo	daːlːo
dállá	ˈtalːaː
dássjá	ˈtasːjaː
dássá	ˈtasːaː
dávdá	ˈtavdaː
dávggá	ˈtavgːaː
dávvá	ˈtavːaː
dåbbå	ˈtɔbːɔ
eadni	eɑdni
giehta	giehta
gielgá	ˈkielgaː
giellá	ˈkielːaː
gierdá	ˈkierdaː
giessá	ˈkiesːaː
giettjá	ˈkietːjaː
gievdnå	ˈkie̯vdnɔ
gievdá	ˈkie̯vdaː
gilljá	ˈkilːjaː
gillá	ˈkilːaː
girsá	ˈkirsɑː
girtá	ˈkirtaː
givdá	ˈkivdaː
givssá	ˈkivsːaː
guoddá	ˈkuodːaː
guoggá	ˈkuogːaː
guojmmá	ˈkuojmːaː
guoktá	ˈkuoktaː
guolbá	ˈkuolpaː
guollá	ˈkuolːaː
guommá	ˈkuomːaː
guoppá	ˈkuopːaː
guorbá	ˈkuorpaː
guossá	ˈkuosːaː
guottá	ˈkuotːaː
gussá	ˈkusːaː
gáddá	ˈkadːaː
gájdá	ˈkajtaː
gállnå	ˈkalːnɔ
gállá	ˈkalːaː
gássjá	ˈkasːjaː
gássá	ˈkasːaː
gáttá	ˈkatːaː
gávdná	ˈkavdnaː
gávnná	ˈkavnːaː
gåddå	ˈkɔdːɔ
gåjjå	ˈkɔjːɔ
gållå	ˈkɔlːɔ
gåsså	ˈkɔsːɔ
gåttå	ˈkɔtːɔ
hielgá	ˈhielgaː
hiellá	ˈhielːaː
hierdá	ˈhierdaː
hiessá	ˈhiesːaː
hiettjá	ˈhietːjaː
hievdá	ˈhie̯vdaː
hilljá	ˈhilːjaː
hillá	ˈhilːaː
hirsá	ˈhirsɑː
hirtá	ˈhirtaː
hissá	ˈhisːaː
hivdá	ˈhivdaː
hivssá	ˈhivsːaː
huoddá	ˈhuodːaː
huoggá	ˈhuogːaː
huojmmá	ˈhuojmːaː
huoktá	ˈhuoktaː
huolbá	ˈhuolpaː
huollá	ˈhuolːaː
huommá	ˈhuomːaː
huoppá	ˈhuopːaː
huorbá	ˈhuorpaː
huossá	ˈhuosːaː
huottá	ˈhuotːaː
hussá	ˈhusːaː
háddá	ˈhadːaː
hájdá	ˈhajtaː
hállá	ˈhalːaː
hássjá	ˈhasːjaː
hássá	ˈhasːaː
háttá	ˈhatːaː
hávdná	ˈhavdnaː
hávnná	ˈhavnːaː
håddå	ˈhɔdːɔ
håjjå	ˈhɔjːɔ
hållå	ˈhɔlːɔ
håsså	ˈhɔsːɔ
håttå	ˈhɔtːɔ
jielgá	ˈjielgaː
jiellá	ˈjielːaː
jierdá	ˈjierdaː
jiessá	ˈjiesːaː
jiettjá	ˈjietːjaː
jievdá	ˈjie̯vdaː
jilljá	ˈjilːjaː
jillá	ˈjilːaː
jirssá	ˈjirsːaː
jirtá	ˈjirtaː
jissá	ˈjisːaː
jivdá	ˈjivdaː
jivssá	ˈjivsːaː
juoddá	ˈjuodːaː
juoggá	ˈjuogːaː
juojmmá	ˈjuojmːaː
juoktá	ˈjuoktaː
juolbá	ˈjuolpaː
juollá	ˈjuolːaː
juommá	ˈjuomːaː
juoppá	ˈjuopːaː
juorbá	ˈjuorpaː
juossá	ˈjuosːaː
juottá	ˈjuotːaː
jussá	ˈjusːaː
jálgá	ˈjaːlgaː
jállá	ˈjaːlːaː
jámbá	ˈjaːmbaː
jánná	ˈjaːnːaː
járbbá	ˈjaːrbːaː
jávrrá	ˈjaːvrːaː
jåddå	ˈjɔdːɔ
jåjjå	ˈjɔjːɔ
jållå	ˈjɔlːɔ
jåsså	ˈjɔsːɔ
jåttå	ˈjɔtːɔ
lielgá	ˈlielgaː
liellá	ˈlielːaː
lierdá	ˈlierdaː
liessá	ˈliesːaː
liettjá	ˈlietːjaː
lievdá	ˈlie̯vdaː
lilljá	ˈlilːjaː
lillá	ˈlilːaː
lirsá	ˈlirsɑː
lirtá	ˈlirtaː
lissá	ˈlisːaː
livdá	ˈlivdaː
livssá	ˈlivsːaː
luoddá	ˈluodːaː
luoggá	ˈluogːaː
luojmmá	ˈluojmːaː
luoktá	ˈluoktaː
luolbá	ˈluolpaː
luollá	ˈluolːaː
luommá	ˈluomːaː
luoppá	ˈluopːaː
luorbá	ˈluorpaː
luossá	ˈluosːaː
luottá	ˈluotːaː
lussá	ˈlusːaː
láddá	ˈladːaː
lájdá	ˈlajtaː
lállá	ˈlalːaː
lássjá	ˈlasːjaː
lássá	ˈlasːaː
láttá	ˈlatːaː
lávdná	ˈlavdnaː
lávnná	ˈlavnːaː
låddå	ˈlɔdːɔ
låjjå	ˈlɔjːɔ
lållå	ˈlɔlːɔ
låsså	ˈlɔsːɔ
låttå	ˈlɔtːɔ
mieldá	ˈmie̯ldaː
mielgá	ˈmielgaː
miellá	ˈmielːaː
mierdá	ˈmierdaː
miessá	ˈmiesːaː
miettjá	ˈmietːjaː
milljá	ˈmilːjaː
millá	ˈmilːaː
mirssá	ˈmirsːaː
mirtá	ˈmirtaː
missá	ˈmisːaː
mivdá	ˈmivdaː
mivssá	ˈmivsːaː
muoddá	ˈmuodːaː
muoggá	ˈmuogːaː
muojmmá	ˈmuojmːaː
muoktá	ˈmuoktaː
muolbá	ˈmuolpaː
muollá	ˈmuolːaː
muommá	ˈmuomːaː
muoppá	ˈmuopːaː
muorbá	ˈmuorpaː
muorra	muorːa
muossá	ˈmuosːaː
muottá	ˈmuotːaː
mussá	ˈmusːaː
máddá	ˈmadːaː
mádá	ˈmaːdaː
májdá	ˈmajtaː
mállá	ˈmalːaː
mássjá	ˈmasːjaː
mássá	ˈmasːaː
máttá	ˈmatːaː
mávdná	ˈmavdnaː
mávnná	ˈmavnːaː
måddå	ˈmɔdːɔ
måjjå	ˈmɔjːɔ
mållå	ˈmɔlːɔ
måsså	ˈmɔsːɔ
måttå	ˈmɔtːɔ
nielgá	ˈnielgaː
niellá	ˈnielːaː
nierdá	ˈnierdaː
niessá	ˈniesːaː
niettjá	ˈnietːjaː
nievdá	ˈnie̯vdaː
nilljá	ˈnilːjaː
nillá	ˈnilːaː
nirssá	ˈnirsːaː
nirtá	ˈnirtaː
nissá	ˈnisːaː
nivdá	ˈnivdaː
nivssá	ˈnivsːaː
nuoddá	ˈnuodːaː
nuoggá	ˈnuogːaː
nuojmmá	ˈnuojmːaː
nuoktá	ˈnuoktaː
nuolbá	ˈnuolpaː
nuollá	ˈnuolːaː
nuommá	ˈnuomːaː
nuoppá	ˈnuopːaː
nuorbá	ˈnuorpaː
nuossá	ˈnuosːaː
nuottá	ˈnuotːaː
nussá	ˈnuosːaː
náddá	ˈnadːaː
nájdá	ˈnajtaː
nállá	ˈnalːaː
nássjá	ˈnasːjaː
nássá	ˈnasːaː
náttá	ˈnatːaː
návdná	ˈnavdnaː
návnná	ˈnavnːaː
nåddå	ˈnɔdːɔ
nåjjå	ˈnɔjːɔ
nållå	ˈnɔlːɔ
nåsså	ˈnɔsːɔ
nåttå	ˈnɔtːɔ
olmmoš	olmmoʃ
rielgá	ˈrielgaː
riellá	ˈrielːaː
rierdá	ˈrierdaː
riessá	ˈriesːaː
riettjá	ˈrietːjaː
rievdá	ˈrie̯vdaː
rilljá	ˈrilːjaː
rillá	ˈrilːaː
rirssá	ˈrirsːaː
rirtá	ˈrirtaː
rissá	ˈrisːaː
rivdá	ˈrivdaː
rivssá	ˈrivsːaː
ruoddá	ˈruodːaː
ruoggá	ˈruogːaː
ruojmmá	ˈruojmːaː
ruoktá	ˈruoktaː
ruolbá	ˈruolpaː
ruollá	ˈruolːaː
ruommá	ˈruomːaː
ruoppá	ˈruopːaː
ruorbá	ˈruorpaː
ruossá	ˈruosːaː
ruottá	ˈruotːaː
russá	ˈrusːaː
ráddá	ˈradːaː
rájdá	ˈrajtaː
rállá	ˈralːaː
rássjá	ˈrasːjaː
rássá	ˈrasːaː
ráttá	ˈratːaː
rávdná	ˈravdnaː
rávnná	ˈravnːaː
råddå	ˈrɔdːɔ
råjjå	ˈrɔjːɔ
rållå	ˈrɔlːɔ
råsså	ˈrɔsːɔ
tjáhtje	tʃaːhtje
áhpadus	ˈaːhpɑtus
áhttje	aːhtːje
áigi	aːigi
ájnná	ˈaːjɲːaː
ájá	ˈaːjaː
álggå	ˈaːlggɔ
čalbmi	tʃalbmi
