a	a
aacht	ˈaːχt
aachtanachzeg	ˌaːχtɑnˈɑχtsəɕ
aachtanachzegst	ˌaːχtɑnˈɑχtsəɕst
aachtandrësseg	ˌaːχtɑndʀˈəsəɕ
aachtandrëssegst	ˌaːχtɑndʀˈəsəɕst
aachtannonzeg	ˌaːχtɑnnˈontsəɕ
aachtanuechzeg	ˌaːχtɑnˈuəɕtsəɕ
aachtanuechzegst	ˌaːχtɑnˈuəɕtsəɕst
aachtanzwanzeg	ˌaːχtɑntswˈɑntsəɕ
aachtasechzeg	ˌaːχtɑzˈæɕtsəɕ
aachtasechzegst	ˌaːχtɑzˈæɕtsəɕst
aachtasiechzeg	ˌaːχtɑzˈiəɕtsəɕ
aachtasiechzegst	ˌaːχtɑzˈiəɕtsəɕst
aachtasiwwenzeg	ˌaːχtɑzivˈəntsəɕ
aachtasiwwenzegst	ˌaːχtɑzivˈəntsəɕst
aachtavéierzeg	ˌaːχtɑfˈɜɪʁtsəɕ
aachtavéierzegst	ˌaːχtɑfˈɜɪʁtsəɕst
aachtchen	ˈaːχtɕən
aachtel	æxtʃatˈl
aachtel	ˈaːχtəl
aachten	ˈaːχtən
aachtercher	ˈaːχtʁɕʁ
aachtfach	ˈaːχtfɑχ
aachtmol	ˈaːχtmoːl
aafs	ɑːfs
aaft	æft
aangel	ˈaːɳəl
aansebuerg	aːnsˈəbuːʁɕ
aarbecht	ˈaːʁbəɕt
aarbechten	aːʁbˈəɕtən
aarbechter	ˈaːʁbəɕtʁ
aarbechterfamill	ˌaːʁbəɕtʁfˈɑmil
aarbechterfamillen	ˌaːʁbəɕtʁfɑmˈilən
aarbechterin	ˌaːʁbəɕtˈəʀin
aarbechterinnen	ˌaːʁbəɕtəʀˈinən
aarbechtsaccident	ˌaːʁbəɕtsɑksˈidænt
aarbechtsaccidenter	ˌaːʁbəɕtsɑksˈidæntʁ
aarbechtsbedingungen	ˌaːʁbəɕtsbˌədiɳgˈuɳən
aarbechtsbedéngungen	ˌaːʁbəɕtsbˌədeɳˈuɳən
aarbechtsdag	aːʁbˈəɕtsdaːχ
aarbechtsdokteren	ˌaːʁbəɕtsdoktˈəʀən
aarbechtsdoktesch	ˌaːʁbəɕtsdˈoktəʃ
aarbechtsdokteschen	ˌaːʁbəɕtsdoktˈəʃən
aarbechtserlaabnes	ˌaːʁbəɕtsʁlˈaːbnəs
aarbechtserlaabnesser	ˌaːʁbəɕtsʁlˈaːbnəsʁ
aarbechtserlaabnis	ˌaːʁbəɕtsʁlˈaːbnis
aarbechtserlaabnisser	ˌaːʁbəɕtsʁlˈaːbnisʁ
aarbechtsfäeg	ˌaːʁbəɕtsfˈɛːəɕ
aarbechtsfäheg	ˌaːʁbəɕtsfˈɛːəɕ
aarbechtsgesetz	ˌaːʁbəɕtsgˈəzæts
aarbechtsgezei	ˌaːʁbəɕtsgˈətsɑɪ
aarbechtsgruppen	ˌaːʁbəɕtsgʀˈupən
aarbechtskleedung	ˌaːʁbəɕtsklˈeːduɳ
aarbechtsklima	ˌaːʁbəɕtsklˈiːmaː
aarbechtskolleeg	ˌaːʁbəɕtskˈoleːɕ
aarbechtskolleegen	ˌaːʁbəɕtskolˈeːʑən
aarbechtskolleegin	ˌaːʁbəɕtskolˈeːʑin
aarbechtskolleeginnen	ˌaːʁbəɕtskˌoleːʑˈinən
aarbechtskollegen	ˌaːʁbəɕtskolˈeːʑən
aarbechtskollegin	ˌaːʁbəɕtskolˈeːʑin
aarbechtskolleginnen	ˌaːʁbəɕtskˌoleːʑˈinən
aarbechtskonditiounen	ˌaːʁbəɕtskˌonditsjˈəʊnən
aarbechtskontrakt	ˌaːʁbəɕtskˈontʀɑkt
aarbechtskontrakten	ˌaːʁbəɕtskontʀˈɑktən
aarbechtslosegkeet	ˌaːʁbəɕtsloːzˈəɕkeːt
aarbechtslosenzuel	ˌaːʁbəɕtsloːzˈəntsuəl
aarbechtslosenzuelen	ˌaːʁbəɕtslˌoːzəntsˈuələn
aarbechtspensum	ˌaːʁbəɕtspˈænsum
aarbechtsplazen	ˌaːʁbəɕtsplˈaːtsən
aarbechtsprozess	ˌaːʁbəɕtspʀˈotsæs
aarbechtsprozesser	ˌaːʁbəɕtspʀˈotsæsʁ
aarbechtsrechter	aːʁbˈəɕtsʀæɕtʁ
