00h	ɔh
10-ка	ˈdɛsɛtka
10-та	ˈdɛsɛtɑ
10-тата	ˈdɛnɑtɑ
10-те	ˈdɛsɛt
10-ти	ˈdɛsɛtɪ
11-ти	ɛnɛˈti
12-от	ɔt
12-та	ˈdɛntɑ
12-те	ˈdvatɛ
12-ти	ˈdvati
13-ка	treːka
13-та	ˈtɑtɑ
13-ти	ˈtrɛnti
14-та	ˈtɑntɑ
14-ти	ˈtɤrɤ
15-та	ˈfɾɛdna
15-ти	ˈfɾɛdɛ
16-ти	ˈʃumɛn
17-ти	ˈseːdnati
1864-та	ɛnɔtɛsɛtɛr
18-та	ɛnɔtɛ
18-ти	ɛnɑnti
19-ти	ˈnɛnti
1-ви	ɛnɛrɛ
1-та	ɛn tɑ
2005-та	ˈdvɛsɛt
2006-та	ˈdvetɾisɛt
20-годишна	ˈdvaɛtɐˌgɔdiʃna
20-ет	ˈdɛɾɛt
20-от	ˈdvatɔt
20-та	ˈdvatsa
20-те	ˈdɛsɛt
20-ти	ˈdvati
20-тина	ˈdvaˌtina
20-тиот	ˈdvatsiɔt
21-ви	21vi
21-от	ˈdvajɔt
221б	221b
22-ри	ˈdvari
23-ти	ˈdvaːtɪ
24-ти	ˈdvaːtɪ
25-ти	ˈdvaɛtɨ
25-тиот	ˈdvaɛtɪɔt
26-ти	ˈdvaɛtɪ
27-ми	27mi
28-ми	ˈdvajɛtma
29-ти	ˈdvaːnati
2-лица	ˈliːtsa
2-ри	ˈdvari
2-та	ˈdvatɑ
30-те	ˈtrɛtɛ
30-ти	ˈtritɪ
30-тите	ˈtritɛ
30ч	tʃɔtʃ
33-ти	ˈtritɪ
3d	tsɛd
3а	za
3д	ʃɛd
3ошто	ʃɔʃtɔ
3-по	ʃɛpo
3-та	ˈtɑ
3-те	te
3-ти	tʃi
40-те	ˈsɔrtɛ
45-ка	tsɛrɛtɕka
4a4ara	ˈʃaʃara
4-ри	ˈtɕɛɾi
4-та	ˈtɑtɑ
4-те	ɛtɛ
4-ти	ˈtɕi
4ти	ˈtɤti
4-то	ˈtɔ
50-те	ˈpɛtɛ
50-тите	ˈpɛtʃkɛ
5-ка	tsɛka
5-та	ʃta
5-те	ɛtɛ
5-ти	ˈpɛtɾi
5-то	ʃɛsto
60-те	ʃɛstɛ
60-тите	ʃɔnˈtʃitɛ
6-та	ʃɛsta
6-тата	ʃɛtɑtɑ
6-ти	ʃɛti
70-те	ˈsɛmdesɛtɛ
70-ти	ˈsɛmdesɛtɪ
70-тите	ˈsɛmdesɛtɪtɛ
7-ма	ma
7-ми	mi
7-та	ˈsɛtɑ
80-те	ɔsɛm
80-ти	ɔsˈnɔtɪ
80-тите	ˈsɑmɑtɪtɛ
89-та	ɔsʲnɛdʲmɛrtɛ
8-ми	ɔːmi
8-та	ɔt̪a
90-те	ˈnɛntɛ
90-ти	ˈnɛnti
90-тите	ˈnɛntitɛ
9мм	ɛm mɛm
9-та	ˈnɛna
9-те	9tɛ
9-ти	niti
aaa	aː
aah	ɑː
aamco	amtʃɔ
a	ɑː
abc	abts
about	ɑbuːt
above	ˈabɔvɛ
again	ɛgajn
ah	ɑ
ain	ajn
air	ajr
ajдe	ajdɛ
ajде	ajdɛ
ak	ak
ako	ako
alaikum	alajkum
al	al
alex	alɛks
ali	ali
allahu	ɑlɑhuː
all	al
alpha	ɑlfɑ
always	ɑːlwɛjs
am	am
amy	ami
an	ɑn
and	ɑːnd
angel17	ˈaŋgɛl
anna	ˈana
annie	ani
annа	ana
apos	ˈapɔs
apple	aplɛ
arcadian	artʃaˈdian
are	ɑrɛ
around	ɔrɔund
arrakis	ɑrɑkɪs
as	as
ass	as
at	at
atom-ant	ˈatomant
atreides-и	atɾiˈdesi
away	avaj
aаа	ɑː
aдам	ɑːdam
aјде	ajdɛ
aкo	akɔ
aко	akɔ
aлекс	alɛks
aма	ama
aмин	amin
aндрес	ɑndrɛs
aпсолутно	apsɔˈlutnɔ
aркадин	arkadɪn
aхa	ɑːχɑː
aх	ax
baby	babi
back	baʧ
balls	bal
bamba	ba'mba
bangkok	baŋkɔk
barbara	baɾˈbara
barings	baˈrɪŋs
b	ba
bb	b
beale	bēlɛ
bear	be̞a̯r
beatdown	beɐtˈdau̯n
be	be
because	ˈbɛkɔʃ
becker	ˈbɛtʃɛr
becky	beʃki
beechwood	biːtʃwʊd
been	biːn
before	ˈpɛrɛ
being	biŋ
belicoff	ˈbɛlitsɔf
believe	ˈbɛlɪv
ben	ben
benton	benˈton
best	bst
bi	bi
bigalow	bigaˈɫɔw
big	big
bill	biɫ
bingham	biŋgam
birthday	gɾaʃkɔ
black	blɛk
blue	blu
bmw	baːmuː
bob	boːp
bobby	ˈbɔbi
body	ˈbɔdi
boom	bum
both	boθ
bounce	buːntʃ
boy	boj
brent	brɛnt
brickner	brɪtʃnɛr
bros	brɔs
brothers	brɔtʃɛr
brude	brudɛ
but	but
buttle	butlɛ
by	biː
bо	bo
c-4	tʃɛtɾi
caesar	ˈtsaɛsar
cal	kal
call	kal
can	tsan
carl	tsarl
carmen	kaɾˈmɛn
carrillo	ˈtʃariʎo
carson	ˈtʃaːrson
casablanca	kasaˈlaβaska
casa	ˈtʃasa
cat	kɑt
cause	kɔːz
cbs	ʃɛːp
cca	tʃa
cdc	tsɛtʃ
cd	ʃɛd
central	tsɛnˈtral
ce	tʃɛ
ceга	tʃɛga
cha-aksa	ʧaːksa
channel	ʃɑnɛɫ
charity	ˈtʃaɾiti
cha	ʧa
cheryl	tʃɛrɪl
chicago	tʃɪˈgɑːu
chris	krɪs
christa	krɪsta
chuckles	ʧʌkəls
cia	ʧa
city	gɑˈɕit
clap	klap
clive	klivɛ
club	klup
cm	tʃm
cnn	tsn
cody	koːdi
come	kɔmɛ
com	kom
cool	kɔːl
could	kuːld
craig	krɑɪ
creek	krɛk
crt	ʦr̩t
c	ʃ
c	tʃ
cи	si
cмe	ʃmɛ
da	da
daily	daɪli
dance	daːntsɛ
dateline	da'tɛlin
david	daˈvid
day	daɪ
dc	ɟɛtʃ
d	ð
dea	da
dean	daːn
death	ˈsmɛrtnɔ
de	ðɛ
deepwater	ˈdɛpvɛtɛr
deik	dek
dekker	dekɛr
della	ˈdɛla
demon	ˈdɛmɔn
desmond	ˈdɛsmɔnt
deuce	duːtsɛ
diana	ˈdiana
diane	ˈdiane
dib	ɟip
did	diː
di	di
didn	didn
die	diː
divx	ˈdivʃ
dj	ɟ
dnk	ðn̪k
do	do
doesn	doʃ
dog	dog
doin	doin
don	doːn
