00h	ɔh
1-ви	ɛnɛrɛ
1-та	ɛntɑ
10-ка	ˈdɛsɛtka
10-та	ˈdɛsɛtɑ
10-тата	ˈdɛnɑtɑ
10-те	ˈdɛsɛt
10-ти	ˈdɛsɛtɪ
11-ти	ɛnɛˈti
12-от	ɔt
12-та	ˈdɛntɑ
12-те	ˈdvatɛ
12-ти	ˈdvati
13-ка	treːka
13-та	ˈtɑtɑ
13-ти	ˈtrɛnti
14-та	ˈtɑntɑ
14-ти	ˈtɤrɤ
15-та	ˈfɾɛdna
15-ти	ˈfɾɛdɛ
16-ти	ˈʃumɛn
17-ти	ˈseːdnati
18-та	ɛnɔtɛ
18-ти	ɛnɑnti
1864-та	ɛnɔtɛsɛtɛr
19-ти	ˈnɛnti
2-лица	ˈliːtsa
2-ри	ˈdvari
2-та	ˈdvatɑ
20-годишна	ˈdvaɛtɐˌgɔdiʃna
20-ет	ˈdɛɾɛt
20-от	ˈdvatɔt
20-та	ˈdvatsa
20-те	ˈdɛsɛt
20-ти	ˈdvati
20-тина	ˈdvaˌtina
20-тиот	ˈdvatsiɔt
2005-та	ˈdvɛsɛt
2006-та	ˈdvetɾisɛt
21-ви	21vi
21-от	ˈdvajɔt
22-ри	ˈdvari
221б	221b
23-ти	ˈdvaːtɪ
24-ти	ˈdvaːtɪ
25-ти	ˈdvaɛtɨ
25-тиот	ˈdvaɛtɪɔt
26-ти	ˈdvaɛtɪ
27-ми	27mi
28-ми	ˈdvajɛtma
29-ти	ˈdvaːnati
3-по	ʃɛpo
3-та	ˈtɑ
3-те	te
3-ти	tʃi
30-те	ˈtrɛtɛ
30-ти	ˈtritɪ
30-тите	ˈtritɛ
30ч	tʃɔtʃ
33-ти	ˈtritɪ
3d	tsɛd
3а	za
3д	ʃɛd
3ошто	ʃɔʃtɔ
4-ри	ˈtɕɛɾi
4-та	ˈtɑtɑ
4-те	ɛtɛ
4-ти	ˈtɕi
4-то	ˈtɔ
40-те	ˈsɔrtɛ
45-ка	tsɛrɛtɕka
4a4ara	ˈʃaʃara
4ти	ˈtɤti
5-ка	tsɛka
5-та	ʃta
5-те	ɛtɛ
5-ти	ˈpɛtɾi
5-то	ʃɛsto
50-те	ˈpɛtɛ
50-тите	ˈpɛtʃkɛ
6-та	ʃɛsta
6-тата	ʃɛtɑtɑ
6-ти	ʃɛti
60-те	ʃɛstɛ
60-тите	ʃɔnˈtʃitɛ
7-ма	ma
7-ми	mi
7-та	ˈsɛtɑ
70-те	ˈsɛmdesɛtɛ
70-ти	ˈsɛmdesɛtɪ
70-тите	ˈsɛmdesɛtɪtɛ
8-ми	ɔːmi
8-та	ɔt̪a
80-те	ɔsɛm
80-ти	ɔsˈnɔtɪ
80-тите	ˈsɑmɑtɪtɛ
89-та	ɔsʲnɛdʲmɛrtɛ
9-та	ˈnɛna
9-те	9tɛ
9-ти	niti
90-те	ˈnɛntɛ
90-ти	ˈnɛnti
90-тите	ˈnɛntitɛ
9мм	ɛmmɛm
a	ɑː
aaa	aː
aah	ɑː
aamco	amtʃɔ
abc	abts
about	ɑbuːt
above	ˈabɔvɛ
again	ɛgajn
ah	ɑ
ain	ajn
air	ajr
ajдe	ajdɛ
ajде	ajdɛ
ak	ak
ako	ako
al	al
alaikum	alajkum
alex	alɛks
ali	ali
all	al
allahu	ɑlɑhuː
alpha	ɑlfɑ
always	ɑːlwɛjs
am	am
amy	ami
an	ɑn
and	ɑːnd
angel17	ˈaŋgɛl
anna	ˈana
annie	ani
annа	ana
apos	ˈapɔs
apple	aplɛ
arcadian	artʃaˈdian
are	ɑrɛ
around	ɔrɔund
arrakis	ɑrɑkɪs
as	as
ass	as
at	at
atom-ant	ˈatomant
atreides-и	atɾiˈdesi
away	avaj
aаа	ɑː
aдам	ɑːdam
aкo	akɔ
aко	akɔ
aлекс	alɛks
aма	ama
aмин	amin
aндрес	ɑndrɛs
aпсолутно	apsɔˈlutnɔ
aркадин	arkadɪn
aх	ax
aхa	ɑːχɑː
aјде	ajdɛ
b	ba
baby	babi
back	baʧ
balls	bal
bamba	ba'mba
bangkok	baŋkɔk
barbara	baɾˈbara
barings	baˈrɪŋs
bb	b
be	be
beale	bēlɛ
bear	be̞a̯r
beatdown	beɐtˈdau̯n
because	ˈbɛkɔʃ
becker	ˈbɛtʃɛr
becky	beʃki
beechwood	biːtʃwʊd
been	biːn
before	ˈpɛrɛ
being	biŋ
belicoff	ˈbɛlitsɔf
believe	ˈbɛlɪv
ben	ben
benton	benˈton
best	bst
bi	bi
big	big
bigalow	bigaˈɫɔw
bill	biɫ
bingham	biŋgam
birthday	gɾaʃkɔ
black	blɛk
blue	blu
bmw	baːmuː
bob	boːp
bobby	ˈbɔbi
body	ˈbɔdi
boom	bum
both	boθ
bounce	buːntʃ
boy	boj
brent	brɛnt
brickner	brɪtʃnɛr
bros	brɔs
brothers	brɔtʃɛr
brude	brudɛ
but	but
buttle	butlɛ
by	biː
bо	bo
c	tʃ
c	ʃ
c-4	tʃɛtɾi
caesar	ˈtsaɛsar
cal	kal
call	kal
can	tsan
carl	tsarl
carmen	kaɾˈmɛn
carrillo	ˈtʃariʎo
carson	ˈtʃaːrson
casa	ˈtʃasa
casablanca	kasaˈlaβaska
cat	kɑt
cause	kɔːz
cbs	ʃɛːp
cca	tʃa
cd	ʃɛd
cdc	tsɛtʃ
ce	tʃɛ
central	tsɛnˈtral
ceга	tʃɛga
cha	ʧa
cha-aksa	ʧaːksa
channel	ʃɑnɛɫ
charity	ˈtʃaɾiti
cheryl	tʃɛrɪl
chicago	tʃɪˈgɑːu
chris	krɪs
christa	krɪsta
chuckles	ʧʌkəls
cia	ʧa
city	gɑˈɕit
clap	klap
clive	klivɛ
club	klup
cm	tʃm
cnn	tsn
cody	koːdi
com	kom
come	kɔmɛ
cool	kɔːl
could	kuːld
craig	krɑɪ
creek	krɛk
crt	ʦr̩t
cи	si
cмe	ʃmɛ
d	ð
da	da
daily	daɪli
dance	daːntsɛ
dateline	da'tɛlin
david	daˈvid
day	daɪ
dc	ɟɛtʃ
de	ðɛ
dea	da
dean	daːn
death	ˈsmɛrtnɔ
deepwater	ˈdɛpvɛtɛr
deik	dek
dekker	dekɛr
della	ˈdɛla
demon	ˈdɛmɔn
desmond	ˈdɛsmɔnt
deuce	duːtsɛ
di	di
diana	ˈdiana
diane	ˈdiane
dib	ɟip
did	diː
didn	didn
die	diː
divx	ˈdivʃ
dj	ɟ
dnk	ðn̪k
do	do
doesn	doʃ
dog	dog
doin	doin
don	doːn
door	dur
double	duːblə
down	daʊn
dr	dr̥
dreyman	drɛjman
du	duː
duque	duːkɛ
dvd	ɛɛvdeɛ
dмkuju	ɟmkuju
e	ɛ
e-bay	ɛbɛj
e-mail	imajl
east	ɛst
ebay	ɛbaj
ej	ej
el	ɛl
elderman	ɛldɛrman
elizabeth	ɛlɪˈzabɛt
em	ɛm
enter	ɛntɛr
er	ɛr
esseker	ɛsɛˈkɛr
every	ɛvri
everybody	ɛvriˈbɔdɪ
everything	ɛvɾiˈtɕiŋ
exhales	ɛks'halɛs
eye	aj
eвa	ɛva
eва	ɛva
eван	ɛvɑn
eве	ɛvɛ
eдeн	ɛdɛn
eма	ɛma
eнслин	ɛnslin
eј	ej
f	ɸ
facebook	faɛbʊk
falls	faɫs
fbi	fbi
feel	fil
first	prɛʃt
fixx	fix
flint	flint
foot	paɾ
for	foɾ
forever	ˈfɔːrɛvɛr
fox	ɛg
frank	fræŋk
franklin	frɑnklɪn
from	frɔm
fuck	ʃʊk
futuresport	ˈfʊtʊrɛspɔrt
g	g
ga	ga
game	gamɛ
gary	gari
gasps	gaps
gedman	gɛdman
general	gɛnɛˈral
georg	gɛɔrg
george	gɛɔrdʒɛ
get	gɛt
gil	giɫ
girl	gɪɾ
give	gi
